DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;P1806;P1519;P1883;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;MES;DPTO;fex_c_2011;AREA
4391583;1;6;1;70;1;4;48;1; ;2;4;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;99;800000;2; ;45;41;52;1;1;5237;08;08;725,183154717661;08
4391586;1;3;1;70;1;52;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;1500000; ; ;16; ; ;1;2; ;08;08;1287,13680218292;08
4391587;1;4;1;70;1;16;48;1; ;2;216;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;1500000;2; ;39;39;80;1;2;8050;08;08;570,800832523783;08
4391590;1;3;1;70;1;24;48;1; ;2;24;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;39;39;74;1;2;7499;08;08;515,544470823033;08
4391591;1;2;1;70;1;12;48;1; ;2;12;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;650000;2; ;55;98;60;1;1;6031;08;08;560,361742682906;08
4391600;1;4;1;70;1;16;48;1; ;2;16;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;748000;2; ;39;39;74;1;2;7412;08;08;573,001930866668;08
4391609;1;1;1;70;1;52;48;4; ;2;52;4; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;737717;2; ;32;32;75;1;2;7512;08;08;504,801100498446;08
4391613;1;2;1;70;1;4;48;1; ;2;20;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;980000;2; ;59;59;95;1;1;9500;08;08;609,476674789973;08
4391621;1;3;1;70;1;1;48;1; ;2;2;1; ;9;2;3; ; ; ; ; ; ; ; ; ; ;1;1;737717;737717;2; ;39;39;60;1;1;6042;08;08;556,319496395834;08
4391623;1;3;1;70;1;8;48;1; ;2;8;4; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;737717;2; ;45;41;55;1;1;5529;08;08;384,901649031998;08
4391624;1;3;1;70;1;4;48;1; ;2;40;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;730000;2; ;39;39;55;1;1;5521;08;08;361,140588874811;08
4391624;1;6;1;70;1;8;48;1; ;2;24;1; ;6;2;1; ; ; ; ; ; ; ;1; ; ; ;2; ;730000;2; ;45;79;18;1;1;1810;08;08;361,140588874811;08
4391625;1;1;1;70;1;10;40;1; ;2;10;1; ;3;2;1; ; ; ; ; ; ; ;1; ; ; ;2; ;750000;2; ;53;53;55;1;1;5529;08;08;393,100354175911;08
4391631;1;3;1;70;1;1;40;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;400000; ; ;45; ; ;1;1; ;08;08;813,50884000134;08
4391637;1;2;1;70;1;20;48;1; ;2;99;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;650000;2; ;90;97;25;1;2;2519;08;08;584,085154255934;08
4391639;1;6;1;70;1;32;48;3; ;2;32;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;737717;2; ;54;54;95;1;2;9500;08;08;594,453468984392;08
4391640;1;1;1;70;1;28;48;1; ;2;28;1; ;9;2;7; ; ; ; ; ; ; ; ; ; ;1;2; ;730000;2; ;95;95;45;1;2;4521;08;08;485,70801601963;08
4391640;1;2;1;70;1;8;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;600000; ; ;55; ; ;1;1; ;08;08;485,70801601963;08
4391644;1;2;1;70;1;8;48;1; ;2;8;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;45;38;64;1;1;6421;08;08;549,993427954448;08
4391650;1;2;1;70;1;52;48;1; ;2;78;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;737717;2; ;59;13;80;1;2;8011;08;08;675,898634856933;08
4391651;1;3;1;70;1;4;48;1; ;2;12;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;03;03;64;1;1;6421;08;08;592,181595529089;08
