DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7430;P7440;P7450;P7450S1;P7452;P7454;P7456;P7458;P7458S1;P7460;P7470;P7472;P7472S1;P744;P1884;P1807;P6921;INI;MES;DPTO;fex_c_2011;AREA
4391351;1;2;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ;737717;2;1;08;05;1255,14107854593;05
4391352;1;2;1;80;1;1;3;3; ;2; ; ;9; ;2; ;2; ;1;24;737717;2;1;08;05;1220,39770180143;05
4391352;1;3;1;80;1;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;99; ;1;08;05;1220,39770180143;05
4391352;1;4;1;80;1;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;99; ;1;08;05;1220,39770180143;05
4391353;1;1;1;80;1;1;2;9;PREJUBILACION;2; ; ;12;PREJUBILACION;1; ;2; ; ; ;98;2;1;08;05;1316,41831777241;05
4391353;1;2;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ;98;2;1;08;05;1316,41831777241;05
4391355;1;2;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ;98;2;1;08;05;1185,31935501625;05
4391356;1;1;1;80;1;1;3;4; ;2; ; ;4; ;2; ;2; ; ; ;800000;2;1;08;05;1237,04967206567;05
4391356;1;2;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ;800000;2;1;08;05;1237,04967206567;05
4391357;1;3;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ;737717;2;1;08;05;963,356526707725;05
4391360;1;4;1;80;1;1;1;2; ;2; ; ;2; ;1; ;2; ;2; ;737700;2;1;08;05;1412,31445070421;05
4391362;1;1;1;80;1;1;3;9;QUERIA DESCANSAR;2; ; ;11; ;3; ;2; ; ; ;98;3;1;08;05;1222,20567169373;05
4391362;1;2;1;80;1;1;4;4; ;2; ; ;4; ;2; ;2; ; ; ;98;2;1;08;05;1222,20567169373;05
4391362;1;3;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ;98;2;1;08;05;1222,20567169373;05
4391362;1;4;1;80;1;1;1;8; ;2; ; ;12;PORQUE TIENE VISITA Y ESTA ESPERANDO QUE SE VAYAN;2; ;1;45000; ; ;737717;2;1;08;05;1222,20567169373;05
4391365;1;3;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ;737717;2;1;08;05;1089,26074394109;05
4391366;1;1;1;80;1;1;3;5; ;2; ; ;10; ;3; ;2; ; ; ;737717;3;1;08;05;1066,46644780319;05
4391366;1;3;1;80;1;1;4;4; ;2; ; ;4; ;2; ;2; ; ; ;99;2;1;08;05;1066,46644780319;05
4391366;1;4;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ;99;2;1;08;05;1066,46644780319;05
4391367;1;1;1;80;1;1;4;9;QUERIA DESCANSAR;2; ; ;11; ;3; ;2; ; ; ;98;3;1;08;05;1185,31935501625;05
4391367;1;2;1;80;1;1;4;5; ;2; ; ;10; ;3; ;2; ; ; ;98;3;1;08;05;1185,31935501625;05
4391368;1;1;1;80;1;1;1;8; ;1; ;1;6; ;1;1;2; ; ; ;800000;1;1;08;05;1143,73837995741;05
4391370;1;2;1;80;1;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;737717; ;1;08;05;1020,45634476829;05
4391370;1;5;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ;737717;2;1;08;05;1020,45634476829;05
4391373;1;2;1;80;1;1;4;5; ;2; ; ;10; ;3; ;2; ; ; ;1000000;3;1;08;05;1185,31935501625;05
4391374;1;2;1;80;1;1;4;3; ;2; ; ;11; ;2; ;2; ; ; ;99;2;1;08;05;1060,59757924049;05
4391375;1;1;1;80;1;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ;98;2;1;08;05;1250,86883639433;05
4391376;1;1;1;80;1;1;1;5; ;2; ; ;10; ;3; ;2; ; ; ;99;3;1;08;05;1174,073473756;05
4391376;1;3;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ;99;2;1;08;05;1174,073473756;05
4391376;1;4;1;80;1;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;99; ;1;08;05;1174,073473756;05
4391378;1;1;1;80;1;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ;737717;2;1;08;05;1143,73837995741;05
4391379;1;2;1;80;1;1;4;9;CAMBIO DE DOMICILIO;2; ; ;9; ;2; ;2; ; ; ;737717;2;1;08;05;1089,26074394109;05
4391379;1;3;1;80;1;1;2;6; ;2; ; ;2; ;2; ;2; ; ; ;737717;2;1;08;05;1089,26074394109;05
4391380;1;2;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ;98;2;1;08;05;1023,02890824683;05
4391383;1;3;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ;98;2;1;08;05;903,001790852435;05
4391383;1;4;1;80;1;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;98; ;1;08;05;903,001790852435;05
4391384;1;1;1;80;1;1;4;5; ;2; ; ;10; ;3; ;2; ; ; ;99;3;1;08;05;1316,41831777241;05
4391384;1;2;1;80;1;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ;99;2;1;08;05;1316,41831777241;05
4391385;1;2;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ;98;2;1;08;05;973,928284928062;05
4391385;1;3;1;80;1;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;98; ;1;08;05;973,928284928062;05
4391386;1;1;1;80;1;1;2;3; ;2; ; ;9; ;2; ;2; ; ; ;737717;2;1;08;05;1249,94633302314;05
4391388;1;2;1;80;1;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;98; ;1;08;05;1129,91921562875;05
4391389;1;2;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ;737700;2;1;08;05;1078,68898572075;05
4391389;1;3;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ;98;2;1;08;05;1078,68898572075;05
4391390;1;3;1;80;1;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;99; ;1;08;05;1048,64026735763;05
4391394;1;1;1;80;1;1;3;3; ;2; ; ;9; ;2; ;2; ; ; ;99;2;1;08;05;2381,02820107808;05
4391396;1;1;1;80;1;1;3;5; ;2; ; ;11; ;3; ;2; ; ; ;98;3;1;08;05;1185,31935501625;05
4391396;1;2;1;80;1;1;4;3; ;2; ; ;11; ;2; ;2; ; ; ;98;2;1;08;05;1185,31935501625;05
4391398;1;3;1;80;1;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;98; ;1;08;05;1089,26074394109;05
4391399;1;2;1;80;1;1;2;4; ;2; ; ;4; ;2; ;2; ; ; ;99;2;1;08;05;1185,31935501625;05
4391401;1;1;1;80;1;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ;98;2;1;08;05;2705,17192574698;05
4391402;1;2;1;80;1;1;1;4; ;2; ; ;4; ;2; ;2; ; ; ;737717;2;1;08;05;1148,9331254802;05
4391402;1;3;1;80;1;1;1;2; ;2; ; ;2; ;2; ;2; ; ; ;737717;2;1;08;05;1148,9331254802;05
4391403;1;3;1;80;1;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;98; ;1;08;05;2297,86625096039;05
4391404;1;1;1;80;1;1;3;1; ;2; ; ;9; ;2; ;2; ;1;24;350000;2;1;08;05;1230,20456206492;05
4391404;1;3;1;80;1;1;3;1; ;1; ;2;5; ;2; ;2; ;1;48;737700;2;1;08;05;1230,20456206492;05
4391406;1;2;1;80;1;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ;737717;2;1;08;05;920,116540675385;05
4391407;1;1;1;80;1;1;3;1; ;1; ;2;8; ;2; ;2; ;1;48;737000;2;1;08;05;926,039866894817;05
4391409;1;2;1;80;1;1;1;8; ;2; ; ;2; ;2; ;2; ; ; ;737717;2;1;08;05;1807,36829033724;05
4391409;1;3;1;80;1;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;99; ;1;08;05;1807,36829033724;05
4391410;1;1;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ;98;2;1;08;05;2199,64854177031;05
4391411;1;3;1;80;1;1;2;8; ;2; ; ;2; ;2; ;2; ;2; ;737717;2;1;08;05;1028,9060080858;05
4391411;1;4;1;80;1;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;1200000; ;1;08;05;1028,9060080858;05
4391412;1;1;1;80;1;1;4;3; ;1; ;4;9; ;2; ;2; ; ; ;600000;2;1;08;05;2476,447764494;05
4391412;1;2;1;80;1;1;3;4; ;2; ; ;4; ;2; ;2; ; ; ;737717;2;1;08;05;2476,447764494;05
4391412;1;6;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ;737717;2;1;08;05;2476,447764494;05
4391414;1;3;1;80;1;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;98; ;1;08;05;1114,87210305189;05
4391416;1;1;1;80;1;1;3;5; ;1; ;2;5; ;3; ;2; ; ; ;737717;3;1;08;05;2483,99207451435;05
4391417;1;4;1;80;1;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;737350; ;1;08;05;1299,97769098937;05
4391418;1;2;1;80;1;2; ; ; ; ;1;3;2; ;2; ;2; ;2; ;737700;2;1;08;05;913,5653177965;05
4391421;1;3;1;80;1;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;737717; ;1;08;05;2109,03473439319;05
4391421;1;4;1;80;1;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;98; ;1;08;05;2109,03473439319;05
4391422;1;1;1;80;1;1;4;5; ;2; ; ;11; ;3; ;2; ; ; ;98;3;1;08;05;957,002857352862;05
4391422;1;2;1;80;1;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ;98;2;1;08;05;957,002857352862;05
4391422;1;3;1;80;1;1;4;5; ;2; ; ;11; ;3; ;2; ; ; ;99;3;1;08;05;957,002857352862;05
4391422;1;4;1;80;1;1;4;5; ;2; ; ;11; ;3; ;2; ; ; ;1000000;3;1;08;05;957,002857352862;05
4391423;1;1;1;80;1;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ;99;2;1;08;05;985,66602205346;05
4391423;1;3;1;80;1;1;4;8; ;2; ; ;5; ;3; ;2; ;1;48;737717;3;1;08;05;985,66602205346;05
4391424;1;3;1;80;1;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;98; ;1;08;05;2510,28215709185;05
4391426;1;1;1;80;1;1;4;4; ;2; ; ;4; ;2; ;2; ; ; ;737717;2;1;08;05;920,116540675385;05
4391427;1;4;1;80;1;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;737000; ;1;08;05;1174,073473756;05
4391428;1;2;1;80;1;1;2;3; ;2; ; ;8; ;2; ;2; ;1;48;737717;2;1;08;05;1938,46725309339;05
4391428;1;4;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ;98;2;1;08;05;1938,46725309339;05
4391429;1;1;1;80;1;1;1;5; ;2; ; ;11; ;3; ;2; ; ; ;1500000;3;1;08;05;1299,47760384795;05
4391430;1;1;1;80;1;1;4;5; ;2; ; ;10; ;3; ;2; ; ; ;737717;3;1;08;05;1336,36392052543;05
4391430;1;2;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ;98;2;1;08;05;1336,36392052543;05
4391430;1;3;1;80;1;1;4;4; ;2; ; ;4; ;2; ;2; ; ; ;98;2;1;08;05;1336,36392052543;05
4391431;1;3;1;80;1;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;99; ;1;08;05;1039,46953502987;05
4391432;1;1;1;80;1;1;2;3; ;2; ; ;9; ;2; ;2; ; ; ;737717;2;1;08;05;1315,49581440122;05
4391433;1;2;1;80;1;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;99; ;1;08;05;929,295504279417;05
4391434;1;2;1;80;1;1;2;3; ;2; ; ;9; ;2; ;2; ; ; ;737717;2;1;08;05;1114,87210305189;05
4391436;1;1;1;80;1;1;4;8; ;2; ; ;9; ;1;4;2; ; ; ;737717;1;1;08;05;1131,09342581008;05
4391437;1;1;1;80;1;1;4;5; ;2; ; ;8; ;3; ;2; ; ; ;1500000;3;1;08;05;1185,31935501625;05
4391437;1;2;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ;800000;2;1;08;05;1185,31935501625;05
4391438;1;2;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ;99;2;1;08;05;1225,77471449898;05
4391443;1;3;1;80;1;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;98; ;1;08;05;821,00612401042;05
4391443;1;5;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ;98;2;1;08;05;821,00612401042;05
4391444;1;2;1;80;1;1;2;3; ;2; ; ;9; ;2; ;2; ;2; ;737717;2;1;08;05;1447,31512657774;05
4391445;1;2;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;2; ;737000;2;1;08;05;1200,16335538819;05
4391446;1;2;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ;737717;2;1;08;05;1148,9331254802;05
4391446;1;3;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ;737717;2;1;08;05;1148,9331254802;05
4391447;1;1;1;80;1;1;4;5; ;2; ; ;10; ;3; ;2; ; ; ;99;3;1;08;05;1060,59757924049;05
4391447;1;2;1;80;1;1;4;5; ;2; ; ;10; ;3; ;2; ; ; ;99;3;1;08;05;1060,59757924049;05
4391447;1;4;1;80;1;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;99; ;1;08;05;1060,59757924049;05
4391448;1;5;1;80;1;1;1;2; ;2; ; ;2; ;2; ;2; ; ; ;737717;2;1;08;05;1166,13140926631;05
4391449;1;1;1;80;1;1;3;3; ;2; ; ;9; ;1; ;2; ;1;24;350000;2;1;08;05;1249,94633302314;05
4391450;1;1;1;80;1;1;4;4; ;2; ; ;4; ;3; ;2; ; ; ;98;3;1;08;05;1180,62469663489;05
4391450;1;2;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ;98;2;1;08;05;1180,62469663489;05
4391454;1;1;1;80;1;1;3;5; ;2; ; ;10; ;3; ;2; ; ; ;99;3;1;08;05;1185,31935501625;05
4391454;1;2;1;80;1;1;4;4; ;2; ; ;4; ;2; ;2; ; ; ;99;2;1;08;05;1185,31935501625;05
4391456;1;2;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ;98;2;1;08;05;1023,71126256302;05
4391457;1;1;1;80;1;1;4;5; ;2; ; ;8; ;3; ;2; ; ; ;99;3;1;08;05;1185,31935501625;05
4391457;1;2;1;80;1;1;4;5; ;2; ; ;8; ;3; ;2; ; ; ;99;3;1;08;05;1185,31935501625;05
4391459;1;3;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ;737000;2;1;08;05;1088,57838962491;05
4391459;1;4;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ;200000;2;1;08;05;1088,57838962491;05
4391460;1;1;1;80;1;1;4;4; ;2; ; ;9; ;2; ;2; ;2; ;98;2;1;08;05;1096,35004906558;05
4391462;1;4;1;80;1;1;2;2; ;2; ; ;2; ;2; ;2; ; ; ;737717;2;1;08;05;1045,34663486884;05
4391464;1;4;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ;100000;2;1;08;05;1028,9060080858;05
4391465;1;1;1;80;1;1;4;4; ;2; ; ;4; ;2; ;2; ; ; ;98;2;1;08;05;1365,02708522603;05
4391467;1;1;1;80;1;1;4;5; ;2; ; ;10; ;3; ;2; ; ; ;98;3;1;08;05;1434,15365480483;05
4391467;1;2;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ;98;2;1;08;05;1434,15365480483;05
4391467;1;8;1;80;1;1;3;5; ;2; ; ;4; ;3; ;2; ; ; ;98;3;1;08;05;1434,15365480483;05
4391468;1;3;1;80;1;1;2;8; ;2; ; ;11; ;2; ;2; ; ; ;99;2;1;08;05;914,065404937919;05
4391468;1;4;1;80;1;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;99; ;1;08;05;914,065404937919;05
4391468;1;5;1;80;1;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;99; ;1;08;05;914,065404937919;05
4391468;1;6;1;80;1;1;4;5; ;2; ; ;10; ;3; ;2; ; ; ;99;3;1;08;05;914,065404937919;05
4391471;1;1;1;80;1;1;3;8; ;1; ;2;5; ;2; ;2; ;1;48;737717;2;1;08;05;1093,95540232246;05
4391471;1;2;1;80;1;1;2;8; ;2; ; ;8; ;2; ;2; ; ; ;737717;2;1;08;05;1093,95540232246;05
4391473;1;3;1;80;1;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;98; ;1;08;05;994,844985657492;05
4391473;1;4;1;80;1;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;98; ;1;08;05;994,844985657492;05
4391475;1;2;1;80;1;1;4;4; ;2; ; ;4; ;2; ;2; ; ; ;98;2;1;08;05;1287,33273684204;05
4391476;1;3;1;80;1;2; ; ; ; ;2; ; ;.; ; ;2; ;2; ;737000; ;1;08;05;1255,14107854593;05
4391477;1;1;1;80;1;1;4;7; ;2; ; ;4; ;2; ;2; ; ; ;737350;2;1;08;05;1185,31935501625;05
4391479;1;4;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ;98;2;1;08;05;1028,9060080858;05
4391481;1;2;1;80;1;1;3;7; ;2; ; ;9; ;2; ;2; ;1;24;737717;2;1;08;05;686,431261590713;05
4391481;1;7;1;80;1;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;750000; ;1;08;05;686,431261590713;05
4391482;1;3;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ;98;2;1;08;05;1169,84982620963;05
4391482;1;5;1;80;1;1;2;3; ;2; ; ;9; ;1;1;2; ;2; ;98;1;1;08;05;1169,84982620963;05
4391484;1;2;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;2; ;737717;2;1;08;05;1305,17243651215;05
4391484;1;5;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ;98;2;1;08;05;1305,17243651215;05
4391484;1;6;1;80;1;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;500000; ;1;08;05;1305,17243651215;05
4391487;1;1;1;80;1;1;4;4; ;2; ; ;4; ;3; ;2; ; ; ;98;3;1;08;05;1024,88547274435;05
4391488;1;2;1;80;1;1;4;3; ;2; ; ;9; ;1; ;2; ; ; ;1100000;2;1;08;05;1234,89922044628;05
4391490;1;2;1;80;1;1;4;7; ;2; ; ;8; ;3; ;2; ; ; ;800000;3;1;08;05;1185,31935501625;05
4391491;1;1;1;80;1;1;4;3; ;2; ; ;9; ;3; ;2; ; ; ;99;3;1;08;05;723,325809544463;05
4391491;1;3;1;80;1;1;3;8; ;1; ;1;2; ;2; ;2; ;2; ;737717;2;1;08;05;723,325809544463;05
4391491;1;5;1;80;1;1;1;2; ;2; ; ;2; ;2; ;1;200000;1;24;737717;2;1;08;05;723,325809544463;05
4391491;1;6;1;80;1;2; ; ; ; ;1;1;12;DISCAPACIDAD FISICA;2; ;2; ; ; ;98;2;1;08;05;723,325809544463;05
4391491;1;7;1;80;1;1;4;1; ;2; ; ;12;DISCAPACIDAD FISICA;2; ;2; ; ; ;737717;2;1;08;05;723,325809544463;05
4391491;2;2;2;80;1;1;4;7; ;1; ;4;8; ;1; ;2; ;1;48;737717;2;1;08;05;723,325809544463;05
4391491;2;3;2;80;1;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;99; ;1;08;05;723,325809544463;05
4391492;1;1;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ;1500000;2;1;08;05;1100,32435802658;05
4391494;1;1;1;80;1;1;4;7; ;2; ; ;9; ;1; ;2; ;2; ;737717;2;1;08;05;859,761804820094;05
4391494;1;3;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;08;05;859,761804820094;05
4391495;1;1;1;80;1;1;3;3; ;2; ; ;8; ;2; ;2; ; ; ;737717;2;1;08;05;1299,47760384795;05
4391496;1;5;1;80;1;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;98; ;1;08;05;849,206509152301;05
4391497;1;4;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ;737717;2;1;08;05;1229,73355122993;05
4391498;1;1;1;80;1;1;1;6; ;2; ; ;7; ;1;2;1;100000;1;48;1500000;1;1;08;05;1260,51057955708;05
4391499;1;2;1;80;1;1;4;1; ;2; ; ;8; ;3; ;2; ; ; ;98;3;1;08;05;1099,82427088516;05
4391500;1;3;1;80;1;1;4;4; ;2; ; ;4; ;3; ;2; ; ; ; ;3;1;08;05;1222,20567169373;05
4391500;1;4;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;08;05;1222,20567169373;05
4391503;1;2;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ;98;2;1;08;05;1083,38364410212;05
