DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7430;P7440;P7450;P7450S1;P7452;P7454;P7456;P7458;P7458S1;P7460;P7470;P7472;P7472S1;P744;P1884;P1807;P6921;INI;DPTO;fex_c_2011
4399642;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;98; ;1;63;2471,87422692423
4399643;1;3;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ;98;2;1;63;1285,1949423015
4399645;1;1;1;80;2;1;4;8; ;2; ; ;9; ;2; ;2; ; ; ;98;2;1;63;1555,3388248752
4399649;1;3;1;80;2;1;1;9;HACIENDO DILIGENCIAS PARA QUE EL ESTADO LE ADJUDIQUE TIERRAS;2; ; ;11; ;2; ;1;40000;2; ;737717;2;1;76;653,350536256584
4399649;1;5;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;99; ;1;76;653,350536256584
4399650;1;1;1;80;2;1;1;1; ;2; ; ;11; ;2; ;1;772000; ; ;840000;2;1;76;1069,82302056631
4399651;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;99; ;1;76;1224,2567376058
4399652;1;2;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;99; ;1;76;1270,9211343264
4399655;1;3;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;2; ;98;2;1;76;826,328171581991
4399655;1;4;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;2; ;98;2;1;76;826,328171581991
4399655;1;5;1;80;2;2; ; ; ; ;1;1;2; ;2; ;2; ;2; ;98;2;1;76;826,328171581991
4400588;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;98; ;1;63;1447,72857058106
4400589;1;1;1;80;2;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ;737700;2;1;63;1577,07416953919
4400590;1;2;1;80;2;1;4;9;CAMBIO DE RESIDENCIA;2; ; ;1; ;1; ;2; ;1;40;500000;2;1;63;692,388545386315
4400591;1;2;1;80;2;1;3;3; ;2; ; ;9; ;2; ;2; ;1;24;200000;2;1;63;1039,58227873591
4400591;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;98; ;1;63;1039,58227873591
4400591;1;5;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;98; ;1;63;1039,58227873591
4400595;1;2;1;80;2;1;1;3; ;2; ; ;9; ;2; ;2; ; ; ;737700;2;1;63;617,968556731058
4400645;1;3;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ;99;2;1;13;817,71657362885
4400647;1;1;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ;99;2;1;13;651,021239798784
4400647;1;3;1;80;2;1;4;4; ;2; ; ;4; ;2; ;2; ;2; ;99;2;1;13;651,021239798784
4400648;1;2;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;99; ;1;13;878,088201881057
4400650;1;2;1;80;2;1;4;4; ;2; ; ;8; ;2; ;2; ; ; ;99;2;1;13;652,003090504138
4400651;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ;737717;2;1;13;1035,09141336836
4400659;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;99; ;1;13;1342,50413323857
4400659;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;99; ;1;13;1342,50413323857
4400660;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;99; ;1;13;1046,66701253726
4400664;1;2;1;80;2;1;1;8; ;2; ; ;9; ;2; ;2; ; ; ;737717;2;1;13;1018,75035764212
4400668;1;3;1;80;2;1;3;4; ;2; ; ;8; ;2; ;2; ; ; ; ;2;1;13;834,521469917493
4400669;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ;99;2;1;13;867,295264601702
4400674;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;99; ;1;13;997,272594768686
4400675;1;2;1;80;2;1;2;3; ;2; ; ;9; ;2; ;2; ; ; ;737717;2;1;13;1216,96167901502
4400679;1;2;1;80;2;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ;99;2;1;13;601,335949982665
4400679;1;4;1;80;2;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ;737717;2;1;13;601,335949982665
4400682;1;2;1;80;2;1;3;3; ;2; ; ;9; ;2; ;2; ; ; ;99;2;1;13;849,987273781642
4400684;1;2;1;80;2;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ;99;2;1;13;1231,58687891969
4400684;1;3;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ;99;2;1;13;1231,58687891969
4400684;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;99; ;1;13;1231,58687891969
4400684;1;5;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;99; ;1;13;1231,58687891969
4400687;1;3;1;80;2;1;4;3; ;2; ; ;8; ;2; ;2; ; ; ;99;2;1;13;895,966632106792
4400688;1;2;1;80;2;1;4;8; ;2; ; ;9; ;2; ;2; ; ; ;737717;2;1;13;1071,16860798897
4400688;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;99; ;1;13;1071,16860798897
4400688;1;5;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;99; ;1;13;1071,16860798897
4400688;1;6;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;99; ;1;13;1071,16860798897
4400689;1;3;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ;99;2;1;13;1001,48523171318
4400689;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;99; ;1;13;1001,48523171318
4400691;1;2;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;99; ;1;13;927,482619649627
4400692;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ;99; ;1;13;1034,90714016408
4400694;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ;99;2;1;13;805,95670125567
