DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,P7480,P7480S1,P7480S3,P7480S4,P7480S5,P7480S6,P7480S7,P7480S8,P7480S9,P7480S10,P7480S11,P7480S1A1,P7480S3A1,P7480S4A1,P7480S5A1,P7480S6A1,P7480S7A1,P7480S8A1,P7480S9A1,P7480S10A1,P7480S11A1,clase,MES,DPTO,AREA,fex_c_2011
2819126,1,2,1,90,,2,1,2,1,2,2,2,2,2,2,,40,,12,,,,,,,1,11,63,63,100.982.113.963.413
2819126,1,3,1,90,,2,1,2,2,2,2,2,2,2,2,,6,,,,,,,,,1,11,63,63,100.982.113.963.413
2819127,1,1,1,90,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,1,11,63,63,182.054.009.961.635
2819127,1,2,1,90,,2,1,2,1,2,2,2,2,2,2,,36,,60,,,,,,,1,11,63,63,182.054.009.961.635
2819127,1,3,1,90,,2,2,2,1,2,2,2,2,2,2,,,,8,,,,,,,1,11,63,63,182.054.009.961.635
2819128,1,1,1,90,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,1,11,63,63,153.051.748.234.864
2819128,1,2,1,90,,2,1,2,1,2,2,2,2,2,2,,36,,12,,,,,,,1,11,63,63,153.051.748.234.864
2819128,1,3,1,90,,2,1,2,1,2,2,2,2,2,2,,12,,28,,,,,,,1,11,63,63,153.051.748.234.864
2819128,1,5,1,90,,2,1,2,1,2,2,2,2,2,2,,14,,25,,,,,,,1,11,63,63,153.051.748.234.864
2819129,1,1,1,90,,2,1,2,1,2,2,2,2,2,2,,3,,12,,,,,,,1,11,63,63,11.328.639.001.328
2819129,1,2,1,90,,2,1,2,1,2,2,2,2,2,2,,8,,12,,,,,,,1,11,63,63,11.328.639.001.328
2819129,1,3,1,90,,2,1,2,2,2,2,2,2,2,2,,3,,,,,,,,,1,11,63,63,11.328.639.001.328
2819130,1,1,1,90,,2,1,2,1,2,2,2,2,2,2,,25,,18,,,,,,,1,11,63,63,869.546.504.030.676
2819130,1,2,1,90,,2,1,2,2,2,2,2,2,2,2,,8,,,,,,,,,1,11,63,63,869.546.504.030.676
2819131,1,1,1,90,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,1,11,63,63,169.749.733.911.767
2819131,1,2,1,90,,2,1,2,2,2,2,2,2,2,2,,36,,,,,,,,,1,11,63,63,169.749.733.911.767
2819131,1,3,1,90,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,1,11,63,63,169.749.733.911.767
2819132,1,1,1,90,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,1,11,63,63,115.315.486.848.603
2819132,1,2,1,90,,2,1,2,1,2,2,2,2,2,2,,35,,60,,,,,,,1,11,63,63,115.315.486.848.603
2819132,1,3,1,90,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,1,11,63,63,115.315.486.848.603
