Directorio;Secuencia_p;Orden;Hogar;Regis;Clase;P7430;P7440;P7450;P7450s1;P7460;P7470;P7472;P7472s1;P7454;P7456;P7458s1;P7458;P7452;Ini;Mes;Dpto;Fex_c_2011
3012401;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;63;393,379162394576
3012402;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;63;507,074239093601
3012402;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;63;507,074239093601
3012403;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;63;613,172326512917
3012403;1;5;1;80;2;1;2;9;EMBARAZO;2; ;2; ; ; ; ;9;2;1;08;63;613,172326512917
3012404;1;2;1;80;2;1;1;3; ;2; ;2; ; ; ; ;9;2;1;08;63;451,739953188627
3012404;1;3;1;80;2;1;3;4; ;3; ;2; ; ; ; ;4;2;1;08;63;451,739953188627
3012406;1;3;1;80;2;1;1;9;POR OPERACION;2; ;2; ; ; ; ;4;2;1;08;63;686,343109929937
3012408;1;2;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;08;63;498,991231806024
3012409;1;2;1;80;2;1;4;3; ;2; ;2; ; ; ; ;1;2;1;08;63;735,276912391464
3012409;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;63;735,276912391464
3012409;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;63;735,276912391464
3012410;1;2;1;80;2;1;3;3; ;2; ;2; ; ; ; ;1;2;1;08;63;509,870090090557
3012410;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;63;509,870090090557
3012410;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;63;509,870090090557
3015494;1;2;1;80;2;1;4;8; ;2; ;2; ; ; ; ;9;2;1;08;63;719,599163494944
3015496;1;2;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;08;63;719,599163494944
3015517;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;63;713,678711938322
3015519;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;63;735,276912391464
3015519;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;63;735,276912391464
3015520;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;63;458,925417580449
3015524;1;2;1;80;2;1;4;9;LA EDAD;2; ;2; ; ; ; ;8;2;1;08;63;665,738300372373
3015524;1;4;1;80;2;1;1;8; ;2; ;2; ; ; ; ;2;2;1;08;63;665,738300372373
3015524;1;5;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;63;665,738300372373
3015541;1;2;1;80;2;1;3;3; ;2; ;2; ; ; ; ;1;2;1;08;63;472,11410885407
3015541;1;5;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;63;472,11410885407
3015542;1;2;1;80;2;1;1;9;EMBARAZO;2; ;2; ; ; ;EMBARAZO;12;2;1;08;63;606,010704014582
3015543;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;63;368,353393375278
3018354;1;1;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;73;1764,64223953015
3018359;1;1;1;80;2;1;4;8; ;2; ;2; ; ; ; ;8;2;1;08;73;3184,65407134097
3018362;1;3;1;80;2;1;4;4; ;2; ;2; ; ; ; ;4;2;1;08;73;3088,21520376478
3018362;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;73;3088,21520376478
3018364;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;73;1851,98501934959
3018364;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;73;1851,98501934959
3018365;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;73;689,615221090701
3018365;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;73;689,615221090701
3018366;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;73;2324,67043746484
3018366;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;73;2324,67043746484
3018368;1;1;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;08;73;3184,65407134097
3018369;1;1;1;80;2;1;4;6; ;2; ;2; ; ; ; ;4;2;1;08;73;3495,95771497839
3018370;1;1;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;08;73;3495,95771497839
3018372;1;2;1;80;2;1;3;4; ;2; ;2; ; ; ; ;4;2;1;08;73;2939,21200999893
3018377;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;73;2884,51963467654
3018381;1;3;1;80;2;1;1;2; ;2; ;2; ; ; ; ;2;2;1;08;73;1389,86157465864
