DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P6016;P6020;P6030S1;P6030S3;P6040;P6050;P6070;P6090;P6140;P6150;P6100;P6110;P6120;P6125;P6160;P6170;P6175;P6210;P6210S1;P6220;P6269;AREA;ESC;MES;DPTO;fex_c_2011
4206773;1;3;1;10;3;2;2;1962;54;3;4;1; ; ;1;5; ;2;1;2; ;4;8; ; ;05;8;12;05;1302,27730953961
4206774;1;1;1;10;1;1;8;1975;41;1;3;1; ; ;1;3;86200;2;1;2; ;3;3; ; ;05;3;12;05;1176,94427775376
4206774;1;2;1;10;2;2;12;1981;35;2;3;1; ; ;1;5; ;2;1;2; ;5;11;2; ;05;11;12;05;1176,94427775376
4206774;1;3;1;10;3;1;12;2002;14;3;6;1; ; ;1;5; ;2;1;1;2;4;7; ; ;05;7;12;05;1176,94427775376
4206774;1;4;1;10;2;2;12;2007;9;3; ;1; ; ;1;5; ;2;1;1;2;3;2; ; ;05;2;12;05;1176,94427775376
4206775;1;1;1;10;1;1;1;1974;42;1;2;2;1;1; ; ; ;2;1;2; ;5;11;2; ;05;11;12;05;1205,4530536493
4206775;1;2;1;10;2;2;5;1981;35;2;2;2;1;1; ; ; ;2;1;2; ;3;5; ; ;05;5;12;05;1205,4530536493
4206775;1;3;1;10;3;1;12;2010;5;3; ;2;1;1; ; ; ;2;2;1;1;2;0; ; ;05;0;12;05;1205,4530536493
4206776;1;1;1;10;1;2;2;1974;42;1;4;1; ; ;1;4; ;2;1;2; ;3;2; ; ;05;2;12;05;935,657051275101
4206776;1;2;1;10;2;1;1;1997;19;3;6;1; ; ;1;5; ;1;1;1;1;6;0;2;2;05;11;12;05;935,657051275101
4206776;1;3;1;10;3;1;6;1999;17;3;6;1; ; ;1;5; ;2;1;1;1;5;10;1; ;05;10;12;05;935,657051275101
4206777;1;1;1;10;1;2;4;1972;44;1;4;1; ; ;3; ; ;2;1;2; ;3;4; ; ;05;4;12;05;1003,70176939731
4206777;1;2;1;10;2;1;3;2001;15;3;6;1; ; ;3; ; ;2;1;1;1;4;6; ; ;05;6;12;05;1003,70176939731
4206778;1;1;1;10;1;1;11;1952;64;1;2;1; ; ;3; ; ;2;1;2; ;3;4; ; ;05;4;12;05;1358,12302848435
4206778;1;2;1;10;2;2;9;1963;53;2;2;1; ; ;3; ; ;2;1;2; ;3;5; ; ;05;5;12;05;1358,12302848435
4206778;1;3;1;10;3;1;11;1985;31;3;6;1; ; ;1;1;28000;2;1;2; ;5;11;2; ;05;11;12;05;1358,12302848435
4206778;1;4;1;10;4;1;8;1988;28;3;6;1; ; ;3; ; ;2;1;2; ;5;11;2; ;05;11;12;05;1358,12302848435
4206779;1;1;1;10;1;2;11;1952;64;1;4;1; ; ;1;5; ;2;1;2; ;3;5; ; ;05;5;12;05;1142,65665484126
4206779;1;2;1;10;2;1;8;1977;39;3;6;1; ; ;1;1;160000;2;1;2; ;6;5;4; ;05;16;12;05;1142,65665484126
4206779;1;3;1;10;3;1;7;1999;17;4;6;1; ; ;1;5; ;2;1;1;1;5;10;1; ;05;10;12;05;1142,65665484126
4206780;1;1;1;10;1;1;6;1985;31;1;3;1; ; ;1;1;60000;1;1;2; ;5;11;2; ;05;11;12;05;1244,98899587597
4206780;1;2;1;10;2;2;10;1985;31;2;3;1; ; ;1;5; ;2;1;2; ;5;11;2; ;05;11;12;05;1244,98899587597
4206780;1;3;1;10;2;2;1;2015;1;3; ;1; ; ;1;5; ;2; ; ; ; ; ; ; ;05; ;12;05;1244,98899587597
4206781;1;1;1;10;1;1;6;1966;50;1;3;1; ; ;2;2;162000;2;1;2; ;6;3;3; ;05;14;12;05;1011,75780339687
4206781;1;2;1;10;2;2;2;1965;51;2;3;1; ; ;2;5; ;2;1;2; ;6;4;3; ;05;15;12;05;1011,75780339687
4206781;1;3;1;10;3;2;10;1993;23;3;6;2;1;24; ; ; ;1;1;2; ;6;2;3; ;05;13;12;05;1011,75780339687
4206782;1;1;1;10;1;2;6;1941;75;1;4;1; ; ;3; ; ;2;2;2; ;1;0; ; ;05;0;12;05;1123,51979572401
4206782;1;2;1;10;2;1;10;1962;54;3;6;1; ; ;3; ; ;2;2;2; ;1;0; ; ;05;0;12;05;1123,51979572401
4206782;1;3;1;10;3;1;12;1963;52;3;4;1; ; ;3; ; ;2;1;2; ;3;5; ; ;05;5;12;05;1123,51979572401
4206782;1;4;1;10;4;2;4;1967;49;3;4;1; ; ;3; ; ;2;2;2; ;1;0; ; ;05;0;12;05;1123,51979572401
4206782;1;5;1;10;5;1;5;1995;21;4;6;1; ; ;1;1;27758;2;1;2; ;4;7; ; ;05;7;12;05;1123,51979572401
4206783;1;1;1;10;1;1;10;1983;33;1;3;1; ; ;3; ; ;2;1;2; ;4;7; ; ;05;7;12;05;1204,13717087058
4206783;1;2;1;10;2;2;1;1992;24;2;3;1; ; ;3; ; ;2;1;2; ;5;11;2; ;05;11;12;05;1204,13717087058
4206783;1;3;1;10;3;2;12;2007;8;3; ;1; ; ;3; ; ;2;1;1;1;3;2; ; ;05;2;12;05;1204,13717087058
4206784;1;1;1;10;1;1;2;1969;47;1;2;1; ; ;3; ; ;2;1;2; ;3;5; ; ;05;5;12;05;877,230753496779
4206784;1;2;1;10;2;2;3;1963;53;2;2;1; ; ;3; ; ;2;1;2; ;3;5; ; ;05;5;12;05;877,230753496779
4206784;1;3;1;10;3;1;11;1998;18;3;6;1; ; ;3; ; ;2;1;2; ;4;8; ; ;05;8;12;05;877,230753496779
4206784;1;4;1;10;4;2;10;1995;21;3;4;1; ; ;1;1;27500;2;1;2; ;5;11;2; ;05;11;12;05;877,230753496779
4206784;1;5;1;10;5;1;1;1992;24;3;4;1; ; ;1;4; ;2;1;2; ;5;11;2; ;05;11;12;05;877,230753496779
4206784;1;6;1;10;6;2;9;1999;17;3;4;1; ; ;3; ; ;2;1;2; ;4;6; ; ;05;6;12;05;877,230753496779
4206784;1;7;1;10;4;2;3;2014;2;4; ;1; ; ;3; ; ;2; ; ; ; ; ; ; ;05; ;12;05;877,230753496779
4206785;1;1;1;10;1;2;2;1963;53;1;4;1; ; ;3; ; ;2;1;2; ;3;4; ; ;05;4;12;05;1033,77293163717
4206785;1;2;1;10;2;2;5;1996;20;3;6;2;1;6; ; ; ;2;1;2; ;3;5; ; ;05;5;12;05;1033,77293163717
4206785;1;3;1;10;1;1;12;2014;1;4; ;2;1;6; ; ; ;2; ; ; ; ; ; ; ;05; ;12;05;1033,77293163717
4206786;1;1;1;10;2;1;11;1953;63;1;2;1; ; ;3; ; ;2;1;2; ;3;4; ; ;05;4;12;05;1246,43159059487
4206786;1;2;1;10;2;2;6;1979;37;3;6;1; ; ;3; ; ;1;1;2; ;5;11;2; ;05;11;12;05;1246,43159059487
4206787;1;1;1;10;1;1;11;1976;40;1;4;1; ; ;3; ; ;2;1;2; ;5;11;2; ;05;11;12;05;1202,57478452626
4206788;1;1;1;10;1;1;7;1972;44;1;2;1; ; ;1;1;32000;2;1;2; ;4;8; ; ;05;8;12;05;1244,98899587597
4206788;1;2;1;10;2;2;3;1975;41;2;2;1; ; ;3; ; ;2;1;2; ;4;7; ; ;05;7;12;05;1244,98899587597
4206788;1;3;1;10;1;2;5;2011;5;3; ;1; ; ;1;5; ;2;1;1;1;3;0; ; ;05;0;12;05;1244,98899587597
4206789;1;1;1;10;1;2;9;1979;37;1;6;1; ; ;1;1;98;2;1;2; ;6;5;4; ;05;16;12;05;936,845779772529
4206789;1;2;1;10;2;2;5;1943;73;5;5;1; ; ;1;5; ;2;1;2; ;5;10;1; ;05;10;12;05;936,845779772529
4206789;1;3;1;10;3;2;12;1964;51;5;6;1; ; ;1;1;27578;2;1;2; ;5;11;2; ;05;11;12;05;936,845779772529
4206789;1;4;1;10;4;1;3;1998;18;5;6;1; ; ;1;5; ;2;1;1;1;6;2;2;2;05;13;12;05;936,845779772529
4206790;1;1;1;10;1;1;5;1965;51;1;3;1; ; ;1;3;86181;2;1;2; ;6;1;3; ;05;12;12;05;1052,60962840226
4206790;1;2;1;10;2;2;5;1965;51;2;3;1; ; ;1;5; ;2;1;2; ;4;7; ; ;05;7;12;05;1052,60962840226
4206790;1;3;1;10;3;2;8;1986;30;3;6;1; ; ;1;1;40000;2;1;1;1;6;7;3; ;05;18;12;05;1052,60962840226
4206791;1;1;1;10;1;2;11;1975;41;1;4;1; ; ;1;1;27578;2;1;2; ;5;11;2; ;05;11;12;05;776,358345173172
4206791;1;2;1;10;1;1;4;1996;20;3;6;1; ; ;1;5; ;2;2;2; ;1;0; ; ;05;0;12;05;776,358345173172
4206791;1;3;1;10;3;1;11;1999;17;3;6;1; ; ;1;5; ;2;1;1;1;4;8; ; ;05;8;12;05;776,358345173172
4206791;1;4;1;10;4;2;1;1953;63;5;5;1; ; ;3; ; ;2;1;2; ;3;4; ; ;05;4;12;05;776,358345173172
4206791;1;5;1;10;5;2;12;1977;38;5;4;1; ; ;3; ; ;2;1;2; ;5;11;2; ;05;11;12;05;776,358345173172
4206791;1;6;1;10;6;1;9;1996;20;5;6;1; ; ;3; ; ;2;1;2; ;5;10;1; ;05;10;12;05;776,358345173172
4206791;1;7;1;10;7;1;4;1998;18;5;6;1; ; ;3; ; ;2;1;1;1;4;7; ; ;05;7;12;05;776,358345173172
4206791;1;8;1;10;8;1;3;2000;16;5;6;1; ; ;3; ; ;2;1;1;1;4;0; ; ;05;5;12;05;776,358345173172
4206791;1;9;1;10;9;1;1;1978;38;5;6;1; ; ;1;1;27578;2;2;2; ;1;0; ; ;05;0;12;05;776,358345173172
4206791;1;10;1;10;10;1;11;1991;25;9;6;1; ; ;1;1;30000;2;1;2; ;4;6; ; ;05;6;12;05;776,358345173172
4206792;1;1;1;10;1;2;1;1989;27;1;6;1; ; ;1;1;27700;2;1;2; ;6;1;3; ;05;12;12;05;1167,47949776694
4206792;1;2;1;10;1;1;4;2013;3;3; ;1; ; ;1;5; ;2;2;2; ;1;0; ; ;05;0;12;05;1167,47949776694
4206792;1;3;1;10;3;1;9;1985;31;5;4;1; ; ;1;1;27700;2;1;2; ;6;1;3; ;05;12;12;05;1167,47949776694
4206792;1;4;1;10;4;2;8;1997;19;5;4;2;1;3; ; ; ;2;1;2; ;5;11;2; ;05;11;12;05;1167,47949776694
4206792;1;5;1;10;4;1;7;2015;1;9; ;2;1;1; ; ; ;2; ; ; ; ; ; ; ;05; ;12;05;1167,47949776694
4206793;1;1;1;10;1;1;8;1977;39;1;2;1; ; ;1;1;45000;2;1;2; ;6;2;3; ;05;13;12;05;1322,84984306101
4206793;1;2;1;10;2;2;7;1983;33;2;2;1; ; ;1;5; ;2;1;2; ;6;2;3; ;05;13;12;05;1322,84984306101
4206793;1;3;1;10;3;2;11;2009;7;3; ;1; ; ;1;5; ;2;1;1;1;3;0; ; ;05;0;12;05;1322,84984306101
4206793;1;4;1;10;4;1;4;2011;5;3; ;1; ; ;1;5; ;2;2;1;1;2;0; ; ;05;0;12;05;1322,84984306101
4206794;1;1;1;10;1;1;9;1984;32;1;2;1; ; ;1;1;27478;2;1;2; ;3;5; ; ;05;5;12;05;1440,24663247272
4206794;1;2;1;10;2;2;2;1987;29;2;2;2;1;12; ; ; ;2;1;2; ;3;5; ; ;05;5;12;05;1440,24663247272
4206794;1;3;1;10;3;1;9;2005;11;3;6;2;1;12; ; ; ;2;1;1;1;3;2; ; ;05;2;12;05;1440,24663247272
4206794;1;4;1;10;4;2;4;2008;8;3; ;1; ; ;1;5; ;2;1;1;2;3;1; ; ;05;1;12;05;1440,24663247272
4206794;1;5;1;10;5;2;9;2009;7;3; ;1; ; ;1;5; ;2;1;1;1;3;0; ; ;05;0;12;05;1440,24663247272
4206795;1;1;1;10;1;2;9;1974;42;1;6;1; ; ;1;1;27500;2;1;2; ;5;11;2; ;05;11;12;05;967,290599859283
4206795;1;2;1;10;2;2;3;1995;21;3;6;1; ; ;1;1;27500;2;1;2; ;6;2;2;2;05;13;12;05;967,290599859283
4206795;1;3;1;10;2;2;11;2016;0;4; ;1; ; ;1;5; ;2; ; ; ; ; ; ; ;05; ;12;05;967,290599859283
4206795;1;4;1;10;4;2;12;1996;19;3;6;1; ; ;1;5; ;2;1;2; ;5;11;2; ;05;11;12;05;967,290599859283
4206795;1;5;1;10;5;1;12;2006;9;3; ;1; ; ;1;5; ;2;1;1;2;3;3; ; ;05;3;12;05;967,290599859283
4206795;1;6;1;10;6;1;11;1996;20;5;6;1; ; ;1;1;27500;2;1;2; ;4;7; ; ;05;7;12;05;967,290599859283
4206796;1;1;1;10;1;2;3;1978;38;1;4;1; ; ;3; ; ;2;1;2; ;3;4; ; ;05;4;12;05;1114,75855151085
4206796;1;2;1;10;2;2;10;2000;16;3;6;1; ; ;3; ; ;2;1;1;1;4;9; ; ;05;9;12;05;1114,75855151085
4206796;1;3;1;10;1;2;2;2013;3;3; ;1; ; ;3; ; ;2;2;2; ;1;0; ; ;05;0;12;05;1114,75855151085
4206796;1;4;1;10;4;2;11;1995;21;3;6;1; ; ;3; ; ;2;1;2; ;4;9; ; ;05;9;12;05;1114,75855151085
4206796;1;5;1;10;1;1;4;2014;2;4; ;1; ; ;3; ; ;2; ; ; ; ; ; ; ;05; ;12;05;1114,75855151085
4206796;1;6;1;10;6;2;4;1997;19;3;6;1; ; ;3; ; ;2;1;2; ;4;6; ; ;05;6;12;05;1114,75855151085
4206796;1;7;1;10;1;2;1;2012;4;4; ;1; ; ;3; ; ;2;2;2; ;1;0; ; ;05;0;12;05;1114,75855151085
4206796;1;8;1;10;1;1;11;2016;0;4; ;2;2; ; ; ; ;2; ; ; ; ; ; ; ;05; ;12;05;1114,75855151085
4206797;1;1;1;10;1;2;5;1965;51;1;5;1; ; ;3; ; ;2;1;2; ;4;8; ; ;05;8;12;05;887,867366329924
4206797;1;2;1;10;2;1;2;1992;24;3;6;1; ; ;1;1;28000;2;1;2; ;5;11;2; ;05;11;12;05;887,867366329924
4206797;1;3;1;10;3;2;6;2003;13;3;6;1; ; ;3; ; ;2;1;1;1;4;6; ; ;05;6;12;05;887,867366329924
4206798;1;1;1;10;1;2;8;1957;59;1;4;1; ; ;1;5; ;2;1;2; ;3;3; ; ;05;3;12;05;1018,76621777431
4206798;1;2;1;10;2;1;11;1994;22;3;6;1; ; ;1;1;27478;2;1;2; ;5;11;2; ;05;11;12;05;1018,76621777431
4206798;1;3;1;10;3;1;10;1992;24;3;6;1; ; ;3; ; ;2;1;1;2;6;1;2;2;05;12;12;05;1018,76621777431
4206799;1;1;1;10;1;1;7;1983;33;1;2;1; ; ;1;1;51560;2;1;2; ;6;4;3; ;05;15;12;05;1244,98899587597
4206799;1;2;1;10;2;2;10;1983;33;2;2;1; ; ;1;5; ;2;1;2; ;6;2;3; ;05;13;12;05;1244,98899587597
4206799;1;3;1;10;3;2;12;2010;6;3; ;1; ; ;1;5; ;2;1;1;1;2;0; ; ;05;0;12;05;1244,98899587597
4206800;1;1;1;10;1;2;11;1956;60;1;5;1; ; ;3; ; ;2;1;2; ;3;5; ; ;05;5;12;05;1325,27107997599
4206800;1;2;1;10;2;1;12;1984;32;3;6;1; ; ;1;1;28000;2;1;2; ;3;5; ; ;05;5;12;05;1325,27107997599
4206800;1;3;1;10;3;1;7;1987;29;3;6;1; ; ;3; ; ;2;1;2; ;4;6; ; ;05;6;12;05;1325,27107997599
4206800;1;4;1;10;4;2;6;1989;27;3;6;1; ; ;1;1;48889;1;1;2; ;5;11;2; ;05;11;12;05;1325,27107997599
4206800;1;5;1;10;1;1;6;2012;4;4; ;1; ; ;1;5; ;2;2;1;2;2;0; ; ;05;0;12;05;1325,27107997599
4206800;1;6;1;10;6;1;8;1991;25;3;6;1; ; ;3; ; ;2;1;2; ;4;9; ; ;05;9;12;05;1325,27107997599
4206801;1;1;1;10;1;1;4;1984;32;1;2;1; ; ;1;3;87000;2;1;2; ;5;11;2; ;05;11;12;05;1322,84984306101
4206801;1;2;1;10;2;2;3;1988;28;2;2;1; ; ;3; ; ;2;1;2; ;5;11;2; ;05;11;12;05;1322,84984306101
4206801;1;3;1;10;3;2;6;2007;9;3; ;1; ; ;3; ; ;2;1;1;2;3;2; ; ;05;2;12;05;1322,84984306101
4206801;1;4;1;10;2;1;2;2015;1;3; ;1; ; ;3; ; ;2; ; ; ; ; ; ; ;05; ;12;05;1322,84984306101
4206802;1;1;1;10;1;1;4;1933;83;1;3;1; ; ;1;2;94000;2;1;2; ;3;5; ; ;05;5;12;05;1138,7237759647
4206802;1;2;1;10;2;2;8;1939;77;2;3;1; ; ;1;5; ;2;1;2; ;4;6; ; ;05;6;12;05;1138,7237759647
4206802;1;3;1;10;3;2;11;1966;50;3;5;1; ; ;1;2;86000;2;1;2; ;6;1;2;2;05;12;12;05;1138,7237759647
4206802;1;4;1;10;4;2;5;2003;13;4;6;1; ; ;1;5; ;2;1;1;1;4;7; ; ;05;7;12;05;1138,7237759647
4206803;1;1;1;10;1;1;5;1961;55;1;3;1; ; ;2;1;132000;2;1;2; ;6;5;4; ;05;16;12;05;1055,61460946549
4206803;1;2;1;10;2;2;7;1965;51;2;3;1; ; ;2;1;98;2;1;2; ;6;5;4; ;05;16;12;05;1055,61460946549
4206803;1;3;1;10;3;2;3;1988;28;3;6;1; ; ;1;3;120000;2;1;2; ;6;2;3; ;05;13;12;05;1055,61460946549
4206803;1;4;1;10;4;2;10;1996;20;3;6;1; ; ;1;5; ;2;1;1;2;6;3;2;2;05;14;12;05;1055,61460946549
4206804;1;1;1;10;1;2;4;1984;32;1;2;1; ; ;3; ; ;2;1;2; ;6;2;3; ;05;13;12;05;1149,60733470456
4206804;1;2;1;10;2;1;12;2005;10;3;6;1; ; ;1;5; ;2;1;1;1;3;4; ; ;05;4;12;05;1149,60733470456
4206805;1;1;1;10;1;2;8;1979;37;1;4;1; ; ;3; ; ;2;1;1;1;4;7; ; ;05;7;12;05;965,728213514959
4206805;1;2;1;10;2;2;2;1994;22;3;6;1; ; ;1;1;46000;2;1;1;2;6;2;2;2;05;13;12;05;965,728213514959
4206805;1;3;1;10;3;1;11;1999;17;3;6;1; ; ;3; ; ;2;1;2; ;4;6; ; ;05;6;12;05;965,728213514959
4206805;1;4;1;10;4;1;12;2008;7;3; ;1; ; ;3; ; ;2;1;1;1;3;1; ; ;05;1;12;05;965,728213514959
4206806;1;1;1;10;1;1;6;1988;28;1;1;1; ; ;2;1;60000;2;1;2; ;6;2;3; ;05;13;12;05;1127,59220646426
4206806;1;2;1;10;2;2;10;1982;34;2;1;1; ; ;1;3;160900;2;1;1;2;6;6;4; ;05;17;12;05;1127,59220646426
4206807;1;1;1;10;1;1;3;1968;48;1;3;1; ; ;1;3;86000;2;1;2; ;5;11;2; ;05;11;12;05;991,502770219842
4206807;1;2;1;10;2;2;8;1979;37;2;3;1; ; ;1;5; ;2;1;2; ;5;11;2; ;05;11;12;05;991,502770219842
4206807;1;3;1;10;3;1;10;2000;16;3;6;1; ; ;1;5; ;2;1;1;1;4;9; ; ;05;9;12;05;991,502770219842
4206807;1;4;1;10;4;1;12;2002;14;3;6;1; ; ;1;5; ;2;1;1;1;4;7; ; ;05;7;12;05;991,502770219842
4206808;1;1;1;10;1;1;7;1985;31;1;3;1; ; ;1;1;100000;2;1;1;2;6;4;3; ;05;15;12;05;1244,98899587597
4206808;1;2;1;10;2;2;10;1986;30;2;3;1; ; ;1;5; ;2;1;1;2;6;0;2;2;05;11;12;05;1244,98899587597
4206808;1;3;1;10;3;2;10;2009;7;3; ;1; ; ;1;5; ;2;1;1;2;3;0; ; ;05;0;12;05;1244,98899587597
4206809;1;1;1;10;1;1;12;1965;51;1;2;1; ; ;1;1;32000;2;1;2; ;3;5; ; ;05;5;12;05;999,558804219406
4206809;1;2;1;10;2;2;8;1965;51;2;2;1; ; ;1;5; ;2;1;2; ;4;9; ; ;05;9;12;05;999,558804219406
4206809;1;3;1;10;3;1;9;1991;25;3;6;1; ; ;1;1;32000;2;1;2; ;5;11;2; ;05;11;12;05;999,558804219406
4206809;1;4;1;10;4;2;11;1994;22;3;6;1; ; ;1;1;36000;2;1;2; ;5;11;2; ;05;11;12;05;999,558804219406
4206809;1;5;1;10;5;1;10;2003;13;3;6;1; ; ;1;5; ;2;1;1;1;3;4; ; ;05;4;12;05;999,558804219406
4206810;1;1;1;10;1;2;7;1949;67;1;6;1; ; ;3; ; ;2;1;2; ;4;7; ; ;05;7;12;05;1154,85565401873
4206811;1;1;1;10;1;1;10;1956;60;1;4;1; ; ;1;1;42000;2;1;2; ;6;4;2;2;05;15;12;05;1324,29243777991
4206811;1;2;1;10;2;2;7;1988;28;9;6;1; ; ;1;3;86300;2;1;2; ;6;3;2;2;05;14;12;05;1324,29243777991
4206811;1;3;1;10;3;1;3;2009;7;9; ;1; ; ;1;5; ;2;1;1;1;3;0; ; ;05;0;12;05;1324,29243777991
4206812;1;1;1;10;1;2;9;1991;25;1;6;1; ; ;1;5; ;2;1;1;2;6;2;2;1;05;13;12;05;1127,59220646426
4206812;1;2;1;10;2;1;12;1989;26;5;6;2;1;6; ; ; ;2;1;1;2;6;3;2;2;05;14;12;05;1127,59220646426
4206813;1;1;1;10;1;2;8;1992;24;1;6;1; ; ;1;1;60000;2;1;1;1;6;4;3; ;05;15;12;05;1030,89466251413
4206814;1;1;1;10;1;1;4;1950;66;1;6;1; ; ;1;2;82734;2;1;2; ;3;5; ; ;05;5;12;05;1329,54075709408
4206814;1;2;1;10;2;2;9;1948;68;5;6;1; ; ;1;5; ;2;1;2; ;4;6; ; ;05;6;12;05;1329,54075709408
4206815;1;1;1;10;1;1;10;1967;49;1;3;1; ; ;1;4; ;2;1;2; ;3;5; ; ;05;5;12;05;1193,25405447183
4206815;1;2;1;10;2;2;10;1971;45;2;3;1; ; ;1;5; ;2;1;2; ;3;5; ; ;05;5;12;05;1193,25405447183
4206815;1;3;1;10;3;1;11;1991;25;3;6;1; ; ;1;1;32000;2;1;1;1;6;3;3; ;05;14;12;05;1193,25405447183
4206815;1;4;1;10;4;1;7;1997;19;3;6;2;1;1; ; ; ;2;1;2; ;5;11;2; ;05;11;12;05;1193,25405447183
4206815;1;5;1;10;5;1;11;2007;9;3; ;1; ; ;1;5; ;2;1;1;1;3;1; ; ;05;1;12;05;1193,25405447183
4206816;1;1;1;10;2;1;12;1958;58;1;3;1; ; ;2;2;98;2;1;2; ;6;5;4; ;05;16;12;05;1152,31215341562
4206816;1;2;1;10;2;2;4;1964;52;2;3;1; ; ;1;5; ;2;1;2; ;3;5; ; ;05;5;12;05;1152,31215341562
4206816;1;3;1;10;3;2;12;1984;31;3;6;1; ; ;1;1;48000;2;1;2; ;6;5;4; ;05;16;12;05;1152,31215341562
4206816;1;4;1;10;4;1;6;1986;30;3;6;2;1;24; ; ; ;2;1;2; ;5;11;2; ;05;11;12;05;1152,31215341562
4206816;1;5;1;10;5;2;9;1990;26;3;6;1; ; ;1;1;98000;2;1;2; ;6;5;4; ;05;16;12;05;1152,31215341562
4206817;1;1;1;10;1;1;2;1960;56;1;3;1; ; ;1;5; ;2;1;2; ;3;5; ; ;05;5;12;05;1407,40160427912
4206817;1;2;1;10;2;2;8;1961;55;2;3;1; ; ;1;5; ;2;1;2; ;3;4; ; ;05;4;12;05;1407,40160427912
4206817;1;3;1;10;3;1;11;2010;6;4; ;1; ; ;3; ; ;2;2;1;1;2;0; ; ;05;0;12;05;1407,40160427912
4206818;1;1;1;10;1;1;12;1967;49;1;2;1; ; ;1;1;27578;2;1;2; ;4;8; ; ;05;8;12;05;943,713085274665
4206818;1;2;1;10;2;2;12;1973;42;2;2;1; ; ;1;1;34800;2;1;2; ;5;11;2; ;05;11;12;05;943,713085274665
4206818;1;3;1;10;3;2;3;1996;20;3;6;1; ; ;1;5; ;2;1;1;2;6;0;2;2;05;11;12;05;943,713085274665
4206818;1;4;1;10;4;1;10;2001;15;3;6;1; ; ;1;5; ;2;1;1;2;4;0; ; ;05;5;12;05;943,713085274665
4206819;1;1;1;10;1;2;10;1957;59;1;6;1; ; ;1;2;82000;2;1;2; ;5;11;2; ;05;11;12;05;1154,85565401873
4206820;1;1;1;10;1;2;11;1992;24;1;4;1; ; ;1;1;27560;2;1;1;1;6;3;3; ;05;14;12;05;1030,89466251413
4206821;1;1;1;10;1;2;7;1962;54;1;5;1; ; ;1;2;108000;2;1;2; ;4;9; ; ;05;9;12;05;996,763909457524
