DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S8;P7420S7A1;P7422;P7422S1;P9460;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;MES;DPTO;AREA;fex_c_2011
2574394;1;4;1;70;1;2;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;1; ;12;66;66;697,180196553371
2574395;1;4;1;70;1;3;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;1; ;12;66;66;760,495386804876
2574397;1;1;1;70;1;12;48;1; ;2;12;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;95;45;1;1;4521;12;66;66;675,312646275299
2574397;1;2;1;70;1;24;48;1; ;2;156;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;74;1;2;7493;12;66;66;675,312646275299
2574397;1;3;1;70;1;2;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;1; ;12;66;66;675,312646275299
2574400;1;2;1;70;1;12;48;1; ;2;4;4; ;1;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;98;51;55;1;1;5530;12;66;66;242,737573985663
2574401;1;4;1;70;1;98;40;1; ;2;208;1; ;4;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;95;45;1;2;4521;12;66;66;255,860625483819
2574402;1;3;1;70;1;2;48;1; ;2;2;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;1;720000;2;38;87;28;1;1;2811;12;66;66;275,436360462973
2574402;1;4;1;70;1;8;48;1; ;2;8;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;53;55;1;1;5521;12;66;66;275,436360462973
2574406;1;2;1;70;1;2;40;1; ;2;2;1; ;6;1; ; ;1; ; ; ; ; ; ; ; ;1;1010000;2;13;13;80;1;1;8043;12;66;66;138,707185134665
2574409;1;3;1;70;1;20;48;1; ;2;72;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;05;45;50;1;2;5051;12;66;66;247,665399630734
2574412;1;3;1;70;1;20;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;2; ;12;66;66;234,382580612871
2574423;1;1;1;70;1;12;48;3; ;2;12;3; ;1;5; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;95;1;1;9500;12;66;66;202,92205530822
2574423;1;2;1;70;1;104;24;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;2; ;12;66;66;202,92205530822
2574423;1;3;1;70;1;72;24;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;16; ; ;1;2; ;12;66;66;202,92205530822
2574424;1;1;1;70;1;24;40;4; ;2;52;4; ;1;1; ; ; ; ; ; ; ; ;1; ;DE LA PENSION;2; ;2;98;98;60;1;2;6031;12;66;66;272,566772951019
2574426;1;3;1;70;1;4;54;1; ;2;26;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;95;45;1;1;4521;12;66;66;227,071425677506
2574439;1;3;1;70;1;52;40;1; ;2;52;1; ;7;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;09;44;66;1;2;6601;12;15;15;75,9612693556353
2574440;1;5;1;70;1;24;40;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;58; ; ;1;2; ;12;15;15;104,957546175508
2574443;1;2;1;70;1;8;40;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;02; ; ;1;1; ;12;15;15;62,8089848375996
2574443;1;3;1;70;1;4;40;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;1; ;12;15;15;62,8089848375996
2574465;1;2;1;70;1;8;48;1; ;2;8;1; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;58;58;65;1;1;6512;12;15;15;114,716634966947
2574466;1;2;1;70;1;20;48;1; ;2;48;1; ;7;1; ; ; ; ; ; ; ;1; ; ; ;2; ;2;32;32;52;1;2;5241;12;15;15;76,519580978135
