Directorio;Secuencia_p;Orden;Hogar;Regis;Area;P7430;P7440;P7450;P7450s1;P7460;P7470;P7472;P7472s1;P7454;P7456;P7458s1;P7458;P7452;Ini;Mes;Dpto;Fex_c_2011
2925172;1;2;1;80;52;2; ; ; ;2; ;2; ;2; ;.; ; ;1;04;52;207,901329676894
2925172;1;3;1;80;52;1;2;8; ;2; ;2; ; ;1;ESTA EN EMBARAZO;12;1;1;04;52;207,901329676894
2925172;1;4;1;80;52;2; ; ; ;2; ;2; ;2; ;.; ; ;1;04;52;207,901329676894
2925173;1;3;1;80;52;2; ; ; ;2; ;2; ;2; ;.; ; ;1;04;52;198,957329099051
2925175;1;1;1;80;52;1;4;5; ;3; ;2; ; ; ; ;9;2;1;04;52;133,129543513514
2925177;1;2;1;80;52;1;4;3; ;2; ;2; ; ; ; ;9;2;1;04;52;170,922412598644
2925178;1;1;1;80;52;1;2;3; ;2; ;2; ; ; ; ;9;2;1;04;52;198,923364730469
2925178;1;2;1;80;52;2; ; ; ;2; ;2; ;2; ;.; ; ;1;04;52;198,923364730469
2925181;1;2;1;80;52;1;1;2; ;2; ;2; ; ; ; ;2;2;1;04;52;163,93051417874
2925184;1;5;1;80;52;2; ; ; ;2; ;2; ;2; ;.; ; ;1;04;52;204,24097487738
2925185;1;1;1;80;05;1;4;3; ;2; ;2; ; ; ; ;9;2;1;04;05;1073,01850845131
2925186;1;1;1;80;05;1;1;1; ;2; ;1;140000; ; ; ;9;2;1;04;05;957,423374874251
2925186;1;2;1;80;05;1;1;1; ;2; ;2; ; ;1; ;5;1;1;04;05;957,423374874251
2925187;1;2;1;80;05;1;3;7; ;2; ;2; ; ;2; ;9;1;1;04;05;312,615522995323
2925187;1;4;1;80;05;1;4;9;EDAD;2; ;2; ; ; ; ;8;2;1;04;05;312,615522995323
2925188;1;2;1;80;05;1;1;2; ;2; ;2; ; ; ; ;2;2;1;04;05;865,177022496225
2925190;1;3;1;80;05;1;4;7; ;2; ;2; ; ;3; ;2;1;1;04;05;1161,54435263972
2925190;1;4;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;04;05;1161,54435263972
2925191;1;2;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;04;05;975,507821480571
2925191;1;3;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;04;05;975,507821480571
2925191;1;4;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;04;05;975,507821480571
2925192;1;2;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;04;05;1314,4014207248
2925194;1;3;1;80;05;1;1;3; ;2; ;2; ; ; ; ;9;2;1;04;05;1182,67183596918
