Directorio;Area;Secuencia_p;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090s1;P5100;P5110;P5130;P5140;P5210s1;P5210s2;P5210s3;P5210s4;P5210s5;P5210s6;P5210s7;P5210s8;P5210s9;P5210s10;P5210s11;P5210s14;P5210s15;P5210s16;P5210s17;P5210s18;P5210s19;P5210s20;P5210s21;P5210s22;P5210s24;Hogar;P4000;P4010;P4020;P4030s1;P4030s2;P4030s3;P4030s4;P4030s5;P4030s1a1;P4030s4a1;P4040;Regis;Dpto;Orden;Fex_c_2011
345219;05;2;6;4;1;1;1;1;1;3;1; ; ;120000000;800000; ;1;2;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;1;1;1;4;1;1;1;1;1;4;2;1;01;05;1;1260,75951114656
345220;05;2;5;3;1;1;1;1;1;3;2; ;700000;120000000;700000; ;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;1;2;2;2;1;1;1;4;1;1;1;1;1;4;2;1;01;05;1;1180,44718624027
345221;05;2;4;1;1;1;1;1;2;1;1; ; ;60000000;600000; ;1;2;2;1;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;1;2;1;2;1;4;1;1;1;1;1;4;2;1;01;05;1;835,440372650066
345224;05;2;7;3;1;1;1;1;1;1;1; ; ;180000000;700000; ;1;1;2;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;1;1;1;1;1;4;1;2;1;1;1;4;2;1;01;05;1;729,327988517607
345225;05;2;4;3;1;1;1;1;1;3;1; ; ;220000000;1000000; ;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;1;1;1;1;1;2;1;5;1;1;1;1;1;6;2;1;01;05;1;2710,99878688558
345226;05;2;6;3;1;1;1;1;1;4;4; ; ; ;600000; ;1;2;2;1;1;1;1;1;2;1;1;1;2;1;1;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;4;2;1;01;05;1;753,642618249301
345229;05;2;4;2;1;1;1;1;1;4;1; ; ;300000000;1800000; ;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;1;2;2;1;2;1;4;1;2;1;1;1;4;2;1;01;05;1;874,783043653897
345230;05;2;5;4;1;1;1;1;1;3;2; ;700000;296000000;1200000; ;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;1;1;2;1;2;1;4;1;1;1;1;1;6;2;1;01;05;1;3587,7893750755
345231;05;2;5;4;1;1;1;1;1;3;3; ; ; ; ;1500000;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;1;1;1;1;2;1;4;1;1;1;1;1;6;2;1;01;05;1;3234,92291770078
345232;05;2;5;4;1;1;1;1;1;4;1; ; ;150000000;800000; ;1;1;1;1;1;1;1;2;2;1;1;1;1;1;2;2;1;1;2;1;2;1;1;1;4;1;2;1;1;1;4;2;1;01;05;1;1483,49273270757
345233;05;2;4;1;1;1;1;1;1;3;1; ; ;130000000;900000; ;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;2;1;2;1;1;1;4;1;1;1;1;1;4;2;1;01;05;1;1288,59748963293
