Directorio;Secuencia_p;Orden;Hogar;Regis;Clase;P7430;P7440;P7450;P7450s1;P7452;P7454;P7456;P7458;P7458s1;P7460;P7470;P7472;P7472s1;Ini;Mes;Dpto;Fex_c_2011;Area
4048896;1;5;1;80;1;1;4;3; ;2; ; ;9; ;2; ;2; ;1;05;05;831,790308043841;05
4048897;1;3;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;05;05;1040,0095972904;05
4048898;1;1;1;80;1;1;3;5; ;2; ; ;10; ;3; ;2; ;1;05;05;1034,68645931627;05
4048898;1;2;1;80;1;1;4;3; ;2; ; ;9; ;2; ;2; ;1;05;05;1034,68645931627;05
4048898;1;3;1;80;1;1;1;2; ;2; ; ;2; ;2; ;2; ;1;05;05;1034,68645931627;05
4048899;1;4;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;05;05;1089,21407888721;05
4048902;1;2;1;80;1;1;4;3; ;2; ; ;9; ;2; ;2; ;1;05;05;1165,45320135971;05
4048903;1;2;1;80;1;1;4;4; ;2; ; ;4; ;2; ;2; ;1;05;05;1521,39734493146;05
4048907;1;2;1;80;1;1;4;8; ;2; ; ;9; ;2; ;2; ;1;05;05;1318,40914806749;05
4048912;1;2;1;80;1;1;3;3; ;2; ; ;9; ;2; ;2; ;1;05;05;1237,72865555146;05
4048913;1;3;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;05;05;1170,15301666916;05
4048915;1;2;1;80;1;1;1;3; ;2; ; ;9; ;2; ;1;15000;1;05;05;1170,20701604037;05
4048918;1;2;1;80;1;1;2;8; ;1; ;1;2; ;2; ;2; ;1;05;05;946,03304940557;05
4048918;1;3;1;80;1;2; ; ; ; ;1;1;2; ;2; ;2; ;1;05;05;946,03304940557;05
4048919;1;2;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;05;05;838,090495190069;05
4048921;1;2;1;80;1;1;3;3; ;2; ; ;9; ;2; ;2; ;1;05;05;1170,20701604037;05
4048923;1;4;1;80;1;2; ; ; ; ;2; ; ;.; ; ;2; ;1;05;05;1047,8161150107;05
4048928;1;1;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;05;05;786,180215768276;05
4048932;1;1;1;80;1;1;4;5; ;2; ; ;10; ;3; ;2; ;1;05;05;1238,15193388217;05
4048932;1;2;1;80;1;1;4;7; ;2; ; ;9; ;2; ;2; ;1;05;05;1238,15193388217;05
4048937;1;1;1;80;1;1;1;8; ;1; ;1;2; ;2; ;2; ;1;05;05;973,611051914168;05
4048940;1;3;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;05;05;967,110820433978;05
4048940;1;4;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;05;05;967,110820433978;05
4048941;1;3;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;05;05;967,164819805187;05
4048942;1;2;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;05;05;967,164819805187;05
4048942;1;3;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;05;05;967,164819805187;05
4048943;1;1;1;80;1;1;1;4; ;2; ; ;4; ;3; ;1;270000;1;05;05;1123,38435846754;05
4048947;1;1;1;80;1;1;4;5; ;2; ; ;10; ;3; ;2; ;1;05;05;1095,75235658774;05
4048947;1;2;1;80;1;1;4;5; ;2; ; ;10; ;3; ;2; ;1;05;05;1095,75235658774;05
4048947;1;4;1;80;1;2; ; ; ; ;1;1;2; ;2; ;2; ;1;05;05;1095,75235658774;05
4048948;1;1;1;80;1;1;4;5; ;2; ; ;10; ;3; ;2; ;1;05;05;967,110820433978;05
4048948;1;2;1;80;1;1;3;3; ;2; ; ;9; ;2; ;2; ;1;05;05;967,110820433978;05
4048948;1;4;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;05;05;967,110820433978;05
4048949;1;3;1;80;1;2; ; ; ; ;2; ; ;.; ; ;2; ;1;05;05;1034,68645931627;05
4048950;1;2;1;80;1;1;3;2; ;1; ;2;2; ;2; ;2; ;1;05;05;1032,98453175731;05
4048951;1;1;1;80;1;1;4;5; ;2; ; ;10; ;3; ;2; ;1;05;05;1165,45320135971;05
4048951;1;2;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;05;05;1165,45320135971;05
4048952;1;2;1;80;1;1;2;7; ;2; ; ;8; ;2; ;2; ;1;05;05;1121,78398663076;05
4048952;1;5;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;05;05;1121,78398663076;05
4048953;1;1;1;80;1;1;3;5; ;2; ; ;10; ;3; ;2; ;1;05;05;1001,48114434827;05
4048954;1;2;1;80;1;1;1;8; ;1; ;1;9; ;2; ;2; ;1;05;05;1534,13291960569;05
4048956;1;1;1;80;1;1;3;5; ;2; ; ;10; ;3; ;2; ;1;05;05;1163,85282952293;05
4048956;1;2;1;80;1;1;4;3; ;2; ; ;9; ;2; ;2; ;1;05;05;1163,85282952293;05
4048956;1;6;1;80;1;1;1;2; ;2; ; ;2; ;2; ;2; ;1;05;05;1163,85282952293;05
4048957;1;3;1;80;1;2; ; ; ; ;1;1;2; ;2; ;2; ;1;05;05;967,110820433978;05
4048957;1;4;1;80;1;1;3;2; ;1; ;1;2; ;2; ;2; ;1;05;05;967,110820433978;05
4048958;1;1;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;05;05;838,090495190069;05
4048958;1;2;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;05;05;838,090495190069;05
4048960;1;2;1;80;1;1;4;3; ;2; ; ;9; ;2; ;2; ;1;05;05;1114,75892109767;05
4048960;1;4;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;05;05;1114,75892109767;05
4048962;1;1;1;80;1;1;4;4; ;2; ; ;4; ;2; ;2; ;1;05;05;1001,48114434827;05
4048963;1;1;1;80;1;1;4;5; ;2; ; ;11; ;3; ;2; ;1;05;05;1001,48114434827;05
4048966;1;2;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;05;05;1040,0095972904;05
4048966;1;3;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;05;05;1040,0095972904;05
4048969;1;3;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;05;05;1067,93626352484;05
4048970;1;1;1;80;1;1;4;5; ;2; ; ;10; ;3; ;2; ;1;05;05;859,660400477943;05
4048970;1;4;1;80;1;2; ; ; ; ;2; ; ;.; ; ;2; ;1;05;05;859,660400477943;05
4048970;1;5;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;05;05;859,660400477943;05
4048972;1;1;1;80;1;1;3;4; ;2; ; ;4; ;2; ;2; ;1;05;05;1328,43424040769;05
4048972;1;7;1;80;1;1;3;3; ;2; ; ;9; ;2; ;2; ;1;05;05;1328,43424040769;05
4048974;1;3;1;80;1;1;1;2; ;2; ; ;2; ;2; ;2; ;1;05;05;1047,23728158659;05
4048974;1;4;1;80;1;1;1;2; ;2; ; ;2; ;2; ;2; ;1;05;05;1047,23728158659;05
4048976;1;1;1;80;1;1;4;9;POR LA EDAD;2; ; ;8; ;2; ;2; ;1;05;05;1408,5702230026;05
4048977;1;1;1;80;1;1;4;5; ;2; ; ;10; ;3; ;2; ;1;05;05;1165,45320135971;05
4048977;1;2;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;05;05;1165,45320135971;05
4048981;1;1;1;80;1;1;4;3; ;2; ; ;9; ;2; ;2; ;1;05;05;1060,98537722412;05
4048983;1;1;1;80;1;1;4;3; ;2; ; ;9; ;1;4;2; ;1;05;05;1290,68510059614;05
4048983;1;3;1;80;1;2; ; ; ; ;2; ; ;.; ; ;2; ;1;05;05;1290,68510059614;05
4048986;1;2;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;05;05;1020,43370948699;05
4048991;1;1;1;80;1;1;4;5; ;2; ; ;10; ;3; ;2; ;1;05;05;967,256865396731;05
4048991;1;2;1;80;1;1;1;9;TRABAJA UNA VEZ AL MES;2; ; ;12;TRABAJA UNA VEZ AL MES;2; ;1;400000;1;05;05;967,256865396731;05
4048992;1;1;1;80;1;1;4;5; ;2; ; ;10; ;3; ;2; ;1;05;05;1001,48114434827;05
4048993;1;1;1;80;1;1;4;3; ;2; ; ;8; ;2; ;2; ;1;05;05;994,98091286808;05
4048993;1;2;1;80;1;1;4;3; ;2; ; ;9; ;2; ;2; ;1;05;05;994,98091286808;05
4048993;1;4;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;05;05;994,98091286808;05
4048996;1;3;1;80;1;2; ; ; ; ;2; ; ;.; ; ;2; ;1;05;05;967,310864767939;05
4048999;1;1;1;80;1;1;4;5; ;2; ; ;10; ;3; ;2; ;1;05;05;1029,98664400682;05
4049003;1;1;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;05;05;1015,67989480634;05
4049003;1;2;1;80;1;1;4;5; ;2; ; ;10; ;3; ;2; ;1;05;05;1015,67989480634;05
4049003;1;3;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;05;05;1015,67989480634;05
4049004;1;1;1;80;1;1;4;5; ;2; ; ;10; ;3; ;2; ;1;05;05;893,830680058273;05
4049004;1;2;1;80;1;1;4;5; ;2; ; ;10; ;3; ;2; ;1;05;05;893,830680058273;05
4049010;1;1;1;80;1;1;4;5; ;2; ; ;10; ;3; ;2; ;1;05;05;1001,48114434827;05
4049012;1;2;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;05;05;1060,70857922866;05
4049014;1;1;1;80;1;1;4;5; ;2; ; ;10; ;3; ;2; ;1;05;05;893,830680058273;05
4049014;1;2;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;05;05;893,830680058273;05
4049019;1;2;1;80;1;1;3;4; ;2; ; ;4; ;2; ;2; ;1;05;05;1151,20045153044;05
4049022;1;1;1;80;1;1;3;4; ;2; ; ;9; ;2; ;2; ;1;05;05;1445,43502045442;05
4049022;1;6;1;80;1;2; ; ; ; ;2; ; ;.; ; ;2; ;1;05;05;1445,43502045442;05
4049022;1;7;1;80;1;1;1;8; ;2; ; ;4; ;2; ;2; ;1;05;05;1445,43502045442;05
4049023;1;1;1;80;1;1;4;5; ;2; ; ;10; ;3; ;2; ;1;05;05;1165,45320135971;05
4049023;1;2;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;05;05;1165,45320135971;05
4049024;1;2;1;80;1;1;1;3; ;2; ; ;9; ;2; ;2; ;1;05;05;1236,1574810252;05
4049025;1;1;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;05;05;980,782162410011;05
4049028;1;1;1;80;1;1;4;4; ;2; ; ;4; ;2; ;2; ;1;05;05;1492,73495572918;05
4049028;1;4;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;05;05;1492,73495572918;05
4049029;1;1;1;80;1;1;4;4; ;2; ; ;8; ;2; ;2; ;1;05;05;1179,70595118899;05
4049029;1;2;1;80;1;1;4;3; ;2; ; ;4; ;2; ;2; ;1;05;05;1179,70595118899;05
4049032;1;1;1;80;1;1;4;5; ;2; ; ;4; ;3; ;2; ;1;05;05;1001,48114434827;05
4049034;1;3;1;80;1;2; ; ; ; ;2; ; ;.; ; ;2; ;1;05;05;1318,35514869628;05
4049039;1;3;1;80;1;1;2;1; ;2; ; ;11; ;2; ;2; ;1;05;05;1074,96132905794;05
4049040;1;2;1;80;1;1;4;7; ;2; ; ;9; ;2; ;2; ;1;05;05;1029,93264463562;05
4049040;1;4;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;05;05;1029,93264463562;05
4049045;1;2;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;05;05;1385,93078757857;05
4049048;1;3;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;05;05;1074,96132905794;05
4049050;1;1;1;80;1;1;4;3; ;2; ; ;9; ;2; ;2; ;1;05;05;831,644263081089;05
4049050;1;3;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;05;05;831,644263081089;05
4049050;1;4;1;80;1;2; ; ; ; ;2; ; ;.; ; ;2; ;1;05;05;831,644263081089;05
4049052;1;3;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;05;05;1155,16454387204;05
4049052;1;5;1;80;1;2; ; ; ; ;2; ; ;.; ; ;2; ;1;05;05;1155,16454387204;05
4049053;1;4;1;80;1;1;2;8; ;2; ; ;8; ;2; ;2; ;1;05;05;1089,21407888721;05
4049054;1;1;1;80;1;1;4;5; ;2; ; ;10; ;3; ;2; ;1;05;05;1179,70595118899;05
4049054;1;2;1;80;1;1;4;3; ;2; ; ;9; ;2; ;2; ;1;05;05;1179,70595118899;05
4049055;1;2;1;80;1;1;4;3; ;2; ; ;9; ;2; ;2; ;1;05;05;1142,48296856902;05
4049055;1;3;1;80;1;2; ; ; ; ;2; ; ;.; ; ;2; ;1;05;05;1142,48296856902;05
4049056;1;1;1;80;1;1;4;5; ;2; ; ;10; ;3; ;2; ;1;05;05;1238,15193388217;05
4049056;1;2;1;80;1;1;3;4; ;2; ; ;4; ;2; ;2; ;1;05;05;1238,15193388217;05
4049057;1;2;1;80;1;1;4;5; ;2; ; ;10; ;3; ;2; ;1;05;05;1151,20045153044;05
4049058;1;1;1;80;1;1;1;4; ;2; ; ;4; ;2; ;2; ;1;05;05;980,782162410011;05
4049060;1;1;1;80;1;1;4;3; ;2; ; ;8; ;2; ;2; ;1;05;05;1015,73389417755;05
4049060;1;2;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;05;05;1015,73389417755;05
4049061;1;2;1;80;1;1;4;1; ;1; ;1;5; ;2; ;2; ;1;05;05;899,165902592174;05
4049061;1;4;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;05;05;899,165902592174;05
4049062;2;1;2;80;1;1;4;3; ;2; ; ;9; ;2; ;2; ;1;05;05;1037,10375513146;05
4049064;1;2;1;80;1;1;2;8; ;2; ; ;6; ;2; ;2; ;1;05;05;1170,20701604037;05
4049066;1;3;1;80;1;2; ; ; ; ;2; ; ;.; ; ;2; ;1;05;05;1074,96132905794;05
4049070;1;1;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;05;05;1015,73389417755;05
4049073;1;1;1;80;1;1;4;3; ;2; ; ;8; ;2; ;2; ;1;05;05;1043,54998724044;05
4049073;1;2;1;80;1;1;4;5; ;2; ; ;11; ;3; ;2; ;1;05;05;1043,54998724044;05
4049074;1;1;1;80;1;1;4;7; ;2; ; ;8; ;2; ;2; ;1;05;05;1252,40468371145;05
4049075;1;2;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;05;05;973,75709687692;05
4049076;1;2;1;80;1;1;4;3; ;2; ; ;9; ;2; ;2; ;1;05;05;1165,45320135971;05
4049077;1;2;1;80;1;1;2;3; ;2; ; ;9; ;2; ;2; ;1;05;05;1034,68645931627;05
4049078;1;2;1;80;1;2; ; ; ; ;2; ; ;.; ; ;2; ;1;05;05;1128,23021873974;05
4049079;1;5;1;80;1;2; ; ; ; ;2; ; ;.; ; ;2; ;1;05;05;899,311947554926;05
4049079;1;6;1;80;1;1;3;4; ;2; ; ;4; ;2; ;2; ;1;05;05;899,311947554926;05
4049080;1;2;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;05;05;967,164819805187;05
4049080;1;3;1;80;1;2; ; ; ; ;2; ; ;.; ; ;2; ;1;05;05;967,164819805187;05
4049081;1;2;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;05;05;1060,70857922866;05
4049083;1;1;1;80;1;1;1;2; ;1; ;1;2; ;2; ;2; ;1;05;05;1492,15612230507;05
4049084;1;3;1;80;1;1;1;8; ;2; ; ;2; ;2; ;2; ;1;05;05;1074,96132905794;05
4049085;1;2;1;80;1;1;2;2; ;2; ; ;2; ;2; ;2; ;1;05;05;925,18802250456;05
4049085;1;3;1;80;1;1;1;2; ;2; ; ;2; ;2; ;2; ;1;05;05;925,18802250456;05
4049086;1;4;1;80;1;1;1;2; ;2; ; ;2; ;2; ;2; ;1;05;05;831,644263081089;05
4049090;1;1;1;80;1;2; ; ; ; ;2; ; ;.;3; ;1;1200000;1;05;05;1001,48114434827;05
4049091;1;1;1;80;1;1;4;5; ;2; ; ;10; ;3; ;2; ;1;05;05;1210,42788641083;05
4049091;1;2;1;80;1;1;3;4; ;2; ; ;4; ;2; ;2; ;1;05;05;1210,42788641083;05
4049091;1;3;1;80;1;1;3;6; ;1; ;2;6; ;2; ;2; ;1;05;05;1210,42788641083;05
4049093;1;2;1;80;1;1;1;4; ;1; ;2;7; ;2; ;2; ;1;05;05;993,288495439755;05
4049094;1;1;1;80;1;1;4;4; ;2; ; ;4; ;2; ;2; ;1;05;05;1151,20045153044;05
4049095;1;3;1;80;1;2; ; ; ; ;2; ; ;.; ; ;2; ;1;05;05;1102,20809882736;05
4049097;1;5;1;80;1;2; ; ; ; ;2; ; ;.; ; ;2; ;1;05;05;1006,96241184492;05
4049098;1;1;1;80;1;1;4;4; ;2; ; ;4; ;2; ;2; ;1;05;05;1151,20045153044;05
4049099;1;2;1;80;1;1;2;3; ;2; ; ;9; ;2; ;2; ;1;05;05;1237,72865555146;05
4049100;1;2;1;80;1;1;4;3; ;2; ; ;9; ;2; ;2; ;1;05;05;987,955847334989;05
4049101;1;1;1;80;1;1;4;3; ;2; ; ;8; ;2; ;2; ;1;05;05;1006,90583804458;05
4049102;1;2;1;80;1;1;4;3; ;2; ; ;9; ;2; ;2; ;1;05;05;1130,50146959218;05
4049104;1;3;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;05;05;939,440772333837;05
4049104;1;4;1;80;1;2; ; ; ; ;2; ; ;.; ; ;2; ;1;05;05;939,440772333837;05
4049108;1;1;1;80;1;1;4;4; ;2; ; ;8; ;2; ;2; ;1;05;05;1148,13947833895;05
4049109;1;2;1;80;1;1;4;4; ;1; ;3;8; ;2; ;2; ;1;05;05;1117,03017195011;05
4049112;1;3;1;80;1;1;1;6; ;2; ; ;2; ;2; ;2; ;1;05;05;939,440772333837;05
4049112;1;4;1;80;1;2; ; ; ; ;2; ; ;.; ; ;2; ;1;05;05;939,440772333837;05
4049113;1;2;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;05;05;1020,43370948699;05
4049114;1;3;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;05;05;1034,68645931627;05
4049115;1;1;1;80;1;1;4;1; ;1; ;2;6; ;2; ;2; ;1;05;05;1203,55837597112;05
4049119;1;2;1;80;1;2; ; ; ; ;2; ; ;.; ; ;2; ;1;05;05;925,18802250456;05
4049119;1;3;1;80;1;2; ; ; ; ;2; ; ;.; ; ;2; ;1;05;05;925,18802250456;05
4049124;1;4;1;80;1;1;3;5; ;2; ; ;10; ;3; ;2; ;1;05;05;1210,75868377749;05
4049126;1;2;1;80;1;1;4;9;POR QUE VIAJO FUERA DEL PAIS;2; ; ;4; ;2; ;2; ;1;05;05;1041,80357044091;05
4049127;1;3;1;80;1;2; ; ; ; ;2; ; ;.; ; ;2; ;1;05;05;1142,48296856902;05
4049129;1;1;1;80;1;1;4;5; ;2; ; ;8; ;3; ;2; ;1;05;05;1123,47640405909;05
4049132;1;2;1;80;1;1;4;3; ;2; ; ;9; ;2; ;2; ;1;05;05;893,830680058273;05
4049134;1;1;1;80;1;1;1;9;DEJO EL TRABAJO PARA DEDICARLE TIEMPO A LA TIA QUE ESTA ENFERMA;2; ; ;9; ;2; ;1;100000;1;05;05;980,782162410011;05
4049134;1;2;1;80;1;1;1;1; ;2; ; ;12;ESTA PENDIENTE DE UNA CIRUGIA;2; ;1;200000;1;05;05;980,782162410011;05
4049147;1;1;1;80;1;1;4;4; ;2; ; ;4; ;2; ;2; ;1;05;05;980,782162410011;05
4049149;1;2;1;80;1;1;4;3; ;2; ; ;8; ;2; ;2; ;1;05;08;504,703983041878;08
4049150;1;3;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;05;08;662,003026706279;08
4049151;1;1;1;80;1;1;4;5; ;2; ; ;10; ;3; ;2; ;1;05;08;522,219589241634;08
4049151;1;2;1;80;1;1;4;6; ;2; ; ;8; ;2; ;2; ;1;05;08;522,219589241634;08
4049152;1;3;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;05;08;871,058303596801;08
4049153;1;2;1;80;1;1;4;5; ;2; ; ;10; ;3; ;2; ;1;05;08;539,769547140875;08
4049154;1;3;1;80;1;1;1;6; ;1; ;1;1; ;2; ;2; ;1;05;08;613,643637594797;08
4049155;1;3;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ;1;05;08;520,67944250043;08
4049155;1;4;1;80;1;1;1;3; ;2; ; ;1; ;2; ;2; ;1;05;08;520,67944250043;08
4049156;1;1;1;80;1;1;4;5; ;2; ; ;10; ;3; ;2; ;1;05;08;471,179098819055;08
