DIRECTORIO,SECUENCIA_P,ORDEN,REGIS,P7430,P7440,P7450,P7450S1,P7460,P7470,P7472,P7472S1,P7454,P7456,P7458S1,P7458,P7452,CLASE,INI,DPTO,fex_c_2011
646421,1,3,80,1,4,2,,2,,2,,,,,9,2,2,1,25,687.588.290.267.059
646422,1,2,80,2,,,,2,,2,,2,,.,,,2,1,25,401.255.601.264.534
646422,1,3,80,2,,,,2,,2,,1,1,,2,,2,1,25,401.255.601.264.534
646422,1,4,80,2,,,,2,,2,,2,,.,,,2,1,25,401.255.601.264.534
646422,1,5,80,2,,,,2,,2,,2,,.,,,2,1,25,401.255.601.264.534
646422,1,6,80,2,,,,2,,2,,2,,.,,,2,1,25,401.255.601.264.534
646423,1,2,80,2,,,,2,,2,,2,,.,,,2,1,25,246.175.347.845.021
646424,1,2,80,2,,,,2,,2,,2,,.,,,2,1,25,405.013.651.627.577
646426,1,3,80,2,,,,2,,2,,2,,.,,,2,1,25,282.957.518.843.023
646427,1,1,80,1,1,4,,3,,2,,,,,8,2,2,1,25,186.157.607.264.699
646427,1,2,80,1,3,3,,3,,2,,,,,4,2,2,1,25,186.157.607.264.699
646428,1,1,80,1,1,3,,2,,2,,,,,1,2,2,1,25,239.070.802.135.239
646428,1,2,80,1,4,6,,3,,2,,,,,4,2,2,1,25,239.070.802.135.239
646431,1,3,80,1,1,1,,2,,2,,,,,2,2,2,1,25,316.983.638.029.336
646444,1,1,80,1,4,2,,2,,2,,,,,4,2,2,1,25,228.732.997.885.254
646445,1,3,80,2,,,,2,,2,,2,,.,,,2,1,25,342.919.298.954.405
646445,1,4,80,2,,,,2,,2,,2,,.,,,2,1,25,342.919.298.954.405
646446,1,2,80,1,3,3,,2,,2,,,,,4,2,2,1,25,204.983.906.370.691
646447,1,2,80,1,4,2,,2,,2,,,,,9,2,2,1,25,186.157.607.264.699
646448,1,3,80,2,,,,2,,2,,2,,.,,,2,1,25,217.188.711.319.392
646449,1,2,80,2,,,,2,,2,,2,,.,,,2,1,25,396.483.301.529.336
646449,1,3,80,2,,,,2,,2,,2,,.,,,2,1,25,396.483.301.529.336
646453,1,3,80,1,2,2,,2,,2,,,,,9,2,2,1,25,551.581.079.829.061
646454,1,2,80,1,3,3,,2,,2,,,,,4,2,2,1,25,355.124.103.903.105
646454,1,3,80,2,,,,2,,2,,2,,.,,,2,1,25,355.124.103.903.105
646454,1,4,80,2,,,,2,,2,,2,,.,,,2,1,25,355.124.103.903.105
646454,1,5,80,2,,,,2,,2,,2,,.,,,2,1,25,355.124.103.903.105
646470,1,1,80,1,4,3,,2,,2,,,,,4,2,2,1,25,228.732.997.885.254
646473,1,2,80,1,2,0,,2,,2,,,,,9,2,2,1,25,641.788.222.160.373
646474,1,1,80,2,,,,2,,2,,2,,.,,,2,1,25,228.732.997.885.254
646475,1,3,80,2,,,,2,,2,,2,,.,,,2,1,25,317.203.583.947.834
646476,1,3,80,1,3,3,,2,,2,,,,,4,2,2,1,25,222.426.256.330.459
646478,1,5,80,1,4,6,,2,,2,,,,,1,2,2,1,25,186.157.607.264.699
646480,1,2,80,1,1,8,CAMBIO DE DOMICILIO,2,,2,,,,,9,2,2,1,25,368.035.677.025.137
646481,1,4,80,2,,,,2,,2,,2,,.,,,2,1,25,329.408.388.896.535
646483,1,2,80,1,2,2,,2,,2,,,,,9,2,2,1,25,357.231.170.588.945
646483,1,3,80,2,,,,2,,2,,2,,.,,,2,1,25,357.231.170.588.945
646483,1,4,80,2,,,,2,,2,,2,,.,,,2,1,25,357.231.170.588.945
646490,1,1,80,1,3,3,,2,,2,,,,,4,2,2,1,25,353.873.965.020.441
646490,1,2,80,2,,,,2,,2,,2,,.,,,2,1,25,353.873.965.020.441
646491,1,2,80,1,4,2,,2,,2,,,,,9,2,2,1,25,462.252.109.052.967
646491,1,3,80,2,,,,2,,2,,2,,.,,,2,1,25,462.252.109.052.967
646492,1,2,80,1,1,2,,2,,2,,,,,9,2,2,1,25,460.946.003.943.797
646492,1,3,80,2,,,,2,,2,,2,,.,,,2,1,25,460.946.003.943.797
646492,1,4,80,2,,,,2,,2,,2,,.,,,2,1,25,460.946.003.943.797
646493,1,1,80,1,1,3,,2,,2,,,,,4,2,2,1,25,186.157.607.264.699
646493,1,2,80,1,4,2,,2,,2,,,,,9,2,2,1,25,186.157.607.264.699
646494,1,2,80,1,4,2,,2,,2,,,,,9,2,2,1,25,227.185.369.878.622
646494,1,5,80,2,,,,2,,2,,2,,.,,,2,1,25,227.185.369.878.622
646495,1,1,80,1,4,2,,2,,2,,,,,9,2,2,1,25,453.020.736.499.358
646496,1,1,80,2,,,,3,,2,,2,,.,,,2,1,25,186.157.607.264.699
646496,1,3,80,2,,,,2,,2,,2,,.,,,2,1,25,186.157.607.264.699
646497,1,2,80,2,,,,2,,2,,2,,.,,,2,1,25,610.265.479.741.554
646498,1,2,80,2,,,,2,,2,,2,,.,,,2,1,25,189.457.571.424.536
646499,1,1,80,2,,,,2,,2,,2,,.,,,2,1,25,298.282.758.394.975
646499,1,2,80,2,,,,2,,2,,2,,.,,,2,1,25,298.282.758.394.975
646499,1,3,80,1,4,2,,2,,2,,,,,9,2,2,1,25,298.282.758.394.975
646499,1,5,80,2,,,,2,,2,,2,,.,,,2,1,25,298.282.758.394.975
646500,1,2,80,1,1,2,,2,,2,,,,,9,2,2,1,25,217.188.711.319.392
646500,1,3,80,2,,,,2,,2,,2,,.,,,2,1,25,217.188.711.319.392
646501,1,1,80,1,1,8,NO CONSIGUE EMPLEO POR LA EDAD,2,,2,,,1,,1,1,2,1,25,186.157.607.264.699
646501,1,2,80,1,4,3,,2,,2,,,,,4,2,2,1,25,186.157.607.264.699
646501,1,3,80,1,2,2,,2,,2,,,,,9,2,2,1,25,186.157.607.264.699
649713,1,2,80,1,4,3,,2,,2,,,,,4,2,2,1,50,321.576.907.421.191
649720,1,1,80,1,4,8,SE  PENSIONO,1,3,2,,,,QUIERE DISFRUTAR  LA PENSION,12,2,2,1,50,610.920.135.356.238
649720,1,2,80,1,4,2,,2,,2,,,,,9,2,2,1,50,610.920.135.356.238
649724,1,1,80,1,1,3,,2,,2,,,,,4,2,2,1,50,375.733.702.254.934
649725,1,2,80,2,,,,2,,2,,2,,.,,,2,1,50,348.655.304.838.062
649732,1,3,80,2,,,,2,,2,,2,,.,,,2,1,50,543.256.033.764.165
649738,1,3,80,2,,,,2,,2,,2,,.,,,2,1,50,563.304.547.057.271
649738,1,4,80,2,,,,2,,2,,2,,.,,,2,1,50,563.304.547.057.271
649745,1,2,80,1,4,2,,2,,2,,,,,9,2,2,1,50,404.385.793.501.065
649747,1,3,80,2,,,,2,,2,,2,,.,,,2,1,50,541.110.529.124.521
649747,1,5,80,2,,,,2,,2,,2,,.,,,2,1,50,541.110.529.124.521
649749,1,2,80,1,4,2,,2,,2,,,,,1,2,2,1,50,521.062.015.831.415
649749,1,3,80,2,,,,2,,2,,2,,.,,,2,1,50,521.062.015.831.415
654989,1,2,80,2,,,,2,,2,,2,,.,,,2,1,50,501.013.502.538.309
654994,1,2,80,1,4,2,,2,,2,,,,,9,2,2,1,50,404.385.793.501.065
654997,1,2,80,1,4,6,,2,,2,,,3,,1,1,2,1,50,404.385.793.501.065
655001,1,2,80,2,,,,2,,2,,2,,.,,,2,1,50,404.385.793.501.065
655003,1,2,80,1,4,2,,2,,2,,,,,9,2,2,1,50,603.401.573.643.483
655003,1,3,80,2,,,,2,,2,,2,,.,,,2,1,50,603.401.573.643.483
655003,1,4,80,2,,,,2,,2,,2,,.,,,2,1,50,603.401.573.643.483
655003,1,6,80,2,,,,2,,2,,2,,.,,,2,1,50,603.401.573.643.483
655006,1,2,80,2,,,,2,,2,,2,,.,,,2,1,50,664.780.688.014.698
655010,1,2,80,1,3,2,,2,,2,,,,,9,2,2,1,50,887.414.637.497.429
655010,1,6,80,2,,,,2,,2,,2,,.,,,2,1,50,887.414.637.497.429
655626,1,2,80,1,4,2,,3,,2,,,,,8,2,2,1,66,120.193.255.125.617
655626,1,3,80,1,4,4,,2,,2,,,,,11,2,2,1,66,120.193.255.125.617
655626,1,4,80,2,,,,2,,2,,2,,.,,,2,1,66,120.193.255.125.617
655628,1,2,80,1,1,4,,3,,2,,,,,10,2,2,1,66,144.107.771.837.995
655630,1,1,80,1,2,3,,2,,2,,,,,4,2,2,1,66,107.921.793.066.312
655630,1,2,80,1,4,2,,2,,2,,,,,9,2,2,1,66,107.921.793.066.312
655630,1,4,80,2,,,,2,,2,,2,,.,,,2,1,66,107.921.793.066.312
655633,1,1,80,2,,,,2,,2,,2,,.,,,2,1,66,170.734.127.579.221
655633,1,2,80,1,4,2,,2,,2,,,,,9,2,2,1,66,170.734.127.579.221
655633,1,3,80,1,4,3,,2,,2,,,,,4,2,2,1,66,170.734.127.579.221
655633,2,2,80,2,,,,2,,2,,2,,.,,,2,1,66,170.734.127.579.221
655636,1,2,80,1,3,7,,2,,2,,,1,,9,1,2,1,66,140.737.595.020.393
655639,1,3,80,2,,,,2,,2,,2,,.,,,2,1,66,136.756.042.821.541
655639,1,4,80,2,,,,2,,2,,2,,.,,,2,1,66,136.756.042.821.541
655641,1,1,80,2,,,,1,2,2,,1,3,,1,,2,1,66,145.881.452.295.504
655641,1,2,80,1,4,8,POR LA EDAD,2,,2,,,,,8,2,2,1,66,145.881.452.295.504
655641,1,3,80,2,,,,2,,2,,2,,.,,,2,1,66,145.881.452.295.504
655648,1,2,80,1,1,2,,2,,2,,,,,9,2,2,1,66,144.835.563.118.363
655650,1,2,80,1,1,2,,2,,2,,,,,9,2,2,1,66,883.842.921.173.392
655653,1,4,80,2,,,,2,,2,,2,,.,,,2,1,66,133.338.339.953.019
655659,1,2,80,1,2,1,,2,,2,,,,,2,2,2,1,66,134.461.572.525.282
655659,1,4,80,1,1,8,CAMBIO DE RESIDENCIA DE EL CAQUETA,2,,2,,,,,8,2,2,1,66,134.461.572.525.282
655661,1,1,80,1,4,5,,2,,2,,,,,6,2,2,1,66,108.881.105.961.196
655663,1,3,80,1,1,1,,2,,2,,,,,2,2,2,1,66,120.240.781.176.537
655663,1,4,80,2,,,,2,,2,,2,,.,,,2,1,66,120.240.781.176.537
655666,1,6,80,2,,,,2,,2,,2,,.,,,2,1,66,141.876.430.029.229
658819,1,2,80,2,,,,2,,2,,2,,.,,,2,1,18,490.233.545.312.479
658819,1,3,80,1,4,2,,2,,2,,,,,9,2,2,1,18,490.233.545.312.479
658821,1,2,80,2,,,,2,,2,,2,,.,,,2,1,18,57.438.891.037.671
658823,1,2,80,2,,,,2,,2,,2,,.,,,2,1,18,582.094.388.900.803
658825,2,2,80,1,4,2,,2,,2,,,,,8,2,2,1,18,300.466.193.425.819
658826,1,2,80,2,,,,2,,2,,2,,.,,,2,1,18,637.866.440.882.459
658826,1,3,80,2,,,,2,,2,,2,,.,,,2,1,18,637.866.440.882.459
658826,1,4,80,2,,,,2,,2,,2,,.,,,2,1,18,637.866.440.882.459
658831,1,2,80,2,,,,2,,2,,2,,.,,,2,1,18,595.366.759.320.042
658833,1,2,80,2,,,,2,,2,,2,,.,,,2,1,18,594.291.401.803.835
658835,1,2,80,2,,,,2,,2,,2,,.,,,2,1,18,502.155.401.598.377
658837,1,2,80,2,,,,2,,2,,2,,.,,,2,1,18,515.802.406.039.402
658837,1,3,80,2,,,,2,,2,,2,,.,,,2,1,18,515.802.406.039.402
658838,1,1,80,2,,,,2,,2,,2,,.,,,2,1,18,450.393.225.690.637
658838,1,3,80,2,,,,2,,2,,2,,.,,,2,1,18,450.393.225.690.637
658838,1,6,80,2,,,,2,,2,,2,,.,,,2,1,18,450.393.225.690.637
658840,1,2,80,2,,,,2,,2,,2,,.,,,2,1,18,502.248.479.197.296
658842,1,2,80,2,,,,2,,2,,2,,.,,,2,1,18,56.735.484.799.997
658844,1,2,80,2,,,,2,,2,,2,,.,,,2,1,18,499.340.949.242.724
658844,1,3,80,2,,,,2,,2,,2,,.,,,2,1,18,499.340.949.242.724
658844,1,5,80,2,,,,2,,2,,2,,.,,,2,1,18,499.340.949.242.724
658848,1,4,80,2,,,,2,,2,,2,,.,,,2,1,18,568.612.284.534.392
658851,1,2,80,2,,,,2,,2,,2,,.,,,2,1,18,57.803.967.895.433
658852,1,2,80,2,,,,2,,2,,2,,.,,,2,1,18,561.787.956.104.824
658854,1,2,80,2,,,,2,,2,,2,,.,,,2,1,18,528.403.360.311.288
658854,1,3,80,2,,,,2,,2,,2,,.,,,2,1,18,528.403.360.311.288
658857,1,2,80,2,,,,2,,2,,2,,.,,,2,1,18,572.666.994.480.866
658857,1,4,80,2,,,,2,,2,,2,,.,,,2,1,18,572.666.994.480.866
658857,1,5,80,2,,,,2,,2,,2,,.,,,2,1,18,572.666.994.480.866
658865,1,2,80,2,,,,2,,2,,2,,.,,,2,1,18,757.279.106.873.093
658865,1,3,80,2,,,,2,,2,,2,,.,,,2,1,18,757.279.106.873.093
658868,1,2,80,2,,,,2,,2,,2,,.,,,2,1,18,512.840.232.552.736
658872,1,2,80,2,,,,2,,2,,2,,.,,,2,1,18,539.088.191.265.648
658872,1,4,80,2,,,,2,,2,,2,,.,,,2,1,18,539.088.191.265.648
658873,1,2,80,2,,,,2,,2,,2,,.,,,2,1,18,591.312.049.373.568
658873,1,3,80,2,,,,2,,2,,2,,.,,,2,1,18,591.312.049.373.568
658875,1,2,80,2,,,,2,,2,,2,,.,,,2,1,18,515.802.406.039.402
658875,1,3,80,2,,,,2,,2,,2,,.,,,2,1,18,515.802.406.039.402
658877,1,2,80,2,,,,2,,2,,2,,.,,,2,1,18,561.787.956.104.824
658880,1,2,80,2,,,,2,,2,,2,,.,,,2,1,18,56.735.484.799.997
658921,1,3,80,2,,,,2,,2,,2,,.,,,2,1,18,459.820.620.110.574
658925,1,2,80,1,3,2,,2,,2,,,,,9,2,2,1,18,604.584.419.792.807
658925,1,3,80,2,,,,2,,2,,2,,.,,,2,1,18,604.584.419.792.807
658925,1,4,80,2,,,,2,,2,,2,,.,,,2,1,18,604.584.419.792.807
658927,1,2,80,2,,,,2,,2,,2,,.,,,2,1,18,569.283.700.681.745
658927,1,3,80,2,,,,2,,2,,2,,.,,,2,1,18,569.283.700.681.745
658927,1,6,80,2,,,,2,,2,,1,3,,1,,2,1,18,569.283.700.681.745
658932,1,2,80,2,,,,2,,2,,2,,.,,,2,1,18,370.820.879.321.845
658932,1,4,80,2,,,,2,,2,,2,,.,,,2,1,18,370.820.879.321.845
658939,1,2,80,2,,,,2,,2,,2,,.,,,2,1,18,618.057.027.054.253
658943,1,2,80,2,,,,2,,2,,2,,.,,,2,1,18,532.054.128.888.908
658943,1,3,80,2,,,,2,,2,,2,,.,,,2,1,18,532.054.128.888.908
658945,1,2,80,2,,,,2,,2,,2,,.,,,2,1,18,59.985.829.369.898
658948,1,1,80,1,4,3,,2,,1,150000,,,,4,2,2,1,18,43.180.071.570.235
658949,1,2,80,2,,,,2,,2,,2,,.,,,2,1,18,60.160.506.736.254
658952,1,2,80,1,4,7,,2,,2,,,,,9,2,2,1,18,536.126.017.778.982
658977,1,2,80,2,,,,2,,2,,2,,.,,,2,1,18,335.766.912.536.881
658979,1,2,80,2,,,,2,,2,,1,3,,9,,2,1,18,529.074.776.458.641
658980,1,2,80,2,,,,2,,2,,2,,.,,,2,1,18,565.171.249.903.945
658983,1,3,80,2,,,,2,,2,,2,,.,,,2,1,18,598.346.111.750.308
658989,1,2,80,1,4,2,,2,,2,,,,,9,2,2,1,18,620.836.142.642.312
658989,1,4,80,2,,,,2,,2,,2,,.,,,2,1,18,620.836.142.642.312
658996,1,2,80,2,,,,2,,2,,2,,.,,,2,1,18,423.044.737.429.766
658996,1,4,80,2,,,,2,,2,,2,,.,,,2,1,18,423.044.737.429.766
658997,1,2,80,2,,,,2,,2,,2,,.,,,2,1,18,575.856.080.858.305
659000,1,2,80,2,,,,2,,2,,2,,.,,,2,1,18,561.787.956.104.824
659003,1,2,80,2,,,,2,,2,,2,,.,,,2,1,18,126.621.456.385.238
659004,1,1,80,1,3,2,,2,,2,,,3,,1,1,2,1,18,161.848.122.262.037
659004,1,3,80,2,,,,2,,2,,2,,.,,,2,1,18,161.848.122.262.037
659004,1,4,80,2,,,,2,,2,,2,,.,,,2,1,18,161.848.122.262.037
659006,1,4,80,2,,,,2,,2,,2,,.,,,2,1,18,119.293.197.436.206
659007,1,2,80,2,,,,2,,2,,2,,.,,,2,1,18,901.579.725.748.479
659007,1,3,80,2,,,,2,,2,,2,,.,,,2,1,18,901.579.725.748.479
661104,1,2,80,2,,,,2,,2,,2,,.,,,2,1,18,59.210.780.370.781
661105,1,2,80,2,,,,2,,2,,2,,.,,,2,1,18,515.520.849.616.535
661105,1,3,80,2,,,,2,,2,,2,,.,,,2,1,18,515.520.849.616.535
661107,1,4,80,2,,,,2,,2,,2,,.,,,2,1,18,503.787.472.154.586
661108,1,1,80,1,4,5,,2,,1,100000,,,,1,2,2,1,18,598.282.282.362.765
665140,1,4,80,2,,,,2,,2,,2,,.,,,2,1,19,430.601.245.484.626
665140,1,6,80,2,,,,2,,2,,2,,.,,,2,1,19,430.601.245.484.626
665141,1,2,80,1,4,2,,2,,2,,,,,9,2,2,1,19,356.693.679.742.107
665143,1,2,80,1,2,7,,2,,2,,,,,9,2,2,1,19,370.573.514.033.532
665147,1,2,80,2,,,,2,,2,,2,,.,,,2,1,19,214.491.179.148.011
665148,1,2,80,2,,,,2,,2,,2,,.,,,2,1,19,145.261.266.450.836
665151,1,2,80,1,4,2,,2,,2,,,,,9,2,2,1,19,321.752.394.631.673
665151,1,3,80,2,,,,2,,2,,2,,.,,,2,1,19,321.752.394.631.673
665151,1,4,80,2,,,,2,,2,,2,,.,,,2,1,19,321.752.394.631.673
665152,1,2,80,2,,,,2,,2,,2,,.,,,2,1,19,494.365.246.416.445
665153,1,1,80,1,4,3,,2,,2,,,,,11,2,2,1,19,446.459.078.603.657
665155,1,3,80,2,,,,2,,2,,2,,.,,,2,1,19,411.539.764.700.608
665157,1,2,80,1,1,7,,2,,2,,,,,1,2,2,1,19,217.477.889.144.428
665159,1,2,80,2,,,,2,,2,,2,,.,,,2,1,19,127.381.387.413.741
665159,1,3,80,2,,,,2,,2,,2,,.,,,2,1,19,127.381.387.413.741
665162,1,2,80,2,,,,2,,2,,2,,.,,,2,1,19,404.599.847.554.895
665162,1,3,80,2,,,,2,,2,,2,,.,,,2,1,19,404.599.847.554.895
665163,1,1,80,1,1,3,,2,,2,,,,,4,2,2,1,19,295.991.319.559.936
665166,1,2,80,2,,,,2,,2,,1,3,,1,,2,1,19,356.693.679.742.107
665171,1,2,80,1,4,2,,2,,2,,,,,9,2,2,1,19,354.328.107.962.102
665171,1,3,80,2,,,,2,,2,,2,,.,,,2,1,19,354.328.107.962.102
665174,1,2,80,1,1,7,,2,,1,120000,,,,1,2,2,1,19,321.752.394.631.673
665174,1,3,80,2,,,,2,,2,,2,,.,,,2,1,19,321.752.394.631.673
665174,1,4,80,2,,,,2,,2,,2,,.,,,2,1,19,321.752.394.631.673
665175,1,3,80,1,1,1,,2,,2,,,,,2,2,2,1,19,254.132.088.511.174
665175,1,4,80,1,1,1,,2,,2,,,,,2,2,2,1,19,254.132.088.511.174
665177,1,2,80,1,1,2,,2,,1,30000,,,,9,2,2,1,19,152.201.183.596.548
665178,1,2,80,2,,,,2,,2,,2,,.,,,2,1,19,2.118.185.253.328
665178,1,3,80,2,,,,2,,2,,2,,.,,,2,1,19,2.118.185.253.328
665178,1,4,80,2,,,,2,,2,,2,,.,,,2,1,19,2.118.185.253.328
665180,1,2,80,1,1,3,,2,,1,30000,,,,4,2,2,1,19,289.073.373.621.608
665183,1,2,80,1,4,3,,2,,2,,,,,4,2,2,1,19,188.070.086.730.913
665183,1,3,80,2,,,,2,,2,,2,,.,,,2,1,19,188.070.086.730.913
665185,1,2,80,1,1,5,,2,,2,,,,,1,2,2,1,19,127.381.387.413.741
665185,1,3,80,2,,,,2,,2,,2,,.,,,2,1,19,127.381.387.413.741
665185,1,5,80,2,,,,2,,2,,2,,.,,,2,1,19,127.381.387.413.741
665185,1,6,80,2,,,,2,,2,,2,,.,,,2,1,19,127.381.387.413.741
665188,1,2,80,1,4,2,,2,,2,,,,,9,2,2,1,19,302.953.207.913.033
665190,1,3,80,1,2,2,,2,,2,,,,,9,2,2,1,19,127.381.387.413.741
665191,1,2,80,2,,,,2,,2,,2,,.,,,2,1,19,270.917.539.654.135
665192,1,2,80,1,1,2,,2,,2,,,,,9,2,2,1,19,22.747.803.305.775
665192,1,5,80,2,,,,2,,2,,2,,.,,,2,1,19,22.747.803.305.775
665253,1,2,80,1,2,3,,2,,2,,,,,4,2,2,1,19,206.225.920.698.385
665257,1,3,80,2,,,,2,,2,,1,1,,2,,2,1,19,197.938.691.041.375
665257,1,4,80,2,,,,2,,2,,2,,.,,,2,1,19,197.938.691.041.375
665259,1,2,80,1,1,3,,2,,2,,,,,4,2,2,1,19,214.513.150.355.396
665262,1,2,80,1,4,8,POR PERSECUCIONES POLITICAS,2,,2,,,,,9,2,2,1,19,181.152.140.792.585
665262,1,3,80,2,,,,2,,2,,2,,.,,,2,1,19,181.152.140.792.585
665265,1,3,80,1,2,5,,2,,2,,,,,1,2,2,1,19,127.381.387.413.741
665265,1,4,80,1,4,0,,2,,2,,,,,1,2,2,1,19,127.381.387.413.741
665265,1,5,80,2,,,,2,,2,,2,,.,,,2,1,19,127.381.387.413.741
665265,1,6,80,1,2,6,,2,,2,,,,,9,2,2,1,19,127.381.387.413.741
665265,1,7,80,2,,,,2,,2,,2,,.,,,2,1,19,127.381.387.413.741
665267,1,3,80,2,,,,2,,2,,2,,.,,,2,1,19,127.381.387.413.741
665267,1,4,80,2,,,,2,,2,,2,,.,,,2,1,19,127.381.387.413.741
665267,1,5,80,2,,,,2,,2,,2,,.,,,2,1,19,127.381.387.413.741
665269,1,2,80,1,4,3,,2,,2,,,,,8,2,2,1,19,409.174.192.920.603
665269,1,3,80,2,,,,2,,2,,1,2,,9,,2,1,19,409.174.192.920.603
665270,1,1,80,1,1,7,,2,,1,160000,,1,,4,1,2,1,19,127.381.387.413.741
665270,1,2,80,1,1,1,,2,,1,20000,,,,2,2,2,1,19,127.381.387.413.741
665270,1,3,80,2,,,,2,,2,,2,,.,,,2,1,19,127.381.387.413.741
665272,1,2,80,2,,,,2,,2,,2,,.,,,2,1,19,282.133.456.475.895
665274,1,2,80,2,,,,2,,2,,2,,.,,,2,1,19,293.751.026.666.951
665274,1,4,80,2,,,,2,,2,,2,,.,,,2,1,19,293.751.026.666.951
665274,1,5,80,2,,,,2,,2,,2,,.,,,2,1,19,293.751.026.666.951
665274,1,6,80,2,,,,2,,2,,2,,.,,,2,1,19,293.751.026.666.951
665277,1,2,80,1,4,2,,2,,2,,,,,9,2,2,1,19,127.381.387.413.741
665277,1,3,80,2,,,,2,,2,,2,,.,,,2,1,19,127.381.387.413.741
665283,1,3,80,1,3,2,,2,,2,,,,,9,2,2,1,19,390.982.307.328.848
665284,1,4,80,2,,,,2,,2,,2,,.,,,2,1,19,127.381.387.413.741
665287,1,4,80,2,,,,2,,2,,2,,.,,,2,1,19,335.632.228.923.098
665288,1,3,80,1,2,2,,2,,2,,,,,9,2,2,1,19,127.381.387.413.741
665290,1,3,80,2,,,,2,,2,,2,,.,,,2,1,19,28.772.606.111.031
665292,1,2,80,2,,,,2,,2,,2,,.,,,2,1,19,127.381.387.413.741
665292,2,2,80,1,1,2,,2,,1,60000,,,,1,2,2,1,19,127.381.387.413.741
665296,1,2,80,1,4,2,,2,,1,80000,,1,,9,1,2,1,19,289.073.373.621.608
665298,1,2,80,2,,,,2,,2,,2,,.,,,2,1,19,24.452.577.826.609
665301,1,3,80,2,,,,2,,2,,2,,.,,,2,1,19,273.846.226.818.885
665303,1,2,80,2,,,,2,,2,,2,,.,,,2,1,19,356.693.679.742.107
