Directorio;Secuencia_p;Orden;Hogar;Regis;Area;P7250;P7260;P7280;P7280s1;P7310;P7320;P7350;P7350s1;P7360;P7390;P7390s1;P7420;P7420s1;P7420s2;P7420s3;P7420s4;P7420s5;P7420s6;P7420s7;P7420s8;P7420s7a1;P7422;P7422s1;P9460;Oficio1;Oficio2;Rama2d_d;Dsi;Dscy;Rama4d_d;Mes;Dpto;Fex_c_2011
3032824;1;2;1;70;05;32;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;03; ; ;1;2; ;09;05;972,696075997116
3032827;1;1;1;70;05;16;48;1; ;2;16;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;2;5261;09;05;776,529064104075
3032837;1;1;1;70;05;8;48;1; ;2;12;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;95;45;1;1;4521;09;05;794,539285870451
3032842;1;2;1;70;05;36;48;1; ;2;9;1; ;8;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;39;39;51;1;2;5135;09;05;993,659961226171
3032844;1;2;1;70;05;52;48;1; ;2;36;1; ;7;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;39;80;1;2;8042;09;05;1051,97507504857
3032851;1;2;1;70;05;5;56;1; ;2;5;4; ;1;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;55;45;1;1;4521;09;05;838,332058802026
3032864;1;2;1;70;05;1;48;1; ;2;84;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;54;95;1;1;9500;09;05;806,608785386446
3032866;1;3;1;70;05;2;48;1; ;2;8;1; ;9;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;1;5237;09;05;835,710207086371
3032873;1;2;1;70;05;8;48;1; ;2;7;3; ;1;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;54;95;1;1;9500;09;05;560,096546188387
3032874;1;2;1;70;05;14;48;1; ;2;14;1; ;7;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;97;17;1;2;1730;09;05;800,55840185225
3032878;1;2;1;70;05;4;48;1; ;2;33;1; ;5;7; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;1;5233;09;05;659,731186505791
3032878;1;4;1;70;05;2;48;1; ;2;52;1; ;2;7; ; ; ; ; ; ; ; ; ;1; ;1;70000;2;45;53;55;1;1;5529;09;05;659,731186505791
3032891;1;2;1;70;05;48;48;1; ;2;576;1; ;5;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;32;85;1;2;8512;09;05;993,659961226171
3032896;1;5;1;70;05;12;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;95; ; ;1;1; ;09;05;923,217359218103
3032898;1;2;1;70;05;4;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;02; ; ;1;1; ;09;05;1076,00441279674
3032900;1;3;1;70;05;8;48;1; ;2;8;1; ;2;1; ; ;1; ; ; ; ; ;1; ;ESTA AFILIADO EN PROSPERAR;2; ;2;95;95;45;1;1;4521;09;05;1023,64647009424
3032900;1;4;1;70;05;4;24;1; ;2;52;1; ;6;1; ; ; ; ; ; ; ; ; ;1; ;1;50000;2;32;32;80;1;1;8060;09;05;1023,64647009424
3032907;1;1;1;70;05;4;48;1; ;2;104;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;53;80;1;1;8042;09;05;767,947445463635
3033024;1;1;1;70;54;48;24;4; ;2;48;4; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;77;51;55;1;2;5521;09;54;449,081849975709
3033027;1;3;1;70;54;4;48;1; ;2;2;1; ;2;4; ; ; ; ; ; ; ; ; ;1; ;1;300000;2;45;45;52;1;1;5231;09;54;283,836804918962
3033034;1;4;1;70;54;16;72;1; ;2;16;1; ;6;8; ; ; ; ; ; ; ;1; ; ; ;2; ;2;89;89;26;1;2;2693;09;54;238,034874006762
3033034;1;5;1;70;54;2;48;1; ;2;2;1; ;4;8; ; ; ; ; ; ; ; ; ;1; ;1;425000;2;97;97;52;1;1;5211;09;54;238,034874006762
3033034;1;9;1;70;54;16;60;1; ;2;16;1; ;6;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;89;89;26;1;2;2693;09;54;238,034874006762
3033038;1;3;1;70;54;12;54;1; ;2;12;1; ;2;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;1;5233;09;54;423,193144689721
3033050;1;2;1;70;54;3;48;4; ;2;18;3; ;1;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;79;54;95;1;1;9500;09;54;261,16641530909
3033051;1;1;1;70;54;4;50;4; ;2;4;4; ;1;1; ; ; ; ; ; ; ;1; ; ; ;1;700000;2;98;41;50;1;1;5040;09;54;354,209718201278
3033054;1;1;1;70;54;2;50;8; ;2;2;4; ;1;2; ; ; ; ; ; ; ;1; ; ; ;1;680000;2;60;98;60;1;1;6042;09;54;363,331506433272
3033058;1;2;1;70;17;6;48;1; ;2;12;3; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;54;95;1;1;9500;09;17;163,505707749999
3033062;1;4;1;70;17;20;48;1; ;2;48;1; ;5;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;84;84;29;1;2;2914;09;17;140,345137498888
3033067;1;3;1;70;17;28;48;1; ;2;28;4; ;6;5; ; ; ; ; ; ; ; ; ;1; ;2; ;2;07;13;80;1;2;8060;09;17;233,00611965774
3033070;1;2;1;70;17;2;48;1; ;2;6;1; ;7;7; ; ; ; ;1; ; ; ; ; ; ;2; ;2;95;83;45;1;1;4530;09;17;196,288410313776
3033072;2;1;2;70;17;144;48;1; ;2;144;1; ;2;1; ; ;1; ; ; ; ; ; ; ; ;2; ;2;58;55;70;1;2;7020;09;17;139,646591571815
3033085;1;2;1;70;17;4;20;1; ;2;144;4; ;1;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;38;55;74;1;1;7493;09;17;217,619914071151
3033086;1;4;1;70;17;4;48;1; ;2;4;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;1;15000;2;95;45;74;1;1;7494;09;17;205,607953727759
3033088;1;2;1;70;17;2;48;1; ;2;2;1; ;9;4; ; ; ; ; ; ; ; ; ;1; ;1;566700;2;53;38;64;1;1;6421;09;17;180,595049235195
3033196;1;3;1;70;08;4;48;1; ;2;4;1; ;5;4; ; ; ; ; ; ; ; ; ;1; ;1;99;2;03;21;75;1;1;7512;09;08;492,355425490752
3033200;1;2;1;70;08;12;48;3; ;2;12;3; ;1;7; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;95;1;1;9500;09;08;584,479036669241
3033218;1;2;1;70;66;8;48;1; ;2;8;1; ;5;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;17;17;92;1;1;9213;09;66;241,454444975594
3033220;1;1;1;70;66;32;48;4; ;2;48;1; ;2;1; ; ; ; ; ; ; ; ;1; ;YA ES PENSIONADO;2; ;2;98;98;60;1;2;6042;09;66;173,281432596864
3033230;1;4;1;70;66;52;50;1; ;2;52;1; ;8;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;79;79;18;1;2;1810;09;66;122,064542154094
3033230;1;6;1;70;66;32;48;1; ;2;32;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;55;70;1;2;7020;09;66;122,064542154094
3033231;1;5;1;70;66;3;50;8; ;2;6;8; ;3;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;62;62;01;1;1;0111;09;66;247,983823796376
3033237;1;1;1;70;66;2;48;3; ;2;2;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;400000;2;54;54;95;1;1;9500;09;66;212,540241777761
3033241;1;1;1;70;66;3;60;1; ;2;3;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;1;600000;2;95;95;45;1;1;4521;09;66;283,990045454449
3033241;1;2;1;70;66;26;48;1; ;2;26;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;17;17;92;1;2;9249;09;66;283,990045454449
3033246;1;4;1;70;11;12;48;1; ;2;16;1; ;4;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;39;39;65;1;1;6599;09;11;2176,73968828348
3033264;1;2;1;70;73;104;40;1; ;2;104;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;2;5223;09;73;260,561388334893
3033264;1;3;1;70;73;24;60;1; ;2;24;1; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;98;98;60;1;2;6031;09;73;260,561388334893
3033266;1;1;1;70;73;8;48;1; ;2;8;1; ;6;7; ; ; ; ; ; ; ; ; ;1; ;2; ;2;37;58;80;1;1;8011;09;73;230,949141267135
3033271;1;3;1;70;73;104;70;1; ;2;104;1; ;2;7; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;98;51;1;2;5125;09;73;410,282823226768
3033277;1;1;1;70;73;8;48;1; ;2;8;1; ;9;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;39;33;50;1;1;5040;09;73;293,531361579316
3033277;1;2;1;70;73;104;40;2; ;2;104;1; ;6;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;32;32;65;1;2;6519;09;73;293,531361579316
3033279;1;5;1;70;73;12;30;1; ;2;8;6; ;3;7; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;62;01;1;1;0121;09;73;441,811203572663
3033279;1;6;1;70;73;4;30;1; ;2;24;6; ;4;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;33;62;01;1;1;0111;09;73;441,811203572663
