DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;MES;DPTO;fex_c_2011
4313977;1;1;1;70;2;50;50;1; ;2;4;8; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;1;50000;95;62;01;1;2;0111;04;73;824,047651327286
4313983;1;3;1;70;2;6;48;1; ;2;44;1; ;8;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;45;79;17;1;1;1749;04;73;1019,1075005999
4314042;1;3;1;70;2;12;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;1; ;04;73;2044,58480636299
4314056;1;3;1;70;2;16;56;1; ;2;16;8; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;58;62;01;1;2;0117;04;73;2934,60780538793
4314060;1;4;1;70;2;6;48;8; ;2;6;8; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;62;62;01;1;1;0130;04;73;4240,67257152609
4314079;1;2;1;70;2;2;44;8; ;2;2;8; ;2;2;6; ; ; ; ; ; ; ; ; ; ;1;1;240000;62;62;01;1;1;0121;04;73;2789,28740353166
4314121;1;3;1;70;2;20;48;1; ;2;4;4; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;87;90;25;1;2;2519;04;76;3698,9081406342
4314122;1;3;1;70;2;5;40;1; ;2;152;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;39;97;15;1;1;1571;04;76;7686,37443229523
4314122;2;2;2;70;2;52;40;1; ;2;102;1; ;7;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;45;42;36;1;2;3611;04;76;7686,37443229523
4314128;1;1;1;70;2;1;48;4; ;2;78;4; ;1;2;1; ; ;1; ; ; ; ; ; ; ; ;2; ;95;95;45;1;1;4521;04;76;2312,92194951592
4314135;1;1;1;70;2;52;72;1; ;2;156;1; ;1;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;62;62;92;1;2;9249;04;76;4287,85046663153
4314180;1;2;1;70;2;4;48;1; ;2;56;1; ;4;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;32;32;52;1;1;5243;04;76;5828,6409444611
4314332;1;3;1;70;2;20;48;1; ;2;52;1; ;5;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;77;77;55;1;2;5529;04;08;2369,8776781966
4314333;1;2;1;70;2;10;48;1; ;2;12;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;45;45;52;1;1;5234;04;08;2758,53199119024
4314380;1;5;1;70;2;8;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;1; ;04;13;1917,37232903915
4314523;1;1;1;70;2;1;44;1; ;2;1;4; ;7;2;3; ; ; ; ;1; ; ; ; ; ; ;1;1700000;71;71;10;1;1;1010;04;15;2937,98531416478
4314524;1;1;1;70;2;1;48;1; ;2;1;1; ;5;2;7; ; ; ; ; ; ; ; ; ; ;1;1;98;71;71;10;1;1;1010;04;15;2356,27000880131
4314567;1;1;1;70;2;8;48;1; ;2;8;1; ;5;2;6; ; ; ; ; ; ; ; ; ; ;1;2; ;71;71;10;1;1;1010;04;15;2256,42459240434
4314570;1;2;1;70;2;8;48;1; ;2;8;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;45;54;95;1;1;9500;04;15;1010,33697928552
4314577;1;3;1;70;2;16;48;1; ;2;16;2; ;9;2;3; ; ; ; ; ; ; ; ; ; ;1;2; ;98;98;75;1;2;7512;04;68;2549,37729771915
4314577;1;4;1;70;2;4;40;1; ;2;4;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;1;500000;95;95;45;1;1;4521;04;68;2549,37729771915
4314585;1;2;1;70;2;3;50;1; ;2;3;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;1;450000;95;95;45;1;1;4521;04;68;3468,33702014631
4314723;1;2;1;70;2;25;40;1; ;2;20;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;62;62;01;1;2;0116;04;15;3618,94972197666
4314724;1;4;1;70;2;20;48;1; ;2;20;1; ;3;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;45;87;36;1;2;3611;04;15;1546,70726003505
4314728;1;3;1;70;2;1;40;2; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;13; ; ;1;1; ;04;15;1054,75531785238
4314761;1;3;1;70;2;20;48;1; ;2;576;1; ;9;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;02;21;52;1;2;5211;04;15;904,737430494165
4314781;1;2;1;70;2;24;25;4; ;2;210;4; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;41;41;52;1;2;5211;04;15;908,548495697622
4314824;1;3;1;70;2;8;40;2; ;2;8;2; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;59;59;85;1;1;8512;04;15;1183,30139131377
