DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P6440;P6450;P6460;P6460S1;P6400;P6422;P6424;P6424S2;P6424S3;P6424S1;P6426;P6430S1;P6480;P6480S1;P6500;P6510;P6510S1;P6510S2;P6590;P6590S1;P6600;P6600S1;P6610;P6610S1;P6620;P6620S1;P6585;P6585S2A1;P6585S3A1;P6585S4A1;P6585S3A2;P6585S2A2;P6585S1A2;P6585S2;P6585S3;P6585S1A1;P6585S4;P6585S1;P6580;P6580S1;P6580S2;P6630;P6630S3;P6630S4A1;P6630S3A1;P6630S2A1;P6630S1A1;P6630S4;P6630S2;P6630S1;P6640;P6765;P6765S1;P6772;P6750;P6760;P550;P6780;P6780S1;P6790;P6410;P6640S1;P9440;P6630S6;P6630S6A1;P6410S1;P6545S1;P6545;P6545S2;P6585S4A2;P6773S1;P6775;P6772S1;P388;P6800;P6810;P6810S1;P6850;P6830;P6830S1;P6870;P6880;P6880S1;P6920;P6930;P6940;P6960;P6980;P6980S1;P6980S2;P6980S3;P6980S4;P6980S5;P6980S6;P6980S7;P6980S8;P6980S7A1;P6990;P7020;P7026;P7028;P7028S1;P7040;P7045;P7050;P7050S1;P7070;P760;P9450;P6915S1;P6915;P6773;P7075;P7077;P390;P7090;P7100;P7110;P7120;P7130;P7140;P7140S1;P7140S2;P7140S3;P7140S4;P7140S5;P7140S6;P7140S7;P7140S8;P7140S9;P7140S9A1;P7150;P7160;P7170;P7170S1;P7170S5;P7170S6;P7180;P7240;P7240S1;P514;P515;OFICIO;RAMA2D;OCI;P6430;P6420S1;RAMA4D;RAMA4DP8;RAMA2DP8;INGLABO;MES;P6420;DPTO;fex_c_2011
3231150;1;1;1;60;2;1;1; ; ;1;1; ;2;2;2;5; ;1; ;340000;2; ; ;2; ;1;300000;2; ;2; ; ; ; ; ; ; ; ;2;2; ;2;2;2; ; ; ;2; ; ; ; ;2;2;2;2; ;.; ; ; ; ; ;.;9; ; ;2;2; ; ; ;2; ; ; ; ; ;63;45; ;.;45; ; ;2;8; ;2; ; ; ;1; ; ; ; ; ; ; ;1; ;2;1;1;8; ;2; ; ; ; ;3;2; ;2; ; ; ; ;2; ; ; ;1;1;2;1;2;2;2;2;2;2;2; ;1;2; ;2;2;1;2;8; ;1;2;60;05;1;1; ;0501; ; ;640000;06; ;63;1115,08292219255
3231153;1;1;1;60;2;1;1; ; ;1;1; ;2;2;2;3; ;1; ;480000;2; ; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ;2;2; ;2;2;2; ; ; ;2; ; ; ; ;2;2;2;2; ;.; ; ; ; ; ;.;12; ; ;2;2; ; ; ;2; ; ; ; ; ;63;45; ;.;45; ; ;2;8; ;2; ; ; ;1; ; ; ; ; ; ; ;1; ;2;1;24;1; ;2; ; ; ; ;0;2; ;2; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;8; ;1;2;62;01;1;8; ;0111; ; ;480000;06; ;63;1017,67595653815
3231155;1;1;1;60;2;1;1; ; ;1;1; ;2;1;2;15; ;1; ;520000;2; ; ;2; ;1;200000;2; ;2; ; ; ; ; ; ; ; ;2;2; ;2;2;2; ; ; ;2; ; ; ; ;2;2;2;2; ;.; ; ; ; ; ;.;12; ; ;2;2; ; ; ;2; ; ; ; ; ;63;50; ;.;50; ; ;2;8; ;1;2;3;16;1;1; ; ; ; ; ; ; ; ;9;1;6;1; ;2; ; ; ; ;18;2; ;1; ; ; ; ;2; ; ; ;1;1;2;1;1;2;2;2;2;2;2; ;2;1; ;1;1;1;2;8; ;2;2;60;01;1;1; ;0113; ; ;720000;06; ;63;836,783954039793
3231156;1;1;1;60;2;2; ; ; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ;520000;1;2300000;1; ;12; ; ; ; ; ; ; ; ; ; ; ;3; ;63;45; ;.;45; ; ;1;8; ;2; ; ; ;1; ; ; ; ; ; ; ;1; ;2;1;1;4; ;2; ; ; ; ;0;2; ;2; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;8; ;2;2;63;02;1;4; ;0201; ; ;520000;06; ;63;1102,15180839877
3231156;1;2;1;60;2;1;1; ; ;1;2; ;2;2;2;4; ;1; ;108000;2; ; ;2; ;1;120000;2; ;2; ; ; ; ; ; ; ; ;2;2; ;2;2;2; ; ; ;2; ; ; ; ;2;2;2;2; ;.; ; ; ; ; ;.;12; ; ;2;2; ; ; ;2; ; ; ; ; ;63;40; ;.;40; ; ;9;7; ;2; ; ; ;1; ; ; ; ; ; ; ;1; ;2;1;2;4; ;2; ; ; ; ;0;2; ;2; ; ; ; ;2; ; ; ;1;1;2;1;2;2;2;2;2;2;2; ;2;1; ;2;2;1;2;8; ;2;1;53;85;1;1; ;8532; ; ;228000;06; ;63;1102,15180839877
3231156;2;1;2;60;2;2; ; ; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ;360000;1;2300000;1; ;12; ; ; ; ; ; ; ; ; ; ; ;3; ;63;45; ;.;45; ; ;1;8; ;2; ; ; ;1; ; ; ; ; ; ; ;1; ;2;1;1;4; ;2; ; ; ; ;0;2; ;2; ; ; ; ;2; ; ; ;1;1;2;1;2;2;2;2;2;2;2; ;1;1; ;2;2;1;1;8; ;2;1;63;02;1;4; ;0201; ; ;360000;06; ;63;1102,15180839877
3231157;1;1;1;60;2;1;1; ; ;1;1; ;1;1;1;78; ;1; ;880000;2; ; ;2; ;1;150000;2; ;2; ; ; ; ; ; ; ; ;2;2; ;2;2;2; ; ; ;2; ; ;892000; ;2;1;2;2; ;.; ; ; ; ; ;.;12; ; ;2;2; ; ; ;2; ; ; ; ; ;63;60; ;.;60; ; ;6;8; ;1;2;3;6;1; ; ;1; ; ; ; ; ; ;2;1;48;8; ;2; ; ; ; ;0;2; ;1; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;2; ;2;2;60;01;1;1; ;0111; ; ;1030000;06; ;63;836,783954039793
3231157;1;2;1;60;2;1;1; ; ;1;1; ;2;2;2;30; ;1; ;480000;2; ; ;1;140000;1;100000;2; ;2; ; ; ; ; ; ; ; ;2;2; ;2;2;2; ; ; ;2; ; ; ; ;2;2;2;2; ;.; ; ; ; ; ;.;12; ; ;2;2; ; ; ;2; ; ; ; ; ;63;60; ;.;60; ; ;6;1; ;2; ; ; ;1; ; ; ; ; ; ; ;1; ;2;1;15;1; ;2; ; ; ; ;0;2; ;2; ; ; ; ;1;14;1;1;1;1;2;1;2;2;2;2;2;2;1;POR UN TRABAJO INDEPENDIENTE;2;1; ;1;1;1;2;3; ;1;1;53;01;1;1; ;0111; ; ;720000;06; ;63;836,783954039793
3231159;1;1;1;60;2;1;1; ; ;1;1; ;1;1;1;28; ;1; ;480000;2; ; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ;2;2; ;2;2;1;20000;2; ;2; ; ; ; ;2;2;2;2; ;.; ; ; ; ; ;.;12; ; ;2;2; ; ; ;2; ; ; ; ; ;63;50; ;.;50; ; ;2;8; ;2; ; ; ;1; ; ; ; ; ; ; ;1; ;2;1;1;4; ;2; ; ; ; ;0;2; ;2; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;8; ;1;2;60;01;1;1; ;0111; ; ;480000;06; ;63;843,524292891615
3231161;1;1;1;60;2;2; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ;300000;1;1000000;1; ;5; ; ; ; ; ; ; ; ; ; ; ;3; ;63;45; ;.;27;1; ;1;8; ;2; ; ; ;1; ; ; ; ; ; ; ;1; ;2;1;1;8; ;2; ; ; ; ;1;2; ;2; ; ; ; ;2; ; ; ;1;1;2;1;2;1;2;2;2;2;2; ;1;1; ;2;2;1;2;9; ;2;1;61;01;1;4; ;0111; ; ;300000;06; ;63;1017,67595653815
3231161;1;2;1;60;2;2; ; ; ; ; ; ; ; ; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ;0;1;0;1; ;3; ; ; ; ; ; ; ; ; ; ; ;3; ;63;40; ;.;40; ; ;1;7; ;2; ; ; ;1; ; ; ; ; ; ; ;1; ;2;1;3;4; ;2; ; ; ; ;0;2; ;2; ; ; ; ;2; ; ; ;1;1;2;1;2;2;2;2;2;2;2; ;1;1; ;2;2;2;2;3; ;2;1;55;74;1;4; ;7493; ; ;0;06; ;63;1017,67595653815
3231162;1;1;1;60;2;1;1; ; ;1;1; ;2;2;2;14; ;1; ;520000;2; ; ;2; ;1;100000;2; ;2; ; ; ; ; ; ; ; ;2;2; ;2;2;2; ; ; ;2; ; ; ; ;2;2;2;2; ;.; ; ; ; ; ;.;12; ; ;2;2; ; ; ;2; ; ; ; ; ;63;45; ;.;45; ; ;6;8; ;2; ; ; ;1; ; ; ; ; ; ; ;1; ;2;1;6;8; ;2; ; ; ; ;0;2; ;2; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;1;2;9; ;1;1;62;01;1;8; ;0111; ; ;620000;06; ;63;836,783954039793
3231162;1;2;1;60;2;2; ; ; ; ; ; ; ; ; ;12; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ;225000;1;1800000;1; ;12; ; ; ; ; ; ; ; ; ; ; ;3; ;63;36;1; ;36; ; ;1;2; ;2; ; ; ;1; ; ; ; ; ; ; ;1; ;2;1;2;8; ;2; ; ; ; ;3;2; ;2; ; ; ; ;1;24;2;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;2;2;3; ;2;1;53;01;1;4; ;0140; ; ;225000;06; ;63;836,783954039793
3231177;1;1;1;60;2;2; ; ; ; ; ; ; ; ; ;360; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ;500000;1;6000000;3; ;12; ; ; ; ; ; ; ; ; ; ; ;3; ;63;60; ;.;60; ; ;1;8; ;2; ; ; ;1; ; ; ;1; ; ; ; ; ;2;1;60;4; ;2; ; ; ; ;1;2; ;2; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;1;2;3; ;1;1;61;01;1;4; ;0111; ; ;500000;06; ;63;910,191598900286
3231178;1;1;1;60;2;2; ; ; ; ; ; ; ; ; ;120; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ;300000;1;3600000;3; ;12; ; ; ; ; ; ; ; ; ; ; ;3; ;63;40; ;.;40; ; ;1;8; ;2; ; ; ;1; ; ; ; ; ; ; ;1; ;2;2; ; ; ;2; ; ; ; ; ;2; ;2; ; ; ; ;2; ; ; ;1;1;1;1;2;2;2;2;2;2;2; ;2;1; ;1;2;1;2;8; ;2;2;61;01;1;4; ;0111; ; ;300000;06; ;63;893,344667359234
3231179;1;1;1;60;2;1;1; ; ;1;1; ;2;2;2;8; ;1; ;400000;2; ; ;2; ;1;100000;2; ;2; ; ; ; ; ; ; ; ;2;2; ;2;2;2; ; ; ;2; ; ; ; ;2;2;2;2; ;.; ; ; ; ; ;.;8; ; ;2;2; ; ; ;2; ; ; ; ; ;63;60; ;.;60; ; ;1;1; ;2; ; ; ;1; ; ; ; ; ; ; ;1; ;2;1;84;4; ;1;10;4; ;60000;5;2; ;1; ;1;2;63;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;1;2;8; ;1;1;62;01;1;8; ;0113; ; ;560000;06; ;63;729,190508070519
3231183;1;1;1;60;2;1;1; ; ;1;1; ;1;1;1;72; ;1; ;460000;2; ; ;2; ;1;35000;2; ;2; ; ; ; ; ; ; ; ;2;2; ;2;2;2; ; ; ;2; ; ;200000;200000;2;1;1;2; ;.; ; ; ; ; ;.;12; ; ;2;2; ; ; ;2; ; ; ; ; ;63;54; ;.;54; ; ;2;8; ;1;1;3;6;1; ; ; ; ; ; ; ;1; ;1;1;12;4; ;2; ; ; ; ;0;2; ;1; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;3; ;1;1;62;01;1;8; ;0111; ; ;495000;06; ;63;836,783954039793
3231184;1;1;1;60;2;2; ; ; ; ; ; ; ; ; ;420; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ;300000;1;3600000;3; ;12; ; ; ; ; ; ; ; ; ; ; ;3; ;63;54; ;.;54; ; ;1;8; ;2; ; ; ;1; ; ; ; ; ; ; ;1; ;2;1;12;4; ;2; ; ; ; ;0;2; ;2; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;1;2;8; ;1;1;61;01;1;4; ;0111; ; ;300000;06; ;63;729,190508070519
3231187;1;1;1;60;2;1;2;1; ;1;1; ;1;1;1;78; ;1; ;800000;2; ; ;2; ;1;100000;2; ;2; ; ; ;68000; ;2; ; ;2;1; ;2;2;2; ; ; ;2; ; ;400000; ;2;1;2;2; ;.; ; ; ; ; ;.;12; ; ;2;2; ; ; ;2; ; ; ; ; ;63;60; ;.;60; ; ;6;8; ;1;1;1;6;1;1; ; ; ; ; ; ; ; ;1;1;12;4; ;2; ; ; ; ;0;1; ;1; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;8; ;1;1;60;01;1;1; ;0111; ; ;900000;06; ;63;970,663757251036
3231188;1;1;1;60;2;2; ; ; ; ; ; ; ; ; ;96; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ;440000;1;5280000;3; ;12; ; ; ; ; ; ; ; ; ; ; ;3; ;63;54; ;.;54; ; ;1;8; ;2; ; ; ;1; ; ; ; ; ; ; ;1; ;2;2; ; ; ;2; ; ; ; ; ;2; ;5; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;1;2;8; ;2;2;61;01;1;4; ;0116; ; ;440000;06; ;63;944,500279927861
3231188;1;2;1;60;2;2; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ;260000;1;500000;1; ;2; ; ; ; ; ; ; ; ; ; ; ;3; ;63;12;2; ;12; ; ;1;1; ;2; ; ; ;1; ; ; ; ; ; ; ;1; ;2;1;1;4; ;2; ; ; ; ;2;2; ;5; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;1;2;3; ;2;1;53;55;1;4; ;5529; ; ;260000;06; ;63;944,500279927861
3231188;1;6;1;60;2;2; ; ; ; ; ; ; ; ; ;12; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ;172000;1;1200000;1; ;12; ; ; ; ; ; ; ; ; ; ; ;3; ;63;28;1; ;28; ; ;1;8; ;2; ; ; ;1; ; ; ; ; ; ; ;1; ;2;1;2;4; ;2; ; ; ; ;0;2; ;2; ; ; ; ;1;20;2;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;1;2;3; ;2;1;61;01;1;4; ;0116; ; ;172000;06; ;63;944,500279927861
