DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7430;P7440;P7450;P7450S1;P7452;P7454;P7456;P7458;P7458S1;P7460;P7470;P7472;P7472S1;P744;P1884;P1807;P6921;INI;MES;DPTO;fex_c_2011
4543987;1;2;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;2; ;98; ;1;02;76;4334,04854362628
4543987;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;02;76;4334,04854362628
4543988;1;2;1;80;2;1;2;3; ;2; ; ;1; ;2; ;2; ;1;30;300000;2;1;02;76;4998,25169538423
4543988;1;3;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;02;76;4998,25169538423
4543988;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;02;76;4998,25169538423
4543988;1;5;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;02;76;4998,25169538423
4543988;1;6;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;02;76;4998,25169538423
4543989;1;1;1;80;2;1;1;8; ;2; ; ;8; ;2; ;2; ;1;48;781242;2;1;02;76;7665,16206450208
4543989;1;3;1;80;2;1;1;8; ;2; ; ;2; ;2; ;1;98; ; ; ;2;1;02;76;7665,16206450208
4543989;1;5;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;02;76;7665,16206450208
4543990;1;2;1;80;2;1;2;7; ;2; ; ;1; ;2; ;2; ;1;15;300000;2;1;02;76;6573,89218947294
4543991;1;1;1;80;2;1;3;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;02;76;6132,69312176758
4543992;1;2;1;80;2;1;2;8; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;02;76;6092,30009104158
4543992;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;02;76;6092,30009104158
4545301;1;1;1;80;2;1;1;8; ;1; ;1;9; ;2; ;2; ;2; ;400000;2;1;02;68;923,588468660697
4545303;1;1;1;80;2;1;3;8; ;2; ; ;1; ;2; ;2; ;1;24;781000;2;1;02;68;752,142814395974
4545304;1;1;1;80;2;1;4;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;02;68;1448,60661209485
4545304;1;2;1;80;2;1;4;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;02;68;1448,60661209485
4545305;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;02;68;713,430990015065
4545305;1;3;1;80;2;1;2;8; ;1; ;2;1; ;2; ;2; ;1;48;800000;2;1;02;68;713,430990015065
4545305;1;5;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;02;68;713,430990015065
4545305;1;7;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;02;68;713,430990015065
4545306;1;2;1;80;2;1;3;6; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;02;68;1183,54143419178
4545306;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;02;68;1183,54143419178
4545306;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;02;68;1183,54143419178
4545307;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;02;68;1013,23403707887
4545308;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;02;68;1013,23403707887
4545309;1;2;1;80;2;1;3;3; ;2; ; ;9; ;2; ;2; ;2; ;800000;2;1;02;68;618,744592543366
4545310;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;02;68;1092,37896561642
4545312;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;02;68;870,459443627931
4545313;1;2;1;80;2;1;2;3; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;02;68;1012,09577992706
4545315;1;2;1;80;2;1;4;3; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;02;68;635,553096396738
4545315;1;3;1;80;2;1;3;3; ;2; ; ;9; ;2; ;2; ;2; ;98;2;1;02;68;635,553096396738
4545317;1;2;1;80;2;1;3;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;02;68;671,80223425767
4545317;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;02;68;671,80223425767
4545318;1;2;1;80;2;1;3;3; ;2; ; ;1; ;2; ;2; ; ; ; ;2;1;02;68;460,454735468273
4545320;1;1;1;80;2;1;1;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;02;68;465,624342289205
4545323;1;2;1;80;2;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;02;68;762,964702833034
4545323;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;02;68;762,964702833034
4545323;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;02;68;762,964702833034
4545324;1;2;1;80;2;1;1;7; ;2; ; ;1; ;2; ;2; ;1;48;780000;2;1;02;68;923,588468660697
4545325;1;2;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;02;68;566,641402215343
4545342;1;2;1;80;2;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;02;13;2277,55481039589
4545344;1;2;1;80;2;1;2;3; ;2; ; ;9; ;2; ;2; ;2; ;400000;2;1;02;13;1852,54197385435
4545344;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;02;13;1852,54197385435
4545344;1;5;1;80;2;1;1;2; ;2; ; ;2; ; ; ;2; ; ; ; ; ;1;02;13;1852,54197385435
4545345;1;1;1;80;2;1;2;6; ;2; ; ;9; ;2; ;2; ;2; ;400000;2;1;02;13;1407,66307049475
4545345;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;02;13;1407,66307049475
4545345;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;02;13;1407,66307049475
4545348;1;1;1;80;2;1;4;7; ;2; ; ;8; ;2; ;2; ;2; ;400000;2;1;02;13;1797,61894968849
4545349;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;02;13;1349,82219937974
4545349;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;02;13;1349,82219937974
4545349;1;5;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;02;13;1349,82219937974
4545354;1;3;1;80;2;1;4;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;02;13;1013,83367163228
4545355;1;2;1;80;2;1;4;7; ;2; ; ;1; ;2; ;2; ;2; ;400000;2;1;02;13;1191,75886832759
4545356;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;02;13;1248,2259665657
4545357;1;1;1;80;2;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;02;13;851,463404799952
4545357;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;02;13;851,463404799952
4548208;1;2;1;80;2;1;1;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;02;25;4716,45889038618
4548208;1;3;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;02;25;4716,45889038618
4548209;1;2;1;80;2;1;3;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;02;25;1834,52165812801
4548214;1;2;1;80;2;1;3;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;02;25;4485,90351335367
4548214;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;02;25;4485,90351335367
4548220;1;3;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;02;25;3187,57041726404
4548220;1;4;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;02;25;3187,57041726404
4548222;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;02;25;3266,9947552029
4548226;1;2;1;80;2;1;3;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;02;25;2239,20542247886
4548229;1;1;1;80;2;1;3;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;02;25;1834,52165812801
4548229;1;2;1;80;2;1;4;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;02;25;1834,52165812801
4548229;1;3;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;02;25;1834,52165812801
4548233;1;3;1;80;2;1;4;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;02;25;1834,52165812801
4548236;1;1;1;80;2;1;4;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;02;25;4515,01660671532
4548240;1;1;1;80;2;1;4;7; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;02;25;2992,4893375841
4548241;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;02;25;3710,32062034557
4548241;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;02;25;3710,32062034557
4548243;1;6;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;02;25;3728,08384425912
4548245;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;02;25;3556,33893522987
4548245;1;5;1;80;2;1;2;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;02;25;3556,33893522987
4548248;1;3;1;80;2;1;1;2; ;2; ; ;2; ;2; ;2; ; ; ; ;2;1;02;25;4101,01931195059
4548249;1;2;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;02;25;2491,4118621948
4548249;1;3;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;30;400000;2;1;02;25;2491,4118621948
4548251;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;02;25;2264,34537812236
4548253;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;02;25;3266,9947552029
4548257;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;02;25;2882,11055379981
4548270;1;3;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;02;25;2882,11055379981
4548275;1;2;1;80;2;1;1;8; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;02;25;4870,78771475676
4548275;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;02;25;4870,78771475676
4548276;1;1;1;80;2;1;4;9;ACTIVIDAD RELIGIOSA;2; ; ;12;ACTIVIDAD RELIGIOSA;2; ;2; ; ; ; ;2;1;02;25;3757,21284010295
4548276;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;02;25;3757,21284010295
4548276;1;3;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;02;25;3757,21284010295
4548276;1;4;1;80;2;1;4;9;ACTIVIDAD RELIGIOSA;2; ; ;12;ACTIVIDAD RELIGIOSA;2; ;2; ; ; ; ;2;1;02;25;3757,21284010295
4548276;1;5;1;80;2;1;4;9;ACTIVIDAD RELIGIOSA;2; ; ;12;ACTIVIDAD RELIGIOSA;2; ;2; ; ; ; ;2;1;02;25;3757,21284010295
4548288;1;1;1;80;2;1;1;4; ;2; ; ;8; ;2; ;2; ; ; ; ;2;1;02;73;1384,17757962935
4548289;1;2;1;80;2;1;4;8; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;02;73;833,345012535913
4548290;1;2;1;80;2;1;1;8; ;2; ; ;8; ;2; ;2; ; ; ; ;2;1;02;73;833,345012535913
4548291;1;2;1;80;2;1;1;8; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;02;73;833,345012535913
4548292;1;2;1;80;2;1;1;8; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;02;73;833,345012535913
4548293;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;02;73;1135,33025268575
4548343;1;2;1;80;2;1;1;8; ;2; ; ;9; ;2; ;2; ;2; ;600000;2;1;02;73;5560,42126019514
4548343;1;5;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;02;73;5560,42126019514
4548344;1;2;1;80;2;1;1;7; ;2; ; ;8; ;1; ;2; ;2; ;781242;2;1;02;73;6181,79960664108
4548344;1;3;1;80;2;1;1;2; ;2; ; ;2; ;2; ;2; ; ; ; ;2;1;02;73;6181,79960664108
4548344;1;4;1;80;2;1;1;8; ;2; ; ;2; ;2; ;2; ; ; ; ;2;1;02;73;6181,79960664108
4548344;1;5;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;02;73;6181,79960664108
4548345;1;1;1;80;2;1;3;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;02;73;3640,03401327842
4548345;1;2;1;80;2;1;4;7; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;02;73;3640,03401327842
4548345;1;5;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;2; ;800000;2;1;02;73;3640,03401327842
4548346;1;1;1;80;2;1;3;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;02;73;3816,17253522203
4548348;1;1;1;80;2;1;1;8; ;2; ; ;1; ;2; ;2; ;2; ;450000;2;1;02;73;4858,45655874997
4548349;1;1;1;80;2;1;4;3; ;2; ; ;9; ;2; ;2; ;2; ;780000;2;1;02;73;5307,63461315166
4548349;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;02;73;5307,63461315166
4548351;1;2;1;80;2;1;4;4; ;2; ; ;8; ;2; ;2; ; ; ; ;2;1;02;73;2699,12770300728
4548360;1;2;1;80;2;1;4;4; ;2; ; ;4; ;2; ;2; ;2; ;98;2;1;02;73;2699,12770300728
4548375;1;1;1;80;2;1;2;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;02;73;2085,16844776116
4548375;1;5;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;02;73;2085,16844776116
4548376;1;2;1;80;2;1;1;8; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;02;73;4096,36930992469
4548376;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;02;73;4096,36930992469
4548380;1;2;1;80;2;1;4;4; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;02;73;2699,12770300728
4548381;1;1;1;80;2;1;3;9;POR LA EDAD;2; ; ;8; ;2; ;2; ; ; ; ;2;1;02;73;2699,12770300728
4548381;1;2;1;80;2;1;1;8; ;2; ; ;9; ;2; ;2; ;2; ;98;2;1;02;73;2699,12770300728
4548382;1;2;1;80;2;1;2;2; ;2; ; ;2; ; ; ;2; ; ; ; ; ;1;02;73;2085,16844776116
4548382;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;02;73;2085,16844776116
4548383;1;2;1;80;2;1;4;3; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;02;73;2085,16844776116
4548383;1;4;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;02;73;2085,16844776116
4548384;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;02;73;3431,1536781425
4548385;1;3;1;80;2;1;4;6; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;02;73;4098,20477161906
4548388;1;2;1;80;2;1;4;8; ;2; ; ;9; ;2; ;2; ;1;40;781242;2;1;02;76;2188,43198888457
4548389;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;02;76;2189,39690620843
4548392;1;1;1;80;2;1;4;3; ;2; ; ;11; ;2; ;2; ; ; ; ;2;1;02;76;2393,04321024343
4548392;1;2;1;80;2;1;3;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;02;76;2393,04321024343
4548392;1;3;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;40;781242;2;1;02;76;2393,04321024343
4548393;1;2;1;80;2;1;2;7; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;02;76;2136,09816971631
4548393;1;6;1;80;2;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;02;76;2136,09816971631
4548394;1;2;1;80;2;1;4;7; ;2; ; ;4; ;2; ;2; ;1;20;200000;2;1;02;76;2553,40974019295
4548394;1;3;1;80;2;1;1;8; ;2; ; ;4; ;2; ;1;60000;2; ;600000;2;1;02;76;2553,40974019295
4548395;1;1;1;80;2;1;4;4; ;2; ; ;4; ;2; ;2; ;1;20;781242;2;1;02;76;2121,32101021838
4548396;1;2;1;80;2;1;1;6; ;2; ; ;9; ;2; ;2; ;1;40;781242;2;1;02;76;1832,31965910804
4548396;1;3;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;02;76;1832,31965910804
4548396;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;02;76;1832,31965910804
4548398;1;2;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;02;76;2072,41579128269
4548399;1;5;1;80;2;1;3;2; ;2; ; ;2; ;2; ;2; ;1;40;500000;2;1;02;76;1818,36850658293
