DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P7480;P7480S1;P7480S2;P7480S3;P7480S4;P7480S5;P7480S6;P7480S7;P7480S8;P7480S9;P7480S10;P7480S11;P7480S1A1;P7480S2A1;P7480S3A1;P7480S4A1;P7480S5A1;P7480S6A1;P7480S7A1;P7480S8A1;P7480S9A1;P7480S10A1;P7480S11A1;AREA;FT;DPTO;fex_c_2011
803431;1;2;1;90;;2;;1;2;2;2;2;2;2;2;1;;;7;;;;;;;;10;5;1;5;140.751.673.410.471
803432;1;1;1;90;;2;;1;2;2;2;2;2;2;2;2;;;1;;;;;;;;;5;1;5;255.009.292.410.934
803432;1;2;1;90;;2;;1;2;2;2;2;2;2;2;2;;;4;;;;;;;;;5;1;5;255.009.292.410.934
803433;1;1;1;90;;2;;1;2;1;2;2;2;2;2;1;;;30;;45;;;;;;3;5;1;5;237.705.035.829.536
803434;1;1;1;90;;2;;1;2;2;2;2;2;2;2;2;;;7;;;;;;;;;5;1;5;201.077.427.733.209
803434;1;2;1;90;;2;;1;2;2;2;2;2;2;2;2;;;7;;;;;;;;;5;1;5;201.077.427.733.209
803435;1;1;1;90;;2;;2;2;1;2;2;2;2;2;1;;;;;5;;;;;;8;5;1;5;208.406.739.104.906
803435;1;2;1;90;;2;;1;2;1;2;2;2;2;2;2;;;21;;6;;;;;;;5;1;5;208.406.739.104.906
803435;1;3;1;90;;2;;1;2;1;2;2;2;2;2;2;;;28;;28;;;;;;;5;1;5;208.406.739.104.906
803436;1;1;1;90;;2;;1;2;2;1;2;2;2;2;1;;;28;;;10;;;;;10;5;1;5;751.488.280.093.602
803436;1;2;1;90;;2;;1;2;2;2;2;2;2;2;2;;;28;;;;;;;;;5;1;5;751.488.280.093.602
803436;1;3;1;90;;2;;1;2;2;2;2;2;2;2;2;;;2;;;;;;;;;5;1;5;751.488.280.093.602
803436;1;4;1;90;;2;;1;2;2;2;2;2;2;2;2;;;7;;;;;;;;;5;1;5;751.488.280.093.602
803436;1;5;1;90;;2;;1;2;2;2;2;2;2;2;2;;;4;;;;;;;;;5;1;5;751.488.280.093.602
803436;1;6;1;90;;2;;1;2;2;2;2;2;2;2;2;;;14;;;;;;;;;5;1;5;751.488.280.093.602
803437;1;1;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;5;1;5;212.735.212.079.831
803437;1;2;1;90;;2;;1;2;1;2;2;2;2;2;2;;;15;;10;;;;;;;5;1;5;212.735.212.079.831
803438;1;1;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;5;1;5;909.456.031.811.709
803438;1;2;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;5;1;5;909.456.031.811.709
803438;1;3;1;90;;2;;1;2;2;2;2;2;2;2;2;;;15;;;;;;;;;5;1;5;909.456.031.811.709
803438;1;5;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;5;1;5;909.456.031.811.709
803438;1;6;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;5;1;5;909.456.031.811.709
803439;1;1;1;90;;2;;1;2;2;2;2;2;2;2;2;;;12;;;;;;;;;5;1;5;818.594.780.566.776
803439;1;2;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;5;1;5;818.594.780.566.776
803439;1;3;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;5;1;5;818.594.780.566.776
803439;1;4;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;5;1;5;818.594.780.566.776
803440;1;1;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;5;1;5;661.100.781.493.289
803440;1;2;1;90;;2;;1;2;1;2;2;2;2;2;2;;;20;;10;;;;;;;5;1;5;661.100.781.493.289
803440;1;3;1;90;;2;;1;2;2;2;2;2;2;2;2;;;5;;;;;;;;;5;1;5;661.100.781.493.289
803441;1;1;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;5;1;5;920.350.935.801.512
803441;1;2;1;90;;2;;1;2;2;2;2;2;2;2;2;;;10;;;;;;;;;5;1;5;920.350.935.801.512
803443;1;1;1;90;;2;;1;2;2;1;2;2;2;2;2;;;15;;;10;;;;;;5;1;5;637.648.808.195.363
803443;1;2;1;90;;2;;1;2;2;2;2;2;2;2;2;;;5;;;;;;;;;5;1;5;637.648.808.195.363
803443;1;4;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;5;1;5;637.648.808.195.363
803443;1;5;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;5;1;5;637.648.808.195.363
803444;1;1;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;5;1;5;956.722.302.631.592
803444;1;2;1;90;;2;;1;2;2;2;2;2;2;2;2;;;20;;;;;;;;;5;1;5;956.722.302.631.592
803444;1;3;1;90;;2;;1;2;1;2;2;2;2;2;2;;;10;;5;;;;;;;5;1;5;956.722.302.631.592
803444;2;1;2;90;;2;;1;2;2;2;2;2;2;2;2;;;15;;;;;;;;;5;1;5;956.722.302.631.592
803446;1;1;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;5;1;5;828.326.201.154.785
803446;1;2;1;90;;2;;1;2;2;1;2;1;2;2;2;;;10;;;10;;8;;;;5;1;5;828.326.201.154.785
803446;1;3;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;5;1;5;828.326.201.154.785
803447;1;1;1;90;;2;;1;2;2;2;2;2;2;2;2;;;15;;;;;;;;;5;1;5;417.110.431.144.085
803447;1;2;1;90;;2;;1;2;2;2;2;1;2;2;2;;;15;;;;;5;;;;5;1;5;417.110.431.144.085
803447;1;3;1;90;;2;;1;2;2;2;2;2;2;2;2;;;10;;;;;;;;;5;1;5;417.110.431.144.085
803447;1;5;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;5;1;5;417.110.431.144.085
803447;1;6;1;90;;2;;1;2;2;2;2;2;2;2;2;;;5;;;;;;;;;5;1;5;417.110.431.144.085
803448;1;1;1;90;;2;;1;2;2;1;2;2;2;2;2;;;6;;;20;;;;;;5;1;5;194.461.554.208.331
803449;1;1;1;90;;2;;2;2;2;2;2;1;2;2;2;;;;;;;;5;;;;5;1;5;765.903.079.720.077
803449;1;2;1;90;;2;;1;2;1;2;2;2;2;2;2;;;20;;10;;;;;;;5;1;5;765.903.079.720.077
803449;1;3;1;90;;2;;2;2;2;2;2;1;2;2;2;;;;;;;;4;;;;5;1;5;765.903.079.720.077
803450;1;1;1;90;;2;;1;2;2;2;2;2;2;2;2;;;5;;;;;;;;;5;1;5;644.956.659.125.666
803450;1;2;1;90;;2;;2;2;2;2;2;2;1;1;2;;;;;;;;;20;2;;5;1;5;644.956.659.125.666
803450;1;3;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;5;1;5;644.956.659.125.666
803450;1;4;1;90;;2;;1;2;2;2;2;2;2;2;2;;;10;;;;;;;;;5;1;5;644.956.659.125.666
803451;1;1;1;90;;2;;1;2;2;2;2;2;2;2;2;;;5;;;;;;;;;5;1;5;709.117.373.599.438
803451;2;1;2;90;;2;;1;2;1;2;2;1;2;2;2;;;15;;10;;;3;;;;5;1;5;709.117.373.599.438
803453;1;1;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;5;1;5;95.638.377.114.086
803453;1;2;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;5;1;5;95.638.377.114.086
803453;1;3;1;90;;2;;1;2;2;2;2;2;2;2;2;;;15;;;;;;;;;5;1;5;95.638.377.114.086
803453;1;4;1;90;;2;;1;2;2;2;2;2;2;2;2;;;10;;;;;;;;;5;1;5;95.638.377.114.086
803454;1;1;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;5;1;5;854.987.861.318.046
803454;1;2;1;90;;2;;1;2;2;2;2;2;2;2;2;;;20;;;;;;;;;5;1;5;854.987.861.318.046
803454;1;3;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;5;1;5;854.987.861.318.046
803454;1;4;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;5;1;5;854.987.861.318.046
803455;1;1;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;5;1;5;566.631.560.363.613
803455;1;2;1;90;;2;;1;2;1;2;2;2;2;2;2;;;20;;10;;;;;;;5;1;5;566.631.560.363.613
803456;1;1;1;90;;2;;1;2;2;2;2;2;2;2;2;;;8;;;;;;;;;5;1;5;792.011.587.941.054
803457;1;1;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;5;1;5;830.113.033.738.488
803457;1;2;1;90;;2;;1;2;2;2;2;2;2;2;2;;;10;;;;;;;;;5;1;5;830.113.033.738.488
803457;1;3;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;5;1;5;830.113.033.738.488
