DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P7430;P7440;P7450;P7450S1;P7460;P7470;P7472;P7472S1;P7454;P7456;P7458S1;P7458;P7452;INI;DPTO;fex_c_2011
1140039;1;6;1;80;66;1;2;7; ;2; ;2; ; ; ; ;9;2;1;66;269,700028286032
1140042;1;2;1;80;66;1;4;3; ;2; ;2; ; ; ; ;9;2;1;66;342,682455031642
1140043;1;2;1;80;66;1;3;4; ;2; ;2; ; ; ; ;9;2;1;66;290,142584809512
1140043;1;4;1;80;66;1;1;4; ;2; ;2; ; ; ; ;4;2;1;66;290,142584809512
1140045;1;3;1;80;66;1;1;2; ;2; ;2; ; ; ; ;2;2;1;66;257,892426450093
1140046;1;1;1;80;66;1;4;3; ;1;2;2; ; ; ; ;9;2;1;66;265,570488297888
1140046;1;3;1;80;66;2; ; ; ;2; ;2; ;2; ;.; ; ;1;66;265,570488297888
1140047;1;1;1;80;66;1;3;5; ;3; ;2; ; ; ; ;10;2;1;66;382,98318867579
1140049;1;3;1;80;66;2; ; ; ;2; ;2; ;2; ;.; ; ;1;66;624,310286047025
1140050;1;1;1;80;66;1;4;5; ;3; ;2; ; ; ; ;10;2;1;66;653,086106914704
1140050;1;2;1;80;66;1;4;5; ;3; ;2; ; ; ; ;10;2;1;66;653,086106914704
1140050;1;5;1;80;66;1;1;8; ;2; ;2; ; ; ; ;2;2;1;66;653,086106914704
1140051;1;2;1;80;66;1;4;3; ;2; ;2; ; ; ; ;9;2;1;66;519,230545602764
1140051;1;5;1;80;66;2; ; ; ;2; ;2; ;2; ;.; ; ;1;66;519,230545602764
1140052;1;1;1;80;66;1;4;3; ;2; ;2; ; ; ; ;9;2;1;66;693,306766207414
1140053;1;5;1;80;66;1;2;8; ;2; ;2; ; ; ; ;2;2;1;66;287,509417774763
1140054;1;1;1;80;66;1;3;5; ;3; ;2; ; ; ; ;10;2;1;66;342,682455031642
1140054;1;2;1;80;66;1;4;5; ;3; ;2; ; ; ; ;10;2;1;66;342,682455031642
1140055;1;1;1;80;66;1;4;4; ;2; ;2; ; ; ; ;4;2;1;66;320,732985552267
1140055;1;2;1;80;66;1;4;3; ;2; ;2; ; ; ; ;9;2;1;66;320,732985552267
1140059;1;2;1;80;66;1;1;7; ;2; ;2; ; ; ; ;9;2;1;66;281,073903487553
1140060;1;3;1;80;66;2; ; ; ;2; ;2; ;2; ;.; ; ;1;66;306,83626022189
1140061;1;1;1;80;66;1;4;8; ;2; ;2; ; ;4; ;4;1;1;66;311,934013471784
1140061;1;4;1;80;66;2; ; ; ;2; ;2; ;2; ;.; ; ;1;66;311,934013471784
1140062;1;2;1;80;66;1;4;3; ;2; ;2; ; ; ; ;9;2;1;66;372,12309143202
1140062;1;3;1;80;66;2; ; ; ;2; ;2; ;2; ;.; ; ;1;66;372,12309143202
1140063;1;2;1;80;66;2; ; ; ;2; ;2; ;2; ;.; ; ;1;66;235,003597818656
1140063;1;3;1;80;66;2; ; ; ;2; ;2; ;2; ;.; ; ;1;66;235,003597818656
1140064;1;1;1;80;66;2; ; ; ;3; ;2; ;2; ;.; ; ;1;66;269,541416369952
1140064;1;4;1;80;66;2; ; ; ;2; ;2; ;2; ;.; ; ;1;66;269,541416369952
1140065;1;2;1;80;66;1;4;3; ;2; ;2; ; ; ; ;9;2;1;66;324,318482000099
1140065;1;5;1;80;66;1;4;4; ;2; ;2; ; ; ; ;4;2;1;66;324,318482000099
1140066;1;1;1;80;66;2; ; ; ;2; ;2; ;2; ;.; ; ;1;66;246,91638203485
1140066;1;5;1;80;66;2; ; ; ;2; ;2; ;2; ;.; ; ;1;66;246,91638203485
1140067;1;2;1;80;66;1;4;3; ;2; ;2; ; ; ; ;9;2;1;66;374,697994553059
1140068;1;2;1;80;66;1;4;6; ;2; ;2; ; ;3; ;1;1;1;66;327,885949020306
1140069;1;3;1;80;66;1;2;2; ;2; ;2; ; ; ; ;2;2;1;66;292,390666530287
1140071;1;2;1;80;66;2; ; ; ;2; ;2; ;2; ;.; ; ;1;66;233,65529677884
1140071;1;3;1;80;66;2; ; ; ;2; ;2; ;2; ;.; ; ;1;66;233,65529677884
1140072;1;3;1;80;66;2; ; ; ;2; ;2; ;2; ;.; ; ;1;66;238,97452589072
1140072;1;4;1;80;66;2; ; ; ;2; ;2; ;2; ;.; ; ;1;66;238,97452589072
1140073;1;2;1;80;66;1;2;6; ;2; ;2; ; ; ; ;8;2;1;66;263,995142761201
1140074;1;2;1;80;66;2; ; ; ;2; ;2; ;2; ;.; ; ;1;66;386,954116747855
1140074;1;3;1;80;66;2; ; ; ;2; ;2; ;2; ;.; ; ;1;66;386,954116747855
1140074;1;6;1;80;66;2; ; ; ;2; ;2; ;2; ;.; ; ;1;66;386,954116747855
1140077;1;2;1;80;66;1;1;4; ;2; ;2; ; ; ; ;4;2;1;66;281,073903487553
1140078;1;2;1;80;66;1;4;3; ;2; ;2; ; ; ; ;9;2;1;66;284,752183153594
1140078;1;3;1;80;66;2; ; ; ;2; ;2; ;2; ;.; ; ;1;66;284,752183153594
1140078;1;4;1;80;66;2; ; ; ;2; ;2; ;2; ;.; ; ;1;66;284,752183153594
1140079;1;1;1;80;66;2; ; ; ;1;2;2; ;2; ;.; ; ;1;66;319,886409618414
1140079;1;2;1;80;66;2; ; ; ;2; ;2; ;2; ;.; ; ;1;66;319,886409618414
1140081;1;1;1;80;66;1;4;5; ;3; ;2; ; ; ; ;10;2;1;66;256,053286617072
1140081;1;2;1;80;66;2; ; ; ;2; ;2; ;2; ;.; ; ;1;66;256,053286617072
1140082;1;2;1;80;66;1;4;7; ;2; ;2; ; ;2; ;8;1;1;66;289,266314392075
1140082;1;3;1;80;66;2; ; ; ;2; ;2; ;2; ;.; ; ;1;66;289,266314392075
1140084;1;2;1;80;66;1;3;3; ;2; ;2; ; ; ; ;9;2;1;66;325,189346940675
1140087;1;4;1;80;66;1;1;2; ;2; ;1;250000; ; ; ;2;2;1;66;268,216625593659
1140088;1;1;1;80;66;1;4;4; ;3; ;2; ; ; ; ;8;2;1;66;267,409628130908
1140088;1;3;1;80;66;1;3;2; ;2; ;2; ; ; ; ;2;2;1;66;267,409628130908
1140088;1;4;1;80;66;2; ; ; ;2; ;2; ;2; ;.; ; ;1;66;267,409628130908
1140091;1;4;1;80;68;2; ; ; ;2; ;2; ;2; ;.; ; ;1;68;923,655051178403
1140092;1;3;1;80;68;2; ; ; ;2; ;2; ;2; ;.; ; ;1;68;663,246018115957
1140098;1;2;1;80;68;2; ; ; ;2; ;2; ;2; ;.; ; ;1;68;1079,16137010492
1140098;1;3;1;80;68;2; ; ; ;2; ;2; ;2; ;.; ; ;1;68;1079,16137010492
1140098;1;4;1;80;68;2; ; ; ;2; ;2; ;2; ;.; ; ;1;68;1079,16137010492
1140099;1;1;1;80;68;1;4;3; ;2; ;2; ; ; ; ;9;2;1;68;830,229384570217
1140100;1;1;1;80;68;1;4;5; ;3; ;2; ; ; ; ;8;2;1;68;1057,32724902705
1140100;1;2;1;80;68;2; ; ; ;2; ;2; ;2; ;.; ; ;1;68;1057,32724902705
1140103;1;2;1;80;68;1;4;3; ;2; ;2; ; ; ; ;9;2;1;68;726,969404581026
1140105;1;3;1;80;68;2; ; ; ;2; ;2; ;2; ;.; ; ;1;68;491,318430904898
1140106;1;3;1;80;68;2; ; ; ;2; ;2; ;2; ;.; ; ;1;68;474,502289648471
1140106;1;4;1;80;68;2; ; ; ;2; ;2; ;2; ;.; ; ;1;68;474,502289648471
1140110;1;1;1;80;68;2; ; ; ;2; ;2; ;2; ;.; ; ;1;68;331,623009057978
1140110;1;3;1;80;68;2; ; ; ;2; ;2; ;2; ;.; ; ;1;68;331,623009057978
1140111;1;2;1;80;68;1;2;2; ;2; ;2; ; ;1; ;2;1;1;68;359,132090389349
1140112;1;1;1;80;73;1;4;5; ;2; ;2; ; ; ; ;10;2;1;73;210,09642215681
1140114;1;1;1;80;73;1;4;4; ;2; ;2; ; ; ; ;8;2;1;73;179,929569885692
1140115;2;2;2;80;73;1;1;8; ;2; ;2; ; ; ; ;6;2;1;73;194,781641470723
1140116;1;3;1;80;73;2; ; ; ;2; ;2; ;2; ;.; ; ;1;73;278,379664835895
1140117;1;4;1;80;73;2; ; ; ;2; ;2; ;2; ;.; ; ;1;73;323,508551305264
1140118;1;4;1;80;73;2; ; ; ;2; ;2; ;2; ;.; ; ;1;73;247,41817606098
1140120;1;1;1;80;73;1;4;3; ;2; ;2; ; ; ; ;9;2;1;73;210,09642215681
1140122;1;1;1;80;73;1;4;7; ;2; ;2; ; ; ; ;8;2;1;73;286,186797401094
1140122;1;2;1;80;73;1;4;7; ;2; ;2; ; ; ; ;9;2;1;73;286,186797401094
1140125;1;2;1;80;73;1;4;4; ;2; ;2; ; ; ; ;4;2;1;73;288,526437217543
1140125;1;3;1;80;73;2; ; ; ;2; ;2; ;2; ;.; ; ;1;73;288,526437217543
1140127;1;2;1;80;73;2; ; ; ;2; ;2; ;2; ;.; ; ;1;73;262,732956747067
