DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,P7495,P7500,P7500S1,P7500S2,P7500S3A1,P7500S2A1,P7500S1A1,P7500S3,P7505,P7510S3,P7510S6,P7510S2A1,P7510S6A1,P7510S5A1,P7510S3A1,P7510S1A1,P7510S5,P7510S1,P7510S2,P7510S7A1,P7510S7,clase,MES,DPTO,AREA,fex_c_2011
2752739,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,15,15,908.942.750.220.664
2752739,1,5,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,15,15,908.942.750.220.664
2752739,1,6,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,15,15,908.942.750.220.664
2752740,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,15,15,625.507.531.781.862
2752740,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,15,15,625.507.531.781.862
2752740,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,15,15,625.507.531.781.862
2752740,1,4,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,15,15,625.507.531.781.862
2752741,1,1,1,95,1,,2,1,,1000000,,2,2,,,,,,,,,,,,,1,8,15,15,82.083.454.070.834
2752742,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,15,15,101.106.323.801.362
2752742,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,15,15,101.106.323.801.362
2752743,1,1,1,95,1,,2,1,,800000,,2,2,,,,,,,,,,,,,1,8,15,15,82.083.454.070.834
2752744,1,1,1,95,2,,,,,,,,1,2,2,,,,,3600000,2,1,2,,2,1,8,15,15,563.318.349.705.934
2752744,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,15,15,563.318.349.705.934
2752745,1,1,1,95,1,,2,1,,820000,,2,2,,,,,,,,,,,,,1,8,15,15,724.699.964.167.293
2752746,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,15,15,731.960.812.199.286
2752746,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,15,15,731.960.812.199.286
2752746,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,15,15,731.960.812.199.286
2752746,1,4,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,15,15,731.960.812.199.286
2752747,1,1,1,95,1,,2,2,600000,,,1,2,,,,,,,,,,,,,1,8,15,15,93.252.207.968.098
2752747,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,15,15,93.252.207.968.098
2752748,1,1,1,95,2,,,,,,,,1,2,2,,,,,4800000,2,1,2,,2,1,8,15,15,82.083.454.070.834
2752749,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,15,15,890.203.163.588.434
2752749,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,15,15,890.203.163.588.434
2752749,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,15,15,890.203.163.588.434
2752750,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,15,15,634.680.067.234.411
2752750,1,2,1,95,2,,,,,,,,1,2,2,,,,,240000,2,1,2,,2,1,8,15,15,634.680.067.234.411
2752752,1,1,1,95,2,,,,,,,,1,2,2,,,,,4800000,2,1,2,,2,1,8,15,15,899.375.699.040.984
2752753,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,15,15,546.022.657.926.022
2752753,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,15,15,546.022.657.926.022
2752753,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,15,15,546.022.657.926.022
2752753,1,4,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,15,15,546.022.657.926.022
2752753,1,5,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,15,15,546.022.657.926.022
2752754,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,15,15,101.106.323.801.362
2752754,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,15,15,101.106.323.801.362
2752755,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,15,15,660.599.094.670.808
2752755,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,15,15,660.599.094.670.808
2752755,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,15,15,660.599.094.670.808
2752755,1,4,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,15,15,660.599.094.670.808
2752756,1,1,1,95,1,,1,2,,,120000,2,1,2,2,,,,,1200000,2,1,2,,2,1,8,73,73,182.872.872.594.423
2752756,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,73,73,182.872.872.594.423
2752758,1,1,1,95,1,,1,2,,,300000,2,2,,,,,,,,,,,,,1,8,73,73,192.261.573.335.854
2752758,1,2,1,95,2,,,,,,,,1,1,2,,,,600000,,2,2,2,,2,1,8,73,73,192.261.573.335.854
2752758,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,73,73,192.261.573.335.854
2752758,1,4,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,73,73,192.261.573.335.854
2752759,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,73,73,200.621.584.910.602
2752759,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,73,73,200.621.584.910.602
2752759,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,73,73,200.621.584.910.602
2752760,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,73,73,256.187.789.923.296
2752760,1,2,1,95,1,,1,2,100000,,250000,1,2,,,,,,,,,,,,,1,8,73,73,256.187.789.923.296
2752760,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,73,73,256.187.789.923.296
2752761,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,73,73,243.389.899.275.986
2752761,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,73,73,243.389.899.275.986
2752761,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,73,73,243.389.899.275.986
2752761,1,4,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,73,73,243.389.899.275.986
2752762,1,1,1,95,2,,,,,,,,1,2,2,,,,,800000,2,1,2,,2,1,8,73,73,209.593.466.402.423
2752762,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,73,73,209.593.466.402.423
2752764,1,1,1,95,1,,2,1,,820000,,2,2,,,,,,,,,,,,,1,8,73,73,519.895.194.465.067
2752764,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,73,73,519.895.194.465.067
2752765,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,73,73,366.940.994.001.983
2752765,1,2,1,95,2,,,,,,,,1,1,2,,,,120000,,2,2,2,,2,1,8,73,73,366.940.994.001.983
2752765,1,4,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,73,73,366.940.994.001.983
2752765,1,5,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,73,73,366.940.994.001.983
2752766,1,1,1,95,2,,,,,,,,1,2,1,,175000,,,,2,2,2,,2,1,8,73,73,363.150.899.375.325
2752766,1,2,1,95,2,,,,,,,,1,2,2,,,,,600000,2,1,2,,2,1,8,73,73,363.150.899.375.325
2752766,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,73,73,363.150.899.375.325
2752766,1,4,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,73,73,363.150.899.375.325
2752766,1,5,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,73,73,363.150.899.375.325
2752767,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,73,73,420.204.897.377.315
2752768,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,73,73,400.253.696.269.742
2752768,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,73,73,400.253.696.269.742
2752769,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,73,73,179.576.581.376.379
2752769,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,73,73,179.576.581.376.379
2752769,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,73,73,179.576.581.376.379
2752770,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,63,63,148.491.117.394.412
2752771,1,1,1,95,1,,2,1,,1062000,,2,2,,,,,,,,,,,,,1,8,63,63,103.031.562.093.368
2752771,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,63,63,103.031.562.093.368
2752771,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,63,63,103.031.562.093.368
2752772,1,1,1,95,1,,2,1,,557000,,2,1,2,2,1200000,,,,,2,2,1,,2,1,8,63,63,25.861.649.448.331
2752773,1,1,1,95,2,,,,,,,,1,2,2,,,,,5400000,2,1,2,,2,1,8,63,63,223.830.866.949.493
2752774,1,1,1,95,1,,2,1,,1224000,,2,2,,,,,,,,,,,,,1,8,63,63,102.482.877.693.247
2752774,1,2,1,95,2,,,,,,,,1,2,2,,,,,1200000,2,1,2,,2,1,8,63,63,102.482.877.693.247
2752775,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,63,63,861.874.327.265.803
2752775,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,63,63,861.874.327.265.803
2752775,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,63,63,861.874.327.265.803
2752775,1,4,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,63,63,861.874.327.265.803
2752776,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,63,63,133.533.720.424.594
2752776,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,63,63,133.533.720.424.594
2752776,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,63,63,133.533.720.424.594
2752776,1,4,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,63,63,133.533.720.424.594
2752776,1,5,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,63,63,133.533.720.424.594
2752777,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,63,63,147.239.865.297.924
2752777,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,63,63,147.239.865.297.924
2752778,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,63,63,139.867.207.783.444
2752779,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,63,63,769.066.949.027.382
2752779,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,63,63,769.066.949.027.382
2752779,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,63,63,769.066.949.027.382
2752780,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,63,63,153.172.051.435.234
2752780,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,63,63,153.172.051.435.234
2752780,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,63,63,153.172.051.435.234
2752780,1,4,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,63,63,153.172.051.435.234
2752780,1,5,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,63,63,153.172.051.435.234
2752781,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,63,63,856.387.483.264.595
2752781,1,2,1,95,1,,2,1,,535000,,2,2,,,,,,,,,,,,,1,8,63,63,856.387.483.264.595
2752781,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,63,63,856.387.483.264.595
2752782,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,63,63,123.023.078.416.657
2752782,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,63,63,123.023.078.416.657
2752783,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,63,63,306.344.102.870.468
2752783,1,2,1,95,2,,,,,,,,1,2,2,,,,,3600000,2,1,2,,2,1,8,63,63,306.344.102.870.468
2752783,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,63,63,306.344.102.870.468
2752783,1,4,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,63,63,306.344.102.870.468
2752783,1,5,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,63,63,306.344.102.870.468
2752784,1,1,1,95,1,,2,1,,1200000,,2,2,,,,,,,,,,,,,1,8,63,63,30.304.707.425.095
2752784,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,63,63,30.304.707.425.095
2752784,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,63,63,30.304.707.425.095
2752785,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,63,63,183.360.199.060.268
2752785,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,63,63,183.360.199.060.268
2752785,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,63,63,183.360.199.060.268
2752786,1,1,1,95,2,,,,,,,,1,2,2,,,,,6000000,2,1,2,,2,1,8,63,63,25.861.649.448.331
2752787,1,1,1,95,2,,,,,,,,1,2,2,,,,,3600000,2,1,2,,2,1,8,63,63,238.576.181.978.452
2752787,1,4,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,63,63,238.576.181.978.452
2752788,1,1,1,95,1,,2,1,,535000,,2,2,,,,,,,,,,,,,1,8,63,63,152.306.159.036.159
2752788,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,63,63,152.306.159.036.159
2752788,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,63,63,152.306.159.036.159
2752789,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,63,63,122.426.075.482.684
2752789,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,63,63,122.426.075.482.684
2752789,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,63,63,122.426.075.482.684
2752789,1,4,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,63,63,122.426.075.482.684
2752790,1,1,1,95,2,,,,,,,,1,2,2,,,,,3600000,2,1,2,,2,1,8,63,63,136.132.220.356.014
2752791,1,1,1,95,1,,2,1,,750000,,2,2,,,,,,,,,,,,,1,8,63,63,133.704.350.293.248
2752791,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,63,63,133.704.350.293.248
2752791,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,63,63,133.704.350.293.248
2752791,1,4,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,63,63,133.704.350.293.248
2752791,1,5,1,95,2,,,,,,,,1,1,2,,,,900000,,2,2,2,,2,1,8,63,63,133.704.350.293.248
2752792,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,63,63,124.496.800.222.076
2752792,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,63,63,124.496.800.222.076
2752792,1,4,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,63,63,124.496.800.222.076
2752793,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,63,63,805.724.545.882.239
2752793,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,63,63,805.724.545.882.239
2752794,1,1,1,95,2,,,,,,,,1,2,2,,,,,800000,2,1,2,,2,1,8,63,63,102.482.877.693.247
2752794,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,63,63,102.482.877.693.247
2752795,1,1,1,95,1,,2,1,,535000,,2,2,,,,,,,,,,,,,1,8,63,63,142.802.310.174.126
2752795,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,63,63,142.802.310.174.126
2752795,1,4,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,63,63,142.802.310.174.126
2752795,1,5,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,63,63,142.802.310.174.126
2752796,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,63,63,15.604.114.646.359
2752796,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,63,63,15.604.114.646.359
2752796,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,63,63,15.604.114.646.359
2752797,1,1,1,95,1,,1,1,,535000,140000,2,1,2,2,,,,,7200000,2,1,2,800000,1,1,8,63,63,247.546.646.635.231
2752798,1,1,1,95,2,,,,,,,,1,2,2,,,,,3600000,2,1,2,,2,1,8,63,63,123.773.323.317.615
2752799,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,63,63,148.560.345.136.357
2752799,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,63,63,148.560.345.136.357
2752800,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,63,63,974.165.839.550.116
2752801,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,63,63,121.702.598.578.224
2752801,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,63,63,121.702.598.578.224
2752802,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,20,20,156.073.672.042.182
2752802,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,20,20,156.073.672.042.182
2752802,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,20,20,156.073.672.042.182
2752803,1,1,1,95,2,,,,,,,,1,2,2,,,,,12000000,2,1,2,,2,1,8,20,20,138.529.079.661.787
2752803,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,20,20,138.529.079.661.787
2752803,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,20,20,138.529.079.661.787
2752804,1,1,1,95,2,,,,,,,,1,1,2,,,,1130000,4800000,2,1,2,,2,1,8,20,20,113.842.419.916.265
2752804,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,20,20,113.842.419.916.265
2752804,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,20,20,113.842.419.916.265
2752805,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,20,20,154.278.037.302.668
2752805,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,20,20,154.278.037.302.668
2752806,1,1,1,95,2,,,,,,,,1,2,2,,,,,4000000,2,1,2,,2,1,8,20,20,1.202.028.235.695
2752806,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,20,20,1.202.028.235.695
2752806,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,20,20,1.202.028.235.695
2752806,1,4,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,20,20,1.202.028.235.695
2752806,1,5,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,20,20,1.202.028.235.695
2752806,1,9,1,95,2,,,,,,,,1,2,2,,,,,2600000,2,1,2,,2,1,8,20,20,1.202.028.235.695
2752806,1,10,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,20,20,1.202.028.235.695
2752806,1,13,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,20,20,1.202.028.235.695
2752807,1,1,1,95,2,,,,,,,,1,2,2,,,,,12000000,2,1,2,,2,1,8,20,20,120.846.732.998.897
2752808,1,1,1,95,1,,2,1,,682000,,2,2,,,,,,,,,,,,,1,8,20,20,153.945.376.378.188
2752808,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,20,20,153.945.376.378.188
2752809,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,20,20,158.534.628.630.656
2752809,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,20,20,158.534.628.630.656
2752809,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,20,20,158.534.628.630.656
2752809,1,4,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,20,20,158.534.628.630.656
2752810,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,20,20,127.484.882.635.466
2752810,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,20,20,127.484.882.635.466
2752810,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,20,20,127.484.882.635.466
2752810,1,4,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,20,20,127.484.882.635.466
2752810,1,6,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,20,20,127.484.882.635.466
2752810,1,7,1,95,2,,,,,,,,1,2,2,,,,,1000000,2,1,2,,2,1,8,20,20,127.484.882.635.466
2752811,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,20,20,119.740.165.833.232
2752812,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,20,20,152.149.741.638.674
2752813,1,1,1,95,2,,,,,,,,1,2,2,240000,,,,2800000,2,1,1,,2,1,8,20,20,102.212.299.320.877
2752813,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,20,20,102.212.299.320.877
2752813,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,20,20,102.212.299.320.877
2752813,1,4,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,20,20,102.212.299.320.877
2752814,1,1,1,95,2,,,,,,,,1,1,2,,,,1300000,3600000,2,1,2,,2,1,8,20,20,108.110.045.237.844
2752814,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,20,20,108.110.045.237.844
2752815,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,20,20,130.801.088.727.593
2752816,1,1,1,95,1,,1,2,,,100000,2,1,2,2,,,,,2400000,2,1,2,,2,1,8,20,20,119.740.165.833.232
2752817,1,1,1,95,2,,,,,,,,1,2,2,,,,,1200000,2,1,2,,2,1,8,20,20,153.945.376.378.188
2752817,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,20,20,153.945.376.378.188
2752818,1,1,1,95,1,,1,2,,,1150000,2,2,,,,,,,,,,,,,1,8,20,20,121.532.704.860.152
2752818,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,20,20,121.532.704.860.152
2752819,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,66,66,293.623.343.581.974
2752819,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,66,66,293.623.343.581.974
2752820,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,66,66,297.101.964.924.415
2752820,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,66,66,297.101.964.924.415
2752820,1,4,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,66,66,297.101.964.924.415
2752820,1,5,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,66,66,297.101.964.924.415
2752821,1,1,1,95,2,,,,,,,,1,2,2,,,,,3600000,2,1,2,,2,1,8,66,66,170.112.521.488.537
2752821,1,2,1,95,2,,,,,,,,1,2,2,4200000,,,,,2,2,1,,2,1,8,66,66,170.112.521.488.537
2752821,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,66,66,170.112.521.488.537
2752821,1,4,1,95,2,,,,,,,,1,1,2,,,,150000,,2,2,2,,2,1,8,66,66,170.112.521.488.537
2752822,1,1,1,95,2,,,,,,,,1,2,1,,800000,,,,2,2,2,,2,1,8,66,66,215.042.449.653.916
2752822,1,2,1,95,2,,,,,,,,1,1,2,,,,1140000,,2,2,2,,2,1,8,66,66,215.042.449.653.916
2752822,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,66,66,215.042.449.653.916
2752822,1,6,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,66,66,215.042.449.653.916
2752822,1,7,1,95,2,,,,,,,,1,1,2,,,,600000,,2,2,2,,2,1,8,66,66,215.042.449.653.916
2752823,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,66,66,291.651.409.682.588
2752823,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,66,66,291.651.409.682.588
2752825,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,66,66,210.977.167.316.946
2752825,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,66,66,210.977.167.316.946
2752825,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,8,66,66,210.977.167.316.946
