DIRECTORIO;SECUENCIA_P;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5210S1;P5210S10;P5210S11;P5210S14;P5210S15;P5210S16;P5210S17;P5210S18;P5210S19;P5210S2;P5210S20;P5210S21;P5210S22;P5210S24;P5210S3;P5210S4;P5210S5;P5210S6;P5210S7;P5210S8;P5210S9;P5220;P5220S1;P6006;P6007;P6007S1;P6008;HOGAR;P4000;P4010;P4020;P4030S1;P4030S2;P4030S3;P4030S4;P4030S5;P4030S1A1;P4030S4A1;P4040;REGIS;AREA;MES;DPTO;ORDEN;fex_c_2011
2531466;1;4;3;1;1;1;1;1;3;3; ; ; ; ;880000;1;1;1;2;1;1;1;2;2;1;2;2;2;2;2;1;1;1;1;1;2;1;4;2;2; ;4;1;2;1;4;1;1;1;1;1;5;2;1;01;17;10;17;1;131,635115528104
2531467;1;4;1;1;1;1;1;1;3;1; ; ;150000000;1100000; ;1;1;1;1;2;1;2;2;2;1;2;2;1;2;1;1;1;1;1;1;1;1;2;2;2; ;2;1;2;1;4;1;1;1;1;1;5;2;1;01;17;10;17;1;142,970423996024
2531468;1;4;3;1;1;1;1;6; ;4; ; ; ;800000; ;1;1;1;1;2;1;2;2;2;1;1;2;2;2;1;1;2;1;1;2;1;1;1;2;2; ;1;1;1;1;3;1;1;1;1;1;5;2;1;01;17;10;17;1;161,015962573333
2531470;1;5;4;1;1;1;1;1;3;3; ; ; ; ;900000;1;1;1;1;1;2;2;2;2;1;2;2;2;2;1;1;1;1;1;1;1;1;4;2;2; ;5;1;2;1;4;1;1;1;1;1;5;2;1;01;17;10;17;1;127,929019970379
2531471;1;6;1;1;1;1;1;1;3;1; ; ;280000000;1200000; ;1;1;1;1;1;1;1;2;2;1;2;2;1;2;1;1;1;1;1;1;1;1;2;2;2; ;2;1;1;1;4;1;1;1;1;1;5;2;1;01;17;10;17;1;206,923423736274
2531472;1;1;1;1;1;1;1;1;4;3; ; ; ; ;450000;2;2;1;1;2;1;2;2;2;1;2;2;2;2;1;2;2;2;1;2;2;1;1;2;2; ;1;1;2;1;6;1;2;1;1;1;6;2;1;01;17;10;17;1;168,929436372577
2531474;1;4;3;1;1;1;1;1;3;3; ; ; ; ;800000;1;1;1;1;2;1;2;2;2;1;2;2;2;2;1;1;1;1;1;2;2;1;4;2;2; ;5;1;2;1;4;1;1;1;1;1;5;2;1;01;17;10;17;1;145,083352461974
2531475;1;4;1;1;1;1;1;1;3;1; ; ;150000000;800000; ;1;1;1;1;1;1;2;2;2;1;2;2;1;2;1;1;1;1;1;1;1;1;1;2;2; ;1;1;2;1;4;1;1;1;1;1;5;2;1;01;17;10;17;1;144,359154792449
2531477;1;2;1;1;1;1;1;1;1;3; ; ; ; ;350000;1;2;1;1;2;2;2;2;1;1;1;1;2;2;2;1;1;1;1;1;2;1;2;2;2; ;2;1;2;1;4;1;2;1;1;1;4;3;1;01;76;10;76;1;942,604889614268
2531478;1;2;1;1;1;1;1;1;1;1; ; ;70000000;500000; ;1;1;1;1;2;2;2;2;1;1;2;2;2;2;2;1;1;1;1;2;2;1;1;2;2; ;1;1;2;1;4;1;2;1;1;1;4;3;1;01;76;10;76;1;861,175776113151
2531479;1;2;1;1;1;1;1;1;1;1; ; ;98;450000; ;1;1;1;2;2;2;2;2;2;1;2;2;2;2;2;2;1;1;1;1;2;2; ;2;2; ;1;1;2;1;4;1;2;1;1;1;4;3;1;01;76;10;76;1;949,173855733447
2531480;1;2;1;1;1;1;1;1;1;4; ; ; ;450000; ;1;1;1;2;2;2;2;2;2;1;2;2;2;2;2;1;1;1;1;1;2;1;1;2;2; ;1;1;2;1;4;1;2;1;1;1;4;3;1;01;76;10;76;1;949,173855733447
2531481;1;5;1;1;1;1;1;1;3;4; ; ; ;700000; ;1;1;1;1;1;2;2;2;1;2;2;2;1;2;1;1;1;1;1;1;1;1;2;2;2; ;2;1;2;1;4;1;1;1;1;1;4;3;1;01;76;10;76;1;919,42666309087
2531482;1;3;1;1;1;1;1;6; ;3; ; ; ; ;98;1;2;1;1;1;1;2;2;1;1;2;2;1;2;1;1;1;1;1;1;1;1;1;2;2; ;1;1;2;1;4;1;1;1;1;1;4;3;1;01;76;10;76;1;972,352082256846
