DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7430;P7440;P7450;P7450S1;P7460;P7470;P7472;P7472S1;P7454;P7456;P7458S1;P7458;P7452;INI;MES;DPTO;fex_c_2011
2563520;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;11;52;3974,72057724354
2563521;1;1;1;80;2;1;4;9;POR EDAD;2; ;2; ; ; ; ;8;2;1;11;52;1498,57761341874
2563521;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;11;52;1498,57761341874
2563524;1;1;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;11;52;2103,05348905138
2563525;1;7;1;80;2;1;4;9;POR EDAD;2; ;2; ; ; ; ;8;2;1;11;52;3482,4241580375
2563542;1;1;1;80;2;1;4;4; ;2; ;2; ; ; ; ;4;2;1;11;52;3127,57662259871
2563543;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;11;52;3019,46654726925
2563545;1;2;1;80;2;1;3;4; ;2; ;2; ; ; ; ;4;2;1;11;52;2417,35549216298
2563546;1;2;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;11;52;2846,20541921768
2563551;1;3;1;80;2;1;1;2; ;2; ;2; ; ; ; ;2;2;1;11;52;2404,53795792711
2563553;1;1;1;80;2;1;3;9;POR LA EDAD;2; ;2; ; ; ; ;8;2;1;11;52;3210,56185325561
2563553;1;2;1;80;2;1;3;4; ;2; ;2; ; ; ; ;4;2;1;11;52;3210,56185325561
2563555;1;2;1;80;2;1;1;4; ;2; ;2; ; ; ; ;4;2;1;11;52;2334,37026150608
2563555;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;11;52;2334,37026150608
2563556;1;2;1;80;2;1;1;4; ;2; ;2; ; ; ; ;4;2;1;11;52;3210,56185325561
2563558;1;6;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;11;52;4791,01994119952
2563560;1;1;1;80;2;1;4;4; ;2; ;2; ; ; ; ;4;2;1;11;52;2381,32804464737
2563565;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;11;52;2972,62060315944
2563565;1;5;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;11;52;2972,62060315944
2563566;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;11;52;2596,57175434864
2563566;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;11;52;2596,57175434864
2563566;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;11;52;2596,57175434864
2563567;1;1;1;80;2;1;4;4; ;2; ;2; ; ; ; ;8;2;1;11;52;3165,22514644514
2563583;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;11;52;3165,22514644514
2563584;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;11;52;2880,46690839207
2563584;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;11;52;2880,46690839207
2563585;1;2;1;80;2;1;2;3; ;2; ;2; ; ; ; ;9;2;1;11;52;4336,72711283195
2563587;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;11;52;2670,10523298842
2563587;1;5;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;11;52;2670,10523298842
2563589;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;11;52;3502,87488107624
2563589;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;11;52;3502,87488107624
2563590;1;1;1;80;2;1;3;3; ;2; ;2; ; ; ; ;9;2;1;11;52;1516,61689488889
2563590;1;2;1;80;2;1;4;4; ;2; ;2; ; ; ; ;8;2;1;11;52;1516,61689488889
2563590;1;3;1;80;2;1;4;4; ;2; ;2; ; ; ; ;4;2;1;11;52;1516,61689488889
2563591;1;2;1;80;2;1;3;3; ;2; ;2; ; ; ; ;9;2;1;11;52;1986,49875123024
2563592;1;2;1;80;2;1;2;4; ;2; ;2; ; ; ; ;4;2;1;11;52;3178,27409054332
2563593;1;2;1;80;2;1;4;4; ;2; ;2; ; ; ; ;9;2;1;11;52;3249,20932031344
2563605;1;4;1;80;2;1;1;2; ;2; ;2; ; ; ; ;2;2;1;11;52;4693,82693928884
2563605;1;5;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;11;52;4693,82693928884
2563605;1;6;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;11;52;4693,82693928884
2563609;1;2;1;80;2;1;2;4; ;2; ;2; ; ; ; ;4;2;1;11;52;3249,20932031344
2563612;1;2;1;80;2;1;1;3; ;2; ;2; ; ; ; ;1;2;1;11;52;2967,58500626021
2563613;1;2;1;80;2;1;3;4; ;2; ;2; ; ; ; ;4;2;1;11;52;2738,51933137036
2563614;1;3;1;80;2;1;1;8; ;2; ;2; ; ; ; ;2;2;1;11;52;3197,76126203555
2563616;1;1;1;80;2;1;4;4; ;2; ;2; ; ; ; ;4;2;1;11;52;3037,68794376041
2563617;1;3;1;80;2;1;1;8; ;2; ;2; ; ; ; ;2;2;1;11;52;2809,53167862195
2563617;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;11;52;2809,53167862195
2563618;1;2;1;80;2;1;4;4; ;2; ;2; ; ; ; ;8;2;1;11;52;3249,20932031344
2563622;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;11;52;1983,28770974892
2563623;1;1;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;11;52;3162,0912224453
2563632;1;1;1;80;2;1;3;4; ;2; ;2; ; ; ; ;4;2;1;11;52;2933,48167081523
2563632;1;5;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;11;52;2933,48167081523
2563637;1;1;1;80;2;1;4;3; ;2; ;2; ; ; ; ;8;2;1;11;52;3165,22514644514
2563638;1;6;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;11;52;3348,66945197024
2563639;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;11;52;4011,74737882431
2563639;1;5;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;11;52;4011,74737882431
2563639;1;6;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;11;52;4011,74737882431
2563645;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;11;52;3643,38391037766
2563647;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;11;52;2822,50350523866
2563647;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;11;52;2822,50350523866
2563647;1;4;1;80;2;1;3;4; ;2; ;2; ; ; ; ;4;2;1;11;52;2822,50350523866
2563648;1;1;1;80;2;1;4;4; ;2; ;2; ; ; ; ;4;2;1;11;52;2891,81535072496
2565135;1;4;1;80;2;1;1;3; ;2; ;2; ; ; ; ;9;2;1;11;73;1450,15138567854
2565147;1;5;1;80;2;1;1;8; ;2; ;2; ; ; ; ;2;2;1;11;73;1484,48125159793
2565148;1;2;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;11;73;1040,6810731203
2565150;1;2;1;80;2;1;1;8; ;2; ;2; ; ; ; ;1;2;1;11;73;1395,43548434028
2565152;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;11;73;1906,8058855868
2565156;1;1;1;80;2;1;1;8; ;2; ;2; ; ; ; ;8;2;1;11;73;868,055727974723
2565156;1;2;1;80;2;1;4;4; ;2; ;2; ; ; ; ;4;2;1;11;73;868,055727974723
2565158;1;2;1;80;2;1;2;3; ;2; ;2; ; ; ; ;9;2;1;11;73;1518,45700510497
2565158;1;5;1;80;2;1;1;8; ;2; ;2; ; ; ; ;7;2;1;11;73;1518,45700510497
2565159;1;2;1;80;2;1;1;3; ;2; ;2; ; ; ; ;9;2;1;11;73;785,835714342027
2565161;1;5;1;80;2;1;1;2; ;2; ;2; ; ; ; ;2;2;1;11;73;1974,94204594761
2565161;1;6;1;80;2;1;1;8; ;2; ;2; ; ; ; ;2;2;1;11;73;1974,94204594761
2565161;1;11;1;80;2;1;4;4; ;2; ;2; ; ; ; ;4;2;1;11;73;1974,94204594761
2565165;1;2;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;11;73;913,818651694967
2565167;1;1;1;80;2;2; ; ; ;2; ;2; ;1;4; ;4; ;1;11;73;1407,59584292939
2565170;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;11;73;1906,8058855868
2565172;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;11;73;1256,7587208689
2565173;1;2;1;80;2;1;1;3; ;2; ;2; ; ; ; ;9;2;1;11;73;1803,32215264492
2565176;1;2;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;11;73;1063,04748861611
2565176;1;5;1;80;2;1;2;4; ;2; ;2; ; ; ; ;4;2;1;11;73;1063,04748861611
2565176;1;6;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;11;73;1063,04748861611
2565176;2;2;2;80;2;1;1;3; ;2; ;2; ; ; ; ;9;2;1;11;73;1063,04748861611
2565177;1;2;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;11;73;958,461059487604
2565179;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;11;73;1033,28456792304
2565190;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;11;73;1116,37637659923
2565190;1;5;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;11;73;1116,37637659923
2565191;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;11;73;992,436812994644
2565198;1;1;1;80;2;1;4;4; ;2; ;2; ; ; ; ;4;2;1;11;73;1353,22816515665
2565199;1;4;1;80;2;1;1;3; ;2; ;2; ; ; ; ;9;2;1;11;73;1272,25313494335
2565200;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;11;73;1239,88566657566
2565201;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;11;73;1338,95965853804
2565201;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;11;73;1338,95965853804
2565202;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;11;73;1166,33431339246
2565203;1;2;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;11;73;1280,73342150406
2565204;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;11;73;1017,95945177382
2565205;1;2;1;80;2;1;2;3; ;2; ;2; ; ; ; ;9;2;1;11;73;1390,11995533968
2565208;1;1;1;80;2;1;4;4; ;2; ;2; ; ; ; ;4;2;1;11;73;1204,57752064623
2565208;1;2;1;80;2;1;2;3; ;2; ;2; ; ; ; ;9;2;1;11;73;1204,57752064623
2565208;1;6;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;11;73;1204,57752064623
2565209;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;11;73;822,27372829092
2565224;1;2;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;11;73;1164,97474913723
2565224;1;5;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;11;73;1164,97474913723
2565233;1;2;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;11;73;1033,28456792304
2565234;1;1;1;80;2;1;2;4; ;2; ;2; ; ; ; ;4;2;1;11;73;868,055727974723
2565236;1;2;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;11;73;868,055727974723
2565240;1;6;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;11;73;1806,75361361439
2565241;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;11;73;1079,72363474382
2565244;1;7;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;11;73;1790,15634221293
2565245;1;2;1;80;2;1;1;8; ;2; ;2; ; ; ; ;2;2;1;11;73;1390,11995533968
2565246;1;2;1;80;2;1;3;4; ;2; ;2; ; ; ; ;4;2;1;11;73;678,557328535907
2565246;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;11;73;678,557328535907
2565247;1;2;1;80;2;1;9;3; ;2; ;2; ; ; ; ;9;2;1;11;73;1053,74039858574
