DIRECTORIO;SECUENCIA_P;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5210S1;P5210S10;P5210S11;P5210S14;P5210S15;P5210S16;P5210S17;P5210S18;P5210S19;P5210S2;P5210S20;P5210S21;P5210S22;P5210S24;P5210S3;P5210S4;P5210S5;P5210S6;P5210S7;P5210S8;P5210S9;P5220;P5220S1;P6006;P6007;P6007S1;P6008;HOGAR;P4000;P4010;P4020;P4030S1;P4030S2;P4030S3;P4030S4;P4030S5;P4030S1A1;P4030S4A1;P4040;REGIS;clase;MES;DPTO;ORDEN;fex_c_2011
2562273;1;4;3;3;1;4;2;1;5;1; ; ;25000000;150000; ;2;2;1;1;1;2;2;2;1;1;2;2;1;2;2;2;1;1;2;2;2;1;2;2;2; ;5;1;1;1;4;1;2;2;2;2;1; ; ;01;2;11;63;1;777,483368705425
2562274;1;4;2;2;1;5;2;1;5;1; ; ;30000000;2000000; ;2;2;1;2;1;2;2;2;2;2;2;1;2;2;2;1;1;2;2;2;2;1;2;2;2; ;6;1;1;4;3;1;2;2;2;2;1; ; ;01;2;11;63;1;587,586756984864
2562275;1;1;1;2;2;5;2;1;4;4; ; ; ;50000; ;2;2;1;2;1;2;2;2;2;1;2;1;2;1;2;2;1;2;1;2;2;2; ;2;2; ;2;1;1;1;2;1;2;2;2;2;3; ; ;01;2;11;63;1;858,151881011385
2562275;2;1;1;2;2;5;2;1;4;4; ; ; ;30000; ;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;1;2;2;2; ;2;2; ; ; ; ; ; ; ; ; ; ; ;01;2;11;63;1;858,151881011385
2562275;3;1;1;2;2;5;2;1;4;4; ; ; ;50000; ;2;2;1;1;1;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;1;1;2;2; ;2;3; ; ; ; ; ; ; ; ; ; ; ;01;2;11;63;1;858,151881011385
2562283;1;4;1;2;1;4;2;6; ;4; ; ; ;60000; ;2;2;1;2;1;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;1;2;2; ;1;1;1;4;2;1;2;2;2;2;1; ; ;01;2;11;63;1;727,004202670326
2562284;1;3;2;3;1;4;2;1;5;4; ; ; ;50000; ;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;1;1;2;1;1;6;1;1;1;4;1;2;2;2;2;1; ; ;01;2;11;63;1;289,64896159856
2562285;1;3;2;2;1;4;2;1;5;1; ; ;40000000;200000; ;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;1;2;2;2; ;4;1;1;1;2;1;2;2;2;2;2; ; ;01;2;11;63;1;552,762046877173
2562286;1;3;1;2;1;4;2;1;5;4; ; ; ;50000; ;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;1;2;2; ;1;1;1;4;3;1;2;2;2;2;1; ; ;01;2;11;63;1;519,06510375264
2562287;1;5;2;2;1;5;1;1;4;4; ; ; ;200000; ;2;1;1;1;1;2;2;2;2;2;1;1;2;2;2;1;1;1;1;2;2;1;2;2;2; ;2;1;1;4;3;1;2;2;2;1;3; ;1;01;2;11;63;1;1470,04315216261
2562288;1;2;1;2;1;4;1;1;5;4; ; ; ;80000; ;2;2;1;1;1;2;2;2;2;2;1;2;2;2;2;2;1;2;2;2;2;1;2;2;2; ;3;1;1;4;2;1;2;2;2;1;3; ;1;01;2;11;63;1;638,594401680774
2562289;1;2;2;2;1;5;1;1;5;4; ; ; ;80000; ;2;2;1;1;2;1;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;1;2;2;2; ;5;1;1;4;2;1;2;2;2;1;3; ;1;01;2;11;63;1;1492,45788464072
2562291;1;3;2;2;1;4;2;1;5;4; ; ; ;100000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;2;2;2; ;4;1;2;1;4;1;2;2;2;2;1; ; ;01;2;11;63;1;394,146979886187
2562292;1;5;4;2;1;5;2;1;5;1; ; ;30000000;150000; ;2;2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;1;1;2;2;2;1;5;2;2; ;5;1;1;4;3;1;2;2;2;1;3; ;1;01;2;11;63;1;483,979458452209
2562293;1;2;1;2;1;5;2;1;4;4; ; ; ;60000; ;2;2;1;2;1;2;2;2;2;1;2;2;1;2;2;2;1;1;1;1;2;1;1;2;2; ;1;1;1;1;3;1;2;2;2;2;2; ; ;01;2;11;63;1;519,06510375264
2562294;1;1;1;2;1;5;2;1;4;4; ; ; ;50000; ;2;2;1;1;2;2;2;2;2;1;2;2;2;2;2;2;1;1;1;2;2;1;2;2;2; ;2;1;2;4;2;1;2;2;2;2;3; ; ;01;2;11;63;1;780,004454768831
2562301;1;5;2;2;1;4;6;1;5;1; ; ;12000000;250000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;1;1;2;2; ;3;1;1;4;3;1;2;2;2;2;2; ; ;01;2;11;63;1;604,445097341168
2562302;1;3;2;2;1;4;2;1;5;4; ; ; ;200000; ;2;2;1;2;1;2;2;2;2;2;1;1;2;2;2;1;1;1;2;2;2;1;2;2;2; ;5;1;1;2;3;1;2;2;2;2;1; ; ;01;2;11;63;1;666,960817877201
2562303;1;4;2;3;1;4;2;1;5;4; ; ; ;100000; ;2;2;1;2;1;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;1;1;2;1;2;4;1;1;4;3;1;2;2;2;2;1; ; ;01;2;11;63;1;460,885059268873
