DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,AREA,P7430,P7440,P7450,P7450S1,P7460,P7470,P7472,P7472S1,P7454,P7456,P7458S1,P7458,P7452,INI,MES,DPTO,fex_c_2011
2797618,1,1,1,80,66,1,3,5,,3,,2,,,,,10,2,1,10,66,299.271.842.736.584
2797619,1,1,1,80,66,1,4,3,,2,,2,,,,,9,2,1,10,66,286.266.211.950.262
2797620,1,1,1,80,66,1,1,4,,2,,2,,,,,4,2,1,10,66,264.902.010.572.051
2797620,1,2,1,80,66,1,4,4,,2,,2,,,,,4,2,1,10,66,264.902.010.572.051
2797621,1,3,1,80,66,2,,,,2,,2,,2,,.,,,1,10,66,253.682.232.029.231
2797624,1,2,1,80,73,2,,,,2,,2,,2,,.,,,1,10,73,198.827.359.859.719
2797627,1,2,1,80,73,1,4,5,,3,,2,,,4,,8,1,1,10,73,212.793.605.670.514
2797628,1,1,1,80,73,1,4,3,,2,,2,,,,,9,2,1,10,73,141.962.665.427.535
2797628,1,2,1,80,73,1,4,4,,3,,2,,,,,4,2,1,10,73,141.962.665.427.535
2797628,1,3,1,80,73,2,,,,2,,2,,2,,.,,,1,10,73,141.962.665.427.535
2797629,1,3,1,80,73,1,3,3,,2,,2,,,,,9,2,1,10,73,196.839.644.964.288
2797631,1,1,1,80,73,1,2,3,,2,,2,,,,,9,2,1,10,73,174.090.646.246.242
2797632,1,1,1,80,73,1,4,3,,2,,2,,,,,9,2,1,10,73,164.605.309.569.662
2797637,1,1,1,80,66,1,4,5,,3,,2,,,,,10,2,1,10,66,251.701.473.737.444
2797638,1,2,1,80,66,2,,,,2,,2,,2,,.,,,1,10,66,483.490.190.088.994
2797639,1,4,1,80,66,2,,,,2,,2,,2,,.,,,1,10,66,255.952.567.536.822
2797644,1,1,1,80,66,2,,,,2,,2,,2,,.,,,1,10,66,215.653.847.038.746
2797645,1,3,1,80,66,2,,,,2,,2,,2,,.,,,1,10,66,240.779.861.445.587
2797648,1,1,1,80,66,1,1,4,,3,,2,,,,,4,2,1,10,66,339.731.496.538.384
2797648,1,4,1,80,66,2,,,,2,,2,,2,,.,,,1,10,66,339.731.496.538.384
2797649,1,2,1,80,66,1,2,3,,2,,2,,,,,9,2,1,10,66,34.264.301.592.798
2797711,1,4,1,80,5,2,,,,2,,2,,2,,.,,,1,10,5,110.199.671.804.641
2797712,1,1,1,80,5,1,4,4,,2,,2,,,,,4,2,1,10,5,14.101.047.616.055
2797713,1,1,1,80,5,1,4,4,,2,,2,,,,,4,2,1,10,5,113.301.419.233.073
2797713,1,2,1,80,5,2,,,,2,,2,,2,,.,,,1,10,5,113.301.419.233.073
2797713,1,3,1,80,5,2,,,,2,,2,,2,,.,,,1,10,5,113.301.419.233.073
2797714,1,5,1,80,5,2,,,,2,,2,,2,,.,,,1,10,5,136.186.884.169.604
2797714,1,7,1,80,5,1,4,5,,2,,2,,,,,8,2,1,10,5,136.186.884.169.604
2797715,1,1,1,80,5,2,,,,2,,2,,2,,.,,,1,10,5,91.860.103.285.975
2797715,1,2,1,80,5,1,4,3,,2,,2,,,,,9,2,1,10,5,91.860.103.285.975
2797716,1,1,1,80,5,1,3,5,,3,,2,,,,,8,2,1,10,5,113.038.120.430.486
2797716,1,2,1,80,5,2,,,,2,,2,,2,,.,,,1,10,5,113.038.120.430.486
2797717,1,1,1,80,5,2,,,,2,,2,,2,,.,,,1,10,5,103.156.557.638.787
2797721,1,2,1,80,5,1,2,6,,2,,2,,,,,11,2,1,10,5,119.892.238.412.939
2797722,1,2,1,80,5,1,1,3,,2,,2,,,,,9,2,1,10,5,126.184.730.343.396
2797723,1,1,1,80,5,1,4,5,,3,,2,,,,,8,2,1,10,5,932.544.458.765.278
2797723,1,2,1,80,5,1,4,3,,2,,2,,,,,8,2,1,10,5,932.544.458.765.278
2797723,1,5,1,80,5,1,4,8,,2,,2,,,,,11,2,1,10,5,932.544.458.765.278
2797726,1,2,1,80,5,1,4,3,,2,,2,,,,,9,2,1,10,5,107.101.663.380.996
2797726,1,4,1,80,5,2,,,,2,,2,,1,1,,2,,1,10,5,107.101.663.380.996
2797726,1,5,1,80,5,1,1,2,,2,,2,,,,,8,2,1,10,5,107.101.663.380.996
2797727,1,2,1,80,5,1,1,7,,2,,2,,,,,9,2,1,10,5,107.101.663.380.996
2797727,1,5,1,80,5,2,,,,2,,2,,2,,.,,,1,10,5,107.101.663.380.996
2797728,1,1,1,80,5,1,4,4,,2,,2,,,,,4,2,1,10,5,103.156.557.638.787
