DIRECTORIO,SECUENCIA_P,P5000,P5010,P5020,P5030,P5040,P5050,P5070,P5080,P5090,P5090S1,P5100,P5110,P5130,P5140,P5210S1,P5210S10,P5210S11,P5210S14,P5210S15,P5210S16,P5210S17,P5210S18,P5210S19,P5210S2,P5210S20,P5210S21,P5210S22,P5210S24,P5210S3,P5210S4,P5210S5,P5210S6,P5210S7,P5210S8,P5210S9,P5220,P5220S1,P6006,P6007,P6007S1,P6008,HOGAR,P4000,P4010,P4020,P4030S1,P4030S2,P4030S3,P4030S4,P4030S5,P4030S1A1,P4030S4A1,P4040,REGIS,clase,MES,DPTO,ORDEN,AREA,fex_c_2011
2797302,1,4,4,1,1,1,1,1,4,5,,,,100000,,2,2,1,2,1,2,2,2,2,2,1,2,2,2,2,2,2,1,1,2,2,1,1,2,2,,13,1,1,1,2,1,2,1,1,1,1,3,1,1,1,10,63,1,63,728.306.374.823.322
2797303,1,2,1,1,1,1,1,1,4,1,,,20000000,200000,,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,,2,2,,1,1,1,1,4,1,1,1,1,1,1,3,1,1,1,10,63,1,63,119.666.081.968.625
2797304,1,1,1,1,2,1,1,1,4,3,,,,,100000,2,2,1,2,1,2,2,2,2,1,2,2,2,2,2,2,1,1,1,2,2,2,,2,2,,1,1,3,1,2,1,2,1,1,1,1,3,1,1,1,10,63,1,63,119.666.081.968.625
2797305,1,1,1,1,2,1,1,1,4,3,,,,,80000,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,,2,1,3,1,2,1,2,1,1,1,1,3,1,1,1,10,63,1,63,121.041.213.177.193
2797306,1,5,3,1,1,1,1,1,3,1,,,50000000,300000,,1,2,1,1,1,2,2,2,2,1,2,2,2,2,2,1,1,1,1,2,1,1,2,2,2,,4,1,1,1,4,1,1,1,1,1,2,3,1,1,1,10,63,1,63,102.550.149.986.025
2797307,1,4,3,1,1,1,1,3,3,3,,,,,220000,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,1,1,1,1,2,2,1,1,2,2,,3,1,2,1,4,1,1,1,1,1,2,3,1,1,1,10,63,1,63,922.815.312.471.957
2797308,1,3,2,1,1,1,1,1,3,1,,,100000000,600000,,1,1,1,1,2,1,2,2,2,1,2,2,2,2,1,1,1,1,1,1,2,1,1,2,2,,2,1,2,1,4,1,1,1,1,1,6,2,1,1,1,10,66,1,66,258.995.850.813.927
2797309,1,4,3,1,1,1,1,1,4,2,,500000,120000000,120000000,,1,2,1,1,1,1,2,2,2,1,2,2,2,2,1,1,1,1,1,2,1,1,3,2,2,,3,1,2,1,4,1,2,1,1,1,6,2,1,1,1,10,66,1,66,264.902.010.572.051
2797311,1,2,1,1,1,1,1,1,3,1,,,50000000,200000,,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,2,2,2,2,,2,2,,2,1,1,1,2,1,1,1,1,1,1,2,1,1,1,10,66,1,66,258.995.850.813.927
2797312,1,2,1,1,1,1,1,1,3,3,,,,,200000,1,2,1,2,1,1,2,2,2,1,2,1,2,2,1,1,1,1,1,2,1,1,3,2,2,,3,1,2,1,3,1,1,1,1,1,1,2,1,1,1,10,66,1,66,29.563.923.890.645
2797313,1,3,2,1,1,1,1,1,3,4,,,,150000,,1,2,1,1,2,1,2,2,2,1,1,2,2,2,1,2,1,1,1,2,2,1,2,2,2,,4,1,2,7,2,1,1,1,1,1,1,2,1,1,1,10,66,1,66,34.264.301.592.798
2797314,1,2,2,1,1,1,1,1,4,3,,,,,90000,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,2,2,2,,3,1,1,7,3,1,2,1,1,1,1,2,1,1,1,10,66,1,66,261.266.186.321.518
2797315,1,5,1,1,1,1,1,6,,1,,,150000000,600000,,1,1,1,2,1,2,1,2,1,2,2,2,1,1,2,2,1,1,1,2,1,1,1,2,2,,1,1,2,1,4,1,2,1,1,1,6,2,1,1,1,10,66,1,66,29.058.924.834.174
2797317,1,4,1,1,1,1,1,1,3,3,,,,,700000,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,2,1,1,1,2,2,,1,1,2,1,4,1,1,1,1,1,6,2,1,1,1,10,66,1,66,29.058.924.834.174
2797319,1,4,2,1,1,1,1,1,3,4,,,,250000,,1,2,1,2,1,2,2,2,2,1,1,2,2,2,2,1,2,2,1,2,2,1,1,2,2,,3,1,1,1,4,1,1,1,1,1,1,2,1,1,1,10,66,1,66,29.563.923.890.645
2797320,1,4,2,1,1,1,1,1,3,1,,,35000000,250000,,1,2,1,2,1,1,2,2,2,1,2,2,2,2,1,1,1,2,1,1,2,1,3,2,2,,3,1,1,1,4,1,1,1,1,1,1,2,1,1,1,10,66,1,66,251.140.250.374.595
2797321,1,1,1,4,1,3,1,1,5,5,,,,150000,,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,,3,1,1,7,1,1,2,2,2,1,1,,1,1,1,10,66,1,66,293.391.631.974.278
2797322,1,6,5,1,1,1,1,1,3,1,,,50000000,300000,,1,2,1,1,2,2,2,2,1,1,1,1,2,2,2,1,1,1,1,1,1,1,3,2,2,,5,1,1,1,4,1,1,1,1,1,3,2,1,1,1,10,66,1,66,222.092.054.921.816
2797323,1,4,2,1,1,1,1,1,3,3,,,,,290000,2,2,1,1,2,1,2,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,2,2,2,,3,1,2,1,4,1,1,1,1,1,3,2,1,1,1,10,66,1,66,334.126.158.165.206
2797324,1,5,4,1,1,1,1,1,3,1,,,50000000,400000,,2,2,1,1,2,1,2,2,1,1,1,1,1,1,2,1,1,1,1,2,2,1,4,2,2,,5,1,2,1,4,1,1,1,1,1,3,2,1,1,1,10,66,1,66,343.690.870.749.281
