DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P6016;P6020;P6030;P6040;P6050;P6070;P6090;P6140;P6150;P6100;P6110;P6120;P6125;P6160;P6170;P6175;P6210;P6210S1;P6220;AREA;ESC;DPTO;fex_c_2011;P6030S1;P6030S3
1010030;1;3;1;10;2;2;1;12;4;6;1; ; ;3; ; ;2;1;1;1;4;7; ;05;7;05;1056,17463048996;12;1996
1010031;1;1;1;10;1;2;1;22;1;6;1; ; ;3; ; ;2;1;2; ;5;11;2;05;11;05;944,608167687299;9;1986
1010031;1;2;1;10;2;2;1;9;5; ;1; ; ;3; ; ;2;1;1;1;3;4; ;05;4;05;944,608167687299;5;1999
1010032;1;1;1;10;1;1;1;86;1;3;1; ; ;1;2;57000;2;2;2; ;1;0; ;05;0;05;1247,57187745447;12;1922
1010032;1;2;1;10;2;2;1;59;2;3;1; ; ;3; ; ;2;1;2; ;4;7; ;05;7;05;1247,57187745447;2;1949
1010032;1;3;1;10;3;1;1;36;5;6;1; ; ;3; ; ;2;1;2; ;5;11;2;05;11;05;1247,57187745447;10;1972
1010033;1;1;1;10;1;2;1;31;1;2;1; ; ;1;1;18500;2;1;2; ;4;7; ;05;7;05;1093,83144007248;3;1977
1010033;1;2;1;10;2;1;1;21;2;2;1; ; ;1;5; ;2;1;2; ;5;11;2;05;11;05;1093,83144007248;1;1987
1010033;1;3;1;10;1;2;1;9;3; ;1; ; ;1;5; ;2;1;1;1;3;3; ;05;3;05;1093,83144007248;8;1999
1010033;1;4;1;10;1;2;1;6;3; ;1; ; ;1;5; ;2;1;1;1;3;0; ;05;0;05;1093,83144007248;4;2002
1010034;1;1;1;10;1;2;1;22;1;6;1; ; ;1;5; ;2;1;2; ;5;11;2;05;11;05;979,486217255615;9;1986
1010034;1;2;1;10;1;1;1;0;3; ;1; ; ;1;5; ;2; ; ; ; ; ; ;05; ;05;979,486217255615;9;2008
1010035;1;1;1;10;1;2;1;29;1;2;1; ; ;1;1;45000;2;1;2; ;6;3;3;05;14;05;1128,53123806181;8;1979
1010035;1;2;1;10;2;1;1;25;2;2;1; ; ;1;1;36000;2;1;2; ;6;3;3;05;14;05;1128,53123806181;8;1983
1010035;1;3;1;10;3;2;1;7;3; ;1; ; ;1;5; ;2;1;1;1;3;3; ;05;3;05;1128,53123806181;3;2001
1010036;1;1;1;10;1;2;1;35;1;4;1; ; ;1;1;19876;2;1;2; ;5;11;2;05;11;05;794,474011806919;1;1973
1010036;1;2;1;10;1;2;1;13;3;6;1; ; ;1;5; ;2;1;1;1;4;8; ;05;8;05;794,474011806919;7;1995
1010036;1;3;1;10;1;2;1;12;3;6;1; ; ;1;5; ;2;1;1;1;4;7; ;05;7;05;794,474011806919;9;1996
1010038;1;1;1;10;1;1;1;31;1;1;1; ; ;3; ; ;2;1;2; ;3;5; ;05;5;05;1112,91289981409;5;1977
1010038;1;2;1;10;2;2;1;28;2;1;1; ; ;3; ; ;2;1;2; ;3;5; ;05;5;05;1112,91289981409;11;1980
1010038;1;3;1;10;1;2;1;9;3; ;1; ; ;3; ; ;2;1;1;1;3;2; ;05;2;05;1112,91289981409;11;1999
1010038;1;4;1;10;2;1;1;0;3; ;1; ; ;3; ; ;2; ; ; ; ; ; ;05; ;05;1112,91289981409;12;2008
1010039;1;1;1;10;1;1;1;32;1;2;1; ; ;3; ; ;2;1;2; ;3;5; ;05;5;05;1078,03485024578;2;1976
1010039;1;2;1;10;2;2;1;32;2;2;1; ; ;3; ; ;1;1;2; ;4;9; ;05;9;05;1078,03485024578;3;1976
1010039;1;3;1;10;2;2;1;9;3; ;1; ; ;1;5; ;2;1;1;1;3;3; ;05;3;05;1078,03485024578;4;1999
1010039;1;4;1;10;2;2;1;7;3; ;1; ; ;1;5; ;2;1;1;1;3;0; ;05;0;05;1078,03485024578;12;2001
1010040;1;1;1;10;1;1;1;32;1;2;1; ; ;1;1;24000;2;1;2; ;5;11;2;05;11;05;1102,71550230305;2;1976
1010040;1;2;1;10;2;2;1;21;2;2;1; ; ;1;5; ;2;1;2; ;3;5; ;05;5;05;1102,71550230305;11;1987
1010040;1;3;1;10;2;1;1;3;3; ;1; ; ;1;5; ;2;2;2; ;1;0; ;05;0;05;1102,71550230305;1;2005
1010040;1;4;1;10;2;1;1;3;3; ;1; ; ;1;5; ;2;2;2; ;1;0; ;05;0;05;1102,71550230305;1;2005
1010041;1;1;1;10;1;1;1;40;1;3;1; ; ;1;5; ;1;1;2; ;6;3;3;05;14;05;785,559836375357;9;1968
1010041;1;2;1;10;2;2;1;40;2;3;1; ; ;1;3;57700;1;1;2; ;6;2;2;05;13;05;785,559836375357;7;1968
1010041;1;3;1;10;2;2;1;16;3;6;1; ; ;1;5; ;1;1;1;1;5;10;1;05;10;05;785,559836375357;5;1992
1010041;1;4;1;10;2;2;1;15;3;6;1; ; ;1;5; ;1;1;1;1;4;8; ;05;8;05;785,559836375357;10;1993
1010041;1;5;1;10;2;2;1;15;3;6;1; ; ;1;5; ;2;1;1;1;4;8; ;05;8;05;785,559836375357;10;1993
1010041;1;6;1;10;6;2;1;61;5;5;1; ; ;3; ; ;1;2;2; ;1;0; ;05;0;05;785,559836375357;12;1947
1010042;1;1;1;10;1;1;1;57;1;3;1; ; ;1;5; ;2;1;2; ;5;11;2;05;11;05;964,7937315357;11;1951
1010042;1;2;1;10;2;2;1;50;2;3;1; ; ;1;5; ;2;1;2; ;6;5;4;05;16;05;964,7937315357;10;1958
1010042;1;3;1;10;3;1;1;24;3;6;1; ; ;1;1;22000;2;1;2; ;5;11;2;05;11;05;964,7937315357;12;1984
1010042;1;4;1;10;4;2;1;19;3;6;1; ; ;3; ; ;2;1;1;1;6;3;2;05;14;05;964,7937315357;6;1989
1010042;1;5;1;10;2;2;1;14;3;6;1; ; ;3; ; ;2;1;1;1;4;6; ;05;6;05;964,7937315357;12;1994
1010043;1;1;1;10;1;1;1;54;1;3;1; ; ;2;1;44000;2;1;2; ;5;10;1;05;10;05;1333,67183899971;1;1955
1010043;1;2;1;10;2;2;1;53;2;3;1; ; ;2;5; ;2;1;2; ;4;9; ;05;9;05;1333,67183899971;12;1955
1010043;1;3;1;10;3;1;1;18;3;6;1; ; ;2;5; ;2;1;1;1;6;0;2;05;11;05;1333,67183899971;8;1990
1010044;1;1;1;10;1;2;1;55;1;4;1; ; ;1;3;115400;2;1;2; ;6;5;4;05;16;05;1093,04874755239;11;1953
1010045;1;1;1;10;1;1;1;33;1;3;1; ; ;1;1;30480;2;1;1;2;6;4;2;05;15;05;1027,53846242974;4;1975
1010045;1;2;1;10;2;2;1;29;2;3;1; ; ;1;5; ;2;1;2; ;6;5;4;05;16;05;1027,53846242974;7;1979
1010045;1;3;1;10;1;2;1;6;3; ;1; ; ;1;5; ;2;1;1;1;2;0; ;05;0;05;1027,53846242974;6;2002
1010045;1;4;1;10;1;2;1;1;3; ;1; ; ;1;5; ;2; ; ; ; ; ; ;05; ;05;1027,53846242974;1;2007
1010045;1;5;1;10;1;2;1;0;3; ;1; ; ;1;5; ;2; ; ; ; ; ; ;05; ;05;1027,53846242974;7;2008
1010046;1;1;1;10;1;1;1;43;1;3;1; ; ;1;1;50000;2;1;2; ;5;11;2;05;11;05;1210,81884361182;5;1965
1010046;1;2;1;10;2;2;1;34;2;3;1; ; ;1;5; ;2;1;2; ;5;11;2;05;11;05;1210,81884361182;6;1974
1010046;1;3;1;10;2;2;1;16;3;6;1; ; ;1;5; ;2;1;1;1;4;8; ;05;8;05;1210,81884361182;11;1992
1010046;1;4;1;10;2;1;1;14;3;6;1; ; ;1;5; ;2;1;1;1;4;8; ;05;8;05;1210,81884361182;3;1994
1010047;1;1;1;10;1;1;1;29;1;2;1; ; ;3; ; ;2;1;2; ;5;11;2;05;11;05;1118,33384055077;11;1979
1010047;1;2;1;10;2;2;1;24;2;2;1; ; ;3; ; ;2;1;2; ;4;9; ;05;9;05;1118,33384055077;7;1984
1010047;1;3;1;10;2;1;1;4;3; ;1; ; ;3; ; ;2;2;2; ;1;0; ;05;0;05;1118,33384055077;11;2004
1010048;1;1;1;10;1;2;1;63;1;4;1; ; ;3; ; ;2;1;2; ;4;6; ;05;6;05;1231,89637084755;9;1945
1010048;1;2;1;10;2;1;1;48;3;6;1; ; ;3; ; ;2;1;2; ;4;6; ;05;6;05;1231,89637084755;12;1960
1010049;1;1;1;10;1;2;1;37;1;6;1; ; ;1;1;19000;2;1;2; ;6;3;3;05;14;05;1179,02762587785;9;1971
1010049;1;2;1;10;2;1;1;25;5;6;1; ; ;3; ; ;2;1;1;1;6;0;2;05;11;05;1179,02762587785;12;1983
1010050;1;1;1;10;1;2;1;74;1;5;1; ; ;1;2;57700;1;1;2; ;4;6; ;05;6;05;1509,59161743786;10;1934
1010050;1;2;1;10;2;1;1;42;3;6;1; ; ;3; ; ;2;1;2; ;3;5; ;05;5;05;1509,59161743786;1;1966
1010050;1;3;1;10;1;1;1;42;3;6;1; ; ;3; ; ;2;1;2; ;3;4; ;05;4;05;1509,59161743786;1;1966
1010050;1;4;1;10;4;1;1;44;3;6;1; ; ;1;1;19000;2;1;2; ;4;9; ;05;9;05;1509,59161743786;11;1964
1010051;1;1;1;10;1;1;1;48;1;3;1; ; ;3; ; ;2;1;2; ;5;11;2;05;11;05;1056,17463048996;3;1960
1010051;1;2;1;10;2;2;1;41;2;3;1; ; ;3; ; ;2;1;2; ;4;7; ;05;7;05;1056,17463048996;3;1967
1010051;1;3;1;10;3;2;1;22;3;6;1; ; ;1;1;12500;2;1;1;1;6;3;2;05;14;05;1056,17463048996;9;1986
1010052;1;1;1;10;1;1;1;46;1;3;1; ; ;1;1;19000;2;1;2; ;5;11;2;05;11;05;914,61646502001;5;1962
1010052;1;2;1;10;2;2;1;48;2;3;1; ; ;1;5; ;2;1;2; ;3;4; ;05;4;05;914,61646502001;10;1960
1010052;1;3;1;10;3;1;1;21;3;6;2;1;24; ; ; ;2;1;1;1;5;10;1;05;10;05;914,61646502001;3;1987
1010052;1;4;1;10;2;2;1;14;3;6;1; ; ;1;5; ;2;1;1;1;4;8; ;05;8;05;914,61646502001;12;1994
1010052;1;5;1;10;2;2;1;12;3;6;1; ; ;1;5; ;2;1;1;1;4;6; ;05;6;05;914,61646502001;7;1996
1010052;1;6;1;10;6;2;1;18;3;4;1; ; ;1;5; ;2;1;2; ;4;9; ;05;9;05;914,61646502001;11;1990
1010052;1;7;1;10;6;2;1;0;4; ;2;2; ; ; ; ;2; ; ; ; ; ; ;05; ;05;914,61646502001;12;2008
1010053;1;1;1;10;1;1;1;41;1;2;1; ; ;1;1;24000;2;1;2; ;5;10;1;05;10;05;1318,05350075199;10;1967
1010053;1;2;1;10;2;2;1;31;2;2;1; ; ;1;5; ;2;1;2; ;4;9; ;05;9;05;1318,05350075199;10;1977
1010053;1;3;1;10;2;1;1;12;3;6;1; ; ;1;5; ;2;1;1;1;4;0; ;05;5;05;1318,05350075199;11;1996
1010053;1;4;1;10;2;1;1;8;3; ;1; ; ;1;5; ;2;1;1;1;3;2; ;05;2;05;1318,05350075199;8;2000
1010054;1;1;1;10;1;2;1;64;1;4;1; ; ;3; ; ;2;1;2; ;3;3; ;05;3;05;886,997263119293;9;1944
1010054;1;2;1;10;1;2;1;31;3;4;1; ; ;3; ; ;2;1;2; ;3;5; ;05;5;05;886,997263119293;8;1977
1010054;1;3;1;10;3;2;1;25;3;4;1; ; ;3; ; ;2;1;2; ;5;11;2;05;11;05;886,997263119293;2;1983
1010054;1;4;1;10;3;2;1;7;4; ;1; ; ;3; ; ;2;1;1;1;3;1; ;05;1;05;886,997263119293;12;2001
1010055;1;1;1;10;2;1;1;62;1;3;1; ; ;3; ; ;2;1;2; ;4;7; ;05;7;05;1009,86917861506;9;1946
1010055;1;2;1;10;2;2;1;54;2;3;1; ; ;3; ; ;2;1;2; ;3;5; ;05;5;05;1009,86917861506;9;1954
1010055;1;3;1;10;2;2;1;30;3;4;1; ; ;1;5; ;2;1;1;1;5;10;1;05;10;05;1009,86917861506;9;1978
1010055;1;4;1;10;2;2;1;13;4;6;1; ; ;1;5; ;2;1;2; ;4;6; ;05;6;05;1009,86917861506;5;1995
1010055;1;5;1;10;2;1;1;12;4;6;1; ; ;1;5; ;2;1;1;1;4;6; ;05;6;05;1009,86917861506;10;1996
1010056;1;1;1;10;1;1;1;96;1;5;1; ; ;1;5; ;2;1;2; ;3;3; ;05;3;05;1324,31745904803;4;1912
1010056;1;2;1;10;2;2;1;50;3;3;1; ; ;1;5; ;2;1;2; ;5;11;2;05;11;05;1324,31745904803;7;1958
1010056;1;3;1;10;3;1;1;29;4;6;1; ; ;1;1;24000;2;1;2; ;6;4;4;05;15;05;1324,31745904803;10;1979
1010056;1;4;1;10;4;1;1;64;5;3;1; ; ;1;2;182000;2;1;2; ;5;11;2;05;11;05;1324,31745904803;1;1944
1010056;1;5;1;10;5;2;1;57;5;6;1; ; ;1;5; ;2;1;2; ;6;4;4;05;15;05;1324,31745904803;7;1951
1010056;1;6;1;10;6;1;1;54;5;4;1; ; ;1;5; ;2;1;2; ;5;11;2;05;11;05;1324,31745904803;10;1954
1010058;1;1;1;10;1;1;1;45;1;2;1; ; ;1;1;18500;2;1;2; ;3;4; ;05;4;05;965,112852836047;3;1963
1010058;1;2;1;10;2;2;1;46;2;2;1; ; ;3; ; ;2;2;2; ;1;0; ;05;0;05;965,112852836047;2;1962
1010058;1;3;1;10;3;1;1;18;3;6;1; ; ;3; ; ;2;1;2; ;3;3; ;05;3;05;965,112852836047;6;1990
1010058;1;4;1;10;2;2;1;14;3;6;1; ; ;1;5; ;2;1;1;1;4;7; ;05;7;05;965,112852836047;12;1994
1010058;1;5;1;10;5;2;1;16;5;6;1; ; ;3; ; ;2;1;1;1;4;6; ;05;6;05;965,112852836047;6;1992
1010058;1;6;1;10;6;2;1;14;5;6;1; ; ;3; ; ;2;1;1;1;4;6; ;05;6;05;965,112852836047;7;1994
1010059;1;1;1;10;1;1;1;43;1;3;1; ; ;3; ; ;2;1;2; ;3;4; ;05;4;05;1333,67183899971;7;1965
1010059;1;2;1;10;2;2;1;44;2;3;1; ; ;3; ; ;2;1;2; ;4;9; ;05;9;05;1333,67183899971;9;1964
1010059;1;3;1;10;3;1;1;15;3;6;1; ; ;3; ; ;2;1;1;2;4;8; ;05;8;05;1333,67183899971;6;1993
1010060;1;1;1;10;1;1;1;81;1;2;1; ; ;3; ; ;1;1;2; ;3;5; ;05;5;05;1247,57187745447;10;1927
1010060;1;2;1;10;2;2;1;79;2;2;1; ; ;3; ; ;2;1;2; ;1;0; ;05;0;05;1247,57187745447;11;1929
1010060;1;3;1;10;3;1;1;53;9;6;2;1;60; ; ; ;2;1;2; ;4;8; ;05;8;05;1247,57187745447;1;1956
1010061;1;1;1;10;1;1;1;55;1;3;1; ; ;3; ; ;2;1;2; ;4;7; ;05;7;05;861,466847001295;3;1953
1010061;1;2;1;10;2;2;1;47;2;3;1; ; ;3; ; ;2;1;2; ;3;4; ;05;4;05;861,466847001295;11;1961
1010061;1;3;1;10;3;2;1;26;3;6;1; ; ;3; ; ;2;1;2; ;5;11;2;05;11;05;861,466847001295;10;1982
1010061;1;4;1;10;2;2;1;10;3;6;1; ; ;3; ; ;2;1;1;1;3;4; ;05;4;05;861,466847001295;2;1998
1010061;1;5;1;10;2;2;1;6;3; ;1; ; ;3; ; ;2;1;1;1;2;1; ;05;0;05;861,466847001295;3;2002
1010061;1;6;1;10;2;1;1;2;4; ;1; ; ;3; ; ;2; ; ; ; ; ; ;05; ;05;861,466847001295;11;2006
1010062;1;1;1;10;1;1;1;26;1;2;1; ; ;3; ; ;2;1;2; ;4;7; ;05;7;05;1133,95217879849;11;1982
1010062;1;2;1;10;2;2;1;22;2;2;1; ; ;1;3;57800;2;1;2; ;6;2;3;05;13;05;1133,95217879849;9;1986
1010063;1;1;1;10;1;2;1;56;1;4;1; ; ;3; ; ;2;1;2; ;4;6; ;05;6;05;1231,89637084755;5;1952
1010063;1;2;1;10;2;1;1;29;5;6;1; ; ;1;1;25600;2;1;1;1;6;4;3;05;15;05;1231,89637084755;5;1979
1010064;1;1;1;10;1;2;1;31;1;4;1; ; ;3; ; ;1;1;2; ;4;7; ;05;7;05;1005,8564942529;3;1977
1010064;1;2;1;10;1;2;1;9;3; ;1; ; ;3; ; ;1;1;1;1;3;2; ;05;2;05;1005,8564942529;3;1999
1010064;1;3;1;10;1;1;1;3;3; ;1; ; ;3; ; ;1;2;2; ;1;0; ;05;0;05;1005,8564942529;4;2005
1010064;1;4;1;10;1;2;1;14;3;1;1; ; ;3; ; ;1;1;2; ;3;5; ;05;5;05;1005,8564942529;7;1994
1010064;1;5;1;10;5;1;1;22;5;1;1; ; ;1;1;18560;2;1;2; ;3;3; ;05;3;05;1005,8564942529;12;1986
1010065;1;1;1;10;1;1;1;52;1;2;1; ; ;1;3;57700;2;1;2; ;5;11;2;05;11;05;917,703296854357;12;1956
1010065;1;2;1;10;2;2;1;39;2;2;1; ; ;1;5; ;2;1;2; ;3;5; ;05;5;05;917,703296854357;9;1969
1010065;1;3;1;10;2;2;1;17;3;6;1; ; ;1;5; ;2;1;1;1;4;8; ;05;8;05;917,703296854357;9;1991
1010065;1;4;1;10;2;2;1;14;3;6;1; ; ;1;5; ;2;1;1;1;4;7; ;05;7;05;917,703296854357;12;1994
1010065;1;5;1;10;2;1;1;9;3; ;1; ; ;1;5; ;2;1;2; ;3;3; ;05;3;05;917,703296854357;9;1999
1010066;1;1;1;10;1;1;1;48;1;3;1; ; ;1;1;40000;2;1;2; ;4;8; ;05;8;05;1349,66646690698;5;1960
1010066;1;2;1;10;2;2;1;43;2;3;1; ; ;1;5; ;2;1;2; ;4;7; ;05;7;05;1349,66646690698;4;1965
1010066;1;3;1;10;3;1;1;28;3;6;1; ; ;1;5; ;2;1;1;1;6;6;4;05;17;05;1349,66646690698;7;1980
1010066;1;4;1;10;4;1;1;20;3;6;1; ; ;1;5; ;2;1;1;1;6;2;2;05;13;05;1349,66646690698;1;1989
1010066;1;5;1;10;2;2;1;12;3;6;1; ; ;1;5; ;1;1;1;1;3;5; ;05;5;05;1349,66646690698;8;1996
1010068;1;1;1;10;1;1;1;43;1;2;2;1;1; ; ; ;2;2;2; ;1;0; ;05;0;05;1179,02762587785;1;1965
1010068;1;2;1;10;2;2;1;48;2;2;2;1;1; ; ; ;2;1;2; ;3;4; ;05;4;05;1179,02762587785;2;1960
1010069;1;1;1;10;1;1;1;56;1;2;1; ; ;1;1;24000;2;1;2; ;1;0; ;05;0;05;1055,85550918962;10;1952
1010069;1;2;1;10;2;2;1;42;2;2;2;2; ; ; ; ;2;1;2; ;3;2; ;05;2;05;1055,85550918962;3;1966
1010070;1;1;1;10;1;1;1;49;1;2;1; ; ;1;1;18560;2;1;2; ;4;8; ;05;8;05;1005,67824267393;3;1959
1010070;1;2;1;10;2;2;1;43;2;2;1; ; ;1;5; ;2;1;2; ;5;10;1;05;10;05;1005,67824267393;8;1965
1010070;1;3;1;10;3;2;1;18;3;6;1; ; ;1;5; ;2;1;1;1;6;2;3;05;13;05;1005,67824267393;5;1990
1010070;1;4;1;10;2;2;1;11;3;6;1; ; ;1;5; ;2;1;1;1;3;5; ;05;5;05;1005,67824267393;9;1997
1010071;1;1;1;10;1;1;1;70;1;3;1; ; ;3; ; ;2;1;2; ;3;5; ;05;5;05;1140,51547189328;1;1939
1010071;1;2;1;10;2;2;1;58;2;3;1; ; ;1;5; ;2;1;2; ;3;1; ;05;1;05;1140,51547189328;12;1950
1010071;1;3;1;10;3;1;1;19;3;6;1; ; ;1;1;18560;2;1;2; ;5;11;2;05;11;05;1140,51547189328;4;1989
1010071;1;4;1;10;4;2;1;17;3;6;1; ; ;3; ; ;2;1;1;1;3;4; ;05;4;05;1140,51547189328;5;1991
1010072;1;1;1;10;1;1;1;50;1;2;1; ; ;1;1;18560;2;1;2; ;5;11;2;05;11;05;1112,91289981409;3;1958
1010072;1;2;1;10;2;2;1;25;2;2;1; ; ;1;5; ;2;1;2; ;5;11;2;05;11;05;1112,91289981409;6;1983
1010072;1;3;1;10;1;2;1;8;3; ;1; ; ;1;5; ;2;1;1;1;3;3; ;05;3;05;1112,91289981409;2;2000
1010072;1;4;1;10;1;1;1;3;3; ;1; ; ;1;5; ;2;2;2; ;1;0; ;05;0;05;1112,91289981409;6;2005
1010073;1;1;1;10;1;2;1;47;1;2;1; ; ;3; ; ;1;1;2; ;4;9; ;05;9;05;980,769439335094;10;1961
1010073;1;2;1;10;2;1;1;54;2;2;1; ; ;3; ; ;2;1;2; ;4;7; ;05;7;05;980,769439335094;3;1954
1010073;1;3;1;10;3;2;1;21;3;6;1; ; ;3; ; ;2;1;2; ;4;8; ;05;8;05;980,769439335094;5;1987
1010073;1;4;1;10;1;2;1;7;3; ;1; ; ;3; ; ;1;2;1;1;3;0; ;05;0;05;980,769439335094;7;2001
1010073;1;5;1;10;5;2;1;71;5;5;1; ; ;3; ; ;1;2;2; ;1;0; ;05;0;05;980,769439335094;7;1937
1010074;1;1;1;10;1;1;1;61;1;3;1; ; ;1;1;95000;2;1;2; ;6;5;4;05;16;05;1055,85550918962;10;1947
1010074;1;2;1;10;2;2;1;44;2;3;1; ; ;1;5; ;2;1;2; ;6;4;3;05;15;05;1055,85550918962;11;1964
1010075;1;1;1;10;1;2;1;30;1;2;9; ; ; ; ; ;2;1;2; ;3;2; ;05;2;05;1179,02762587785;6;1978
1010075;1;2;1;10;2;1;1;32;2;2;1; ; ;1;1;18500;2;1;1;1;6;0;2;05;11;05;1179,02762587785;4;1976
1010076;1;1;1;10;1;1;1;53;1;3;1; ; ;1;5; ;2;1;2; ;3;5; ;05;5;05;1205,39790287514;1;1955
