DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P6016;P6020;P6030;P6040;P6050;P6070;P6090;P6140;P6150;P6100;P6110;P6120;P6125;P6160;P6170;P6175;P6210;P6210S1;P6220;CLASE;ESC;P6030S1;P6030S3;DPTO;fex_c_2011
1016370;1;2;1;10;4;2;1;46;2;3;1; ; ;1;5; ;2;1;2; ;3;4; ;2;4;1;1962;05;743,32374774406
1016370;1;3;1;10;4;2;1;25;3;6;1; ; ;1;5; ;2;2;2; ;3;2; ;2;2;6;1983;05;743,32374774406
1016370;1;4;1;10;4;2;1;20;3;6;1; ; ;1;5; ;2;1;2; ;6;2;3;2;13;10;1988;05;743,32374774406
1016370;1;5;1;10;4;2;1;18;3;6;1; ; ;1;5; ;2;1;1;2;6;1;1;2;12;10;1990;05;743,32374774406
1016370;1;6;1;10;4;1;1;2;3; ;1; ; ;1;5; ;2; ; ; ; ; ; ;2; ;6;2006;05;743,32374774406
1016371;1;1;1;10;2;1;1;45;1;2;1; ; ;1;1;19980;2;1;2; ;3;5; ;2;5;7;1963;05;1200,75593629135
1016371;1;2;1;10;2;2;1;45;2;2;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;5;1963;05;1200,75593629135
1016371;1;3;1;10;2;1;1;5;3; ;1; ; ;3; ; ;2;2;1;1;2;0; ;2;0;9;2003;05;1200,75593629135
1016372;1;1;1;10;1;2;1;41;1;4;1; ; ;3; ; ;2;1;2; ;4;8; ;2;8;2;1967;05;1102,17018090916
1016372;1;2;1;10;1;1;1;16;3;6;1; ; ;1;5; ;2;1;2; ;4;9; ;2;9;12;1992;05;1102,17018090916
1016373;1;1;1;10;1;1;1;26;1;2;2;1;12; ; ; ;2;1;2; ;4;8; ;2;8;5;1982;05;1849,23810183875
1016373;1;2;1;10;2;2;1;20;2;2;1; ; ;3; ; ;2;1;2; ;4;7; ;2;7;8;1988;05;1849,23810183875
1016373;1;3;1;10;2;2;1;0;3; ;1; ; ;3; ; ;2; ; ; ; ; ; ;2; ;3;2008;05;1849,23810183875
1016374;1;1;1;10;2;1;1;54;1;3;1; ; ;1;4; ;2;1;2; ;3;3; ;2;3;5;1954;05;1909,80181441102
1016374;1;2;1;10;2;2;1;52;2;3;1; ; ;1;5; ;2;1;2; ;3;3; ;2;3;5;1956;05;1909,80181441102
1016374;1;3;1;10;2;2;1;33;3;6;1; ; ;1;4; ;2;1;2; ;3;5; ;2;5;2;1975;05;1909,80181441102
1016374;1;4;1;10;2;1;1;33;3;6;2;2; ; ; ; ;2;1;2; ;5;11;2;2;11;1;1976;05;1909,80181441102
1016374;1;5;1;10;2;1;1;25;3;6;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;12;1983;05;1909,80181441102
1016374;1;6;1;10;2;2;1;21;3;6;1; ; ;3; ; ;2;1;2; ;5;11;2;2;11;5;1987;05;1909,80181441102
1016374;1;7;1;10;2;2;1;17;3;6;1; ; ;1;5; ;2;1;1;1;4;9; ;2;9;1;1992;05;1909,80181441102
1016374;1;8;1;10;8;2;1;32;3;6;2;1;12; ; ; ;2;1;2; ;3;5; ;2;5;12;1976;05;1909,80181441102
1016374;1;9;1;10;2;1;1;12;4;6;1; ; ;1;5; ;2;1;1;1;3;5; ;2;5;3;1996;05;1909,80181441102
1016374;1;10;1;10;8;2;1;2;4; ;2;2; ; ; ; ;2; ; ; ; ; ; ;2; ;7;2006;05;1909,80181441102
1016376;1;1;1;10;1;1;1;23;1;2;1; ; ;1;1;18000;1;1;1;1;4;6; ;2;6;7;1985;05;5148,13145133658
1016376;1;2;1;10;2;2;1;19;2;2;1; ; ;1;5; ;1;1;1;1;4;8; ;2;8;5;1989;05;5148,13145133658
1016376;1;3;1;10;2;1;1;3;3; ;1; ; ;1;5; ;1;2;2; ;1;0; ;2;0;12;2005;05;5148,13145133658
1016377;1;1;1;10;1;2;1;30;1;4;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;11;1978;05;4763,25936086314
1016377;1;2;1;10;2;2;1;17;3;6;2;2; ; ; ; ;2;1;2; ;3;5; ;2;5;1;1992;05;4763,25936086314
1016377;1;3;1;10;3;2;1;12;3;6;1; ; ;3; ; ;1;1;1;1;4;0; ;2;5;7;1996;05;4763,25936086314
1016377;1;4;1;10;1;1;1;10;3;6;1; ; ;3; ; ;2;2;1;1;3;2; ;2;2;11;1998;05;4763,25936086314
1016377;1;5;1;10;1;2;1;7;3; ;2;2; ; ; ; ;2;2;2; ;1;0; ;2;0;6;2001;05;4763,25936086314
1016377;1;6;1;10;1;2;1;4;3; ;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;3;2004;05;4763,25936086314
1016378;1;1;1;10;1;1;1;29;1;1;2;2; ; ; ; ;1;2;2; ;1;0; ;2;0;3;1979;05;5947,61144291676
1016378;1;2;1;10;2;2;1;33;2;1;1; ; ;3; ; ;1;1;2; ;4;6; ;2;6;11;1975;05;5947,61144291676
1016378;1;3;1;10;3;2;1;14;3;6;1; ; ;3; ; ;1;1;2; ;4;6; ;2;6;2;1994;05;5947,61144291676
1016378;1;4;1;10;2;1;1;11;3;6;1; ; ;3; ; ;1;1;1;1;3;3; ;2;3;9;1997;05;5947,61144291676
1016378;1;5;1;10;3;1;1;0;3; ;2;2; ; ; ; ;2; ; ; ; ; ; ;2; ;10;2008;05;5947,61144291676
1016379;1;1;1;10;1;2;1;59;1;2;1; ; ;3; ; ;1;2;2; ;1;0; ;2;0;6;1949;05;7997,6514375521
1016379;1;2;1;10;1;1;1;69;2;2;1; ; ;3; ; ;1;1;2; ;1;0; ;2;0;2;1939;05;7997,6514375521
1016381;1;1;1;10;1;2;1;81;1;6;1; ; ;3; ; ;1;1;2; ;5;12;2;2;12;9;1927;05;5578,67490259518
1016382;1;1;1;10;1;1;1;43;1;3;1; ; ;3; ; ;2;1;2; ;1;0; ;2;0;10;1965;05;8799,02158642045
1016382;1;2;1;10;2;2;1;52;2;3;1; ; ;3; ; ;1;1;1;2;3;5; ;2;5;7;1956;05;8799,02158642045
1016382;1;3;1;10;3;1;1;19;3;6;1; ; ;3; ; ;2;1;2; ;5;11;2;2;11;10;1989;05;8799,02158642045
1016382;1;4;1;10;4;1;1;15;9;6;1; ; ;3; ; ;2;1;1;1;4;8; ;2;8;4;1993;05;8799,02158642045
1016382;1;5;1;10;5;1;1;14;3;6;1; ; ;3; ; ;2;1;1;1;4;9; ;2;9;4;1994;05;8799,02158642045
1016383;1;1;1;10;1;1;1;50;1;2;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;5;1958;05;3522,54466549798
1016383;1;2;1;10;2;2;1;35;2;2;1; ; ;3; ; ;2;1;1;1;4;9; ;2;9;7;1973;05;3522,54466549798
1016383;1;3;1;10;3;2;1;15;3;6;1; ; ;3; ; ;1;1;1;1;5;10;1;2;10;9;1993;05;3522,54466549798
1016383;1;4;1;10;4;2;1;13;3;6;1; ; ;3; ; ;2;1;1;1;3;5; ;2;5;11;1995;05;3522,54466549798
1016383;1;5;1;10;2;2;1;10;3;6;1; ; ;3; ; ;2;1;1;1;3;4; ;2;4;2;1998;05;3522,54466549798
1016383;1;6;1;10;2;1;1;9;3; ;1; ; ;3; ; ;1;1;1;1;3;2; ;2;2;4;1999;05;3522,54466549798
1016383;1;7;1;10;2;1;1;8;3; ;1; ; ;3; ; ;2;1;1;1;3;2; ;2;2;11;2000;05;3522,54466549798
1016383;1;8;1;10;2;2;1;6;3; ;1; ; ;3; ; ;2;1;1;1;3;1; ;2;1;4;2002;05;3522,54466549798
1016384;1;1;1;10;1;1;1;30;1;2;1; ; ;3; ; ;2;1;2; ;4;7; ;2;7;9;1978;05;7132,84790405146
1016384;1;2;1;10;2;2;1;22;2;2;1; ; ;3; ; ;1;2;2; ;1;0; ;2;0;11;1986;05;7132,84790405146
1016384;1;3;1;10;2;2;1;6;3; ;1; ; ;3; ; ;1;2;1;1;3;1; ;2;1;3;2002;05;7132,84790405146
1016384;1;4;1;10;2;2;1;3;3; ;1; ; ;3; ; ;1;2;2; ;1;0; ;2;0;3;2005;05;7132,84790405146
1016384;1;5;1;10;2;1;1;1;3; ;1; ; ;3; ; ;1; ; ; ; ; ; ;2; ;12;2007;05;7132,84790405146
1016402;1;1;1;10;1;1;1;24;1;2;2;2; ; ; ; ;2;1;2; ;4;9; ;2;9;6;1984;05;3107,73119211415
1016402;1;2;1;10;2;2;1;19;2;2;1; ; ;3; ; ;1;1;2; ;3;5; ;2;5;2;1989;05;3107,73119211415
1016402;1;3;1;10;2;1;1;3;3; ;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;2;2005;05;3107,73119211415
1016402;1;4;1;10;2;1;1;2;3; ;1; ; ;3; ; ;2; ; ; ; ; ; ;2; ;9;2006;05;3107,73119211415
1016402;1;5;1;10;2;1;1;2;3; ;1; ; ;3; ; ;1; ; ; ; ; ; ;2; ;9;2006;05;3107,73119211415
1016403;1;1;1;10;1;1;1;43;1;2;1; ; ;1;1;25000;2;1;2; ;3;4; ;2;4;2;1965;05;1506,92690868682
1016403;1;2;1;10;2;2;1;45;2;2;1; ; ;1;5; ;2;1;2; ;3;5; ;2;5;1;1964;05;1506,92690868682
1016403;1;3;1;10;3;1;1;15;9;6;1; ; ;1;5; ;2;1;1;1;4;6; ;2;6;1;1994;05;1506,92690868682
1016403;1;4;1;10;4;2;1;74;9;4;1; ; ;3; ; ;1;1;2; ;3;3; ;2;3;12;1934;05;1506,92690868682
1016405;1;1;1;10;1;1;1;34;1;3;1; ; ;3; ; ;2;1;2; ;5;11;2;2;11;3;1974;05;1659,61552296538
1016405;1;2;1;10;2;2;1;33;2;3;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;4;1975;05;1659,61552296538
1016405;1;3;1;10;2;1;1;10;3;6;1; ; ;3; ; ;2;1;1;1;3;2; ;2;2;10;1998;05;1659,61552296538
1016405;1;4;1;10;2;2;1;9;3; ;1; ; ;3; ; ;2;1;1;1;3;3; ;2;3;1;2000;05;1659,61552296538
1016405;1;5;1;10;2;2;1;7;3; ;1; ; ;3; ; ;1;1;1;1;3;1; ;2;1;9;2001;05;1659,61552296538
1016406;1;1;1;10;1;1;1;60;1;2;1; ; ;3; ; ;1;1;2; ;3;4; ;2;4;8;1948;05;1255,34710849923
1016406;1;2;1;10;2;2;1;52;2;2;1; ; ;3; ; ;1;1;2; ;3;5; ;2;5;10;1956;05;1255,34710849923
1016406;1;3;1;10;3;2;1;26;3;6;1; ; ;3; ; ;1;1;2; ;5;11;2;2;11;12;1982;05;1255,34710849923
1016406;1;4;1;10;4;1;1;24;3;6;1; ; ;1;1;40000;2;1;1;1;6;3;2;2;14;7;1984;05;1255,34710849923
1016407;1;1;1;10;1;2;1;47;1;6;1; ; ;1;3;135000;2;1;2; ;3;5; ;2;5;5;1961;05;671,622812125809
1016407;1;2;1;10;2;2;1;45;5;6;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;12;1963;05;671,622812125809
1016407;1;3;1;10;3;2;1;46;5;4;1; ; ;3; ; ;1;1;2; ;3;5; ;2;5;11;1962;05;671,622812125809
1016407;1;4;1;10;3;1;1;10;5;6;1; ; ;3; ; ;2;1;1;1;3;4; ;2;4;7;1998;05;671,622812125809
1016407;1;5;1;10;5;2;1;33;5;6;1; ; ;3; ; ;1;1;2; ;4;9; ;2;9;2;1975;05;671,622812125809
1016407;1;6;1;10;6;2;1;14;5;6;1; ; ;1;5; ;2;1;1;1;3;5; ;2;5;4;1994;05;671,622812125809
1016407;1;7;1;10;7;1;1;13;5;6;1; ; ;3; ; ;2;1;1;1;4;8; ;2;8;10;1995;05;671,622812125809
1016408;1;1;1;10;1;1;1;60;1;4;1; ; ;1;4; ;2;1;2; ;5;11;2;2;11;5;1948;05;1994,54045315196
1016408;1;2;1;10;2;1;1;17;3;6;1; ; ;1;5; ;2;1;1;1;5;10;1;2;10;2;1991;05;1994,54045315196
1016409;1;1;1;10;1;1;1;42;1;2;1; ; ;1;4; ;2;1;1;1;6;1;2;2;12;3;1966;05;1885,62075359058
1016410;1;1;1;10;1;1;1;40;1;3;1; ; ;1;3;150000;1;1;2; ;5;11;2;2;11;4;1968;05;1285,3594071648
1016410;1;2;1;10;2;2;1;38;2;3;1; ; ;1;5; ;2;1;2; ;6;4;3;2;15;5;1970;05;1285,3594071648
1016410;1;3;1;10;3;2;1;15;3;6;1; ; ;1;5; ;2;1;1;1;4;9; ;2;9;11;1993;05;1285,3594071648
1016410;1;4;1;10;4;1;1;14;3;6;1; ; ;1;5; ;1;1;1;1;4;8; ;2;8;1;1995;05;1285,3594071648
1016410;1;5;1;10;2;1;1;9;3; ;1; ; ;1;5; ;2;1;1;1;3;3; ;2;3;6;1999;05;1285,3594071648
1016411;1;1;1;10;1;1;1;19;1;1;1; ; ;1;4; ;2;1;2; ;4;9; ;2;9;9;1989;05;1427,84909512506
1016411;1;2;1;10;2;2;1;19;2;1;1; ; ;1;1;57000;2;1;1;1;6;1;2;2;12;9;1989;05;1427,84909512506
1016412;1;1;1;10;1;1;1;40;1;2;1; ; ;3; ; ;1;1;2; ;5;11;2;2;11;9;1968;05;1523,55918762284
1016412;1;2;1;10;2;2;1;31;2;2;1; ; ;3; ; ;1;1;2; ;3;5; ;2;5;1;1978;05;1523,55918762284
1016412;1;3;1;10;2;2;1;8;3; ;1; ; ;3; ; ;1;1;1;1;3;2; ;2;2;1;2001;05;1523,55918762284
1016413;1;1;1;10;1;1;1;34;1;6;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;6;1974;05;7861,02425537067
1016413;1;2;1;10;2;1;1;15;9;6;1; ; ;3; ; ;2;1;1;1;3;2; ;2;2;1;1994;05;7861,02425537067
1016413;1;3;1;10;1;1;1;6;9; ;1; ; ;3; ; ;2;2;1;1;2;0; ;2;0;2;2002;05;7861,02425537067
1016416;1;1;1;10;1;1;1;60;1;3;1; ; ;1;2;57000;2;1;2; ;3;5; ;2;5;5;1948;05;1624,9437808256
1016416;1;2;1;10;2;2;1;47;2;3;1; ; ;1;5; ;2;1;2; ;5;11;2;2;11;9;1961;05;1624,9437808256
1016416;1;3;1;10;3;1;1;17;3;6;1; ; ;1;5; ;2;1;1;1;6;0;2;2;11;8;1991;05;1624,9437808256
1016417;1;1;1;10;1;2;1;52;1;5;1; ; ;1;1;57000;2;1;2; ;6;3;3;2;14;9;1956;05;937,266300173418
1016417;1;2;1;10;2;2;1;23;3;6;1; ; ;1;5; ;2;1;1;1;6;2;2;2;13;1;1985;05;937,266300173418
1016417;1;3;1;10;2;2;1;2;5; ;1; ; ;1;5; ;2; ; ; ; ; ; ;2; ;10;2006;05;937,266300173418
1016418;1;1;1;10;1;2;1;36;1;2;2;1;2; ; ; ;2;1;2; ;5;11;2;2;11;1;1973;05;1186,7736517826
1016418;1;2;1;10;2;1;1;18;3;6;2;1;12; ; ; ;2;1;2; ;5;11;2;2;11;1;1991;05;1186,7736517826
1016418;1;3;1;10;3;2;1;15;3;6;2;1;12; ; ; ;2;1;1;1;5;10;1;2;10;11;1993;05;1186,7736517826
1016418;1;4;1;10;4;1;1;13;3;6;2;1;12; ; ; ;2;1;1;1;4;7; ;2;7;9;1995;05;1186,7736517826
1016420;1;1;1;10;1;1;1;58;1;2;1; ; ;1;5; ;2;1;2; ;3;5; ;2;5;2;1950;05;1866,01922416805
1016424;1;1;1;10;1;1;1;28;1;2;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;8;1980;05;7119,54164482002
1016424;1;2;1;10;2;2;1;26;2;2;1; ; ;3; ; ;2;1;2; ;3;3; ;2;3;6;1982;05;7119,54164482002
1016424;1;3;1;10;2;2;1;8;9; ;1; ; ;3; ; ;2;1;1;1;3;2; ;2;2;3;2000;05;7119,54164482002
1016424;1;4;1;10;2;2;1;7;9; ;1; ; ;3; ; ;2;2;1;1;2;0; ;2;0;1;2002;05;7119,54164482002
1016424;1;5;1;10;2;2;1;0;3; ;2;2; ; ; ; ;2; ; ; ; ; ; ;2; ;10;2008;05;7119,54164482002
1016426;1;1;1;10;1;1;1;41;1;2;1; ; ;3; ; ;2;1;2; ;3;3; ;2;3;4;1967;05;3897,6377343058
1016426;1;2;1;10;2;2;1;31;2;2;1; ; ;3; ; ;2;1;1;1;3;4; ;2;4;2;1977;05;3897,6377343058
1016426;1;3;1;10;3;1;1;11;3;6;1; ; ;3; ; ;2;1;1;1;3;4; ;2;4;3;1997;05;3897,6377343058
1016426;1;4;1;10;2;1;1;10;3;6;1; ; ;3; ; ;2;1;1;1;3;4; ;2;4;3;1998;05;3897,6377343058
1016426;1;5;1;10;2;1;1;9;3; ;1; ; ;3; ; ;2;1;1;1;3;2; ;2;2;6;1999;05;3897,6377343058
1016426;1;6;1;10;2;1;1;8;3; ;1; ; ;3; ; ;2;2;2; ;3;2; ;2;2;1;2001;05;3897,6377343058
1016426;1;7;1;10;2;1;1;4;3; ;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;1;2005;05;3897,6377343058
1016426;1;8;1;10;2;2;1;2;3; ;1; ; ;3; ; ;2; ; ; ; ; ; ;2; ;8;2006;05;3897,6377343058
1016426;1;9;1;10;2;2;1;1;3; ;1; ; ;3; ; ;2; ; ; ; ; ; ;2; ;11;2007;05;3897,6377343058
1016427;1;1;1;10;1;2;1;57;1;5;1; ; ;3; ; ;1;2;2; ;1;0; ;2;0;5;1951;05;5578,67490259518
1016428;1;1;1;10;1;1;1;31;1;3;1; ; ;1;4; ;2;1;2; ;3;5; ;2;5;11;1977;05;5591,00092283954
1016428;1;2;1;10;2;2;1;30;2;3;1; ; ;3; ; ;2;1;2; ;5;11;2;2;11;2;1978;05;5591,00092283954
1016428;1;3;1;10;2;2;1;5;3; ;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;11;2003;05;5591,00092283954
1016428;1;4;1;10;2;1;1;2;3; ;1; ; ;3; ; ;2; ; ; ; ; ; ;2; ;12;2006;05;5591,00092283954
1016431;1;1;1;10;2;1;1;59;1;2;1; ; ;3; ; ;2;1;2; ;3;2; ;2;2;4;1949;05;57,1625663303034
1016431;1;2;1;10;2;2;1;46;2;2;1; ; ;3; ; ;2;1;2; ;3;2; ;2;2;1;1963;05;57,1625663303034
1016431;1;3;1;10;2;1;1;22;3;6;1; ; ;3; ; ;2;1;2; ;3;4; ;2;4;7;1986;05;57,1625663303034
1016431;1;4;1;10;2;2;1;17;3;6;1; ; ;3; ; ;2;1;1;1;4;7; ;2;7;2;1991;05;57,1625663303034
1016431;1;5;1;10;2;2;1;14;3;6;1; ; ;3; ; ;2;1;1;1;4;7; ;2;7;1;1994;05;57,1625663303034
1016438;1;1;1;10;1;1;1;67;1;3;1; ; ;3; ; ;2;1;2; ;1;0; ;2;0;1;1942;05;4804,38732500707
1016438;1;2;1;10;2;2;1;68;2;3;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;6;1940;05;4804,38732500707
1016439;1;1;1;10;1;1;1;29;1;2;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;9;1979;05;4255,93989726357
1016439;1;2;1;10;2;2;1;25;2;2;1; ; ;3; ; ;2;1;2; ;3;3; ;2;3;5;1983;05;4255,93989726357
1016439;1;3;1;10;2;2;1;3;3; ;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;9;2005;05;4255,93989726357
1016439;1;4;1;10;2;2;1;0;3; ;1; ; ;3; ; ;2; ; ; ; ; ; ;2; ;4;2008;05;4255,93989726357
1016442;1;1;1;10;3;1;1;69;1;2;1; ; ;3; ; ;2;1;2; ;1;0; ;2;0;2;1939;05;9068,59487507782
1016442;1;2;1;10;3;2;1;49;2;2;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;3;1959;05;9068,59487507782
1016442;1;3;1;10;3;2;1;25;3;6;1; ; ;3; ; ;2;1;1;1;5;10;1;2;10;12;1983;05;9068,59487507782
1016442;1;4;1;10;3;1;1;21;3;1;1; ; ;3; ; ;2;1;2; ;5;11;2;2;11;3;1987;05;9068,59487507782
1016442;1;5;1;10;3;2;1;7;4; ;1; ; ;3; ; ;2;1;1;1;3;2; ;2;2;3;2001;05;9068,59487507782
1016442;1;6;1;10;6;2;1;21;9;1;1; ; ;3; ; ;2;1;1;1;4;9; ;2;9;12;1987;05;9068,59487507782
1016443;1;1;1;10;1;1;1;52;1;3;1; ; ;3; ; ;1;1;2; ;3;2; ;2;2;1;1957;05;4214,04964934366
1016443;1;2;1;10;2;2;1;48;2;3;1; ; ;3; ; ;1;1;2; ;3;2; ;2;2;11;1960;05;4214,04964934366
1016444;1;1;1;10;1;1;1;36;1;3;1; ; ;3; ; ;2;1;2; ;3;2; ;2;2;2;1972;05;3847,81876531107
1016444;1;2;1;10;2;2;1;35;2;3;1; ; ;3; ; ;1;1;2; ;4;8; ;2;8;8;1973;05;3847,81876531107
1016444;1;3;1;10;3;2;1;11;3;6;1; ; ;3; ; ;2;1;1;1;4;0; ;2;5;9;1997;05;3847,81876531107
1016444;1;4;1;10;4;2;1;11;3;6;1; ; ;3; ; ;2;1;1;1;4;0; ;2;5;9;1997;05;3847,81876531107
1016444;1;5;1;10;2;2;1;10;3;6;1; ; ;3; ; ;2;1;1;1;4;0; ;2;5;8;1998;05;3847,81876531107
1016445;1;1;1;10;1;1;1;23;1;6;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;5;1985;05;4091,02907298204
1016446;1;1;1;10;2;1;1;48;1;3;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;7;1960;05;4827,41152828775
1016446;1;2;1;10;2;2;1;43;2;3;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;12;1965;05;4827,41152828775
1016446;1;3;1;10;2;1;1;19;3;6;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;12;1989;05;4827,41152828775
1016446;1;4;1;10;4;2;1;17;3;6;1; ; ;3; ; ;2;1;1;1;4;7; ;2;7;12;1991;05;4827,41152828775
1016446;1;5;1;10;5;1;1;14;3;6;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;12;1994;05;4827,41152828775
1016446;1;6;1;10;4;2;1;7;3; ;1; ; ;3; ; ;2;1;1;1;3;2; ;2;2;3;2001;05;4827,41152828775
1016447;1;1;1;10;2;2;1;66;1;6;1; ; ;3; ; ;2;1;2; ;3;2; ;2;2;9;1942;05;4657,02320801439
