Directorio;Secuencia_p;Orden;Hogar;Regis;Clase;P7430;P7440;P7450;P7450s1;P7460;P7470;P7472;P7472s1;P7454;P7456;P7458s1;P7458;P7452;Ini;Mes;Dpto;Fex_c_2011;Area
3118050;1;1;1;80;1;1;1;8; ;2; ;2; ; ; ; ;9;2;1;01;63;87,6469665961864;63
3118050;1;2;1;80;1;1;1;2; ;2; ;2; ; ; ; ;2;2;1;01;63;87,6469665961864;63
3118051;1;1;1;80;1;1;4;8; ;2; ;2; ; ; ; ;9;2;1;01;63;127,145225349952;63
3118053;1;1;1;80;1;1;4;4; ;2; ;2; ; ; ; ;4;2;1;01;63;121,257076383113;63
3118055;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;01;63;123,063092963039;63
3118055;1;6;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;01;63;123,063092963039;63
3118056;1;2;1;80;1;1;3;2; ;2; ;2; ; ; ; ;2;2;1;01;63;168,082018398756;63
3118058;1;1;1;80;1;1;4;4; ;2; ;2; ; ; ; ;4;2;1;01;63;121,257076383113;63
3118059;1;1;1;80;1;1;1;3; ;2; ;2; ; ; ; ;9;2;1;01;63;162,120501385125;63
3118060;1;1;1;80;1;1;4;8; ;3; ;2; ; ; ; ;10;2;1;01;63;136,218737802618;63
3118060;1;2;1;80;1;1;4;5; ;3; ;2; ; ; ; ;10;2;1;01;63;136,218737802618;63
3118061;1;1;1;80;1;1;3;8; ;3; ;2; ; ; ; ;4;2;1;01;63;120,581176437903;63
3118064;1;2;1;80;1;1;4;3; ;2; ;2; ; ; ; ;8;2;1;01;63;122,69570736518;63
3118066;1;3;1;80;1;2; ; ; ; ; ;2; ;2; ;.; ; ;1;01;63;173,432977405151;63
3118067;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;01;63;144,551507040417;63
3118067;1;4;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;01;63;144,551507040417;63
3118067;1;5;1;80;1;2; ; ; ; ; ;2; ;2; ;.; ; ;1;01;63;144,551507040417;63
3118068;1;1;1;80;1;1;4;4; ;2; ;2; ; ; ; ;4;2;1;01;63;136,218737802618;63
3118070;1;2;1;80;1;2; ; ; ;2; ;2; ;1;1; ;9; ;1;01;63;182,970215084441;63
3118071;1;2;1;80;1;1;3;3; ;2; ;2; ; ;1; ;9;1;1;01;63;168,082018398756;63
3118072;1;1;1;80;1;1;4;8; ;2; ;2; ; ; ; ;8;2;1;01;63;136,218737802618;63
3118072;1;2;1;80;1;1;4;4; ;2; ;2; ; ; ; ;4;2;1;01;63;136,218737802618;63
3118074;1;1;1;80;1;1;4;5; ;3; ;2; ; ; ; ;8;2;1;01;63;157,670983400353;63
3118075;1;2;1;80;1;1;4;8; ;2; ;2; ; ; ; ;9;2;1;01;63;143,788872690589;63
3118077;1;1;1;80;1;1;4;8; ;3; ;2; ; ; ; ;9;2;1;01;63;121,257076383113;63
3118078;1;2;1;80;1;1;4;4; ;2; ;2; ; ; ; ;9;2;1;01;63;123,701793341101;63
3118078;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;01;63;123,701793341101;63
3118078;1;4;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;01;63;123,701793341101;63
3118079;1;1;1;80;1;1;2;8; ;2; ;2; ; ;1; ;5;1;1;01;63;108,813596655416;63
3118079;1;2;1;80;1;2; ; ; ; ; ;2; ;2; ;.; ; ;1;01;63;108,813596655416;63
3118080;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;01;63;180,2026830208;63
3118081;1;1;1;80;1;1;1;8; ;2; ;2; ; ; ; ;9;2;1;01;63;119,216010189656;63
3118081;1;2;1;80;1;2; ; ; ;3; ;2; ;2; ;.; ; ;1;01;63;119,216010189656;63
3118081;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;01;63;119,216010189656;63
3118082;1;3;1;80;1;2; ; ; ; ; ;2; ;2; ;.; ; ;1;01;63;223,304572921856;63
3118082;1;6;1;80;1;1;4;5; ;3; ;2; ; ; ; ;10;2;1;01;63;223,304572921856;63
3118083;1;2;1;80;1;1;4;8; ;2; ;2; ; ;4; ;9;1;1;01;63;136,218737802618;63
3118084;1;2;1;80;1;1;1;4; ;2; ;2; ; ; ; ;4;2;1;01;63;169,506032483891;63
3118084;1;4;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;01;63;169,506032483891;63
3118086;1;1;1;80;1;1;2;5; ;3; ;2; ; ; ; ;10;2;1;01;63;105,692979752218;63
3118086;1;2;1;80;1;1;1;8; ;2; ;2; ; ; ; ;5;2;1;01;63;105,692979752218;63
3118087;1;2;1;80;1;1;4;3; ;2; ;2; ; ; ; ;9;2;1;01;63;156,789330064515;63
3118090;1;1;1;80;1;1;2;5; ;3; ;2; ; ; ; ;10;2;1;01;63;121,257076383113;63
3118093;1;1;1;80;1;1;1;4; ;1;4;2; ; ; ; ;4;2;1;01;52;177,23092510308;52
3118093;1;2;1;80;1;1;2;9;EMBARAZO;2; ;2; ; ; ; ;9;2;1;01;52;177,23092510308;52
3118093;1;4;1;80;1;1;2;9;CAMBIO DE DOMICILIO;2; ;2; ; ; ; ;8;2;1;01;52;177,23092510308;52
3118096;1;1;1;80;1;1;4;4; ;3; ;2; ; ; ; ;4;2;1;01;52;136,987836275407;52
3118096;1;2;1;80;1;1;4;6; ;2; ;2; ; ; ;CUIDAR A SU PADRE;12;2;1;01;52;136,987836275407;52
3118099;1;3;1;80;1;2; ; ; ; ; ;2; ;2; ;.; ; ;1;01;52;183,281829789461;52
3118107;1;2;1;80;1;1;2;3; ;2; ;2; ; ; ; ;2;2;1;01;52;196,920034251507;52
3118108;1;1;1;80;1;1;4;7; ;2; ;2; ; ; ; ;4;2;1;01;52;104,782481988469;52
3118108;1;2;1;80;1;1;4;4; ;2; ;2; ; ; ; ;8;2;1;01;52;104,782481988469;52
