DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P7480;P7480S1;P7480S2;P7480S3;P7480S4;P7480S5;P7480S6;P7480S7;P7480S8;P7480S9;P7480S10;P7480S11;P7480S1A1;P7480S2A1;P7480S3A1;P7480S4A1;P7480S5A1;P7480S6A1;P7480S7A1;P7480S8A1;P7480S9A1;P7480S10A1;P7480S11A1;CLASE;FT;DPTO;AREA;fex_c_2011
846915;1;3;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;768.696.683.068.746
846916;1;1;1;90;;2;;2;2;1;2;2;2;2;2;2;;;;;5;;;;;;;1;1;5;5;923.131.627.553.952
846916;1;2;1;90;;2;;1;2;1;2;2;2;2;2;2;;;21;;24;;;;;;;1;1;5;5;923.131.627.553.952
846916;1;5;1;90;;2;;1;2;2;2;2;2;2;2;2;;;10;;;;;;;;;1;1;5;5;923.131.627.553.952
846917;1;1;1;90;;2;;1;2;2;2;2;2;2;2;2;;;5;;;;;;;;;1;1;5;5;811.741.229.223.601
846917;1;2;1;90;;2;;1;2;2;2;2;2;2;2;2;;;5;;;;;;;;;1;1;5;5;811.741.229.223.601
846917;1;3;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;811.741.229.223.601
846917;1;4;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;811.741.229.223.601
846919;1;1;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;96.543.877.976.497
846919;1;2;1;90;;2;;1;2;1;2;2;2;2;2;2;;;20;;20;;;;;;;1;1;5;5;96.543.877.976.497
846919;1;3;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;96.543.877.976.497
846919;1;6;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;96.543.877.976.497
846921;1;1;1;90;;2;;1;2;1;2;2;2;2;2;2;;;20;;12;;;;;;;1;1;5;5;954.522.118.245.178
846921;1;2;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;954.522.118.245.178
846921;1;3;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;954.522.118.245.178
846921;1;4;1;90;;2;;2;2;1;2;2;2;2;2;2;;;;;20;;;;;;;1;1;5;5;954.522.118.245.178
846924;1;1;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;756.198.638.263.236
846924;1;2;1;90;;2;;1;2;1;2;2;2;2;2;2;;;12;;12;;;;;;;1;1;5;5;756.198.638.263.236
846924;1;3;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;756.198.638.263.236
846924;1;4;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;756.198.638.263.236
846925;1;1;1;90;;2;;1;2;1;2;2;2;2;2;2;;;18;;28;;;;;;;1;1;5;5;966.253.171.919.209
846927;1;1;1;90;;2;;1;2;2;2;2;2;2;2;2;;;18;;;;;;;;;1;1;5;5;546.477.880.387.096
846927;1;2;1;90;;2;;1;2;1;2;2;2;2;2;2;;;14;;10;;;;;;;1;1;5;5;546.477.880.387.096
846927;1;3;1;90;;2;;1;2;2;2;2;2;2;2;2;;;2;;;;;;;;;1;1;5;5;546.477.880.387.096
846927;1;4;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;546.477.880.387.096
846930;1;1;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;797.888.064.068.007
846930;1;2;1;90;;2;;1;2;1;2;2;2;2;2;2;;;20;;30;;;;;;;1;1;5;5;797.888.064.068.007
846930;1;3;1;90;;2;;2;2;1;2;2;2;2;2;2;;;;;20;;;;;;;1;1;5;5;797.888.064.068.007
846930;1;5;1;90;;2;;1;2;2;2;2;2;2;2;2;;;14;;;;;;;;;1;1;5;5;797.888.064.068.007
846932;1;1;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;929.424.681.297.202
846932;1;2;1;90;;2;;1;2;2;1;2;2;2;2;2;;;10;;;2;;;;;;1;1;5;5;929.424.681.297.202
846933;1;1;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;753.921.416.968.718
846933;1;2;1;90;;2;;1;2;1;2;2;2;2;2;2;;;25;;20;;;;;;;1;1;5;5;753.921.416.968.718
846933;1;3;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;753.921.416.968.718
846933;1;4;1;90;;2;;1;2;2;2;2;2;2;2;2;;;2;;;;;;;;;1;1;5;5;753.921.416.968.718
846935;1;1;1;90;;2;;1;2;2;2;2;2;2;2;2;;;18;;;;;;;;;1;1;5;5;888.080.321.506.266
846937;1;1;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;77.041.169.427.449
846937;1;2;1;90;;2;;1;2;1;2;2;2;2;2;2;;;24;;15;;;;;;;1;1;5;5;77.041.169.427.449
846937;1;3;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;77.041.169.427.449
846937;1;4;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;77.041.169.427.449
846939;1;1;1;90;;2;;1;2;2;2;2;2;2;2;2;;;3;;;;;;;;;1;1;5;5;106.498.079.905.172
846941;1;1;1;90;;2;;1;2;2;2;2;2;2;2;2;;;15;;;;;;;;;1;1;5;5;805.930.525.587.116
846941;1;2;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;805.930.525.587.116
846943;1;1;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;981.227.015.461.607
846943;1;2;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;981.227.015.461.607
846943;1;3;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;981.227.015.461.607
846943;1;4;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;981.227.015.461.607
846943;1;5;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;981.227.015.461.607
846945;1;1;1;90;;2;;1;2;1;2;2;2;2;2;2;;;20;;15;;;;;;;1;1;5;5;750.040.768.651.109
846945;1;2;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;750.040.768.651.109
846947;1;1;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;670.700.959.144.594
846947;1;2;1;90;;2;;1;2;2;2;2;2;2;2;2;;;20;;;;;;;;;1;1;5;5;670.700.959.144.594
846947;1;3;1;90;;2;;1;2;2;2;2;2;2;2;2;;;2;;;;;;;;;1;1;5;5;670.700.959.144.594
846947;1;4;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;670.700.959.144.594
846947;1;5;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;670.700.959.144.594
846949;1;1;1;90;;2;;2;2;1;2;2;2;2;2;2;;;;;10;;;;;;;1;1;5;5;102.050.274.704.284
846949;1;2;1;90;;2;;1;2;1;2;2;2;2;2;2;;;12;;15;;;;;;;1;1;5;5;102.050.274.704.284
