Directorio;Secuencia_p;Orden;Hogar;Regis;Clase;P7250;P7260;P7280;P7280s1;P7310;P7320;P7350;P7350s1;P7360;P7390;P7390s1;P7420;P7420s1;P7420s2;P7420s3;P7420s4;P7420s5;P7420s6;P7420s7;P7420s8;P7420s7a1;P7422;P7422s1;P9460;Oficio1;Oficio2;Rama2d_d;Dsi;Dscy;Rama4d_d;Mes;Dpto;Fex_c_2011;Area
3075143;1;4;1;70;1;3;48;4; ;2;3;4; ;1;2; ; ; ; ; ; ; ; ; ;1; ;1;500000;2;17;17;92;1;1;9213;11;63;96,2208743654393;63
3075144;1;1;1;70;1;28;48;1; ;2;28;1; ;3;1; ; ; ; ; ; ; ; ;1; ;LA  PENSION;2; ;2;60;95;20;1;2;2010;11;63;144,473139005954;63
3075144;1;2;1;70;1;28;40;3; ;2;30;1; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;62;01;1;2;0112;11;63;144,473139005954;63
3075151;1;2;1;70;1;52;48;1; ;2;24;4; ;1;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;55;74;1;2;7493;11;63;124,456214503351;63
3075160;1;2;1;70;1;52;48;1; ;2;260;3; ;1;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;58;55;95;1;2;9500;11;63;124,474180113856;63
3075161;1;2;1;70;1;104;48;1; ;2;99;1; ;5;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;2;5233;11;63;144,455173395449;63
3075162;1;3;1;70;1;40;48;1; ;2;40;2; ;9;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;58;58;75;1;2;7522;11;63;113,371030545139;63
3075163;1;2;1;70;1;7;48;2; ;2;7;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;55;74;1;1;7493;11;63;124,456214503351;63
3075168;1;1;1;70;1;24;40;1; ;2;24;4; ;1;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;61;01;1;2;0140;11;63;146,239531680756;63
3075171;1;3;1;70;1;12;54;1; ;2;12;4; ;1;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;95;45;1;1;4521;11;63;140,375435392037;63
3075178;1;1;1;70;1;2;10;4; ;2;104;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;77;53;55;1;1;5521;11;63;114,997080600473;63
3075179;1;2;1;70;1;2;20;1; ;2;104;1; ;4;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;1;5241;11;63;124,456214503351;63
3075183;1;3;1;70;1;1;40;1; ;2;48;4; ;1;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;41;52;1;1;5233;11;63;79,0590175233461;63
3075184;1;2;1;70;1;25;40;1; ;2;46;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;54;74;1;2;7493;11;63;135,347873092054;63
3075211;1;2;1;70;1;112;50;4; ;2;104;4; ;6;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;02;02;45;1;2;4530;11;44;71,5703948657647;44
3075223;1;4;1;70;1;45;45;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;2; ;11;52;84,8362036869843;52
3075223;1;7;1;70;1;4;45;1; ;2;52;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;1;5211;11;52;84,8362036869843;52
3075227;1;2;1;70;1;13;40;3; ;2;13;3; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;95;1;1;9500;11;52;179,730309096618;52
3075228;1;1;1;70;1;78;48;1; ;2;78;2; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;32;85;40;1;2;4010;11;52;129,451920665847;52
3075229;1;2;1;70;1;104;24;2; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;05; ; ;1;2; ;11;52;158,365193538531;52
3075230;1;2;1;70;1;4;40;1; ;2;208;4; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;39;39;85;1;1;8511;11;52;182,195856464514;52
3075236;1;2;1;70;1;58;105;1; ;2;3;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;1;350000;2;98;95;45;1;2;4521;11;50;203,859184872677;50
3075253;1;2;1;70;1;52;40;1; ;2;78;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;33;53;55;1;2;5521;11;15;84,0567643082125;15
3075264;1;2;1;70;1;2;20;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;53; ; ;1;1; ;11;15;83,7157439597749;15
