Directorio;Secuencia_p;Orden;Hogar;Regis;Clase;P7250;P7260;P7280;P7280s1;P7310;P7320;P7350;P7350s1;P7360;P7390;P7390s1;P7420;P7420s1;P7420s2;P7420s3;P7420s4;P7420s5;P7420s6;P7420s7;P7420s8;P7420s7a1;P7422;P7422s1;P9460;Oficio1;Oficio2;Rama2d_d;Dsi;Dscy;Rama4d_d;Mes;Dpto;Fex_c_2011;Area
3928111;1;2;1;70;1;24;48;2; ;2;24;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;13;13;80;1;2;8012;02;47;211,16038899336;47
3928118;1;3;1;70;1;3;40;3; ;2;40;3; ;1;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;95;1;1;9500;02;63;88,4359577746921;63
3928120;1;3;1;70;1;4;50;1; ;2;4;1; ;5;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;95;45;1;1;4530;02;63;99,2131099481793;63
3928122;1;2;1;70;1;4;50;1; ;2;2;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;98;2;95;95;45;1;1;4521;02;63;101,361805195807;63
3928123;1;2;1;70;1;3;50;1; ;2;10;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;95;45;1;1;4521;02;63;128,579639714995;63
3928132;1;3;1;70;1;12;48;1; ;2;12;4; ;9;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;39;75;1;1;7512;02;63;87,0677639456868;63
3928137;1;2;1;70;1;4;30;1; ;2;12;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;03;39;74;1;1;7411;02;63;130,728334962622;63
3928143;1;2;1;70;1;36;40;1; ;2;52;1; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;34;45;52;1;2;5233;02;63;127,840371473627;63
3928146;1;2;1;70;1;24;54;1; ;2;104;1; ;7;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;55;45;1;2;4521;02;63;120,112380458677;63
3928149;1;4;1;70;1;2;48;1; ;2;12;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;55;1;1;5522;02;63;191,467558332785;63
3928157;1;3;1;70;1;8;48;4; ;2;10;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;95;45;1;1;4521;02;63;125,94377988901;63
3928170;1;2;1;70;1;5;40;1; ;2;5;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;1;5233;02;52;213,836949729151;52
3928177;1;1;1;70;1;3;48;1; ;2;3;1; ;8;4; ; ; ; ; ; ; ; ; ;1; ;1;800000;2;45;58;70;1;1;7020;02;52;239,560172496754;52
3928198;1;2;1;70;1;2;30;1; ;2;13;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;45;55;1;1;5521;02;52;229,551527688709;52
3928201;1;4;1;70;1;13;40;1; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;53; ; ;1;1; ;02;52;245,961496443965;52
3928205;1;2;1;70;1;32;44;2; ;2;52;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;59;59;95;1;2;9500;02;52;229,551527688709;52
3928209;1;2;1;70;1;4;48;1; ;2;156;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;32;51;1;1;5125;02;52;239,560172496754;52
3928212;1;1;1;70;1;98;48;4; ;2;104;4; ;9;1; ; ; ; ; ; ; ; ;1; ;YA ES PENSIONADO;2; ;2;02;02;40;1;2;4010;02;52;117,735629286854;52
3928212;1;3;1;70;1;4;48;1; ;2;6;4; ;9;5; ; ; ;1; ; ; ; ; ; ; ;2; ;2;15;15;75;1;1;7512;02;52;117,735629286854;52
3928215;1;1;1;70;1;46;48;4; ;2;156;4; ;1;1; ; ; ; ; ; ; ; ;1; ;YA ES PENSIONADO;2; ;2;21;61;01;1;2;0118;02;52;173,647200554446;52
3928223;1;5;1;70;1;8;24;1; ;2;21;1; ;4;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;53;55;1;1;5521;02;52;309,760457839272;52
3928226;2;1;2;70;1;5;48;1; ;2;6;1; ;4;3; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;44;63;1;1;6340;02;50;151,000427186821;50
3928228;1;2;1;70;1;2;48;2; ;2;6;4; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;34;39;75;1;1;7512;02;50;227,603894441766;50
3928232;1;3;1;70;1;1;48;1; ;2;5;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;34;41;52;1;1;5233;02;50;126,38800184147;50
3928233;1;3;1;70;1;8;56;1; ;2;2;1; ;5;8; ; ; ; ; ; ; ; ; ;1; ;1;700000;2;95;95;45;1;1;4521;02;50;879,357312033207;50
3928236;1;1;1;70;1;24;48;4; ;2;24;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;95;1;2;9500;02;50;843,344960082114;50
3928238;1;2;1;70;1;8;48;1; ;2;36;1; ;4;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;1;5239;02;50;209,48263400571;50
3928242;1;2;1;70;1;2;48;1; ;2;102;2; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;58;58;80;1;1;8043;02;66;313,86677134712;66
3928245;1;2;1;70;1;2;48;1; ;2;104;1; ;7;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;16;55;74;1;1;7493;02;66;279,036748353233;66
3928248;1;3;1;70;1;48;8;1; ;2;8;1; ;3;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;2;5233;02;66;268,865315917274;66
3928263;1;2;1;70;1;204;48;1; ;2;356;1; ;7;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;32;59;92;1;2;9242;02;66;327,653928852213;66
3928271;1;3;1;70;1;8;48;1; ;2;20;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;1;5211;02;18;85,9200345875153;18
3928272;1;2;1;70;1;48;54;1; ;2;52;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;58;55;64;1;2;6421;02;63;136,997975475627;63
3928273;1;3;1;70;1;2;20;4; ;2;2;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;150000;2;97;97;63;1;1;6310;02;63;114,889584302394;63
3928275;1;3;1;70;1;8;54;4; ;2;12;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;61;61;01;1;1;0111;02;63;127,059870055005;63
3928279;1;5;1;70;1;24;40;1; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;2; ;02;63;160,877668628145;63
3928286;1;5;1;70;1;12;48;1; ;2;20;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;38;53;55;1;1;5529;02;17;103,521912609673;17
3928287;1;2;1;70;1;52;48;1; ;2;260;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;33;45;52;1;2;5233;02;17;126,365314236432;17
3928291;1;5;1;70;1;2;50;1; ;2;2;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;1;450000;2;95;95;45;1;1;4522;02;17;214,711926540813;17
3928294;1;1;1;70;1;4;48;1; ;2;6;1; ;9;7; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;55;85;1;1;8511;02;17;177,176990609889;17
3928297;1;3;1;70;1;12;48;1; ;2;12;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;97;85;64;1;1;6422;02;17;206,512965330841;17
3928297;1;4;1;70;1;4;48;1; ;2;4;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;39;93;45;1;1;4521;02;17;206,512965330841;17
3928303;1;1;1;70;1;8;48;1; ;2;8;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;44;64;1;1;6421;02;17;240,048863658722;17
3928337;1;3;1;70;1;5;48;1; ;2;5;6; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;33;33;80;1;1;8060;02;17;125,718711444475;17
3928338;1;2;1;70;1;4;48;1; ;2;4;1; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;32;32;80;1;1;8060;02;17;134,271802412782;17
3928339;1;1;1;70;1;4;36;1; ;2;2;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;1;100000;2;13;13;80;1;1;8011;02;54;433,219484748548;54
3928341;1;1;1;70;1;12;48;1; ;2;24;1; ;7;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;54;55;1;1;5511;02;54;558,00086899727;54
3928368;1;2;1;70;1;24;48;1; ;2;24;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;58;45;37;1;2;3720;02;15;75,8103715376144;15
3928374;1;1;1;70;1;8;40;2; ;2;8;4; ;9;1; ; ; ; ;1; ; ; ; ; ; ;2; ;2;13;13;80;1;1;8050;02;15;50,2137451804794;15
3928391;1;2;1;70;1;16;44;1; ;2;16;2; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;33;33;75;1;2;7512;02;15;89,2617154190578;15
3928404;1;3;1;70;1;3;48;4; ;2;3;1; ;5;1; ; ; ; ; ; ; ; ; ;1; ;1;1500000;2;95;95;45;1;1;4521;02;05;1018,9739597104;05
3928408;1;1;1;70;1;52;48;2; ;2;750;1; ;8;2; ; ; ; ;1; ; ; ; ; ; ;2; ;2;13;13;80;1;2;8043;02;05;817,13994304043;05
3928408;1;2;1;70;1;4;48;1; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;16; ; ;1;1; ;02;05;817,13994304043;05
3928409;1;1;1;70;1;4;20;1; ;2;52;1; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;45;18;1;1;1810;02;05;924,108308452698;05
3928417;1;2;1;70;1;4;48;1; ;2;8;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;33;33;51;1;1;5132;02;76;1150,49638834223;76
3928418;1;2;1;70;1;20;40;1; ;2;76;4; ;3;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;59;97;15;1;2;1589;02;76;1157,72387873334;76
3928420;1;4;1;70;1;12;72;1; ;2;3;1; ;9;7; ; ; ; ; ; ; ; ; ;1; ;1;360000;2;55;53;55;1;1;5529;02;76;1220,1318212298;76
3928429;1;3;1;70;1;2;40;1; ;2;6;4; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;11;33;80;1;1;8050;02;41;121,708224067998;41
3928437;1;2;1;70;1;48;48;1; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;95; ; ;1;2; ;02;41;143,850652209093;41
3928439;1;2;1;70;1;1;48;1; ;2;4;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;1;5233;02;41;142,905124112942;41
3928460;1;1;1;70;1;24;48;1; ;2;2;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;61;61;01;1;2;0140;02;19;212,84150581505;19
3928460;1;2;1;70;1;2;48;1; ;2;2;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;1;800000;2;13;55;75;1;1;7513;02;19;212,84150581505;19
3928461;1;2;1;70;1;156;48;1; ;2;156;1; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;39;39;85;1;2;8511;02;19;237,518844972631;19
3928463;1;6;1;70;1;52;48;1; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;15; ; ;1;2; ;02;19;104,764774954129;19
3928467;1;2;1;70;1;16;48;1; ;2;16;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;45;32;51;1;2;5125;02;19;240,421532965499;19
3928470;1;3;1;70;1;52;48;4; ;2;52;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;95;45;1;2;4521;02;19;82,2115292564238;19
3928472;1;1;1;70;1;4;48;1; ;2;4;4; ;9;1; ; ;1; ; ; ; ; ; ; ; ;1;3100000;2;02;02;75;1;1;7512;02;19;119,093818276784;19
3928474;1;3;1;70;1;52;48;1; ;2;52;1; ;4;7; ; ; ; ; ; ; ; ; ;1; ;2; ;2;58;87;50;1;2;5020;02;19;105,175705790467;19
3928477;1;5;1;70;1;6;40;4; ;2;6;4; ;1;6; ; ; ; ; ; ; ; ; ;1; ;1;700000;2;41;41;52;1;1;5233;02;19;132,079005129506;19
3928480;1;1;1;70;1;8;30;1; ;2;48;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;07;45;52;1;1;5233;02;19;94,5853324948351;19
3928481;1;6;1;70;1;2;40;2; ;2;30;2; ;9;7; ; ; ; ; ; ; ; ; ;1; ;2; ;2;13;13;80;1;1;8043;02;63;74,4189599377016;63
3928484;1;1;1;70;1;258;45;1; ;2;260;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;21;30;92;1;2;9214;02;73;223,805968154084;73
3928489;1;3;1;70;1;104;20;1; ;2;64;1; ;4;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;53;55;1;2;5521;02;73;259,943836361007;73
3928490;1;4;1;70;1;8;40;1; ;2;4;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;1;50000;2;95;95;28;1;1;2811;02;73;209,451819146294;73
3928494;1;3;1;70;1;48;48;1; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;39; ; ;1;2; ;02;73;245,887401796937;73
3928500;1;2;1;70;1;4;48;1; ;2;4;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;400000;2;37;45;52;1;1;5262;02;73;262,849913976926;73
3928501;1;1;1;70;1;56;48;4; ;2;56;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;98;98;60;1;2;6031;02;73;245,686827161627;73
3928504;1;1;1;70;1;36;48;1; ;2;36;4; ;1;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;98;61;01;1;2;0111;02;52;192,93042332226;52
3928505;1;3;1;70;1;3;45;1; ;2;5;1; ;9;7; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;24;1;1;2424;02;52;151,881471878233;52
