DIRECTORIO;SECUENCIA_P;ORDEN;AREA;REGIS;P6016;P6020;P6030;P6030S1;P6030S3;P6050;P6060;P6060S1;P6070;P6090;P6140;P6150;P6100;P6110;P6120;P6125;P6160;P6170;P6175;P6180;P6180S1;P6180S2;P6190;P6190S1;P6200;P6200S1;P6210;P6210S1;P6220;P6177S1;P6040;DPTO;fex_c_2011
525533;1;3;05;10;2;1;1;3;2006;3;2; ; ;1; ; ;1;5; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;754,606198819736
525534;1;1;05;10;1;1;1;10;1956;1;2; ;6;1; ; ;1;1;17320;2;1;2; ; ; ; ; ; ; ; ;3;5; ; ;51;05;787,013614258161
525534;1;2;05;10;2;2;1;3;1964;2;2; ;6;1; ; ;1;5; ;2;1;2; ; ; ; ; ; ; ; ;4;9; ; ;43;05;787,013614258161
525534;1;3;05;10;3;1;1;10;1987;3;2; ;5;1; ; ;3; ; ;2;1;2; ; ; ; ;2; ;2; ;5;11;2; ;20;05;787,013614258161
525535;1;1;05;10;1;1;1;4;1948;1;2; ;6;1; ; ;1;5; ;2;1;2; ; ; ; ; ; ; ; ;6;3;2; ;59;05;967,716280391883
525535;1;2;05;10;2;2;1;10;1955;2;2; ;6;1; ; ;1;1;17320;2;1;2; ; ; ; ; ; ; ; ;6;3;3; ;52;05;967,716280391883
525535;1;3;05;10;3;1;1;8;1978;3;2; ;5;1; ; ;1;1;84000;2;1;2; ; ; ; ;2; ;2; ;6;5;4;SI SEGUIRA ESTUDINDO;29;05;967,716280391883
525536;1;1;05;10;1;1;1;12;1974;1;2; ;2;2;1;1; ; ; ; ;1;2; ; ; ; ;2; ;2; ;3;5; ; ;32;05;750,599510890722
525536;1;2;05;10;2;2;1;5;1982;2;2; ;2;1; ; ;3; ; ;2;1;2; ; ; ; ;2; ;2; ;4;9; ; ;25;05;750,599510890722
525536;1;3;05;10;2;1;1;12;2003;3;2; ; ;2;1;1; ; ; ; ;2;1;1;1;450;7500;2; ;2; ;2;0; ; ;3;05;750,599510890722
525537;1;1;05;10;1;2;1;8;1981;1;2; ;5;1; ; ;1;3;54200;2;1;1;2;2; ; ;2; ;2; ;6;1;2; ;26;05;698,695964389353
525537;1;2;05;10;1;1;1;11;1998;3;2; ; ;1; ; ;1;5; ;2;1;1;2;2; ; ;2; ;2; ;3;1; ; ;9;05;698,695964389353
525538;1;1;05;10;1;2;1;3;1948;1;2; ;4;1; ; ;3; ; ;2;1;2; ; ; ; ; ; ; ; ;3;2; ; ;59;05;961,564021330142
525538;1;2;05;10;2;1;1;10;1946;5;2; ;5;1; ; ;3; ; ;2;1;2; ; ; ; ; ; ; ; ;3;2; ; ;61;05;961,564021330142
525538;1;3;05;10;1;1;1;2;1992;4;2; ;5;1; ; ;3; ; ;2;1;1;1;2; ; ;2; ;2; ;4;8; ; ;15;05;961,564021330142
525542;1;1;05;10;1;1;1;8;1967;1;2; ;2;2;1;4; ; ; ; ;1;2; ; ; ; ; ; ; ; ;6;6;5; ;40;05;3091,45964787138
525542;1;2;05;10;2;2;1;2;1966;2;2; ;2;2;1;4; ; ; ; ;1;2; ; ; ; ; ; ; ; ;5;11;2; ;41;05;3091,45964787138
525542;1;3;05;10;2;2;1;12;1993;3;2; ;5;2;1;4; ; ; ; ;1;1;1;2; ; ;2; ;2; ;4;7; ; ;13;05;3091,45964787138
525542;1;4;05;10;2;2;1;8;1997;3;2; ;5;2;1;4; ; ; ; ;1;1;2;2; ; ;2; ;2; ;3;3; ; ;10;05;3091,45964787138
525543;1;1;05;10;1;1;1;4;1981;1;2; ;1;1; ; ;1;3;54200;2;1;2; ; ; ; ;2; ;2; ;5;11;2; ;26;05;2840,95235133409
525543;1;2;05;10;2;2;1;8;1978;2;2; ;1;1; ; ;1;5; ;2;1;2; ; ; ; ;2; ;2; ;6;2;3; ;29;05;2840,95235133409
525543;1;3;05;10;4;1;1;1;2006;3;2; ; ;1; ; ;1;5; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;2840,95235133409
525543;1;4;05;10;4;2;1;11;1951;5;2; ;4;1; ; ;3; ; ;2;1;2; ; ; ; ; ; ; ; ;3;1; ; ;55;05;2840,95235133409
525544;1;1;05;10;1;1;1;9;1968;1;2; ;6;2;1;62; ; ; ; ;1;2; ; ; ; ; ; ; ; ;4;9; ; ;39;05;3091,45964787138
525544;1;2;05;10;2;2;1;10;1969;2;2; ;6;2;1;62; ; ; ; ;1;2; ; ; ; ; ; ; ; ;5;11;2; ;38;05;3091,45964787138
525544;1;3;05;10;2;2;1;11;1990;3;2; ;5;2;1;62; ; ; ; ;1;2; ; ; ; ;2; ;2; ;5;11;2; ;16;05;3091,45964787138
525544;1;4;05;10;2;2;1;2;1996;3;2; ;5;2;1;62; ; ; ; ;1;2; ; ; ; ;2; ;2; ;3;5; ; ;11;05;3091,45964787138
525545;1;1;05;10;1;2;1;11;1961;1;2; ;5;1; ; ;1;1;169672;2;1;2; ; ; ; ; ; ; ; ;6;6;5; ;46;05;2872,11616810493
525546;1;1;05;10;1;1;1;11;1977;1;2; ;5;1; ; ;1;1;42000;2;1;2; ; ; ; ;2; ;2; ;6;5;4; ;29;05;838,964273293867
525548;1;1;05;10;1;2;1;1;1945;1;2; ;4;1; ; ;1;3;54200;2;1;2; ; ; ; ; ; ; ; ;4;7; ; ;62;05;746,699303735301
525550;1;1;05;10;1;2;1;9;1965;1;2; ;5;1; ; ;1;3;54200;2;1;2; ; ; ; ; ; ; ; ;6;7;5; ;42;05;718,029042026232
525551;1;1;05;10;1;2;1;5;1944;1;2; ;5;1; ; ;1;1;170000;2;1;2; ; ; ; ; ; ; ; ;6;5;4; ;63;05;758,241427179471
525551;1;2;05;10;2;2;1;3;1943;5;2; ;3;1; ; ;1;2;54200;2;1;2; ; ; ; ; ; ; ; ;6;5;4; ;64;05;758,241427179471
525551;1;3;05;10;3;1;1;8;1971;5;2; ;5;1; ; ;1;3;54200;2;1;2; ; ; ; ; ; ; ; ;6;5;4; ;36;05;758,241427179471
525553;1;1;05;10;1;2;1;5;1976;1;2; ;6;1; ; ;2;5; ;2;1;2; ; ; ; ;2; ;2; ;5;11;2; ;31;05;868,158634402125
525553;1;2;05;10;2;1;1;10;1992;3;2; ;5;2;2; ; ; ; ; ;1;1;1;2; ; ;2; ;2; ;4;7; ; ;15;05;868,158634402125
525553;1;3;05;10;1;2;1;8;1999;3;2; ; ;1; ; ;2;5; ;2;1;1;1;1;80;1500;2; ;2; ;3;1; ; ;8;05;868,158634402125
525553;1;4;05;10;1;2;1;6;2004;3;2; ; ;1; ; ;2;5; ;2;2;2; ; ; ; ;2; ;2; ;1;0; ; ;3;05;868,158634402125
525554;1;1;05;10;1;1;1;3;1953;1;2; ;5;1; ; ;1;2;58000;2;1;2; ; ; ; ; ; ; ; ;3;5; ; ;54;05;856,045299024427
525554;1;2;05;10;2;1;1;3;1985;5;2; ;5;2;1;36; ; ; ; ;1;2; ; ; ; ;2; ;2; ;4;8; ;ESTUDIA CON EL TIO (JEFE DEL HOGAR);22;05;856,045299024427
525555;1;1;05;10;1;1;1;6;1929;1;2; ;3;1; ; ;1;2;55000;2;1;2; ; ; ; ; ; ; ; ;4;7; ; ;78;05;944,482995599583
525555;1;2;05;10;2;2;1;3;1928;5;2; ;5;1; ; ;3; ; ;2;1;2; ; ; ; ; ; ; ; ;3;5; ; ;79;05;944,482995599583
525556;1;1;05;10;1;2;1;10;1973;1;2; ;3;1; ; ;1;1;17348;2;1;2; ; ; ; ;2; ;2; ;5;11;2; ;34;05;691,469340838842
525556;1;2;05;10;4;1;1;12;1995;3;2; ;5;1; ; ;2;5; ;2;1;1;1;1;300;3000;2; ;2; ;4;0; ; ;11;05;691,469340838842
525556;1;3;05;10;4;2;1;8;2002;3;2; ; ;1; ; ;1;5; ;2;2;1;1;1;500;3500;2; ;2; ;1;0; ; ;5;05;691,469340838842
525556;1;4;05;10;4;2;1;7;1945;5;2; ;5;1; ; ;3; ; ;1;1;2; ; ; ; ; ; ; ; ;3;3; ; ;62;05;691,469340838842
525557;1;1;05;10;1;2;1;8;1947;1;2; ;3;2;1;24; ; ; ; ;2;2; ; ; ; ; ; ; ; ;3;1; ; ;60;05;779,834103241988
525557;1;2;05;10;2;2;1;11;1996;3;2; ;5;2;1;24; ; ; ; ;1;1;1;1;60;1500;2; ;2; ;3;3; ; ;10;05;779,834103241988
525558;1;1;05;10;1;1;1;12;1976;1;2; ;5;1; ; ;1;1;20000;2;1;2; ; ; ; ;2; ;2; ;5;10;1; ;30;05;870,364239002095
525558;1;2;05;10;2;1;1;5;1989;5;2; ;5;2;1;48; ; ; ; ;1;1;1;2; ; ;2; ;2; ;4;6; ; ;18;05;870,364239002095
525558;1;3;05;10;3;2;1;10;1978;5;2; ;2;2;1;48; ; ; ; ;1;2; ; ; ; ;2; ;2; ;4;7; ; ;29;05;870,364239002095
525558;1;4;05;10;4;1;1;11;1984;5;2; ;2;2;1;2; ; ; ; ;1;2; ; ; ; ;2; ;2; ;5;10;1; ;22;05;870,364239002095
525558;1;5;05;10;3;2;1;2;1996;5;2; ;5;1; ; ;1;5; ;2;1;1;1;1;200;4000;2; ;2; ;3;3; ; ;11;05;870,364239002095
525558;1;6;05;10;3;2;1;9;2004;9;2; ; ;2;2; ; ; ; ; ;2;2; ; ; ; ;2; ;2; ;1;0; ; ;3;05;870,364239002095
525559;1;1;05;10;1;1;1;6;1979;1;2; ;6;1; ; ;1;1;22000;2;1;2; ; ; ; ;2; ;2; ;5;11;2; ;28;05;750,599510890722
525559;1;2;05;10;2;2;1;9;1982;2;2; ;6;1; ; ;1;1;17348;2;1;2; ; ; ; ;2; ;2; ;5;11;2; ;25;05;750,599510890722
525559;1;3;05;10;2;1;1;9;2003;3;2; ; ;1; ; ;1;5; ;2;2;2; ; ; ; ;2; ;2; ;1;0; ; ;4;05;750,599510890722
525560;1;1;05;10;1;1;1;4;1985;1;2; ;2;1; ; ;1;1;18000;2;1;2; ; ; ; ;2; ;2; ;5;10;1; ;22;05;642,241201541006
525560;1;2;05;10;2;2;1;2;1977;2;2; ;2;1; ; ;1;5; ;2;1;2; ; ; ; ;2; ;2; ;5;11;2;POR CAMBIO DE CIUDAD PERDIO UNA BECA;30;05;642,241201541006
525560;1;3;05;10;2;1;1;10;1995;3;2; ;5;2;1;12; ; ; ; ;1;1;1;1;250;3000;2; ;2; ;3;4; ; ;12;05;642,241201541006
525560;1;4;05;10;2;1;1;6;2003;3;2; ; ;1; ; ;1;5; ;2;2;2; ; ; ; ;2; ;2; ;1;0; ; ;4;05;642,241201541006
525560;1;5;05;10;2;1;1;8;2005;3;2; ; ;1; ; ;1;5; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;05;642,241201541006
525560;2;1;05;10;1;2;1;6;1970;1;2; ;5;1; ; ;1;1;17348;2;1;2; ; ; ; ; ; ; ; ;3;5; ; ;37;05;642,241201541006
525560;2;2;05;10;1;1;1;11;1990;3;2; ;5;1; ; ;1;5; ;2;1;1;1;2; ; ;2; ;2; ;4;8; ; ;16;05;642,241201541006
525560;2;3;05;10;1;1;1;12;2002;3;2; ; ;1; ; ;1;5; ;2;2;2; ; ; ; ;2; ;2; ;1;0; ; ;4;05;642,241201541006
525561;1;1;05;10;1;1;1;2;1970;1;2; ;6;1; ; ;1;3;350000;2;1;2; ; ; ; ; ; ; ; ;6;7;5; ;37;05;769,932588527601
525561;1;2;05;10;2;2;1;7;1967;2;2; ;6;1; ; ;2;1;90000;2;1;2; ; ; ; ; ; ; ; ;6;7;5; ;40;05;769,932588527601
525562;1;1;05;10;1;1;1;1;1964;1;2; ;6;1; ; ;1;1;17348;1;1;2; ; ; ; ; ; ; ; ;3;5; ; ;43;05;659,992082691394
525562;1;2;05;10;2;2;1;2;1966;2;2; ;2;1; ; ;1;5; ;2;1;2; ; ; ; ; ; ; ; ;4;7; ; ;41;05;659,992082691394
525562;1;3;05;10;3;2;1;9;1987;3;2; ;5;1; ; ;1;1;8000;2;1;2; ; ; ; ;1;50000;2; ;5;11;2;ESTA PLANEANDO ESTUDIAR EN POCOS MESES;20;05;659,992082691394
525562;1;4;05;10;3;1;1;2;2005;4;2; ; ;1; ; ;1;5; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;05;659,992082691394
525562;1;5;05;10;5;2;1;9;1987;3;2; ;5;1; ; ;3; ; ;2;1;1;2;2; ; ;1;250000;2; ;6;1;2; ;20;05;659,992082691394
525562;1;6;05;10;2;2;1;8;1992;3;2; ;5;1; ; ;1;5; ;2;1;1;1;1;100;2000;2; ;2; ;4;8; ; ;15;05;659,992082691394
525563;1;1;05;10;1;1;1;8;1949;1;2; ;6;1; ; ;1;4; ;2;1;2; ; ; ; ; ; ; ; ;3;5; ; ;58;05;1006,49837655737
525563;1;2;05;10;2;2;1;5;1955;2;2; ;6;1; ; ;1;5; ;2;1;2; ; ; ; ; ; ; ; ;5;11;2; ;52;05;1006,49837655737
525563;1;3;05;10;3;1;1;5;1980;3;2; ;5;2;2; ; ; ; ; ;1;2; ; ; ; ;2; ;2; ;4;8; ; ;27;05;1006,49837655737
525563;1;4;05;10;4;1;1;2;1982;3;2; ;5;1; ; ;1;4; ;2;1;2; ; ; ; ;2; ;2; ;5;11;2; ;25;05;1006,49837655737
525563;1;5;05;10;5;2;1;5;1988;3;2; ;5;1; ; ;1;1;17348;2;1;1;2;2; ; ;2; ;2; ;6;1;2; ;19;05;1006,49837655737
525563;1;6;05;10;2;1;1;5;1990;3;2; ;5;1; ; ;1;5; ;2;1;2; ; ; ; ;2; ;2; ;5;11;2; ;17;05;1006,49837655737
525564;1;1;05;10;1;2;1;4;1960;1;2; ;4;1; ; ;1;1;8000;2;1;2; ; ; ; ; ; ; ; ;5;11;2; ;47;05;704,907591690349
525564;1;2;05;10;2;1;1;4;1985;3;2; ;5;1; ; ;1;1;17348;2;1;2; ; ; ; ;2; ;2; ;5;11;2; ;22;05;704,907591690349
525564;1;3;05;10;1;2;1;4;1992;3;2; ;5;1; ; ;3; ; ;2;1;1;2;2; ; ;2; ;2; ;6;1;2; ;15;05;704,907591690349
525565;1;1;05;10;1;1;1;9;1966;1;2; ;6;1; ; ;1;1;64000;2;1;2; ; ; ; ; ; ; ; ;5;11;2; ;41;05;750,599510890722
525565;1;2;05;10;2;2;1;2;1974;2;2; ;6;1; ; ;1;1;64000;2;1;2; ; ; ; ;2; ;2; ;6;5;4; ;33;05;750,599510890722
525565;1;3;05;10;2;1;1;4;2005;3;2; ; ;1; ; ;1;5; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;05;750,599510890722
525566;1;1;05;10;1;1;1;4;1941;1;2; ;6;1; ; ;1;3;200000;2;1;2; ; ; ; ; ; ; ; ;4;9; ; ;66;05;944,482995599583
525566;1;2;05;10;2;2;1;1;1947;2;2; ;6;1; ; ;1;5; ;2;1;2; ; ; ; ; ; ; ; ;4;9; ; ;60;05;944,482995599583
525568;1;1;05;10;1;1;1;4;1952;1;2; ;6;1; ; ;1;3;101716;2;1;2; ; ; ; ; ; ; ; ;6;7;4; ;55;05;885,610257824072
525568;1;2;05;10;2;2;1;10;1957;2;2; ;6;1; ; ;1;5; ;2;1;2; ; ; ; ; ; ; ; ;6;5;4; ;50;05;885,610257824072
525568;1;3;05;10;3;2;1;9;1987;3;2; ;5;1; ; ;1;5; ;2;1;1;2;2; ; ;2; ;2; ;6;2;2; ;20;05;885,610257824072
525569;1;1;05;10;1;2;1;4;1965;1;2; ;4;1; ; ;1;2;126000;2;1;2; ; ; ; ; ; ; ; ;4;6; ; ;42;05;796,366789702965
525569;1;2;05;10;1;1;1;12;1994;3;2; ;5;1; ; ;1;5; ;2;1;1;2;2; ; ;2; ;2; ;4;6; ; ;12;05;796,366789702965
525570;1;1;05;10;1;2;1;12;1966;1;2; ;5;1; ; ;2;1;110000;2;1;2; ; ; ; ; ; ; ; ;6;7;5; ;40;05;796,366789702965
525570;1;2;05;10;1;1;1;9;1992;3;2; ;5;1; ; ;2;5; ;2;1;1;2;2; ; ;2; ;2; ;4;8; ; ;15;05;796,366789702965
525571;1;1;05;10;1;1;1;3;1970;1;2; ;2;1; ; ;2;1;60000;2;1;2; ; ; ; ; ; ; ; ;6;3;3; ;37;05;759,483616739825
525571;1;2;05;10;2;2;1;6;1974;2;2; ;2;1; ; ;2;5; ;2;1;2; ; ; ; ;2; ;2; ;5;11;2; ;33;05;759,483616739825
525571;1;3;05;10;2;2;1;5;1995;3;2; ;5;1; ; ;2;5; ;2;1;1;1;1;80;2500;2; ;2; ;4;0; ; ;12;05;759,483616739825
525571;1;4;05;10;2;1;1;9;2002;3;2; ; ;1; ; ;2;5; ;2;2;1;2;2; ; ;2; ;2; ;1;0; ; ;5;05;759,483616739825
525571;1;5;05;10;2;1;1;11;2004;3;2; ; ;1; ; ;2;5; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;05;759,483616739825
525572;1;1;05;10;1;1;1;12;1918;1;2; ;2;1; ; ;1;2;54000;2;1;2; ; ; ; ; ; ; ; ;5;11;2; ;88;05;948,402668565056
525572;1;2;05;10;2;2;1;2;1938;2;2; ;2;1; ; ;1;2;54200;2;1;2; ; ; ; ; ; ; ; ;4;6; ; ;69;05;948,402668565056
525572;1;3;05;10;3;2;1;2;1973;4;2; ;5;1; ; ;1;1;44000;2;1;2; ; ; ; ;2; ;2; ;6;3;3; ;34;05;948,402668565056
525573;1;1;05;10;1;1;1;8;1980;1;2; ;2;1; ; ;1;1;21760;2;1;2; ; ; ; ;2; ;2; ;5;11;2; ;27;05;925,383958984387
525573;1;2;05;10;2;2;1;6;1983;2;2; ;2;1; ; ;1;1;17348;2;1;2; ; ; ; ;2; ;2; ;5;11;2; ;24;05;925,383958984387
525573;1;3;05;10;2;2;1;3;1997;5;2; ;5;1; ; ;1;5; ;2;1;1;1;1;200;4500;2; ;2; ;3;4; ; ;10;05;925,383958984387
525573;1;4;05;10;2;1;1;12;1999;3;2; ; ;1; ; ;1;5; ;2;1;1;1;1;200;4500;2; ;2; ;3;1; ; ;7;05;925,383958984387
525574;1;1;05;10;1;2;1;10;1954;1;2; ;5;1; ; ;1;1;28000;1;1;2; ; ; ; ; ; ; ; ;6;2;3; ;53;05;844,424449752062
525574;1;2;05;10;2;1;1;9;1972;3;2; ;5;1; ; ;1;3;54000;2;1;2; ; ; ; ; ; ; ; ;6;5;4; ;35;05;844,424449752062
525574;1;3;05;10;1;1;1;1;2002;4;2; ; ;1; ; ;1;5; ;2;1;1;2;2; ; ;2; ;2; ;2;0; ; ;5;05;844,424449752062
525575;1;1;05;10;1;1;1;5;1956;1;2; ;6;1; ; ;1;1;17348;2;1;2; ; ; ; ; ; ; ; ;5;10;1; ;51;05;832,196376518803
525575;1;2;05;10;2;2;1;9;1969;2;2; ;6;1; ; ;1;5; ;2;1;2; ; ; ; ; ; ; ; ;3;2; ; ;38;05;832,196376518803
525575;1;3;05;10;3;2;1;9;1988;3;2; ;5;2;1;11; ; ; ; ;1;1;2;2; ; ;1;130000;2; ;6;0;2; ;19;05;832,196376518803
525576;1;1;05;10;1;1;1;12;1966;1;2; ;6;1; ; ;1;1;26400;2;1;2; ; ; ; ; ; ; ; ;5;11;2; ;40;05;844,424449752062
525576;1;2;05;10;2;2;1;8;1968;2;2; ;6;1; ; ;1;1;17348;2;1;2; ; ; ; ; ; ; ; ;5;11;2; ;39;05;844,424449752062
525576;1;3;05;10;1;1;1;8;1996;3;2; ;5;1; ; ;1;5; ;2;1;1;1;1;40;2000;2; ;2; ;3;4; ; ;11;05;844,424449752062
525577;1;1;05;10;1;1;1;10;1958;1;2; ;6;2;1;60; ; ; ; ;1;2; ; ; ; ; ; ; ; ;4;9; ; ;49;05;898,623320517364
525577;1;2;05;10;1;2;1;2;1991;3;2; ;5;2;1;60; ; ; ; ;1;1;2;2; ; ;2; ;2; ;4;8; ; ;16;05;898,623320517364
525578;1;1;05;10;1;2;1;6;1955;1;2; ;3;1; ; ;2;1;64240;2;1;2; ; ; ; ; ; ; ; ;6;7;5; ;52;05;797,809248885767
525579;1;1;05;10;1;1;1;8;1931;1;2; ;6;1; ; ;1;5; ;2;1;2; ; ; ; ; ; ; ; ;6;5;4; ;76;05;1049,42450124065
525579;1;2;05;10;2;2;1;12;1938;2;2; ;6;1; ; ;1;5; ;2;1;2; ; ; ; ; ; ; ; ;5;11;2; ;68;05;1049,42450124065
525580;1;1;05;10;1;2;1;4;1954;1;2; ;4;1; ; ;1;1;52000;2;1;2; ; ; ; ; ; ; ; ;5;11;2; ;53;05;2872,11616810493
525581;1;1;05;10;1;1;1;5;1958;1;2; ;2;1; ; ;1;3;110000;2;1;2; ; ; ; ; ; ; ; ;4;8; ; ;49;05;3027,24455276687
525581;1;2;05;10;2;2;1;9;1966;2;2; ;2;1; ; ;1;3;53400;2;1;2; ; ; ; ; ; ; ; ;5;11;2; ;41;05;3027,24455276687
525581;1;3;05;10;3;1;1;3;1986;3;2; ;5;1; ; ;1;1;17348;2;1;1;2;2; ; ;2; ;2; ;6;3;2; ;21;05;3027,24455276687
525581;1;4;05;10;2;2;1;2;1991;3;2; ;5;1; ; ;1;5; ;2;1;1;2;2; ; ;2; ;2; ;4;9; ; ;16;05;3027,24455276687
525582;1;1;05;10;1;1;1;7;1960;1;2; ;6;1; ; ;1;1;200000;2;1;2; ; ; ; ; ; ; ; ;4;8; ; ;47;05;709,527636394716
525582;1;2;05;10;2;2;1;4;1965;2;2; ;6;1; ; ;1;1;24000;2;1;2; ; ; ; ; ; ; ; ;5;10;1; ;42;05;709,527636394716
525582;1;3;05;10;3;2;1;6;1989;3;2; ;5;1; ; ;1;5; ;2;1;1;2;2; ; ;2; ;2; ;6;2;2; ;18;05;709,527636394716
525582;1;4;05;10;2;2;1;3;1993;3;2; ;5;1; ; ;1;5; ;2;1;1;2;2; ; ;2; ;2; ;4;7; ; ;14;05;709,527636394716
525583;1;1;05;10;1;1;1;12;1953;1;2; ;6;1; ; ;3; ; ;2;1;2; ; ; ; ; ; ; ; ;5;11;2; ;53;05;777,988004344512
525583;1;2;05;10;2;2;1;12;1965;2;2; ;6;1; ; ;3; ; ;2;1;2; ; ; ; ; ; ; ; ;3;5; ; ;41;05;777,988004344512
525583;1;3;05;10;2;1;1;11;1989;3;2; ;5;1; ; ;3; ; ;2;1;2; ; ; ; ;2; ;2; ;5;11;2; ;17;05;777,988004344512
525583;1;4;05;10;2;2;1;5;1993;3;2; ;5;1; ; ;3; ; ;2;1;1;1;1;40;1200;2; ;2; ;4;8; ; ;14;05;777,988004344512
525583;1;5;05;10;2;1;1;9;1998;3;2; ; ;1; ; ;3; ; ;2;1;1;1;1;80;3000;2; ;2; ;3;2; ; ;9;05;777,988004344512
525583;1;6;05;10;2;1;1;10;2001;3;2; ; ;1; ; ;3; ; ;2;1;1;1;1;80;3000;2; ;2; ;2;0; ; ;6;05;777,988004344512
525584;1;1;05;10;1;2;1;7;1940;1;2; ;5;1; ; ;3; ; ;2;1;2; ; ; ; ; ; ; ; ;3;4; ; ;67;05;808,921756715563
525585;1;1;05;10;1;1;1;3;1935;1;2; ;5;1; ; ;3; ; ;2;1;2; ; ; ; ; ; ; ; ;3;5; ; ;72;05;984,844418656781
525586;1;1;05;10;1;2;2; ; ;1;2; ;4;1; ; ;3; ; ;2;2;2; ; ; ; ; ; ; ; ;1;0; ; ;97;05;746,699303735301
525587;1;1;05;10;1;2;1;3;1966;1;2; ;3;1; ; ;1;5; ;2;1;2; ; ; ; ; ; ; ; ;6;3;3; ;41;05;704,907591690349
