DIRECTORIO;SECUENCIA_P;ORDEN;REGIS;P7250;P7260;P7280;P7280S1;P7290;P7300;P7310;P7320;P7350;P7350S1;P7360;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S8;P7420S7A1;P7422;P7422S1;P7424;P7424S1;CLASE;OFICIO1;OFICIO2;RAMA4D_D;RAMA2D_D;DSI;DPTO;fex_c_2011
547546;1;5;70;25;42;1; ;1;1;2;25;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;100000;2;55;62;5122;51;1;68;6550,03348004357
547903;1;3;70;8;48;3; ;1;1;2;7;3; ;1;4; ; ; ; ; ; ; ; ; ;1; ;2; ;1;200000;2;54;54;9500;95;1;76;5283,56953253125
547934;1;2;70;8;48;3; ;2;2;2;65;3; ;1;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;54;54;9500;95;1;76;4690,87880922016
547937;1;3;70;1;40;1; ;2;2;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;45; ; ; ;1;76;5675,4729436738
547940;1;2;70;6;48;3; ;1;1;2;15;8; ;6;6; ; ; ; ; ; ; ; ; ;1; ;2; ;1;200000;2;54;62;0116;01;1;76;7805,36684303939
547945;1;3;70;7;42;8; ;1;1;2;10;8; ;8;4; ; ; ; ; ; ; ; ; ;1; ;2; ;1;300000;2;62;62;0123;01;1;76;20848,3294148504
548392;1;2;70;24;48;1; ;1;1;2;24;3; ;1;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;98;2;97;54;9500;95;1;05;974,954178580425
548440;1;2;70;5;48;1; ;1;1;2;52;1; ;6;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;45;45;5211;52;1;05;6825,13490034878
548491;1;2;70;32;48;1; ;1;1;2;104;4; ;1;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;39;57;9302;93;1;05;1200,304087148
548705;1;3;70;20;48;1; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;37; ; ; ;1;13;3874,55163610584
548710;1;1;70;52;50;4; ;1;1;2;52;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;62;80;1921;19;1;13;1405,27203142414
548872;1;2;70;4;60;3; ;1;1;2;44;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;200000;2;54;54;9500;95;1;52;1061,99185520768
548909;1;3;70;4;40;2; ;1;1;2;4;2; ;6;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;5500000;2;39;39;8512;85;1;52;1866,22897520726
548930;1;4;70;8;40;1; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;45; ; ; ;1;52;721,916104940193
548930;1;6;70;16;40;1; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;45; ; ; ;1;52;721,916104940193
548952;1;3;70;24;40;1; ;1;1;2;288;1; ;3;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;84;84;3512;35;1;52;2887,66441976077
549216;1;1;70;24;48;1; ;1;1;2;20;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;1920000;2;45;33;9249;92;1;66;900,4606498845
549220;1;3;70;4;48;1; ;1;1;2;5;1; ;4;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;1000000;2;95;58;7492;74;1;66;1200,304087148
549223;1;2;70;16;48;1; ;1;1;2;8;4; ;1;4; ; ; ; ; ; ; ; ; ;1; ;2; ;1;98;2;45;54;8532;85;1;66;934,718594113247
549229;1;3;70;1;48;1; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;53; ; ; ;1;66;1023,2982466112
549232;1;5;70;6;60;4; ;2;1;2;8;4; ;1;4; ; ; ; ; ; ; ; ; ;1; ;2; ;1;4500000;2;98;98;6031;60;1;66;1318,49855408761
549278;1;2;70;156;48;4; ;1;1;2;60;4; ;1;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;41;45;5261;52;1;73;1135,51507331238
549281;1;7;70;8;48;1; ;2;2;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;45; ; ; ;1;73;1820,31624656082
549283;1;1;70;8;40;8; ;1;1;2;12;8; ;4;4; ; ; ; ; ; ; ; ; ;1; ;2; ;1;400000;2;62;62;0111;01;1;73;1205,62630239355
549284;1;3;70;4;50;8; ;1;1;2;16;8; ;4;7; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;62;62;0111;01;1;73;1342,95601590292
549286;1;4;70;2;20;8; ;1;1;2;3;8; ;4;4; ; ; ; ; ; ; ; ; ;1; ;1;50000;1;50000;2;62;62;0111;01;1;73;1821,23250172602
