Directorio;Secuencia_p;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090s1;P5100;P5110;P5130;P5140;P5210s1;P5210s2;P5210s3;P5210s4;P5210s5;P5210s6;P5210s7;P5210s8;P5210s9;P5210s10;P5210s11;P5210s14;P5210s15;P5210s16;P5210s17;P5210s18;P5210s19;P5210s20;P5210s21;P5210s22;P5210s24;P5220;P5220s1;P6006;P6008;P6007;P6007s1;Hogar;P4000;P4010;P4020;P4030s1;P4030s1a1;P4030s2;P4030s3;P4030s4;P4030s4a1;P4030s5;P4040;Regis;Clase;Mes;Dpto;Fex_c_2011
4058601;1;1;1;2;2;1;10;2;4;3; ; ; ; ;80000;2;1;2;1;1;1;1;2;2;2;1;2;1;2;2;2;1;2;2;2;2;1;2; ;2;2; ;1;2;1;2;1;2;2;2;1;2;1;2;01;2;05;05;3757,74007966473
4058602;1;3;2;2;2;1;5;1;3;1; ; ;20000000;100000; ;2;1;2;1;1;1;1;2;2;2;1;1;1;2;2;2;1;1;2;2;2;1;2; ;6;2; ;1;2;1;2;1;2;1;2;1;2;1;2;01;2;05;05;2302,56189591262
4058603;1;3;1;3;1;4;2;1;4;1; ; ;15000000;100000; ;2;1;2;1;1;1;1;2;2;2;1;1;1;2;2;2;1;2;1;2;2;1;2; ;2;2; ;1;1;5;1;1;1;2;2;2; ;2; ;01;2;05;05;2723,45738673771
4058604;1;2;1;2;1;4;5;1;4;4; ; ; ;80000; ;2;2;2;2;1;1;1;2;2;2;1;1;1;2;2;2;1;2;2;2;2;1;1; ;1;1;1;1;1;5;1;1;1;2;2;2; ;2; ;01;2;05;05;2858,17161095427
4058605;1;3;1;2;1;4;2;1;4;1; ; ;20000000;100000; ;2;2;2;2;1;1;1;2;2;2;1;2;1;2;2;2;1;2;2;2;2;1;1; ;2;2; ;1;1;5;1;1;1;2;2;2; ;2; ;01;2;05;05;3222,94138309081
4059633;1;1;1;2;1;5;2;1;4;4; ; ; ;150000; ;2;1;2;1;1;1;1;2;1;1;1;2;2;1;2;2;1;2;1;1;2;1;1; ;1;2; ;1;1;1;4;1;9;2;2;2; ;2; ;01;2;05;63;1365,20489551533
4059634;1;3;2;2;1;3;2;1;5;4; ; ; ;150000; ;2;2;2;2;1;1;1;2;2;2;1;1;2;2;2;2;2;2;1;2;2;1;1; ;4;2; ;1;1;1;4;1;9;2;2;2; ;2; ;01;2;05;63;1981,55491390563
4059635;1;3;2;2;1;3;2;1;4;4; ; ; ;100000; ;2;1;2;1;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;3; ;3;2; ;1;1;1;2;1;9;2;2;2; ;2; ;01;2;05;63;703,172433081669
4059636;1;3;1;2;1;4;2;1;5;4; ; ; ;300000; ;2;1;2;1;1;1;1;2;2;2;1;1;2;2;2;2;2;2;1;2;2;1;2; ;3;2; ;1;1;1;4;1;1;2;2;2; ;2; ;01;2;05;63;1489,79562213489
4059637;1;2;2;2;1;3;2;1;4;4; ; ; ;150000; ;2;1;2;1;1;1;1;2;2;2;1;2;2;2;2;2;2;2;1;2;2;1;2; ;3;2; ;1;1;1;2;1;9;2;2;2; ;2; ;01;2;05;63;738,593135585863
4059638;1;3;2;2;1;4;2;1;4;4; ; ; ;250000; ;2;2;2;1;1;2;1;2;2;2;1;2;1;2;2;2;2;1;2;2;2;1;1; ;3;2; ;1;1;1;2;1;9;2;2;2; ;2; ;01;2;05;63;1816,24736138683
4059639;1;5;3;2;1;2;1;1;4;3; ; ; ; ;100000;2;2;2;1;1;1;1;2;2;2;1;2;2;2;2;2;1;2;1;2;2;1;3; ;6;2; ;1;1;4;2;1;1;2;2;2; ;1;1;01;2;05;63;1013,37568032937
4059640;1;5;2;2;1;5;1;1;4;4; ; ; ;200000; ;2;2;2;2;1;2;1;2;2;2;1;2;2;2;2;2;2;1;2;2;2;1;1; ;6;2; ;1;1;1;4;1;9;2;2;2; ;1;1;01;2;05;63;2812,68973232668
4059641;1;3;2;2;1;4;2;1;5;4; ; ; ;100000; ;2;1;2;1;1;1;1;2;2;2;1;2;1;2;2;2;2;1;1;2;2;1;2; ;4;2; ;1;1;1;2;1;3;2;2;2; ;2; ;01;2;05;63;1941,43528345962
4059642;1;6;1;2;1;3;1;1;4;4; ; ; ;300000; ;2;1;2;1;1;1;1;1;1;1;1;1;1;2;1;1;1;2;1;2;2;1;2; ;2;2; ;1;1;1;4;1;9;2;2;1;1;1;1;01;2;05;63;831,708437643352
4059643;1;3;2;2;1;3;2;1;5;4; ; ; ;300000; ;2;2;2;1;1;1;1;2;1;2;1;1;1;2;2;2;2;1;1;2;2;1;3; ;3;2; ;1;1;4;2;1;9;2;2;1;1;2; ;01;2;05;63;1435,8840102174
4059644;1;1;1;2;2;1;2;6; ;4; ; ; ;60000; ;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1; ;1;2; ;1;4;1;2;1;9;2;2;1;1;2; ;01;2;05;63;1365,20489551533
4059645;1;6;1;2;1;5;1;1;4;1; ; ;100000000;10000000; ;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;2;1;2;1;2; ;2;2; ;1;1;1;4;1;4;2;2;1;1;1;1;01;2;05;63;984,24434889266
4059646;1;1;1;2;2;4;3;6; ;4; ; ; ;80000; ;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;2;2;2;2;2;2;1;1; ;1;2; ;1;4;1;2;1;9;2;2;2; ;2; ;01;2;05;63;1365,20489551533
4059647;1;3;3;2;1;4;3;1;4;4; ; ; ;150000; ;2;2;2;2;1;1;1;2;2;2;1;1;1;2;2;2;2;2;1;2;2;1;2; ;5;2; ;1;2;1;2;1;9;2;2;2; ;2; ;01;2;05;63;2186,62742161756
4059648;1;1;1;2;2;4;3;6; ;4; ; ; ;100000; ;2;2;2;2;2;2;1;2;2;2;1;1;1;2;2;2;2;2;2;2;2;1;2; ;2;2; ;1;4;1;2;1;9;2;2;2; ;2; ;01;2;05;63;831,708437643352
4059649;1;1;1;2;1;3;3;1;4;4; ; ; ;300000; ;2;1;2;1;1;1;1;1;2;2;1;2;1;1;1;1;2;1;1;1;2;1;1; ;1;2; ;1;1;1;2;1;3;2;2;2; ;2; ;01;2;05;63;1365,20489551533
4059650;1;4;2;2;1;4;3;1;4;4; ; ; ;300000; ;2;1;2;1;1;1;1;2;2;2;1;1;2;2;2;2;1;2;1;2;2;1;2; ;4;2; ;1;1;1;2;1;9;2;2;2; ;2; ;01;2;05;63;1981,55491390563
4059651;1;3;2;2;1;4;1;1;5;4; ; ; ;300000; ;2;1;2;1;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2; ;4;2; ;1;1;1;4;1;9;2;2;2; ;1;1;01;2;05;63;1734,98776029282
4062569;1;7;1;2;1;1;1;1;3;1; ; ;450000000;1500000; ;1;1;1;1;1;1;1;1;1;1;1;1;2;1;2;2;1;2;2;1;2;1;2; ;2;2; ;1;1;1;4;1;4;1;2;1;3;1;1;01;2;05;63;739,339625277345
4062570;1;6;3;2;1;1;1;1;3;1; ; ;350000000;1500000; ;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;2;1;2;1;3; ;4;2; ;1;1;1;4;1;4;1;2;1;3;1;1;01;2;05;63;800,533158351132
4062571;1;7;1;2;1;1;1;1;3;1; ; ;400000000;1000000; ;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;2;1;2;1;1; ;1;2; ;1;1;1;4;1;4;1;2;1;3;1;1;01;2;05;63;871,883909041713
4062572;1;5;4;2;1;1;1;1;3;3; ; ; ; ;1400000;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;2;1;2;1;2; ;5;2; ;1;1;1;4;1;4;1;2;1;3;1;1;01;2;05;63;792,125661803253
4062573;1;7;1;2;1;1;1;1;3;1; ; ;450000000;1500000; ;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;2;1;2;1;1; ;1;2; ;1;1;1;4;1;4;1;2;1;3;1;1;01;2;05;63;923,866644608984
4062574;1;7;3;2;1;1;1;1;3;1; ; ;400000000;1200000; ;2;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;1;2;1;2;1;4; ;4;2; ;1;1;1;4;1;4;1;2;1;3;1;1;01;2;05;63;800,533158351132
4062575;1;6;3;2;1;1;1;1;3;1; ; ;600000000;1600000; ;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;4; ;4;2; ;1;1;1;4;1;4;1;2;1;3;1;1;01;2;05;63;1099,67941447957
4062576;1;6;2;2;1;1;1;1;3;1; ; ;400000000;1300000; ;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;2;2;1;2;1;2; ;2;2; ;1;1;1;4;1;4;1;2;1;3;1;1;01;2;05;63;739,339625277345
4062577;1;5;1;2;1;1;1;1;4;1; ; ;380000000;1500000; ;2;1;1;1;1;1;1;1;2;1;1;1;1;1;2;2;2;2;2;1;2;1;2; ;2;2; ;1;1;1;4;1;4;2;2;1;3;1;1;01;2;05;63;739,339625277345
4062578;1;5;3;2;1;1;1;1;3;3; ; ; ; ;1030000;1;1;1;1;1;1;1;1;2;1;1;1;1;1;2;2;1;1;2;1;1;1;3; ;4;2; ;1;1;1;4;1;5;1;2;1;3;1;1;01;2;05;63;1333,41607149935
4062589;1;2;2;2;1;1;1;1;3;4; ; ; ;150000; ;2;2;2;2;1;1;1;2;2;2;1;2;1;2;2;2;2;2;2;2;2;1;2; ;4;2; ;1;1;4;3;1;3;1;2;1;2;1;1;01;2;05;63;1272,15563655613
4062590;1;5;3;2;2;1;1;1;5;4; ; ; ;300000; ;2;2;2;1;1;1;1;2;2;2;1;1;1;2;2;2;2;1;1;2;2;1;4; ;6;2; ;1;1;1;4;1;2;1;2;1;2;1;1;01;2;05;63;806,928157162567
4062591;1;1;1;2;2;1;1;6; ;4; ; ; ;50000; ;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;2;2;1;1; ;1;2; ;1;4;1;4;1;2;2;2;1;2;1;1;01;2;05;63;1365,20489551533
4062592;1;4;3;2;1;1;1;1;3;1; ; ;50000000;200000; ;2;2;1;2;1;1;1;2;2;2;1;2;1;1;2;2;2;2;2;2;2;1;2; ;3;2; ;1;1;1;4;1;1;1;2;1;2;1;1;01;2;05;63;807,795044928779
4062593;1;3;2;2;1;1;1;1;4;1; ; ;150000000;150000; ;2;2;2;2;1;1;1;2;2;2;1;2;1;2;2;2;2;2;2;2;2;1;2; ;3;2; ;1;1;4;3;1;1;2;2;1;2;1;1;01;2;05;63;703,172433081669
4062594;1;5;4;2;1;1;1;1;3;1; ; ;200000000;600000; ;2;1;2;1;1;1;1;2;2;2;1;2;1;2;2;2;1;1;1;1;2;1;4; ;4;2; ;1;1;1;2;1;3;1;2;1;2;1;1;01;2;05;63;1599,25528222817
4062595;1;4;3;2;1;1;1;5;3;1; ; ;50000000;500000; ;2;1;2;1;1;1;1;2;1;2;1;2;1;1;2;2;2;2;1;2;2;1;3; ;3;2; ;1;1;1;2;1;3;1;2;1;2;1;1;01;2;05;63;1394,69332860252
4062596;1;1;1;2;1;1;1;5;3;4; ; ; ;150000; ;2;2;2;1;1;2;1;2;2;2;1;2;2;2;2;2;1;1;2;2;2;1;1; ;1;2; ;1;1;1;2;1;3;1;2;1;2;1;1;01;2;05;63;872,848408291361
4062597;1;3;3;2;1;5;1;1;4;4; ; ; ;150000; ;2;2;2;2;1;1;1;2;2;2;1;1;1;2;2;2;2;2;2;2;2;1;2; ;4;2; ;1;1;4;3;1;1;2;2;2; ;1;1;01;2;05;63;1272,15563655613
4062598;1;3;1;2;1;1;1;1;3;3; ; ; ; ;200000;2;2;2;2;1;1;1;2;2;2;1;2;1;2;2;2;1;1;1;2;2;1;2; ;2;2; ;1;1;1;2;1;1;1;2;1;2;1;1;01;2;05;63;831,708437643352
4062600;1;3;2;2;1;1;1;1;3;4; ; ; ;150000; ;2;2;1;1;1;1;1;2;2;2;1;1;1;2;2;2;2;2;2;2;2;1;1; ;2;2; ;1;1;1;2;1;1;1;2;1;2;1;1;01;2;05;63;1324,4880696161
4062601;1;3;2;2;1;1;1;1;3;3; ; ; ; ;100000;2;2;2;2;1;2;1;2;2;2;1;2;1;2;2;2;2;2;2;2;2;1;1; ;2;2; ;1;1;1;2;1;1;1;2;1;2;1;1;01;2;05;63;915,042439549745
4062604;1;2;1;1;1;1;1;1;3;3; ; ; ; ;500000;2;1;1;1;1;1;1;2;2;2;1;1;1;1;2;2;2;2;2;1;2;1;2; ;3;2; ;1;1;1;4;1;2;1;1;1;2;1;1;01;2;05;63;1323,46772941409
4062605;1;6;5;1;2;1;1;1;3;4; ; ; ;300000; ;2;2;2;2;1;1;1;2;2;2;1;1;1;1;2;2;2;1;2;2;2;1;7; ;11;1;4;1;1;1;2;1;2;1;1;1;2;1;1;01;2;05;63;703,172433081669
4062605;2;1;1;1;2;1;1;2;4;3; ; ; ; ;70000;2;2;2;2;2;2;1;2;2;2;1;2;2;2;2;2;2;1;2;2;2;1;1; ;1;2; ;2;1;1;2;1;2;1;1;1;2;1;1;01;2;05;63;703,172433081669
4062606;1;4;2;1;1;1;1;1;3;3; ; ; ; ;200000;2;1;2;1;1;1;1;2;2;2;1;1;1;2;2;2;2;1;1;2;2;1;2; ;2;2; ;1;2;1;2;1;2;1;1;1;2;1;1;01;2;05;63;831,708437643352
4062607;1;1;1;1;1;1;1;1;3;2; ;500000;80000000;500000; ;2;1;1;1;1;1;1;1;1;2;1;1;1;1;2;2;1;1;1;2;2;1;2; ;2;2; ;1;2;1;4;1;3;1;1;1;2;1;1;01;2;05;63;831,708437643352
4062608;1;5;2;1;1;1;1;1;3;3; ; ; ; ;290000;2;1;1;1;1;1;1;2;2;1;1;1;1;2;2;2;1;2;2;1;2;1;2; ;3;2; ;1;2;1;4;1;2;1;1;1;2;1;1;01;2;05;63;1489,79562213489
4062609;1;4;3;1;1;1;1;1;3;1; ; ;40000000;300000; ;1;1;2;1;1;1;1;2;2;2;1;2;2;2;2;2;2;1;2;2;2;1;1; ;3;2; ;1;1;1;2;1;2;1;1;1;2;1;1;01;2;05;63;943,104378244651
4062610;1;4;3;1;1;1;1;1;4;3; ; ; ; ;330000;2;2;2;1;1;1;1;2;2;2;1;2;1;1;2;2;2;2;2;2;2;1;3; ;4;2; ;1;1;1;4;1;2;2;1;1;2;1;1;01;2;05;63;1941,43528345962
4062611;1;1;1;1;1;1;1;1;3;3; ; ; ; ;100000;2;2;2;1;1;2;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2; ;2;2; ;1;1;1;2;1;2;1;1;1;2;1;1;01;2;05;63;831,708437643352
4062613;1;4;3;1;1;1;1;1;3;1; ; ;60000;200000; ;1;1;1;1;1;1;1;2;2;2;1;2;1;1;2;2;2;1;2;1;2;1;3; ;6;2; ;1;2;1;2;1;2;1;1;1;2;1;1;01;2;05;63;703,172433081669
4062614;1;4;3;1;1;1;1;1;3;4; ; ; ;500000; ;1;2;1;1;1;1;1;1;2;1;1;1;2;1;2;2;1;2;2;1;2;1;3; ;3;2; ;1;1;1;4;1;3;1;1;1;2;1;1;01;2;05;63;790,568466995342
4062615;1;1;1;2;1;1;1;1;3;4; ; ; ;200000; ;2;2;1;1;1;1;1;2;2;2;1;1;1;1;2;2;1;2;1;2;2;1;3; ;3;2; ;1;1;1;2;1;2;1;2;1;2;1;1;01;2;05;63;703,172433081669
4063040;1;3;2;1;1;4;1;1;4;3; ; ; ; ;80000;2;2;2;2;1;1;1;2;2;2;1;2;2;2;2;2;1;1;2;2;2;1;1; ;5;2; ;1;1;1;2;1;1;2;1;2; ;1;2;01;2;05;73;2376,96803514462
4063043;1;4;1;1;1;4;1;1;4;1; ; ;10000000;70000; ;2;2;2;2;1;1;1;2;2;2;1;2;2;2;2;2;2;2;1;2;2;1;2; ;2;2; ;1;1;1;2;1;2;2;1;2; ;1;2;01;2;05;73;899,979663547011
4063046;1;4;1;1;1;4;1;1;4;1; ; ;60000000;80000; ;2;2;2;2;1;1;1;2;2;2;1;1;1;2;2;2;1;2;1;2;2;1;2; ;2;2; ;1;1;1;2;1;2;2;1;2; ;1;2;01;2;05;73;642,971321554816
4063049;1;4;3;1;1;4;1;1;4;4; ; ; ;80000; ;2;2;2;2;1;1;1;2;2;2;1;1;2;2;2;2;1;1;2;2;2;1;2; ;4;2; ;1;1;1;2;1;1;2;1;2; ;1;2;01;2;05;73;1113,94578861027
4063050;1;4;3;1;2;4;1;1;4;1; ; ;40000000;40000; ;2;2;2;2;1;1;1;2;2;2;1;1;2;1;2;2;1;1;1;2;2;1;1; ;4;2; ;1;1;1;2;1;1;2;1;2; ;1;2;01;2;05;73;861,815765783756
4063052;1;3;2;1;1;4;1;1;4;4; ; ; ;100000; ;2;2;2;2;1;1;1;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2; ; ;2;2; ;1;1;1;2;1;1;2;1;2; ;1;2;01;2;05;73;642,971321554816
4063054;1;6;2;1;1;4;1;1;4;1; ; ;35000000;150000; ;2;2;2;2;1;1;1;2;2;2;1;2;2;2;2;2;1;1;2;2;2;1;2; ;3;2; ;1;1;1;4;1;1;2;1;2; ;1;2;01;2;05;73;799,084547267093
4063055;1;3;2;1;1;4;1;1;4;3; ; ; ; ;140000;2;1;2;2;1;1;1;2;2;2;1;1;2;2;2;2;1;2;1;2;2;1;3; ;4;2; ;1;1;1;2;1;2;2;1;2; ;1;2;01;2;05;73;685,654155315296
4063058;1;1;1;1;2;4;1;1;4;3; ; ; ; ;35000;2;2;2;2;2;2;1;2;2;2;1;1;2;2;2;2;1;2;1;2;2;1;1; ;1;2; ;1;4;1;2;1;1;2;1;2; ;1;2;01;2;05;73;1248,32481275705
4063059;1;6;2;1;1;3;1;1;4;1; ; ;10000000;80000; ;2;2;2;2;1;1;1;2;2;2;1;2;1;2;2;2;1;1;2;1;2;1;1; ;2;2; ;1;1;1;4;1;3;2;1;2; ;1;2;01;2;05;73;899,979663547011
4063060;1;3;1;1;2;4;1;1;4;4; ; ; ;30000; ;2;2;2;2;1;1;1;2;2;2;1;2;2;2;2;2;1;2;1;2;2;1;1; ;1;2; ;1;4;1;2;1;1;2;1;2; ;1;2;01;2;05;73;1248,32481275705
4063062;1;4;1;1;1;3;1;1;4;1; ; ;10000000;70000; ;2;2;2;2;1;1;1;2;2;2;1;2;1;2;2;2;2;2;2;2;2;2; ; ;2;2; ;1;1;1;2;1;2;2;1;2; ;1;2;01;2;05;73;760,502898209788
4063070;1;3;2;2;1;4;1;1;3;1; ; ;15000000;80000; ;2;2;2;2;1;1;1;2;2;2;1;1;2;1;2;2;1;1;1;2;2;1;2; ;4;2; ;1;1;1;2;1;1;1;2;2; ;1;2;01;2;05;73;642,971321554816
4063071;1;3;2;2;1;4;1;1;4;1; ; ;20000000;100000; ;2;2;2;2;1;1;1;2;2;2;1;1;2;2;2;2;1;1;1;2;2;1;3; ;3;2; ;1;1;1;2;1;2;2;2;2; ;1;1;01;2;05;73;862,361833194431
4063072;1;3;1;2;1;4;3;1;4;1; ; ;12000000;40000; ;2;2;2;2;1;1;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2;1;1; ;2;2; ;1;1;4;2;1;2;2;2;2; ;2; ;01;2;05;73;899,979663547011
4063073;1;2;1;4;1;4;3;1;4;4; ; ; ;150000; ;2;2;2;2;2;1;1;2;2;2;1;2;2;2;2;2;2;1;1;2;2;1;2; ;4;2; ;1;1;1;2;1;1;2;2;2; ;2; ;01;2;05;73;976,239531868905
4063074;1;3;2;2;1;4;4;1;5;1; ; ;2000000;100000; ;2;2;2;2;1;1;2;2;2;2;1;1;2;2;2;2;2;1;2;2;2;1;2; ;2;2; ;1;1;4;2;1;1;2;2;2; ;2; ;01;2;05;73;1086,98196593941
4063076;1;2;1;2;1;4;4;3;3;1; ; ;15000000;70000; ;2;2;2;2;1;1;1;2;2;2;1;1;2;2;2;2;2;1;2;2;2;1;2; ;2;2; ;1;1;1;2;1;1;1;2;2; ;1;1;01;2;05;73;899,979663547011
4063077;1;3;2;6; ;4;1;1;3;1; ; ;98;70000; ;2;2;2;2;1;1;1;2;2;2;1;2;2;2;2;2;1;1;1;2;2;1;2; ;3;2; ;1;1;1;2;1;1;1;2;2; ;1;1;01;2;05;73;1624,06707186792
4063078;1;3;2;4;1;4;3;1;5;1; ; ;1000000;25000; ;2;2;2;2;1;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1; ;2;2; ;1;1;1;2;1;1;2;2;2; ;2; ;01;2;05;73;836,702377619673
4063079;1;4;2;2;1;4;1;3;3;1; ; ;7000000;60000; ;2;2;2;2;1;1;1;2;2;2;2;2;2;2;2;2;1;1;1;2;2;1;2; ;5;2; ;1;1;1;2;1;1;1;2;2; ;1;2;01;2;05;73;642,971321554816
4063081;1;3;1;2;1;4;1;1;3;1; ; ;30000000;150000; ;2;2;2;2;1;1;2;2;2;2;1;2;2;2;2;2;1;2;2;2;2;1;1; ;1;2; ;1;1;1;2;1;2;1;2;2; ;1;1;01;2;05;73;1124,59979629199
4063082;1;7;1;2;1;4;3;1;4;4; ; ; ;600000; ;2;2;2;1;1;1;1;2;2;2;1;2;1;2;2;2;1;2;2;2;2;1;1; ;1;2; ;1;1;1;2;1;3;2;2;2; ;2; ;01;2;05;73;1124,59979629199
4063083;1;4;1;2;1;4;9;1;4;1; ; ;30000000;400000; ;2;2;2;2;1;1;1;2;2;2;1;2;2;2;2;2;2;2;1;2;2;2; ; ;2;2; ;1;1;1;2;1;1;2;2;2; ;2; ;01;2;05;73;899,979663547011
4063084;1;3;2;2;1;4;1;4;3;3; ; ; ; ;100000;2;1;2;1;1;2;1;2;2;2;1;2;2;2;2;2;1;1;1;2;2;1;2; ;4;2; ;1;1;1;2;1;1;1;2;2; ;1;2;01;2;05;73;1811,90689763483
4063085;1;4;2;6; ;4;1;1;3;1; ; ;25000000;60000; ;2;2;2;2;1;2;1;2;2;2;1;2;2;2;2;2;1;2;1;2;2;1;2; ;4;2; ;1;1;1;2;1;1;1;2;2; ;1;1;01;2;05;73;1011,15386840429
4063086;1;2;1;2;1;3;1;4;3;1; ; ;15000000;700000; ;2;2;2;1;1;1;1;2;2;2;1;2;2;2;2;2;1;1;1;2;2;1;2; ;2;2; ;1;1;1;2;1;1;1;2;2; ;1;2;01;2;05;73;1850,07079539808
4063087;1;1;1;2;1;4;4;1;4;1; ; ;8000000;100000; ;2;2;2;2;1;1;1;2;2;2;1;2;2;2;2;2;1;2;1;2;2;1;2; ;2;2; ;1;1;4;2;1;1;2;2;2; ;2; ;01;2;05;73;760,502898209788
4063088;1;3;2;2;1;4;1;3;3;3; ; ; ; ;70000;2;1;2;2;1;1;1;2;2;2;1;1;2;1;2;2;1;1;1;2;2;1;2; ;4;2; ;1;1;1;2;1;1;1;2;2; ;1;2;01;2;05;73;2100,72176559258
4063089;1;2;1;2;1;4;1;1;4;1; ; ;20000000;70000; ;2;2;2;2;1;1;1;2;2;2;1;2;1;2;2;2;1;2;1;2;2;1;1; ;2;2; ;1;1;1;4;1;1;2;2;2; ;1;2;01;2;05;73;760,502898209788
4063090;1;3;2;2;1;4;1;1;5;1; ; ;10000000;40000; ;2;2;2;2;1;1;2;2;2;2;1;2;2;2;2;2;1;1;1;2;2;1;1; ;3;2; ;1;1;1;2;1;1;2;2;2; ;1;2;01;2;05;73;675,359530802031
4063091;1;2;1;2;1;4;1;1;4;1; ; ;98;20000; ;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2; ;2;2; ;1;1;1;2;2; ;2;2;2; ;1;2;01;2;05;73;642,971321554816
4063092;1;2;1;2;2;4;7;1;4;4; ; ; ;50000; ;2;2;2;2;1;1;1;2;2;2;1;2;1;2;2;2;1;2;1;2;2;1;1; ;4;2; ;1;1;1;2;1;1;2;2;2; ;2; ;01;2;05;73;2090,06775791086
4063092;2;1;1;2;2;4;7;2;4;4; ; ; ;60000; ;2;2;2;2;1;2;1;2;2;2;1;2;2;2;2;2;1;2;2;2;2;1;1; ;3;2; ;2;1;1;2;1;1;2;2;2; ;2; ;01;2;05;73;2090,06775791086
4063093;1;4;3;2;1;4;4;1;4;1; ; ;45000000;150000; ;2;2;2;2;1;1;1;2;2;2;1;2;1;2;2;2;2;2;2;2;2;1;2; ;5;2; ;1;1;1;2;1;0;2;2;2; ;2; ;01;2;05;73;2224,8800692876
