DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7430;P7440;P7450;P7450S1;P7452;P7454;P7456;P7458;P7458S1;P7460;P7470;P7472;P7472S1;INI;MES;DPTO;fex_c_2011
4289194;1;2;1;80;2;1;1;2; ;2; ; ;2; ; ; ;2; ;1;03;19;658,690395884463
4289194;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;03;19;658,690395884463
4289196;1;3;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;03;19;966,096946941701
4289197;1;2;1;80;2;1;3;8; ;2; ; ;9; ;2; ;2; ;1;03;19;1417,47485944542
4289197;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;03;19;1417,47485944542
4289198;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;03;19;1194,55045400643
4289198;1;4;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;03;19;1194,55045400643
4289199;1;5;1;80;2;1;1;2; ;2; ; ;2; ; ; ;2; ;1;03;19;664,99744598627
4289199;1;6;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;03;19;664,99744598627
4289200;1;3;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;03;19;1100,92364957489
4289201;1;3;1;80;2;1;1;8; ;2; ; ;11; ; ; ;2; ;1;03;19;1126,48388410417
4289202;2;1;2;80;2;1;2;4; ;2; ; ;4; ;2; ;2; ;1;03;19;1464,47951409472
4289203;1;3;1;80;2;1;2;3; ;2; ; ;9; ;2; ;2; ;1;03;19;939,166967013779
4289205;1;3;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;03;19;1092,33768085507
4289205;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;03;19;1092,33768085507
4289208;1;1;1;80;2;1;4;9;LA EDAD;2; ; ;8; ;2; ;2; ;1;03;19;589,394991720157
4289208;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;03;19;589,394991720157
4289208;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;03;19;589,394991720157
4289209;1;5;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;03;19;881,297425026654
4289209;1;6;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;03;19;881,297425026654
4289211;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;03;19;868,116555117651
4289211;1;3;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;03;19;868,116555117651
4289212;1;2;1;80;2;1;4;3; ;2; ; ;9; ;2; ;2; ;1;03;19;1058,19147760597
4289212;1;4;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;03;19;1058,19147760597
4289212;1;5;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;03;19;1058,19147760597
4289213;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;03;19;1868,85277194914
4289214;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;03;19;1057,48655423011
4289215;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;03;19;589,394991720157
4289215;1;5;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;03;19;589,394991720157
4289217;1;3;1;80;2;2; ; ; ; ;2; ; ;.;2; ;1;20000;1;03;19;1524,44709858706
4289217;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;03;19;1524,44709858706
4289219;1;1;1;80;2;1;4;4; ;2; ; ;4; ;2; ;2; ;1;03;19;827,663301766746
4289220;1;3;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;03;19;1066,77744632579
4289220;1;4;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;03;19;1066,77744632579
4289221;1;2;1;80;2;1;1;2; ;2; ; ;2; ; ; ;2; ;1;03;19;929,713546549474
4289222;1;2;1;80;2;1;1;3; ;2; ; ;9; ;2; ;2; ;1;03;19;1374,74268747651
4289222;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;03;19;1374,74268747651
4289222;1;4;1;80;2;1;1;2; ;2; ; ;2; ; ; ;2; ;1;03;19;1374,74268747651
4289222;1;5;1;80;2;1;1;2; ;2; ; ;2; ; ; ;2; ;1;03;19;1374,74268747651
