DIRECTORIO;SECUENCIA_P;ORDEN;REGIS;P6440;P6450;P6460;P6460S1;P6400;P6422;P6424;P6424S2;P6424S3;P6424S1;P6426;P6430;P6430S1;P6480;P6480S1;P6500;P6510;P6510S1;P6510S2;P6590;P6590S1;P6600;P6600S1;P6610;P6610S1;P6620;P6620S1;P6585;P6585S2A1;P6585S3A1;P6585S4A1;P6585S3A2;P6585S2A2;P6585S1A2;P6585S2;P6585S3;P6585S1A1;P6585S4;P6585S1;P6580;P6580S1;P6580S2;P6630S3;P6630S4A1;P6630S3A1;P6630S2A1;P6630S1A1;P6630S4;P6630S2;P6630S1;P6640;P6642S2;P6642S1;P6765;P6765S1;P6772;P6750;P6760;P550;P6780;P6780S1;P6790;P6800;P6810;P6810S1;P6850;P6830;P6830S1;P6835;P6835S1;P6835S2;P6836;P6836S1;P6836S2;P6837;P6837S1;P6837S2;P6870;P6880;P6880S1;P6910;P6910S1;P6920;P6930;P6940;P6960;P6980;P6980S1;P6980S2;P6980S3;P6980S4;P6980S5;P6980S6;P6980S7;P6980S8;P6980S7A1;P6990;P7020;P7026;P7028;P7028S1;P7040;P7045;P7050;P7050S1;P7070;P760;P6410;P6640S1;P6642S11;P6642S7;P6642S8;P6642S9;P6642S10;P6642S12;P6642S5;P6642S4;P6642S3;P6642S6;P9440;P9450;P6630S6;P6630S6A1;P6410S1;P6545S1;P6545;P6545S2;P6915S1;P6915;P6585S4A2;P6773;P6773S1;P7090;P7100;P7110;P7120;P7130;P7140;P7140S1;P7140S2;P7140S3;P7140S4;P7140S5;P7140S6;P7140S7;P7140S8;P7140S9;P7140S9A1;P7150;P7160;P7170;P7170S1;P7170S2;P7170S3;P7170S4;P7170S5;P7170S6;P7180;P7190;P7200;P7240;P7240S1;CLASE;OCI;P6420S1;RAMA4D;OFICIO;RAMA2D;RAMA4DP8;RAMA2DP8;DPTO;fex_c_2011
595495;1;2;60;2;;;;;;;;;;6;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;300000;1;;3;;6;35;1;;35;;;1;8;13;2;;;;;;1;1;;;;2;;;;1;;;;;;;;1;;2;1;360;1;;2;;;;;12;;;;;;;;;;;;;;2;;;;;;;;3;;;;2;;;;2;;;;;;;;;;;;;;;2;2;2;3;3;2;2;2;3;8;;2;1;;3699;94;36;;;68;845.341.953.395.774
597097;1;1;60;2;;;;;;;;;;4;8;;1;;80000;2;;;2;;2;;2;;2;;;;;;;;;2;2;;2;2;2;;;2;;;;;2;2;2;2;;;;;;;;;;;6;48;;.;48;;;1;7;12;1;14;18;2;;;2;8;;;;2;;;;1;;;;;;;;1;;2;1;2;8;;2;;;;;2;;;;;;;;;;;;;2;2;2;;;;2;;;11;;;;2;;;;2;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;3;8;;2;1;;121;62;1;;;50;720.295.800.313.781
597100;1;1;60;1;2;2;0;1;2;;2;2;2;0;1;;1;;560000;2;;;2;;2;;2;;2;;;;;;;;;2;2;;2;2;2;;;2;;;;;2;2;2;2;;;;;;;;;;;8;54;;.;54;;;1;7;12;1;13;17;2;;;5;8;;;;1;2;1;8;1;1;;;;;1;;;;2;1;8;1;;2;;;;;1;;;;;;;;;;;;;2;2;2;;;;2;;;2;;;;2;;;;2;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;3;9;;2;1;;4530;95;45;;;50;682.828.592.441.891
597102;1;2;60;1;1;;;1;1;;2;2;2;0;8;;1;;350000;2;;;2;;2;;2;;2;;;;;;;;;2;2;;2;2;2;;;2;;;;;2;2;2;2;;;;;;;;;;;12;48;;.;48;;;1;8;12;1;13;17;2;;;2;8;;;;2;;;;1;;;;;;;;1;;2;1;1;8;;2;;;;;0;;;;;;;;;;;;;2;2;2;;;;2;;;11;;;;2;;;;2;;;;;;;;;;;;;;;2;2;2;2;2;2;2;3;3;9;;2;1;;122;62;1;;;50;795.061.999.458.152
597102;1;3;60;2;;;;;;;;;;0;8;;1;;0;2;;;2;;2;;2;;2;;;;;;;;;2;2;;2;2;2;;;2;;;;;2;2;2;2;;;;;;;;;;;12;54;;.;54;;;1;7;12;1;13;18;2;;;2;8;;;;2;;;;1;;;;;;;;1;;2;2;;;;2;;;;;;;;;;;;;;;;;;2;2;2;;;;2;;;7;;;;2;;;;2;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;3;8;;2;1;;122;62;1;;;50;795.061.999.458.152
597106;1;1;60;2;;;;;;;;;;360;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;2;200000;1;2400000;1;;12;18;2;;18;;;2;;;;;;;;;1;8;;;;2;;;;1;;;;;;1;;;;2;2;;;;2;;;;;;;;;;;;;;;;;;;2;;;;;;;;5;;;;2;;;;2;;;;;;;;;;;;;;;2;2;2;2;2;2;2;3;3;5;;2;1;;121;62;1;;;50;826.547.707.558.297
597108;1;1;60;2;;;;;;;;;;11;8;;1;;460000;2;;;2;;1;100000;2;;2;;;;45000;;2;;;2;1;;2;2;2;;;2;;;;;2;2;2;2;;;;;;;;;;;12;56;;.;56;;;1;7;12;1;13;18;2;;;2;8;;;;1;2;1;12;1;1;;;;;;;;;1;1;108;8;;2;;;;;0;;;;;;;;;;;;;2;1;2;;;;2;;;1;;;;2;;;;1;1;1;1;1;2;2;2;1;2;2;;2;1;;3;3;3;3;2;2;2;3;3;9;;2;1;;122;62;1;;;50;708.354.396.861.151
597113;1;1;60;2;;;;;;;;;;12;8;;1;;460000;2;;;2;;1;30000;2;;2;;;;;;;;;2;2;;2;2;2;;;2;;;500000;;2;1;2;2;;;;;;;;;;;12;48;;.;48;;;1;6;12;1;13;17;2;;;2;8;;;;2;;;;1;;;;;;1;1;;TRABAJANDO;2;1;5;1;;2;;;;;1;;;;;;;;;;;;;2;2;2;;;;2;;;2;;;;2;;;;2;;;;;;;;;;;;;;;2;2;2;2;2;2;2;3;3;5;;2;1;;121;62;1;;;50;100.366.410.611.044
597121;1;1;60;2;;;;;;;;;;24;8;;1;;300000;2;;;2;;2;;2;;2;;;;;;;;;2;2;;2;2;2;;;2;;;;;2;2;2;2;;;;;;;;;;;12;42;;.;42;;;1;10;12;1;13;16;2;;;1;8;;;;2;;;;1;;;;;;;;1;;2;1;5;1;;2;;;;;0;;;;;;;;;;;;;2;2;2;;;;2;;;11;;;;2;;;;2;;;;;;;;;;;;;;;2;2;2;2;2;2;2;3;3;9;;2;1;;121;62;1;;;50;56.623.853.619.752
600654;2;1;60;2;;;;;;;;;;30;1;;1;;500000;2;;;2;;1;80000;2;;2;;;;;;;;;2;2;;2;2;2;;;2;;;;;2;2;2;2;;;;;;;;;;;12;105;;.;105;;;1;6;12;1;13;21;2;;;2;1;;;;2;;;;1;;;;;;;;1;;2;1;32;1;;2;;;;;4;;;;;;;;;;;;;2;2;2;;;;2;;;2;;;;2;;;;1;1;1;1;1;2;2;1;2;2;2;;2;2;;3;3;3;3;3;3;2;2;3;8;;2;1;;9213;58;92;;;50;706.271.025.326.336
600656;1;1;60;2;;;;;;;;;;108;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;2;200000;1;2400000;3;;12;54;;.;54;;;1;7;11;1;13;16;2;;;1;8;;;;2;;;;1;;;;;;;;1;;2;2;;;;2;;;;;;;;;;;;;;;;;;;2;;;;;;;;2;;;;2;;;;1;1;1;1;1;2;2;2;1;2;2;;2;1;;2;3;2;3;3;3;2;3;3;3;;2;1;;118;61;1;;;50;847.484.437.919.225
600658;1;1;60;2;;;;;;;;;;306;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;2;700000;1;8000000;1;;12;48;;.;48;;;1;7;13;1;14;17;2;;;1;8;;;;2;;;;1;;;;1;;;;;;2;2;;;;2;;;;;;;;;;;;;;;;;;;2;;;;;;;;2;;;;2;;;;2;;;;;;;;;;;;;;;2;2;2;2;2;2;2;3;3;6;;2;1;;115;61;1;;;50;717.487.014.688.485
600660;1;1;60;2;;;;;;;;;;24;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;2;280000;1;3000000;1;;12;48;;.;48;;;1;7;12;1;13;16;2;;;1;8;;;;2;;;;1;;;;;;1;;;;2;2;;;;2;;;;;;;;;;;;;;;;;;;2;;;;;;;;2;;;;2;;;;2;;;;;;;;;;;;;;;2;2;2;2;2;2;2;3;3;5;;2;1;;121;61;1;;;50;618.699.022.527.488
602908;1;1;60;2;;;;;;;;;;96;8;;1;;100000;2;;;2;;2;;2;;2;;;;;;;;;2;2;;2;2;2;;;2;;;;;2;2;2;2;;;;;;;;;;;12;48;;.;48;;;1;8;17;2;;;;;;4;8;;;;2;;;;1;;;;;;;;1;;2;1;33;1;;1;24;5;;0;0;;;;;;;;;;;;;2;2;2;;;;2;;;2;;;;2;;;;1;1;2;1;2;2;2;2;2;2;2;;2;1;;2;2;2;3;3;3;2;2;3;2;;2;1;;118;62;1;;;25;20.903.470.195.601
602908;1;2;60;2;;;;;;;;;;96;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;13;2;;13;;;1;7;20;2;;;;;;4;8;;;;2;;;;1;;;;;;;;1;;2;1;96;1;;2;;;;;24;;;;;;;;;;;;;;2;;;;;;;;2;;;;2;;;;1;1;2;2;2;2;2;2;1;1;2;;2;1;;3;3;2;4;4;2;2;1;2;8;;2;1;;118;53;1;;;25;20.903.470.195.601
602909;1;1;60;2;;;;;;;;;;96;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;300000;1;3000000;3;;12;50;;.;50;;;1;7;16;2;;;;;;1;8;;;;2;;;;1;;;;;;;;1;;2;2;;;;2;;;;;;;;;;;;;;;;;;;2;;;;;;;;2;;;;2;;;;2;;;;;;;;;;;;;;;3;3;2;2;3;2;2;2;3;8;;2;1;;118;61;1;;;25;198.072.894.507.489
602909;1;2;60;2;;;;;;;;;;8;1;;1;;200000;2;;;2;;1;10000;2;;2;;;;;;;;;2;2;;2;2;2;;;2;;;;;2;2;2;2;;;;;;;;;;;8;7;2;;7;;;1;6;7;2;;;;;;2;8;;;;2;;;;1;;;;;;;;1;;2;1;18;1;;2;;;;;6;;;;;;;;;;;;;2;2;2;;;;2;;;2;;;;2;;;;2;;;;;;;;;;;;;;;3;2;2;3;3;2;2;2;3;8;;2;1;;121;62;1;;;25;198.072.894.507.489
602913;1;1;60;2;;;;;;;;;;480;8;;1;;200000;2;;;1;60000;2;;2;;2;;;;;;;;;2;2;;2;2;2;;;2;;;;;2;2;2;2;;;;;;;;;;;12;48;;.;48;;;1;7;16;2;;;;;;4;8;;;;2;;;;1;;;;;;;;1;;2;2;;;;2;;;;;;;;;;;;;;;;;;2;2;2;;;;2;;;2;;;;2;;;;2;;;;;;;;;;;;;;;2;2;2;3;3;2;2;3;3;3;;2;1;;118;62;1;;;25;312.374.070.989.722
602913;1;3;60;2;;;;;;;;;;288;8;;1;;200000;2;;;1;60000;2;;2;;2;;;;;;;;;2;2;;2;2;2;;;2;;;;;2;2;2;2;;;;;;;;;;;12;48;;.;48;;;1;7;16;2;;;;;;4;8;;;;2;;;;1;;;;;;;;1;;2;2;;;;2;;;;;;;;;;;;;;;;;;2;2;2;;;;2;;;2;;;;2;;;;2;;;;;;;;;;;;;;;2;2;2;3;3;2;2;3;3;3;;2;1;;118;62;1;;;25;312.374.070.989.722
602914;1;1;60;2;;;;;;;;;;288;8;;1;;240000;2;;;2;;1;100000;2;;2;;;;;;;;;2;2;;2;2;2;;;2;;;;;2;2;2;2;;;;;;;;;;;12;48;;.;48;;;1;7;17;2;;;;;;2;8;;;;2;;;;1;;;;;;;;1;;2;2;;;;2;;;;;;;;;;;;;;;;;;2;2;2;;;;2;;;2;;;;2;;;;2;;;;;;;;;;;;;;;3;2;2;3;3;2;2;3;3;5;;2;1;;118;62;1;;;25;300.067.107.318.942
602915;1;1;60;2;;;;;;;;;;720;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;2;300000;1;3600000;3;;12;48;;.;48;;;1;7;16;2;;;;;;2;8;;;;2;;;;1;;;1;;;;;;;2;2;;;;2;;;;;;;;;;;;;;;;;;;2;;;;;;;;2;;;;2;;;;2;;;;;;;;;;;;;;;2;2;2;2;2;2;2;3;3;3;;2;1;;116;61;1;;;25;35.986.393.052.423
602915;1;3;60;2;;;;;;;;;;2;1;;1;;480000;2;;;1;100000;2;;2;;2;;;;;;;;;2;2;;2;2;2;;;2;;;;;2;2;2;2;;;;;;;;;;;12;48;;.;48;;;1;8;17;2;;;;;;3;7;;;;2;;;;1;;;;;;;;1;;2;1;24;1;;2;;;;;3;;;;;;;;;;;;;2;2;2;;;;2;;;2;;;;2;;;;2;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;3;3;;2;1;;3420;84;34;;;25;35.986.393.052.423
602915;1;4;60;2;;;;;;;;;;2;1;;1;;480000;2;;;1;100000;2;;2;;2;;;;;;;;;2;2;;2;2;2;;;2;;;;;2;2;2;2;;;;;;;;;;;9;48;;.;48;;;1;8;17;2;;;;;;3;7;;;;2;;;;1;;;;;;;;1;;2;1;24;1;;2;;;;;3;;;;;;;;;;;;;2;2;2;;;;2;;;2;;;;2;;;;2;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;3;3;;2;1;;3420;84;34;;;25;35.986.393.052.423
602915;1;5;60;2;;;;;;;;;;36;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;15;1;;15;;;1;9;14;2;;;;;;2;8;;;;2;;;;1;;;;;;;;1;;2;2;;;;2;;;;;;;;;;;;;;;;;;;2;;;;;;;;2;;;;2;;;;1;1;2;1;2;2;2;2;1;2;2;;1;1;;3;2;2;3;3;2;2;3;3;3;;2;1;;116;62;1;;;25;35.986.393.052.423
602915;1;7;60;2;;;;;;;;;;60;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;15;1;;15;;;1;9;12;2;;;;;;2;8;;;;2;;;;1;;;;;;;;1;;2;1;2;3;;2;;;;;2;;;;;;;;;;;;;;2;;;;;;;;2;;;;2;;;;1;1;2;1;2;2;2;2;2;2;2;;1;1;;2;2;2;3;3;2;2;3;3;3;;2;1;;116;62;1;;;25;35.986.393.052.423
602916;1;4;60;2;;;;;;;;;;360;8;;1;;250000;2;;;1;80000;2;;2;;2;;;;;;;;;2;2;;2;2;2;;;2;;;;;2;2;2;2;;;;;;;;;;;12;48;;.;48;;;1;8;17;2;;;;;;3;8;;;;2;;;;1;;;;;;;;1;;2;2;;;;2;;;;;;;;;;;;;;;;;;2;2;2;;;;2;;;2;;;;2;;;;2;;;;;;;;;;;;;;;2;2;2;3;3;2;2;3;3;3;;2;1;;118;62;1;;;25;325.097.732.448.215
602920;1;1;60;2;;;;;;;;;;36;8;;1;;150000;2;;;1;150000;2;;2;;2;;;;;;;;;2;2;;2;2;2;;;2;;;;;2;2;2;2;;;;;;;;;;;12;48;;.;48;;;1;7;16;2;;;;;;4;8;;;;2;;;;1;;;;;;;;1;;2;1;8;1;;2;;;;;0;;;;;;;;;;;;;2;2;2;;;;2;;;7;;;;2;;;;2;;;;;;;;;;;;;;;2;2;2;3;3;2;2;3;3;8;;2;1;;118;62;1;;;25;234.798.252.897.812
602920;1;2;60;2;;;;;;;;;;12;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;2;50000;1;600000;3;;12;6;1;;6;;;1;7;8;2;;;;;;1;1;;;;2;;;;1;;;;;;;;1;;2;1;1;1;;2;;;;;2;;;;;;;;;;;;;;2;;;;;;;;7;;;;1;48;1;1;1;1;2;1;2;2;2;2;2;2;2;;1;1;;2;3;2;3;3;3;2;3;3;3;;2;1;;1530;77;15;;;25;234.798.252.897.812
602920;1;3;60;2;;;;;;;;;;36;8;;1;;150000;2;;;1;150000;2;;2;;2;;;;;;;;;2;2;;2;2;2;;;2;;;;;2;2;2;2;;;;;;;;;;;12;48;;.;48;;;1;7;16;2;;;;;;4;8;;;;2;;;;1;;;;;;;;1;;2;2;;;;2;;;;;;;;;;;;;;;;;;2;2;2;;;;2;;;7;;;;2;;;;2;;;;;;;;;;;;;;;2;2;2;3;2;2;2;3;3;3;;2;1;;118;62;1;;;25;234.798.252.897.812
602921;1;1;60;2;;;;;;;;;;60;8;;1;;150000;2;;;1;100000;2;;2;;2;;;;;;;;;2;2;;2;2;2;;;2;;;;;2;2;2;2;;;;;;;;;;;12;48;;.;0;6;;2;;;;;;;;;4;8;;;;2;;;;1;;;;;;;;1;;2;2;;;;2;;;;;;;;;;;;;;;;;;2;2;2;;;;2;;;11;;;;2;;;;1;1;2;1;2;2;2;2;2;2;2;;2;2;;3;2;2;3;3;2;2;3;3;8;;2;1;;118;62;1;;;25;251.563.945.001.701
602921;1;2;60;2;;;;;;;;;;3;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;2;160000;1;12;1;;12;7;1;;7;;;1;9;10;2;;;;;;1;1;;;;2;;;;1;;;;;;;;1;;2;1;12;8;;2;;;;;0;;;;;;;;;;;;;;2;;;;;;;;11;;;;1;20;2;1;1;1;2;1;2;2;2;2;2;2;2;;2;1;;3;3;2;3;3;2;2;3;3;8;;2;1;;1530;77;15;;;25;251.563.945.001.701
602927;1;1;60;2;;;;;;;;;;84;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;20000;1;240000;3;;12;4;2;;28;;;2;;;;;;;;;1;1;;;;2;;;;1;;;;;;1;;;;2;1;654;8;;2;;;;;0;;;;;;;;;;;;;;2;;;;;;;;2;;;;1;56;2;2;2;;;;;;;;;;;;;;;2;3;3;3;3;3;2;2;3;8;;2;1;;5224;41;52;;;25;336.582.650.818.487
602927;1;2;60;1;1;;;2;2;;2;2;2;24;1;;1;;50000;2;;;2;;2;;2;;2;;;;;;;;;2;2;;2;2;2;;;2;;;;;2;2;2;2;;;;;;;;;;;9;15;1;;15;;;1;8;11;2;;;;;;9;7;;;;2;;;;1;;;;;;;;1;;2;2;;;;2;;;;;;3;;;;;;;;;;;;2;2;2;;;;2;;;2;;;;2;;;;2;;;;;;;;;;;;;;;2;2;2;3;3;3;2;3;1;3;;2;1;7512;8012;52;80;7512;75;25;336.582.650.818.487
602928;1;1;60;2;;;;;;;;;;258;8;;1;;400000;2;;;1;15000;2;;2;;2;;;;;;;;;2;2;;2;2;2;;;2;;;;;2;2;2;2;;;;;;;;;;;12;49;;.;49;;;1;8;17;2;;;;;;4;8;;;;2;;;;1;;;;;;;;1;;2;2;;;;2;;;;;;;;;;;;;;;;;;2;2;2;;;;2;;;2;;;;2;;;;2;;;;;;;;;;;;;;;3;2;2;3;3;3;2;3;2;9;;2;1;;118;62;1;;;25;192.882.911.729.881
602929;1;1;60;2;;;;;;;;;;426;8;;8;;250000;2;;;1;72000;2;;2;;2;;;;;;;;;2;2;;2;2;2;;;2;;;;;2;2;2;2;;;;;;;;;;;12;48;;.;48;;;1;8;17;2;;;;;;4;8;;;;2;;;;1;;;;;;;;1;;2;2;;;;1;10;1;;;;;;;;;;;;;;;;2;2;2;;;;2;;;2;;;;2;;;;2;;;;;;;;;;;;;;;2;2;2;3;4;3;2;2;2;3;;2;1;;118;62;1;;;25;314.254.948.934.463
602929;1;2;60;2;;;;;;;;;;1;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;250000;1;2250000;3;;9;44;;.;44;;;1;8;17;2;;;;;;1;1;;;;2;;;;1;;;;;;1;;;;2;1;110;8;;2;;;;;2;;;;;;;;;;;;;;2;;;;;;;;2;;;;2;;;;2;;;;;;;;;;;;;;;2;2;2;3;4;2;2;2;2;3;;2;1;;118;53;1;;;25;314.254.948.934.463
602929;1;4;60;2;;;;;;;;;;14;8;;1;;250000;2;;;1;75000;2;;2;;2;;;;;;;;;2;2;;2;2;2;;;2;;;;;2;2;2;2;;;;;;;;;;;12;48;;.;48;;;1;8;17;2;;;;;;4;8;;;;2;;;;1;;;;;;;;1;;2;2;;;;2;;;;;;;;;;;;;;;;;;2;2;2;;;;2;;;2;;;;2;;;;1;1;1;1;1;1;2;1;1;2;2;;2;1;;3;3;3;3;3;3;2;2;3;9;;2;1;;118;62;1;;;25;314.254.948.934.463
602930;1;2;60;2;;;;;;;;;;12;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;2;80000;1;960000;3;;12;20;2;;20;;;2;;;;;;;;;1;8;;;;2;;;;1;;;;;;;;1;;2;1;24;3;;1;20;4;;20000;99;;;;;;;;;;;;;;2;;;;;;;;2;;;;2;;;;2;;;;;;;;;;;;;;;2;2;2;3;3;2;2;2;3;3;;2;1;;116;62;1;;;25;259.684.010.210.739
