DIRECTORIO,SECUENCIA_P,ORDEN,REGIS,P7495,P7500,P7500S1,P7500S2,P7500S3A1,P7500S2A1,P7500S1A1,P7500S3,P7505,P7510S3,P7510S4,P7510S6,P7510S2A1,P7510S4A1,P7510S6A1,P7510S5A1,P7510S3A1,P7510S1A1,P7510S5,P7510S1,P7510S2,CLASE,P7510S7A1,P7510S7,DPTO,fex_c_2011
602921,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,251.563.945.001.701
602921,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,251.563.945.001.701
602921,1,3,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,251.563.945.001.701
602921,1,4,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,251.563.945.001.701
602927,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,336.582.650.818.487
602927,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,336.582.650.818.487
602927,1,3,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,336.582.650.818.487
602928,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,192.882.911.729.881
602928,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,192.882.911.729.881
602929,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,314.254.948.934.463
602929,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,314.254.948.934.463
602929,1,3,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,314.254.948.934.463
602929,1,4,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,314.254.948.934.463
602929,1,5,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,314.254.948.934.463
602930,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,259.684.010.210.739
602930,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,259.684.010.210.739
602930,1,3,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,259.684.010.210.739
602930,1,4,95,2,,,,,,,,2,,,,,,,,,,,,,2,,,25,259.684.010.210.739
