DIRECTORIO;SECUENCIA_P;ORDEN;AREA;REGIS;P6016;P6020;P6030;P6030S1;P6030S3;P6050;P6060;P6060S1;P6070;P6081S1;P6081;P6082;P6083S1;P6083;P6084;P6085;P6071S1;P6071;P6085S1;P6090;P6140;P6150;P6100;P6110;P6120;P6125;P6992;P6992S1;P6160;P6170;P6175;P6180;P6180S1;P6180S2;P6190;P6190S1;P6200;P6200S1;P6210;P6210S1;P6220;P6177;P6177S1;P6040;DPTO;fex_c_2011
601183;2;2;11;10;2;2;1;8;1980;2;2;;2;;2;1;;3;2;1;1;1;1;2;2;;;;;2;6;;1;2;;;;;;;;;3;5;;;;27;11;258.689.649.222.272
601183;2;3;11;10;2;2;1;2;1998;3;2;;6;;2;3;2;1;;1;;;1;2;2;;;;;1;6;;1;1;1;1;0;500;2;;2;;3;2;;;;10;11;258.689.649.222.272
601184;1;1;11;10;1;2;1;9;1974;1;2;;6;;3;6;;2;3;1;;;1;2;1;156;;;;2;6;;1;2;;;;;;;;;4;9;;;;33;11;275.111.400.947.706
601184;1;2;11;10;2;1;1;3;1995;3;2;;6;;3;6;1;1;;1;;;1;2;1;144;;;;2;6;;1;1;1;2;;;2;;2;;4;0;;;;12;11;275.111.400.947.706
601184;1;3;11;10;1;2;1;1;2003;3;2;;;;2;6;1;1;;1;;;1;2;2;;;;;2;6;;2;1;1;1;0;1000;2;;2;;2;0;;;;5;11;275.111.400.947.706
601184;2;1;11;10;1;2;1;12;1953;1;2;;5;;3;2;;3;2;2;;;;1;;;3;;;2;;.;1;2;;;;;;;;;3;5;;;;54;11;275.111.400.947.706
601184;2;2;11;10;2;1;1;7;1987;3;2;;6;;3;6;1;1;;2;;;;1;;;3;;;2;;.;1;2;;;;;;;;;5;11;2;2;;20;11;275.111.400.947.706
601185;1;1;11;10;1;1;1;10;1976;1;1;1;4;;3;2;;2;2;2;;;;2;2;;;;;1;3;;1;2;;;;;;;;;4;7;;;;31;11;292.072.967.955.298
601186;1;1;11;10;1;1;1;12;1979;1;2;;6;;2;2;;2;2;2;;;;1;;;1;1;36000;2;;.;1;2;;;;;;;;;6;5;3;;;28;11;292.072.967.955.298
601187;1;1;11;10;1;1;1;1;1976;1;1;2;2;;2;3;;2;3;2;2;1;;2;1;6;;;;1;8;SE  QUEEDO SIN  EMPLEO;1;2;;;;;;;;;5;11;2;;;32;11;296.857.060.047.298
