DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;P1806;P1519;P1883;RAMA2D_D_R4;OFICIO1;OFICIO2;DSI;DSCY;RAMA4D_D_R4;MES;DPTO;fex_c_2011
5494344;1;2;1;70;05;72;48;1; ;2;72;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;81;55;55;1;2;8121;07;05;994,328160928415
5494345;1;4;1;70;05;104;48;1; ;2;104;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;42;81;81;1;2;4290;07;05;1730,57373548808
5494347;1;1;1;70;05;4;48;3; ;2;520;1; ;5;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;45;54;55;1;1;4530;07;05;1542,54716875034
5494347;1;2;1;70;05;52;48;1; ;2;78;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;56;55;55;1;2;5611;07;05;1542,54716875034
5494355;1;2;1;70;05;4;35;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;                                                                                                                                                                                                                                                         .; ; ; ;978000; ; ; ;53; ;1;1;   .;07;05;2162,51568602455
5494357;1;1;1;70;05;2;48;1; ;2;8;1; ;9;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;908500;2; ;86;55;55;1;1;8610;07;05;1114,50378657552
5494373;1;2;1;70;05;52;48;1; ;2;52;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908000;2; ;47;45;45;1;2;4772;07;05;920,67725588514
5494375;1;1;1;70;05;12;40;3; ;2;64;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908000;2; ;97;54;54;1;1;9700;07;05;1162,17455401171
5494379;1;2;1;70;08;12;48;1; ;2;12;1; ;9;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;2000000;2; ;86;07;07;1;1;8610;07;08;843,648757396471
5494380;1;3;1;70;08;36;48;1; ;2;156;1; ;9;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;910000;2; ;47;45;45;1;2;4773;07;08;817,719945782536
5494385;1;3;1;70;08;24;48;1; ;2;24;1; ;9;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;910000;2; ;21;45;45;1;2;2100;07;08;494,396205161972
5494388;1;6;1;70;08;12;48;1; ;2;12;3; ;1;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;97;57;54;1;1;9700;07;08;689,590281190989
5494392;1;2;1;70;08;20;48;1; ;2;20;1; ;6;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;910000;2; ;46;59;33;1;2;4643;07;08;602,171673487027
5494396;1;2;1;70;08;156;48;1; ;2;153;1; ;3;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;910000;2; ;47;03;45;1;2;4772;07;08;666,885730266508
5494408;1;2;1;70;08;24;48;1; ;2;28;1; ;7;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;77;55;37;1;2;7729;07;08;618,46972760909
5494433;1;1;1;70;08;78;24;1; ;2;36;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;85;13;13;1;2;8559;07;08;609,254460323019
5494438;1;2;1;70;08;16;48;1; ;2;16;1; ;5;2;7; ; ; ; ; ; ; ; ; ; ;1;2; ;906000;2; ;86;59;59;1;2;8621;07;08;572,843552880301
5494438;1;3;1;70;08;66;48;1; ;2;66;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;906000;2; ;85;13;13;1;2;8512;07;08;572,843552880301
5494448;1;3;1;70;08;52;48;1; ;2;24;1; ;6;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;906000;2; ;47;19;45;1;2;4772;07;08;398,225740030576
5494448;1;4;1;70;08;16;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;                                                                                                                                                                                                                                                         .; ; ; ;906000; ; ; ;07; ;1;2;   .;07;08;398,225740030576
5494456;1;3;1;70;08;2;40;1; ;2;2;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;1;900000;1000000;2; ;78;40;97;1;1;7810;07;08;742,801457338167
5494460;1;3;1;70;08;28;48;1; ;2;28;1; ;6;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;908000;2; ;52;97;97;1;2;5224;07;08;670,313037875435
5494461;1;2;1;70;08;40;40;1; ;2;52;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1300000;2; ;50;03;03;1;2;5012;07;08;718,841747505609
5494464;1;1;1;70;08;36;48;1; ;2;52;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;05;37;97;1;2;0510;07;08;604,994643952201
5494469;1;6;1;70;08;3;48;1; ;2;3;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;1;1200000;1200000;2; ;86;32;34;1;1;8691;07;08;647,236795501885
5494475;1;1;1;70;08;50;48;1; ;2;50;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908000;2; ;68;58;58;1;2;6820;07;08;517,576036248239
5494478;1;2;1;70;08;4;40;1; ;2;24;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;56;45;77;1;1;5619;07;08;664,1101023194
5494483;1;2;1;70;08;24;48;1; ;2;144;1; ;3;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;908000;2; ;56;53;53;1;2;5611;07;08;785,84651887453
5494491;1;2;1;70;08;36;48;1; ;2;52;1; ;4;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;2000000;2; ;47;02;45;1;2;4771;07;08;603,539539367861
