Directorio;Secuencia_p;Orden;Regis;P7430;P7440;P7450;P7450s1;P7460;P7470;P7472;P7472s1;P7490;P7490s1;Clase;Dpto;Area;Fex_c_2011
304203;2;4;80;1;1;7; ;2; ; ; ; ; ;1;18;18;65,5160679091793
304203;2;5;80;2; ; ; ; ; ; ; ; ; ;1;18;18;65,5160679091793
304203;2;6;80;2; ; ; ; ; ; ; ; ; ;1;18;18;65,5160679091793
304204;2;4;80;2; ; ; ; ; ; ; ; ; ;1;18;18;61,9119940997905
304205;2;2;80;2; ; ; ; ; ; ; ; ; ;1;18;18;61,9945534797038
304207;2;2;80;1;4;2; ;2; ; ; ; ; ;1;18;18;80,1557733111446
304207;2;3;80;1;4;4; ;2; ; ; ; ; ;1;18;18;80,1557733111446
304210;2;2;80;2; ; ; ; ; ; ; ; ; ;1;18;18;56,0716010448945
304212;2;1;80;1;4;6; ;2; ; ; ; ; ;1;18;18;63,6200503862071
304213;2;1;80;1;4;4; ;3; ; ; ; ; ;1;19;19;69,0669214447578
304213;2;3;80;1;2;7; ;2; ; ; ; ; ;1;19;19;69,0669214447578
304213;2;4;80;2; ; ; ; ; ; ; ; ; ;1;19;19;69,0669214447578
304213;2;5;80;1;3;1; ;2; ; ; ; ; ;1;19;19;69,0669214447578
304213;2;6;80;2; ; ; ; ; ; ; ; ; ;1;19;19;69,0669214447578
304214;2;2;80;2; ; ; ; ; ; ; ; ; ;1;19;19;87,800540904722
304215;2;1;80;2; ; ; ; ; ; ; ; ; ;1;20;20;40,4383446936603
304215;2;2;80;1;2;1; ;2; ; ; ; ; ;1;20;20;40,4383446936603
304217;2;1;80;2; ; ; ; ; ; ; ; ; ;1;20;20;275,027622783767
304217;2;2;80;2; ; ; ; ; ; ; ; ; ;1;20;20;275,027622783767
304219;2;1;80;1;1;2; ;2; ; ; ; ; ;1;20;20;287,588927890183
304219;2;5;80;2; ; ; ; ; ; ; ; ; ;1;20;20;287,588927890183
304219;2;6;80;2; ; ; ; ; ; ; ; ; ;1;20;20;287,588927890183
304221;2;5;80;1;1;2; ;2; ; ; ; ; ;1;20;20;350,399142790199
304223;2;2;80;2; ; ; ; ; ; ; ; ; ;1;20;20;132,976280413901
304223;2;4;80;2; ; ; ; ; ; ; ; ; ;1;20;20;132,976280413901
304223;2;5;80;2; ; ; ; ; ; ; ; ; ;1;20;20;132,976280413901
304224;2;2;80;2; ; ; ; ; ; ; ; ; ;1;20;20;136,719060558007
304224;2;3;80;2; ; ; ; ; ; ; ; ; ;1;20;20;136,719060558007
304225;2;2;80;2; ; ; ; ; ; ; ; ; ;1;20;20;136,719060558007
304226;2;1;80;2; ; ; ; ; ; ; ; ; ;1;20;20;154,654627611919
304227;2;2;80;2; ; ; ; ; ; ; ; ; ;1;20;20;137,096319969855
304227;2;3;80;2; ; ; ; ; ; ; ; ; ;1;20;20;137,096319969855
304227;2;4;80;2; ; ; ; ; ; ; ; ; ;1;20;20;137,096319969855
304228;2;2;80;2; ; ; ; ; ; ; ; ; ;1;20;20;139,804192695038
304228;2;4;80;2; ; ; ; ; ; ; ; ; ;1;20;20;139,804192695038
304228;2;5;80;2; ; ; ; ; ; ; ; ; ;1;20;20;139,804192695038
304229;2;2;80;2; ; ; ; ; ; ; ; ; ;1;20;20;142,767101140051
304229;2;3;80;2; ; ; ; ; ; ; ; ; ;1;20;20;142,767101140051
