Directorio;Secuencia_p;Orden;Regis;P6230;P6240;P6240s1;P6250;P6260;P6270;P6280;P6290;P6290s1;P6300;P6310;P6310s1;P6320;P6330;P6340;P6350;P6351;Clase;Dpto;Area;Fex_c_2011
304128;2;3;50;3;2; ;2;2;2;1;1; ; ; ; ; ; ; ; ;1;1;13;13;274,255822332884
304128;2;4;50;4;4; ;2;2;2;1;1; ; ; ; ; ; ; ; ;1;1;13;13;274,255822332884
304129;2;1;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;13;13;224,301580023525
304129;2;2;50;2;4; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;13;13;224,301580023525
304129;2;3;50;3;4; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;13;13;224,301580023525
304129;2;4;50;2;3; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;1;13;13;224,301580023525
304130;2;1;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;13;13;226,507758502399
304130;2;2;50;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;13;13;226,507758502399
304130;2;3;50;2;2; ;2;2;2;1;1; ; ; ; ; ; ; ; ;1;1;13;13;226,507758502399
304130;2;4;50;2;3; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;1;13;13;226,507758502399
304131;2;1;50;1;4; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;13;13;277,318392427647
304131;2;2;50;1;3; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;1;13;13;277,318392427647
304131;2;5;50;5;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;13;13;277,318392427647
304132;2;1;50;1;4; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;13;13;276,738343957722
304132;2;2;50;2;4; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;1;13;13;276,738343957722
304133;2;1;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;13;13;314,028479215424
304133;2;2;50;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;13;13;314,028479215424
304134;2;1;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;13;13;211,765442301556
304134;2;2;50;2;2; ;2;2;2;1;2; ; ; ; ; ; ; ; ;1;1;13;13;211,765442301556
304134;2;3;50;1;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;13;13;211,765442301556
304134;2;4;50;4;2; ;2;2;2;1;2; ; ; ; ; ; ; ; ;1;1;13;13;211,765442301556
304135;2;1;50;1;4; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;1;13;13;138,778581996166
304135;2;2;50;2;4; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;1;13;13;138,778581996166
304136;2;1;50;1;4; ;2;2;2;2; ; ;1;11; ; ; ; ; ; ;1;13;13;183,943978824114
304136;2;2;50;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;13;13;183,943978824114
304136;2;3;50;1;3; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;1;13;13;183,943978824114
304136;2;4;50;4;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;13;13;183,943978824114
304137;2;1;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;13;13;241,626563226905
304137;2;2;50;2;4; ;2;2;2;2; ; ;1;2; ;1;2; ; ; ;1;13;13;241,626563226905
304138;2;1;50;1;6;ACTIVIDADES RELIGIOSAS;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;13;13;262,161036001863
304138;2;2;50;2;4; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;13;13;262,161036001863
304138;2;3;50;2;3; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;1;13;13;262,161036001863
304139;2;1;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;13;13;353,773775006457
304139;2;2;50;2;4; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;1;13;13;353,773775006457
304139;2;3;50;2;4; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;13;13;353,773775006457
304139;2;5;50;5;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;13;13;353,773775006457
304140;2;1;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;13;13;298,909674490918
304140;2;2;50;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;13;13;298,909674490918
304140;2;3;50;1;3; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;1;13;13;298,909674490918
304140;2;4;50;1;3; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;1;13;13;298,909674490918
304142;2;1;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;13;13;248,438432814006
304142;2;2;50;2;4; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;13;13;248,438432814006
304142;2;3;50;3;3; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;1;13;13;248,438432814006
304142;2;4;50;4;4; ;2;2;2;1;2; ; ; ; ; ; ; ; ;1;1;13;13;248,438432814006
304144;2;1;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;13;13;316,206833742309
304144;2;2;50;2;4; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;1;13;13;316,206833742309
304147;2;1;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;15;15;57,5749354137821
304148;2;1;50;1;6;PENSIONADO;2;2;2;2; ; ;2; ; ; ; ; ; ; ;1;15;15;57,5749354137821
304150;2;1;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;15;15;64,4663344921197
304150;2;5;50;5;4; ;2;2;2;1;2; ; ; ; ; ; ; ; ;2;1;15;15;64,4663344921197
304151;2;1;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;15;15;366,039277937381
304151;2;2;50;2;3; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;1;15;15;366,039277937381
304152;2;1;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;15;15;316,633975978574
304153;2;1;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;15;15;320,138212487901
304153;2;2;50;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;15;15;320,138212487901
304154;2;1;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;17;17;170,897998971769
304154;2;2;50;2;4; ;2;2;2;2; ; ;1;2; ;2; ;2; ; ;1;17;17;170,897998971769
304155;2;1;50;1;4; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;1;17;17;181,998389172594
304155;2;2;50;2;4; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;1;17;17;181,998389172594
304155;2;3;50;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;17;17;181,998389172594
304156;2;1;50;1;6;PASEAR;2;2;2;2; ; ;2; ; ; ; ; ; ; ;1;17;17;160,287507242698
304157;2;1;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;17;17;236,054450671726
304157;2;2;50;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;17;17;236,054450671726
304157;2;3;50;1;3; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;1;17;17;236,054450671726
304158;2;1;50;1;6;PASEAR;2;2;2;2; ; ;2; ; ; ; ; ; ; ;1;17;17;160,287507242698
304159;2;1;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;17;17;217,007202993655
304159;2;2;50;2;4; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;1;17;17;217,007202993655
304159;2;3;50;3;4; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;17;17;217,007202993655
304159;2;4;50;4;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;17;17;217,007202993655
304160;2;1;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;17;17;152,353737223927
304160;2;2;50;1;3; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;1;17;17;152,353737223927
