DIRECTORIO;SECUENCIA_P;P5000;P5010;P5020;P5030;P5040;P5050;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5210S1;P5210S2;P5210S3;P5210S4;P5210S5;P5210S6;P5210S7;P5210S8;P5210S9;P5210S10;P5210S11;P5210S14;P5210S15;P5210S16;P5210S17;P5210S18;P5210S19;P5210S20;P5210S21;P5210S22;P5210S24;HOGAR;P4000;P4010;P4020;P4030S1;P4030S2;P4030S3;P4030S4;P4030S5;P4030S1A1;P4030S4A1;P4040;REGIS;CLASE;P5070;DPTO;ORDEN;fex_c_2011
581113;1;3;2;2;1;1;1;4;1;;;30000000;120000;;2;2;2;2;1;2;1;2;2;2;1;2;1;2;2;2;2;1;2;2;2;1;1;1;2;1;2;2;1;1;2;1;1;1;2;1;25;1;663.281.107.174.882
581114;1;3;2;2;1;5;1;4;3;;;;;150000;2;2;2;2;1;1;1;1;2;2;1;1;1;2;2;2;2;2;2;1;2;1;1;1;2;1;2;2;2;1;2;;1;1;2;1;25;1;524.989.878.854.226
581130;1;3;2;2;1;1;1;4;3;;;;;400000;2;2;2;2;1;1;1;2;2;2;1;1;1;2;2;2;2;2;2;2;2;1;2;1;4;1;2;2;1;1;2;2;1;1;2;1;25;1;544.818.989.955.996
581131;1;2;2;6;;4;6;5;4;;;;140000;;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;1;2;1;2;2;2;2;1;;;1;2;1;25;1;177.310.022.025.121
581132;1;5;3;2;1;4;6;4;1;;;10000000;200000;;2;2;2;2;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;1;2;1;2;2;2;2;2;;;1;2;1;25;1;230.170.344.605.371
581133;1;3;3;2;1;4;6;5;4;;;;200000;;2;2;2;2;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;1;2;1;2;2;2;2;9;;;1;2;1;25;1;207.687.720.509.711
581137;1;2;1;6;;3;1;5;1;;;2000000;50000;;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;5;1;1;2;2;2;1;1;;1;1;2;1;25;1;224.618.223.781.441
581138;1;2;2;6;;4;1;5;1;;;1000000;100000;;2;2;2;2;1;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;5;1;1;2;2;2;1;1;;2;1;2;1;25;1;296.746.329.029.018
581139;1;4;3;2;1;1;1;4;1;;;2000000;50000;;2;1;2;1;1;1;1;2;2;2;1;1;1;2;2;2;2;1;2;2;2;1;1;1;3;1;2;2;1;1;2;1;2;1;2;1;25;1;201.129.682.600.379
581140;1;2;2;6;;4;6;5;4;;;;50000;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;7;1;1;2;2;2;2;9;;;1;2;1;25;1;225.063.737.783.987
581141;1;4;2;6;;4;4;5;1;;;7000000;100000;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;5;3;2;2;2;2;2;;;;1;2;1;25;1;192.068.492.155.981
581142;1;4;3;6;;4;6;5;4;;;;50000;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;5;3;2;2;2;2;2;;;;1;2;1;25;1;216.897.235.715.327
581143;1;2;1;3;1;4;6;4;1;;;5000000;60000;;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;1;5;2;2;2;2;2;2;;;;1;2;1;25;1;230.100.602.258.807
581144;1;4;2;2;1;4;4;5;1;;;500000;20000;;2;2;2;2;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;4;2;1;2;2;2;2;2;;;1;2;1;25;1;134.072.505.975.436
581145;1;2;1;2;1;4;6;5;4;;;;30000;;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;5;1;1;2;2;2;2;1;;;1;2;1;25;1;164.931.396.661.321
581150;1;6;1;2;1;1;1;4;4;;;;300000;;1;2;2;2;1;1;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2;1;1;1;4;1;2;2;1;1;5;1;1;1;2;1;25;1;451.985.587.914.661
581151;1;2;1;2;1;1;1;4;4;;;;150000;;2;2;2;2;2;2;1;2;2;2;1;1;2;2;2;2;2;2;1;2;2;1;1;1;2;1;2;2;1;1;2;1;1;1;2;1;25;1;705.455.370.151.765
581152;1;3;3;2;1;1;1;4;4;;;;150000;;2;2;2;2;1;1;1;1;2;2;1;1;1;2;2;2;2;2;2;2;2;1;1;1;2;1;2;2;1;1;2;2;1;1;2;1;25;1;630.826.531.843.396
581153;1;2;1;2;1;4;1;4;3;;;;;30000;2;2;2;1;1;1;1;2;2;2;1;1;1;2;2;2;2;1;1;2;2;1;1;1;2;1;2;2;2;1;2;;2;1;2;1;25;1;500.774.605.170.558
581154;1;4;2;2;1;4;1;4;1;;;10000000;100000;;2;2;2;2;2;1;1;2;2;2;1;2;2;2;2;2;2;2;2;1;2;1;1;1;2;1;2;2;2;1;2;;2;1;2;1;25;1;548.308.497.282.331
581155;1;3;1;2;1;4;1;4;1;;;20000000;150000;;2;2;2;2;1;1;1;2;2;2;1;2;2;2;2;2;2;1;2;1;2;1;1;1;4;1;2;2;2;1;2;;1;1;2;1;25;1;427.260.554.797.103
581156;1;4;2;2;1;4;1;4;1;;;50000000;600000;;2;2;2;1;1;1;1;2;2;2;1;1;1;2;2;2;2;2;2;2;2;1;1;1;4;1;2;2;2;1;2;;1;1;2;1;25;1;364.928.125.607.735
581170;1;4;2;6;;4;4;5;1;;;4000000;100000;;2;2;2;2;2;2;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;4;1;1;2;2;2;2;2;;;1;2;1;25;1;167.016.139.077.377
581171;1;2;2;3;1;3;6;5;1;;;98;50000;;2;2;2;2;2;2;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;4;1;1;2;2;2;2;1;;;1;2;1;25;1;153.063.608.828.879
581176;1;3;2;6;;4;1;5;4;;;;50000;;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;8;1;1;2;2;2;1;1;;2;1;2;1;25;1;192.068.492.155.981
581177;1;1;1;6;;4;4;5;4;;;;40000;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;5;1;1;2;2;2;2;1;;;1;2;2;25;1;203.542.378.511.943
581178;1;3;2;3;1;1;1;4;2;;200000;18000000;100000;;2;2;2;2;1;1;1;2;2;2;1;2;2;2;2;2;2;1;2;2;2;1;1;5;2;1;2;2;1;1;2;1;2;1;2;1;25;1;170.413.775.138.687
581179;1;2;2;3;1;4;1;5;1;;;98;70000;;2;2;2;2;1;2;2;2;2;2;1;2;1;2;2;2;2;1;1;2;2;1;1;5;2;1;2;2;1;1;0;1;1;1;2;1;25;1;23.482.481.600.437
581180;1;4;2;3;1;4;6;5;4;;;;50000;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;5;3;2;2;2;2;2;;;;1;2;1;25;1;13.112.700.533.651
581181;1;3;1;6;;3;4;5;4;;;;50000;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;5;1;2;2;2;2;2;;;;1;2;1;25;1;159.449.018.183.956
581182;1;3;2;3;1;4;4;5;4;;;;100000;;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;2;2;2;2;2;;;1;2;1;25;1;215.888.152.731.238
581183;1;5;2;3;1;4;4;5;1;;;50000000;150000;;2;2;2;2;1;1;1;2;2;2;1;2;2;2;2;2;2;1;2;2;2;1;1;1;2;1;2;2;2;2;1;;;1;2;1;25;1;145.518.455.131.462
581184;1;2;2;2;1;4;5;5;1;;;2000000;200000;;2;2;2;2;1;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;1;2;1;2;2;2;2;2;;;1;2;1;25;1;213.679.228.388.308
581193;1;3;2;2;1;1;1;4;4;;;;120000;;2;2;2;2;2;1;1;2;2;2;1;2;2;2;2;2;2;1;2;2;2;1;1;1;2;1;2;2;1;1;5;2;1;1;2;1;25;1;499.720.380.067.606
581194;1;6;2;2;1;1;1;4;3;;;;;1000000;2;1;2;2;1;1;1;2;2;2;1;2;2;1;2;2;2;1;2;2;2;1;1;1;4;1;2;2;1;1;2;2;1;1;2;1;25;1;393.883.609.210.137
581195;1;3;2;2;1;4;1;4;1;;;20000000;100000;;2;2;2;2;1;1;1;2;2;2;1;1;1;2;2;2;2;2;2;2;2;1;1;1;2;1;2;2;2;1;2;;1;1;2;1;25;1;541.178.939.586.702
581196;1;1;1;2;2;4;1;5;4;;;;80000;;2;2;2;2;2;1;2;2;2;2;1;1;2;2;2;2;2;1;2;2;2;1;1;1;2;1;2;2;2;1;2;;2;1;2;1;25;1;293.393.654.454.491
581196;2;1;1;2;2;4;1;4;1;;;98;80000;;2;2;2;2;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;;;;;;;;;;;2;1;2;;25;1;293.393.654.454.491
581197;1;3;1;2;1;1;1;4;1;;;40000000;50000;;2;2;2;2;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;1;2;1;2;2;1;1;2;1;1;1;2;1;25;1;419.521.663.917.025
581198;1;2;2;2;1;4;1;4;3;;;;;300000;2;2;2;2;1;1;1;2;2;2;1;2;1;2;2;2;2;2;2;2;2;1;2;1;2;1;2;2;1;1;2;1;1;1;2;4;25;1;621.312.788.221.896
581199;1;2;1;2;1;4;1;4;1;;;70000000;200000;;2;2;2;2;1;1;1;2;2;2;1;2;1;2;2;2;2;2;2;2;2;1;2;1;2;1;2;2;2;1;2;;1;1;2;1;25;1;451.985.587.914.661
581211;1;2;2;6;;4;4;4;1;;;98;200000;;2;2;2;2;2;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;5;1;1;2;2;2;2;1;;;1;2;1;25;1;13.112.700.533.651
581212;1;3;2;3;1;4;2;5;5;;;;100000;;2;2;2;2;1;1;1;2;2;2;1;2;1;2;2;2;2;2;2;2;2;1;1;1;1;1;2;2;2;2;1;;;1;2;1;25;1;177.786.300.281.848
581213;1;3;3;3;1;4;2;5;1;;;98;45000;;2;2;2;2;1;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;3;1;1;2;2;2;2;2;;;1;2;1;25;1;235.130.845.313.788
581216;1;2;2;3;1;4;1;5;1;;;2000000;30000;;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;5;1;1;2;2;2;1;2;;2;1;2;1;25;1;160.630.729.722.299
581217;1;2;1;6;;4;1;5;4;;;;100000;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;5;1;2;2;2;2;1;;;1;1;2;1;25;1;18.450.137.126.256
581218;1;1;1;3;1;4;1;5;1;;;10000000;100000;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;5;1;1;2;2;2;1;2;;2;1;2;1;25;1;169.585.868.060.321
581219;1;3;3;2;1;1;1;5;2;;83300;5000000;50000;;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;1;1;4;1;1;2;2;1;1;1;1;2;1;2;1;25;1;218.302.556.772.928
581220;1;2;2;6;;4;1;5;5;;;;50000;;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;4;1;1;2;2;2;1;0;;1;1;2;1;25;1;187.923.150.158.213
581221;1;1;1;6;;4;1;5;5;;;;30000;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;4;1;1;2;2;2;1;0;;2;1;2;1;25;1;206.280.941.683.549
581222;1;2;1;6;;4;2;5;1;;;5000000;100000;;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;5;3;2;2;2;2;2;;;;1;2;1;25;1;230.100.602.258.807
581223;1;1;1;6;;3;4;5;4;;;;100000;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;8;1;2;2;2;2;2;;;;1;2;5;25;1;275.644.722.197.922
581224;1;3;1;6;;4;4;4;4;;;;50000;;2;2;2;2;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;3;2;1;2;2;2;2;1;;;1;2;1;25;1;230.100.602.258.807
581225;1;3;1;3;1;4;5;5;1;;;6000000;98;;2;1;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;4;2;1;2;2;2;2;2;;;1;2;1;25;1;153.063.608.828.879
581227;1;3;2;2;1;1;1;4;4;;;;250000;;2;2;2;2;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;1;2;1;2;2;1;1;3;3;1;1;2;1;25;1;500.774.605.170.558
581228;1;2;1;2;1;1;1;4;6;PAGAN 8000 PESOS AL MES;;;150000;;2;1;2;2;1;1;1;2;2;2;1;1;1;2;2;2;2;2;2;2;2;1;1;1;2;1;2;2;1;1;3;1;1;1;2;1;25;1;733.824.758.322.042
581229;1;4;2;2;1;1;1;4;3;;;;;100000;2;2;2;1;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;1;2;1;2;1;2;1;2;;1;1;2;1;25;1;548.308.497.282.331
581230;1;4;3;2;1;4;1;5;4;;;;150000;;2;2;2;2;1;2;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;1;4;1;2;2;2;1;2;;2;1;2;1;25;1;651.246.160.929.015
581231;1;2;2;2;1;4;1;4;1;;;98;98;;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;1;2;2;2;1;2;;2;1;2;1;25;1;53.561.841.041.064
581232;1;2;2;2;1;1;4;5;4;;;;250000;;2;2;2;2;1;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;1;2;1;2;2;1;2;9;1;;1;2;1;25;1;576.830.411.317.272
581233;1;2;1;1;1;4;1;4;3;;;;;200000;2;2;2;2;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;4;4;1;2;1;2;1;2;;1;1;2;1;25;1;487.030.293.195.915
581245;1;3;3;6;;4;6;4;1;;;6000000;150000;;2;2;2;2;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;2;2;2;2;2;;;1;2;1;25;1;185.353.421.175.269
