DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,P7495,P7500,P7500S1,P7500S2,P7500S3A1,P7500S2A1,P7500S1A1,P7500S3,P7505,P7510S3,P7510S6,P7510S2A1,P7510S6A1,P7510S5A1,P7510S3A1,P7510S1A1,P7510S5,P7510S1,P7510S2,P7510S7A1,P7510S7,clase,MES,DPTO,fex_c_2011
2666218,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,73,273.427.937.346.416
2666218,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,73,273.427.937.346.416
2666220,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,73,239.998.399.883.537
2666220,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,73,239.998.399.883.537
2666220,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,73,239.998.399.883.537
2666220,1,5,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,73,239.998.399.883.537
2666220,1,6,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,73,239.998.399.883.537
2666220,1,7,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,73,239.998.399.883.537
2666220,1,8,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,73,239.998.399.883.537
2666221,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,73,23.197.735.398.726
2666221,1,2,1,95,1,,1,2,,,200000,2,2,,,,,,,,,,,,,2,4,73,23.197.735.398.726
2666221,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,73,23.197.735.398.726
2666221,1,4,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,73,23.197.735.398.726
2666222,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,73,176.260.475.629.368
2666222,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,73,176.260.475.629.368
2666223,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,73,176.177.079.890.821
2666223,1,2,1,95,2,,,,,,,,1,2,2,,,,,440000,2,1,2,,2,2,4,73,176.177.079.890.821
2666224,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,73,175.598.202.373.487
2666224,1,2,1,95,2,,,,,,,,1,1,2,,,,900000,,2,2,2,,2,2,4,73,175.598.202.373.487
2666224,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,73,175.598.202.373.487
2666224,1,4,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,73,175.598.202.373.487
2666224,1,5,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,73,175.598.202.373.487
2666225,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,73,158.665.221.425.267
2666225,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,73,158.665.221.425.267
2666225,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,73,158.665.221.425.267
2666225,1,4,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,73,158.665.221.425.267
2666225,1,5,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,73,158.665.221.425.267
2666225,1,6,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,73,158.665.221.425.267
2666228,1,1,1,95,2,,,,,,,,1,2,2,,,,,480000,2,1,2,,2,2,4,73,889.774.750.702.048
2666228,1,2,1,95,2,,,,,,,,1,2,2,,,,,,2,2,2,3300000,1,2,4,73,889.774.750.702.048
2666229,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,73,135.999.012.539.436
2666229,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,73,135.999.012.539.436
2666229,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,73,135.999.012.539.436
2666230,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,73,120.388.595.712.251
2666230,1,2,1,95,2,,,,,,,,1,1,2,,,,600000,,2,2,2,,2,2,4,73,120.388.595.712.251
2666243,1,1,1,95,2,,,,,,,,1,1,2,,,,610000,1200000,2,1,2,,2,2,4,73,176.177.079.890.821
2666243,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,73,176.177.079.890.821
2666246,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,73,138.028.503.222.418
2666246,1,2,1,95,1,,2,1,,535600,,2,2,,,,,,,,,,,,,2,4,73,138.028.503.222.418
2666246,1,3,1,95,2,,,,,,,,1,1,2,,,,960000,400000,2,1,2,,2,2,4,73,138.028.503.222.418
2666246,1,4,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,73,138.028.503.222.418
2666248,1,1,1,95,2,,,,,,,,1,1,2,,,,660000,,2,2,2,,2,2,4,73,197.404.389.792.631
2666248,1,2,1,95,2,,,,,,,,1,1,2,,,,180000,3000000,2,1,2,,2,2,4,73,197.404.389.792.631
2666248,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,73,197.404.389.792.631
2666248,1,4,1,95,2,,,,,,,,1,1,2,,,,150000,240000,2,1,2,,2,2,4,73,197.404.389.792.631
2666249,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,73,242.120.029.060.184
2666249,1,2,1,95,2,,,,,,,,1,2,2,,,,,440000,2,1,2,,2,2,4,73,242.120.029.060.184
2666250,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,73,169.760.525.771.326
2666250,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,73,169.760.525.771.326
2666251,1,1,1,95,2,,,,,,,,1,1,2,,,,350000,,2,2,2,,2,2,4,73,256.431.349.022.802
2666252,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,73,227.783.056.206.411
2666252,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,73,227.783.056.206.411
2666252,1,3,1,95,2,,,,,,,,1,2,2,,,,,200000,2,1,2,,2,2,4,73,227.783.056.206.411
2666252,1,5,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,73,227.783.056.206.411
2666253,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,73,242.036.633.321.637
2666253,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,73,242.036.633.321.637
2666254,1,1,1,95,2,,,,,,,,1,1,2,,,,1200000,,2,2,2,,2,2,4,73,282.528.862.347.264
2666254,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,73,282.528.862.347.264
2666254,1,5,1,95,2,,,,,,,,1,1,2,,,,240000,,2,2,2,,2,2,4,73,282.528.862.347.264
2666254,1,6,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,73,282.528.862.347.264
2666254,1,7,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,73,282.528.862.347.264
2666255,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,73,269.280.611.506.768
2666255,1,2,1,95,2,,,,,,,,1,1,2,,,,90000,,2,2,2,,2,2,4,73,269.280.611.506.768
2666255,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,73,269.280.611.506.768
2666256,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,73,145.457.167.967.903
2666256,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,73,145.457.167.967.903
2666256,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,73,145.457.167.967.903
2666257,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,73,218.282.772.354.399
2666257,1,2,1,95,2,,,,,,,,1,1,2,,,,180000,,2,2,2,,2,2,4,73,218.282.772.354.399
2666257,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,73,218.282.772.354.399
2666272,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,73,169.677.130.032.778
2666272,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,73,169.677.130.032.778
2666273,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,73,167.664.151.253.287
2666273,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,73,167.664.151.253.287
2666274,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,73,197.046.861.286.054
2666274,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,4,73,197.046.861.286.054
