Directorio;Secuencia_p;Orden;Regis;P7250;P7260;P7280;P7280s1;P7290;P7300;P7310;P7320;P7350;P7350s1;P7360;P7370;P7380;P7380s1;P7390;P7390s1;P7400;P7410;P7410s1;P7420;P7420s1;P7420s2;P7420s3;P7420s4;P7420s5;P7420s6;P7420s7;P7420s8;P7420s7a1;P7422;P7422s1;P7424;P7424s1;Clase;Oficio1;Oficio2;Rama4d_d;Rama2d_d;DSI;Dpto;Fex_c_2011
424357;1;3;70;8;50;1; ;1;1;2;30;1; ;6;1; ;.;9;P;1; ;.; ;1; ; ; ; ; ; ; ; ;2; ;1;2000000;2;62;52;8531;85;1;25;1215,71179267377
424382;1;2;70;2;8;1; ;1;2;2;4;1; ;9;1; ;.;4; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;1;4338000;2;62;62;0112;01;1;25;3104,97191110411
424426;1;3;70;4;48;1; ;2;2;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;03; ; ; ;1;25;1788,31159419659
424966;1;1;70;12;48;8; ;1;1;2;24;8; ;3;2;5; ;1; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;1;400000;2;62;62;0121;01;1;20;1327,38860721546
424970;1;1;70;10;48;8; ;1;1;2;12;8; ;3;2;5; ;1; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;1;600000;2;62;62;0121;01;1;20;841,525530465091
424970;1;3;70;20;48;3; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;54; ; ; ;1;20;841,525530465091
424975;1;3;70;8;48;8; ;1;1;2;3;8; ;3;2;5; ;8; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;1;600000;2;62;62;0121;01;1;20;1215,61995892483
425041;1;3;70;20;10;1; ;1;1;2;96;4; ;1;2;6; ;8; ;2;5; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;00;64;0501;05;1;20;1181,81729139124
425041;1;4;70;4;70;1; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;55; ; ; ;1;20;1181,81729139124
425078;1;2;70;4;48;1; ;1;1;2;56;1; ;1;2;2; ;1; ;2;1; ; ; ; ; ; ; ;1; ; ; ;2; ;2; ;2;54;54;9500;95;1;20;1183,93200022497
425179;1;2;70;5;48;1; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;39; ; ; ;1;20;1327,73844383889
425310;1;1;70;2;30;8; ;1;1;2;2;8; ;3;2;7; ;4; ;2;2; ; ; ; ; ; ; ;1; ; ; ;1;90000;1;1500000;2;62;62;0121;01;1;23;1615,68398120908
425311;1;2;70;8;48;3; ;1;1;2;35;3; ;1;2;2; ;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;420000;2;54;54;9500;95;1;23;1195,97357234467
425313;1;2;70;4;24;3; ;1;1;2;12;4; ;1;2;7; ;6; ;2;2; ; ; ; ; ; ; ;1; ; ; ;2; ;1;50000;2;54;56;9301;93;1;23;1110,22165715578
425319;1;1;70;4;20;4; ;1;1;2;60;8; ;2;2;2; ;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;61;62;0121;01;1;23;1003,48202496796
425321;1;2;70;2;30;3; ;1;1;2;24;1; ;4;2;7; ;6; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;200000;2;54;53;5511;55;1;23;1097,56100653434
425322;1;2;70;4;36;3; ;1;1;2;104;1; ;4;2;7; ;6; ;2;2; ; ; ; ; ; ; ;1; ; ; ;2; ;2; ;2;54;55;5511;55;1;23;1260,73243905686
425327;1;3;70;12;20;3; ;2;1;2;12;3; ;2;2;2; ;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;100000;2;54;54;9500;95;1;23;988,77506834856
425506;1;2;70;2;40;8; ;1;1;2;2;8; ;3;2;2; ;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;1;125000;1;780000;2;62;62;0111;01;1;41;1351,25517494745
425737;1;5;70;3;48;1; ;2;2;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;45; ; ; ;1;41;941,286695693619
425745;2;2;70;1;10;8; ;2;2;2;12;8; ;3;2;2; ;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;1;300000;1;900000;2;62;62;0111;01;1;41;844,289410025871
