DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,P7495,P7500,P7500S1,P7500S2,P7500S3A1,P7500S2A1,P7500S1A1,P7500S3,P7505,P7510S3,P7510S6,P7510S2A1,P7510S6A1,P7510S5A1,P7510S3A1,P7510S1A1,P7510S5,P7510S1,P7510S2,P7510S7A1,P7510S7,FEX_C,CLASE,MES,DPTO,FEX_C_2011
2641922,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,221.926.791.599.457,2,3,63,201.060.791.583.818
2641923,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2.099.868.619.059,2,3,63,194.549.192.253.742
2641923,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,2.099.868.619.059,2,3,63,194.549.192.253.742
2641924,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,206.429.204.019.928,2,3,63,188.305.449.116.551
2641924,1,2,1,95,1,,2,1,,535600,,2,2,,,,,,,,,,,,,206.429.204.019.928,2,3,63,188.305.449.116.551
2641924,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,206.429.204.019.928,2,3,63,188.305.449.116.551
2641924,1,4,1,95,2,,,,,,,,2,,,,,,,,,,,,,206.429.204.019.928,2,3,63,188.305.449.116.551
2641924,1,5,1,95,2,,,,,,,,2,,,,,,,,,,,,,206.429.204.019.928,2,3,63,188.305.449.116.551
2641925,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,144.646.504.265.548,2,3,63,152.984.672.512.886
2641925,1,2,1,95,2,,,,,,,,1,1,2,,,,180000,,2,2,2,,2,144.646.504.265.548,2,3,63,152.984.672.512.886
2641925,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,144.646.504.265.548,2,3,63,152.984.672.512.886
2641926,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,132.706.574.571.992,2,3,63,146.473.073.182.809
2641926,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,132.706.574.571.992,2,3,63,146.473.073.182.809
2641927,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,139.218.483.084.172,2,3,63,1.444.299.350.758
2641927,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,139.218.483.084.172,2,3,63,1.444.299.350.758
2642685,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,903.048.623.883.457,2,3,18,985.913.472.339.375
2642685,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,903.048.623.883.457,2,3,18,985.913.472.339.375
2642686,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,970.455.851.429.782,2,3,18,998.185.679.998.861
2642686,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,970.455.851.429.782,2,3,18,998.185.679.998.861
2642686,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,970.455.851.429.782,2,3,18,998.185.679.998.861
2642687,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,992.256.215.656.998,2,3,18,103.456.401.800.748
2642687,1,2,1,95,2,,,,,,,,1,1,2,,,,180000,,2,2,2,,2,992.256.215.656.998,2,3,18,103.456.401.800.748
