Directorio;Secuencia_p;Orden;Hogar;Regis;Clase;P7430;P7440;P7450;P7450s1;P7460;P7470;P7472;P7472s1;P7454;P7456;P7458s1;P7458;P7452;Ini;Mes;Dpto;Fex_c_2011;Area
3246775;1;1;1;80;1;1;3;4; ;2; ;2; ; ; ; ;4;2;1;07;73;211,585457429922;73
3246775;1;3;1;80;1;1;1;3; ;2; ;2; ; ; ; ;8;2;1;07;73;211,585457429922;73
3246777;1;2;1;80;1;1;3;3; ;2; ;2; ; ; ; ;9;2;1;07;73;256,347546616809;73
3246781;1;1;1;80;1;1;4;5; ;3; ;2; ; ; ; ;8;2;1;07;73;252,459494569123;73
3246782;1;2;1;80;1;1;1;2; ;2; ;2; ; ; ; ;2;2;1;07;73;207,637720179187;73
3246784;1;1;1;80;1;1;4;4; ;3; ;2; ; ; ; ;4;2;1;07;73;238,943582977742;73
3246786;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;73;179,644727843431;73
3246786;1;3;1;80;1;2; ; ; ; ; ;2; ;2; ;.; ; ;1;07;73;179,644727843431;73
3246786;1;4;1;80;1;1;4;4; ;2; ;2; ; ; ; ;4;2;1;07;73;179,644727843431;73
3246787;1;1;1;80;1;1;1;2; ;2; ;1;160000; ; ; ;2;2;1;07;73;221,951649741032;73
3246788;1;1;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;73;249,398458385961;73
3246789;1;1;1;80;1;1;4;6; ;2; ;2; ; ; ; ;1;2;1;07;73;225,264520203832;73
3246791;1;1;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;66;320,068053517063;66
3246791;1;3;1;80;1;2; ; ; ; ; ;2; ;2; ;.; ; ;1;07;66;320,068053517063;66
3246791;1;4;1;80;1;2; ; ; ; ; ;2; ;2; ;.; ; ;1;07;66;320,068053517063;66
3246792;1;1;1;80;1;1;4;3; ;2; ;2; ; ; ; ;9;2;1;07;66;269,488146504056;66
3246793;1;4;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;66;411,716840335378;66
3246793;1;5;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;66;411,716840335378;66
3246794;1;1;1;80;1;1;4;5; ;3; ;2; ; ; ; ;10;2;1;07;66;296,595648216717;66
3246795;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;66;260,38206533325;66
3246795;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;66;260,38206533325;66
3246797;1;2;1;80;1;1;1;8; ;2; ;2; ; ; ; ;6;2;1;07;66;305,439001717945;66
3246798;1;2;1;80;1;1;2;3; ;2; ;2; ; ; ; ;9;2;1;07;66;381,237753053798;66
3246799;1;1;1;80;1;1;4;4; ;2; ;2; ; ; ; ;4;2;1;07;66;276,455486769799;66
3246799;1;2;1;80;1;1;4;3; ;2; ;2; ; ; ; ;9;2;1;07;66;276,455486769799;66
3246800;1;2;1;80;1;2; ; ; ; ; ;2; ;2; ;.; ; ;1;07;66;288,715923719178;66
3246801;1;2;1;80;1;1;1;7; ;2; ;2; ; ; ; ;1;2;1;07;66;216,51292708015;66
3246805;1;2;1;80;1;1;4;3; ;2; ;2; ; ; ; ;9;2;1;07;52;120,050066721007;52
3246806;1;1;1;80;1;1;3;4; ;2; ;2; ; ; ; ;4;2;1;07;52;692,832230177424;52
3246807;1;3;1;80;1;2; ; ; ; ; ;2; ;2; ;.; ; ;1;07;52;620,414959500324;52
3246809;1;1;1;80;1;1;4;7; ;3; ;2; ; ; ; ;8;2;1;07;52;120,050066721007;52
3246809;1;2;1;80;1;1;4;7; ;3; ;2; ; ; ; ;1;2;1;07;52;120,050066721007;52
3246810;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;52;155,103739875081;52
3246819;1;1;1;80;1;1;1;5; ;3; ;2; ; ; ; ;11;2;1;07;52;85,3454064938618;52
3246819;1;4;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;52;85,3454064938618;52
3246822;1;1;1;80;1;1;4;6; ;2; ;2; ; ; ; ;8;2;1;07;52;114,979757864256;52
3246823;1;1;1;80;1;1;1;5; ;3; ;2; ; ; ; ;11;2;1;07;52;120,050066721007;52
3246823;1;2;1;80;1;1;4;5; ;3; ;2; ; ; ; ;10;2;1;07;52;120,050066721007;52
3246824;1;2;1;80;1;1;4;3; ;2; ;2; ; ; ; ;9;2;1;07;52;120,050066721007;52
3246825;1;4;1;80;1;2; ; ; ; ; ;2; ;2; ;.; ; ;1;07;52;161,403037590416;52
3246828;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;52;166,121870235956;52
3246828;1;4;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;52;166,121870235956;52
3246829;1;1;1;80;1;1;4;3; ;2; ;2; ; ; ; ;9;2;1;07;52;251,744003833364;52
3246832;1;5;1;80;1;1;4;4; ;2; ;2; ; ; ; ;4;2;1;07;17;141,299402396557;17
3246834;1;2;1;80;1;2; ; ; ; ; ;2; ;2; ;.; ; ;1;07;17;133,347572723847;17
3246835;2;3;2;80;1;1;1;2; ;2; ;2; ; ; ;NO TIENE TARJETA MILITAR;12;2;1;07;17;374,213406292741;17
3246835;2;4;2;80;1;2; ; ; ; ; ;2; ;2; ;.; ; ;1;07;17;374,213406292741;17
3246837;1;4;1;80;1;1;2;2; ;2; ;2; ; ; ; ;2;2;1;07;17;248,002992071607;17
3246838;1;2;1;80;1;1;1;7; ;2; ;2; ; ; ; ;9;2;1;07;17;219,215314763525;17
3246838;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;17;219,215314763525;17
3246841;1;1;1;80;1;1;4;8; ;2; ;2; ; ; ; ;4;2;1;07;17;201,398409918614;17
3246842;1;2;1;80;1;1;4;4; ;2; ;2; ; ; ; ;4;2;1;07;17;197,009318140671;17
3246843;1;2;1;80;1;1;1;8; ;2; ;2; ; ; ; ;9;2;1;07;17;177,863164872192;17
3246845;1;1;1;80;1;1;2;5; ;3; ;2; ; ; ; ;10;2;1;07;17;193,645145710758;17
3246845;1;2;1;80;1;1;4;5; ;3; ;2; ; ; ; ;10;2;1;07;17;193,645145710758;17
3246845;1;4;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;17;193,645145710758;17
3246846;1;1;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;17;160,451137155335;17
3246847;1;1;1;80;1;1;3;3; ;2; ;2; ; ; ; ;9;2;1;07;17;154,111519922093;17
3246847;1;5;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;17;154,111519922093;17
3246847;1;6;1;80;1;2; ; ; ; ; ;2; ;2; ;.; ; ;1;07;17;154,111519922093;17
3246848;1;3;1;80;1;2; ; ; ; ; ;2; ;2; ;.; ; ;1;07;17;176,416676694677;17
3246850;1;1;1;80;1;1;2;6; ;2; ;2; ; ; ; ;9;2;1;07;17;172,099368545418;17
3246850;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;17;172,099368545418;17
3246850;1;3;1;80;1;2; ; ; ; ; ;2; ;2; ;.; ; ;1;07;17;172,099368545418;17
3246853;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;17;162,191172060819;17
3246853;1;4;1;80;1;2; ; ; ; ; ;2; ;2; ;.; ; ;1;07;17;162,191172060819;17
3246854;1;1;1;80;1;1;4;5; ;3; ;2; ; ; ; ;10;2;1;07;17;169,783512733465;17
3246854;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;17;169,783512733465;17
3246854;1;4;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;17;169,783512733465;17
3246855;1;1;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;17;174,709742858385;17
3246855;1;2;1;80;1;1;4;6; ;2; ;2; ; ; ; ;11;2;1;07;17;174,709742858385;17
3246856;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;17;205,433184023083;17
3246856;1;4;1;80;1;2; ; ; ;2; ;2; ;1;1; ;2; ;1;07;17;205,433184023083;17
3246859;1;1;1;80;1;1;1;8; ;2; ;2; ; ; ; ;11;2;1;07;17;160,451137155335;17
3246862;1;2;1;80;1;2; ; ; ;2; ;2; ;1;3; ;11; ;1;07;17;202,467945257088;17
3246862;1;4;1;80;1;1;1;9;CAMBIO DE RESIDENCIA;1;2;2; ; ; ;QUIERE DESCANSAR DE TRABAJAR UN TIEMPO;12;2;1;07;17;202,467945257088;17
3246864;1;2;1;80;1;2; ; ; ; ; ;2; ;2; ;.; ; ;1;07;17;182,180473021451;17
3246865;1;1;1;80;1;1;1;6; ;3; ;2; ; ;1; ;10;1;1;07;17;167,954968387593;17
3246865;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;17;167,954968387593;17
3246869;1;2;1;80;1;1;4;4; ;2; ;2; ; ; ; ;8;2;1;07;73;223,440497004688;73
3246870;1;3;1;80;1;2; ; ; ; ; ;2; ;2; ;.; ; ;1;07;73;267,349325224012;73
3246871;1;1;1;80;1;1;4;7; ;2; ;2; ; ; ; ;8;2;1;07;73;202,150514600798;73
3246871;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;73;202,150514600798;73
3246873;1;1;1;80;1;1;1;8; ;3; ;2; ; ; ; ;8;2;1;07;73;225,264520203832;73
3246874;1;1;1;80;1;1;4;5; ;3; ;2; ; ; ; ;10;2;1;07;73;225,264520203832;73
3246874;1;2;1;80;1;1;3;4; ;3; ;2; ; ; ; ;10;2;1;07;73;225,264520203832;73
3246877;1;1;1;80;1;1;4;8; ;3; ;2; ; ; ;QUIERE DISFRUTAR DE LA PENSION;12;2;1;07;73;225,264520203832;73
3246880;1;3;1;80;1;1;3;8; ;2; ;2; ; ; ; ;2;2;1;07;73;215,22167519797;73
3246882;1;3;1;80;1;1;1;6; ;2; ;2; ; ; ; ;9;2;1;07;73;371,855740047577;73
