DIRECTORIO;SECUENCIA_P;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5210S1;P5210S10;P5210S11;P5210S14;P5210S15;P5210S16;P5210S17;P5210S18;P5210S19;P5210S2;P5210S20;P5210S21;P5210S22;P5210S24;P5210S3;P5210S4;P5210S5;P5210S6;P5210S7;P5210S8;P5210S9;P5220;P5220S1;P6006;P6007;P6007S1;P6008;HOGAR;P4000;P4010;P4020;P4030S1;P4030S2;P4030S3;P4030S4;P4030S5;P4030S1A1;P4030S4A1;P4040;REGIS;clase;MES;DPTO;ORDEN;AREA;fex_c_2011
2259843;1;4;3;1;1;1;1;1;4;3; ; ; ; ;350000;1;1;1;1;1;1;2;2;2;1;2;1;2;2;2;2;1;1;1;2;2;1;1;2;2; ;4;1;2;1;4;1;1;1;1;1;3;2;1;01;1;04;17;1;17;159,838638079673
2259844;1;6;3;1;1;1;1;1;3;3; ; ; ; ;420000;1;2;1;1;2;1;1;2;2;1;2;2;2;2;2;1;1;1;1;1;2;1;3;2;2; ;3;1;1;1;3;1;1;1;1;1;3;2;1;01;1;04;17;1;17;190,327051428512
2259845;1;4;3;1;1;1;1;1;3;1; ; ;90000000;500000; ;1;1;1;1;1;1;1;2;2;1;1;2;2;2;1;1;1;1;1;1;1;1;3;2;2; ;4;1;1;1;4;1;1;1;1;1;3;2;1;01;1;04;17;1;17;164,827394789055
2259846;1;3;2;1;1;1;1;1;3;3; ; ; ; ;160000;1;2;1;2;1;2;2;2;2;1;2;2;2;2;2;1;1;1;1;2;2;1;1;2;2; ;3;1;2;1;2;1;1;1;1;1;2;2;1;01;1;04;17;1;17;159,898244102719
2259847;1;6;4;1;1;1;1;1;3;1; ; ;35000000;200000; ;1;1;1;1;1;2;2;2;2;1;2;2;2;2;2;1;1;1;1;2;2;1;5;2;2; ;7;1;1;1;2;1;1;1;1;1;2;2;1;01;1;04;17;1;17;173,138596562375
2259848;1;5;3;1;1;1;1;1;4;1; ; ;90000000;600000; ;1;1;1;1;2;1;2;2;2;1;2;2;1;2;1;1;1;1;1;1;2;1;4;2;2; ;4;1;2;1;6;1;2;1;1;1;3;2;1;01;1;04;17;1;17;106,637563644138
2259849;1;5;2;1;1;1;1;1;4;3; ; ; ; ;320000;2;2;1;2;2;2;2;2;2;1;2;2;2;2;2;1;1;1;1;2;2;1;2;2;2; ;2;1;1;1;6;1;2;1;1;1;3;2;1;01;1;04;17;1;17;158,611849777075
2259850;1;3;2;1;1;1;1;1;3;3; ; ; ; ;180000;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;1;2;2;2; ;4;1;2;1;2;1;1;1;1;1;2;2;1;01;1;04;17;1;17;172,326535734707
2259851;1;4;1;1;1;1;1;1;4;1; ; ;15000000;100000; ;2;2;1;1;2;2;2;2;1;2;2;2;2;2;2;2;1;1;1;2;2;1;1;2;2; ;2;1;1;1;4;1;1;1;1;1;1;2;2;01;1;04;18;1;18;67,8014414755759
2259852;1;2;1;1;1;1;1;1;4;1; ; ;8000000;50000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;1;1;2;2; ;2;1;2;1;2;1;2;1;1;1;1;2;2;01;1;04;18;1;18;67,8014414755759
2259853;1;3;2;1;1;1;1;1;4;4; ; ; ;250000; ;1;2;1;2;2;2;2;2;1;1;2;2;1;2;2;1;1;1;1;1;2;1;2;2;2; ;5;1;1;1;4;1;2;1;1;1;1;2;2;01;1;04;18;1;18;60,2436791696128
2259854;1;2;2;1;1;1;1;5;4;3; ; ; ; ;350000;2;2;1;2;2;2;2;2;1;2;2;1;2;2;2;2;1;1;1;2;2;1;2;2;2; ;2;1;2;1;2;1;2;1;1;1;1;2;1;01;1;04;18;1;18;58,8187272171779
2259855;1;4;3;1;1;1;1;1;4;3; ; ; ; ;250000;2;2;1;1;1;2;2;2;2;2;1;2;2;2;2;1;1;1;1;2;2;1;1;2;1;1;4;1;2;1;2;1;2;1;1;1;2;2;1;01;1;04;18;1;18;44,796441473463
2259856;1;4;3;1;1;1;1;1;4;1; ; ;28000000;250000; ;2;2;1;1;2;2;2;2;2;1;1;2;2;2;1;2;1;1;1;1;2;1;3;2;2; ;3;1;1;1;4;1;2;1;1;1;2;3;1;01;1;04;19;1;19;90,796424419267
2259857;1;3;1;1;1;1;1;5;4;1; ; ;99;200000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;1;2;2; ;3;1;1;1;4;1;2;1;1;1;2;3;1;01;1;04;19;1;19;106,473046770482
2259858;1;5;2;1;1;1;1;1;3;1; ; ;99;350000; ;2;2;1;2;2;2;2;2;2;1;2;2;2;2;2;1;1;1;1;2;2;1;1;2;2; ;3;1;2;1;4;1;1;1;1;1;2;3;1;01;1;04;19;1;19;102,364281681861
2259859;1;4;2;1;1;1;1;1;4;2; ;180000;25000000;250000; ;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;1;1;2;2; ;5;1;1;1;4;1;2;1;1;1;2;3;1;01;1;04;19;1;19;69,0959442498888
2259860;1;4;3;1;1;1;1;1;4;1; ; ;99;250000; ;1;2;1;1;1;2;2;2;2;1;2;1;2;2;2;1;1;1;1;1;2;1;1;2;2; ;4;1;2;1;4;1;2;1;1;1;2;3;1;01;1;04;19;1;19;101,948270136192
2259861;1;4;1;1;1;1;1;1;4;3; ; ; ; ;300000;2;2;1;1;2;2;2;2;2;1;2;2;2;2;2;2;1;1;1;1;2;1;1;2;1;1;2;1;2;1;4;1;2;1;1;1;2;3;1;01;1;04;19;1;19;80,8786470918789
2259862;1;2;1;1;1;1;1;1;4;3; ; ; ; ;200000;2;2;1;1;2;2;2;2;2;1;2;2;2;2;2;2;1;1;1;1;2;1;2;2;2; ;4;1;1;1;4;1;2;1;1;1;3;3;1;01;1;04;19;1;19;113,366042272636
2259863;1;2;2;1;1;1;1;1;4;3; ; ; ; ;280000;2;2;1;2;1;1;2;2;2;1;2;1;2;2;2;1;1;1;1;1;2;1;2;2;2; ;4;1;2;1;4;1;2;1;1;1;2;3;1;01;1;04;19;1;19;113,366042272636
2259864;1;4;3;1;1;1;1;1;4;1; ; ;50000000;150000; ;2;2;1;1;2;2;2;2;2;2;2;1;2;2;2;2;1;2;1;2;2;1;3;2;2; ;4;1;1;1;4;1;2;1;1;1;1;3;1;01;1;04;19;1;19;95,8267408330048
2259866;1;4;3;1;1;1;1;1;3;1; ; ;50000000;300000; ;1;2;1;1;1;2;2;2;1;1;2;1;2;2;2;1;1;1;1;2;2;1;5;2;2; ;7;1;1;1;4;1;1;1;1;1;2;3;1;01;1;04;23;1;23;145,355375310879
2259867;1;3;2;1;1;1;1;1;3;3; ; ; ; ;240000;2;2;1;2;2;2;2;2;1;1;2;2;2;2;2;1;1;1;1;2;2;1;1;2;2; ;1;1;1;1;2;1;1;1;1;1;2;3;1;01;1;04;23;1;23;134,773983489154
2259868;1;4;3;1;1;1;1;1;3;1; ; ;50000000;400000; ;1;2;1;1;1;2;2;2;1;1;2;2;2;2;2;1;1;1;1;2;2;1;2;2;2; ;2;1;2;1;4;1;1;1;1;1;2;3;1;01;1;04;23;1;23;123,093460257256
2259869;1;3;2;1;1;1;1;1;3;3; ; ; ; ;300000;1;2;1;1;1;2;2;2;1;1;1;1;2;2;2;1;1;1;1;2;2;1;2;2;2; ;2;1;1;1;4;1;1;1;1;1;2;3;1;01;1;04;23;1;23;134,272200600284
2259870;1;3;2;1;1;1;1;1;3;3; ; ; ; ;250000;2;2;1;1;2;2;2;1;1;1;2;1;2;2;2;1;1;1;1;2;2;1;2;2;2; ;2;1;1;1;4;1;1;1;1;1;2;3;1;01;1;04;23;1;23;134,169865840893
