DIRECTORIO;SECUENCIA_P;ORDEN;REGIS;P7250;P7260;P7280;P7280S1;P7290;P7300;P7310;P7320;P7350;P7350S1;P7360;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S8;P7420S7A1;P7422;P7422S1;P7424;P7424S1;CLASE;OFICIO1;OFICIO2;RAMA4D_D;RAMA2D_D;DSI;DPTO;AREA;fex_c_2011
525840;1;4;70;20;72;1; ;1;1;2;20;1; ;9;5; ; ; ; ; ; ; ; ; ;1; ;2; ;1;3469600;1;58;44;6421;64;1;08;08;383,931882842615
525878;1;1;70;96;48;1; ;2;2;2;36;1; ;8;1; ; ;1; ; ; ; ; ; ; ; ;2; ;2; ;1;05;05;8511;85;1;08;08;437,123901546937
525883;1;4;70;8;48;1; ;2;2;2;8;1; ;9;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;90;90;2529;25;1;08;08;396,853900016261
525888;1;3;70;48;48;1; ;2;2;2;142;1; ;6;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;59;32;8060;80;1;08;08;470,774953913889
525891;1;4;70;2;48;1; ;1;1;2;2;1; ;9;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;45;45;5211;52;1;08;08;475,887225714555
525896;1;2;70;24;48;1; ;2;2;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;02; ; ; ;1;08;08;491,040288439581
525897;1;5;70;12;48;1; ;2;2;2;12;1; ;3;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;45;45;5233;52;1;08;08;524,87252523955
525921;1;2;70;8;48;3; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;54; ; ; ;1;08;08;459,894949931513
525921;1;4;70;8;48;1; ;1;1;2;5;1; ;6;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;84;84;1551;15;1;08;08;459,894949931513
525925;1;2;70;3;48;1; ;1;1;2;12;4; ;6;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;95;81;3611;36;1;08;08;441,212704616811
525939;2;2;70;8;48;1; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;58; ; ; ;1;08;08;526,053009102347
525945;1;3;70;48;48;1; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;13; ; ; ;1;08;08;416,856108743904
525948;1;3;70;8;48;1; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;62; ; ; ;1;08;08;403,577063649326
525949;1;1;70;48;48;1; ;1;1;2;48;1; ;9;7; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;03;03;6421;64;1;08;08;472,291179064368
525952;1;5;70;48;48;1; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;37; ; ; ;1;08;08;543,178497602622
525961;1;3;70;52;48;1; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;58; ; ; ;1;08;08;299,632315585947
525972;1;2;70;4;48;1; ;2;2;2;6;1; ;9;9;COTIZANTE; ;1; ; ; ; ; ; ; ; ;2; ;1;6000000;1;39;44;7530;75;1;08;08;520,602537736659
525976;1;3;70;24;48;1; ;2;1;2;48;1; ;3;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;32;32;8512;85;1;08;08;533,831240445913
525977;1;2;70;12;48;1; ;1;1;2;12;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;1000000;1;32;45;5233;52;1;08;08;502,896490007184
525979;2;2;70;8;48;1; ;1;1;2;80;1; ;5;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;33;33;2421;24;1;08;08;532,455668064502
525986;1;2;70;224;48;1; ;2;2;2;224;1; ;2;9;ES COTIZANTE DEL REGIMEN CONTRIBUTIVO; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;32;21;6421;64;1;08;08;452,116718587947
525990;1;2;70;18;48;1; ;1;1;2;20;3; ;1;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;45;54;9500;95;1;08;08;513,957678422577
525996;1;3;70;112;48;1; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;97; ; ; ;1;08;08;574,501789991696
525996;1;4;70;100;48;1; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;97; ; ; ;1;08;08;574,501789991696
526001;1;3;70;12;48;1; ;1;1;2;20;1; ;9;4; ; ; ; ; ; ; ; ; ;1; ;2; ;1;1200000;1;45;45;5211;52;1;08;08;479,965195938592
526007;1;2;70;16;48;1; ;1;1;2;18;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;2000000;1;34;34;8511;85;1;08;08;525,472449873147
526010;1;5;70;48;48;3; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;54; ; ; ;1;08;08;577,010734402591
526014;1;3;70;72;48;1; ;1;1;2;74;1; ;8;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;58;58;8511;85;1;08;08;511,978723345008
526017;1;4;70;48;48;1; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;97; ; ; ;1;08;08;512,435764442747
526020;1;4;70;48;48;1; ;2;2;2;240;1; ;8;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;03;03;2424;24;1;08;08;488,30992311351
526026;1;2;70;12;48;1; ;1;1;2;14;1; ;9;4; ; ; ; ; ; ; ; ; ;1; ;2; ;1;1800000;1;39;39;5125;51;1;08;08;519,422053873862
526037;1;5;70;52;48;1; ;2;2;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;55; ; ; ;1;08;08;536,530407736529
526038;1;2;70;52;48;1; ;2;2;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;55; ; ; ;1;08;08;474,706741851758
526040;1;2;70;52;48;1; ;2;2;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;55; ; ; ;1;08;08;530,185852765776
526040;1;3;70;52;48;1; ;2;2;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;55; ; ; ;1;08;08;530,185852765776
526046;1;2;70;52;48;1; ;2;2;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;55; ; ; ;1;08;08;464,972378897581
526050;1;3;70;52;49;1; ;2;2;2;52;1; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;03;03;3699;36;1;08;08;433,367609212734
526051;1;3;70;52;48;1; ;1;1;2;52;4; ;3;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;55;55;7020;70;1;08;08;537,128101603337
526052;1;3;70;52;50;1; ;2;2;2;156;3; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;55;54;9500;95;1;08;08;529,946723653608
526055;1;3;70;16;60;1; ;2;2;2;16;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;2500000;1;16;16;7430;74;1;11;11;2371,03678911206
526055;1;4;70;32;60;1; ;1;1;2;48;4; ;9;8; ; ; ; ; ; ; ; ; ;1; ;1;500000;1;1500000;1;13;30;8532;85;1;11;11;2371,03678911206
526073;1;1;70;24;48;1; ;2;2;2;24;1; ;4;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;1000000;1;79;79;1810;18;1;11;11;2919,93318168594
526073;1;4;70;4;48;1; ;1;1;2;4;1; ;4;9;ESTUDIO SOCIO ECONOMICO DEL SISBEN; ; ; ; ; ; ; ; ;1; ;1;300000;1;98;1;79;79;1810;18;1;11;11;2919,93318168594
526083;1;3;70;8;48;1; ;1;1;2;8;1; ;9;4; ; ; ; ; ; ; ; ; ;1; ;2; ;1;2000000;1;34;39;7491;74;1;11;11;2729,62236528575
526085;3;3;70;12;20;1; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;45; ; ; ;1;11;11;2701,3922081014
526101;1;1;70;12;40;1; ;1;1;2;18;4; ;1;1; ; ; ; ; ; ; ; ;1; ;DE LA PENSION POR  SUSTITUCION;2; ;2; ;1;95;45;5155;51;1;11;11;2426,1793977999
526108;1;2;70;4;48;1; ;2;2;2;4;1; ;3;1; ; ;1; ; ; ; ; ; ; ; ;2; ;1;15600000;1;16;21;5141;51;1;11;11;1516,403759942
526130;1;2;70;4;24;1; ;2;2;2;884;1; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;21;32;6512;65;1;11;11;2864,39827737461
526139;1;2;70;104;60;4; ;2;2;2;104;2; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;05;05;8050;80;1;11;11;5767,68189998006
526144;1;1;70;16;48;1; ;1;2;2;20;2; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;19;19;7513;75;1;11;11;7748,09127930565
526158;1;2;70;2;70;4; ;1;1;2;96;4; ;1;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;41;41;5211;52;1;11;11;5814,88019340968
526163;1;2;70;50;50;1; ;1;1;2;52;5; ;3;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;53;41;5127;51;1;11;11;2317,01682563555
526167;1;6;70;50;48;1; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;45; ; ; ;1;11;11;2637,46933853833
526174;1;2;70;8;48;1; ;1;1;2;8;1; ;9;7; ; ; ; ; ; ; ; ; ;1; ;2; ;1;3500000;1;00;74;2429;24;1;11;11;2900,38876223623
526174;1;3;70;3;48;1; ;2;2;2;5;1; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;1;800000;1;45;45;1921;19;1;11;11;2900,38876223623
526186;1;2;70;16;48;1; ;1;1;2;16;1; ;5;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;1600000;1;53;53;5530;55;1;11;11;2907,44009670484
526187;1;2;70;52;48;1; ;1;1;2;260;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;79;55;6512;65;1;11;11;2645,1225854997
526206;1;2;70;12;70;1; ;1;1;2;12;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;3500000;1;57;57;9309;93;1;11;11;3381,56694302925
526219;1;2;70;16;48;1; ;1;1;2;32;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;1301100;1;38;81;3612;36;1;11;11;2669,83840615249
526224;1;5;70;150;48;1; ;1;1;2;25;1; ;9;2; ; ; ; ; ; ; ;1; ; ; ;2; ;1;2500000;1;59;59;8511;85;1;13;13;267,084958232249
526231;1;2;70;52;24;1; ;1;1;2;200;2; ;7;1; ; ;1; ; ; ; ;1; ; ; ;2; ;2; ;1;05;05;1594;15;1;13;13;458,067526976263
526234;1;3;70;26;48;1; ;2;1;2;60;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;33;32;5241;52;1;13;13;259,000308509177
