Directorio;Secuencia_p;Orden;Area;Regis;P7430;P7440;P7450;P7450s1;P7460;P7470;P7472;P7472s1;P7490;P7490s1;Ini;Dpto;Fex_c_2011
396116;1;1;05;80;1;4;4; ;3; ; ; ; ; ;1;05;654,791196020181
396116;1;2;05;80;1;4;3; ;1;1;2; ;2; ;1;05;654,791196020181
396119;1;3;05;80;2; ; ; ; ; ; ; ; ; ;1;05;705,859587812388
396119;1;4;05;80;2; ; ; ; ; ; ; ; ; ;1;05;705,859587812388
396126;1;2;05;80;2; ; ; ; ; ; ; ; ; ;1;05;690,652430059395
396134;1;3;05;80;2; ; ; ; ; ; ; ; ; ;1;05;893,599836066376
396136;1;3;05;80;2; ; ; ; ; ; ; ; ; ;1;05;654,272619573417
396139;1;2;05;80;1;4;2; ;2; ; ; ; ; ;1;05;929,979646552354
396141;1;2;05;80;1;4;2; ;2; ; ; ; ; ;1;05;747,740798178349
396141;1;3;05;80;2; ; ; ; ; ; ; ; ; ;1;05;747,740798178349
396153;1;2;05;80;2; ; ; ; ; ; ; ; ; ;1;05;901,410068654981
396158;1;1;05;80;1;4;2; ;2; ; ; ; ; ;1;05;743,408386520249
396159;1;1;05;80;1;4;2; ;2; ; ; ; ; ;1;05;685,599574963064
396159;1;2;05;80;2; ; ; ; ; ; ; ; ; ;1;05;685,599574963064
396170;1;3;05;80;2; ; ; ; ; ; ; ; ; ;1;05;767,654435477899
396174;1;1;05;80;2; ; ; ; ; ; ; ; ; ;1;05;921,116608444543
396174;1;2;05;80;1;4;4; ;3; ; ; ; ; ;1;05;921,116608444543
396180;1;1;05;80;1;4;2; ;3; ; ; ; ; ;1;05;693,846902289696
396181;1;1;05;80;1;4;4; ;3; ; ; ; ; ;1;05;775,453958223438
396181;1;2;05;80;1;4;2; ;2; ; ; ; ; ;1;05;775,453958223438
396181;1;3;05;80;1;2;7; ;2; ; ; ; ; ;1;05;775,453958223438
396183;1;1;05;80;1;4;4; ;3; ; ; ; ; ;1;05;1055,25816911392
396183;1;2;05;80;1;4;2; ;2; ; ; ; ; ;1;05;1055,25816911392
396187;1;3;05;80;2; ; ; ; ; ; ; ; ; ;1;05;973,680334849568
396196;1;2;05;80;1;2;8;TERMINACION DEL PROYETO;2; ; ; ; ; ;1;05;806,710141747415
396198;1;1;05;80;2; ; ; ; ; ; ; ; ; ;1;05;889,397383132288
396199;1;1;05;80;1;4;2; ;2; ; ; ; ; ;1;05;648,855155924638
396203;1;3;05;80;2; ; ; ; ; ; ; ; ; ;1;05;524,375749077911
396209;1;1;05;80;1;4;2; ;2; ; ; ; ; ;1;05;654,791196020181
396209;1;2;05;80;2; ; ; ; ; ; ; ; ; ;1;05;654,791196020181
396212;1;2;05;80;1;4;2; ;2; ; ; ; ; ;1;05;854,584061309321
396216;1;2;05;80;1;4;2; ;2; ; ; ; ; ;1;05;1061,12853712775
396219;1;1;05;80;2; ; ; ; ; ; ; ; ; ;1;05;693,846902289696
396220;1;1;05;80;1;4;2; ;2; ; ; ; ; ;1;05;693,846902289696
396222;1;2;05;80;2; ; ; ; ; ; ; ; ; ;1;05;644,344999160499
396223;1;2;05;80;2; ; ; ; ; ; ; ; ; ;1;05;857,767823696557
396223;1;3;05;80;1;2;1; ;2; ; ; ; ; ;1;05;857,767823696557
396227;1;1;05;80;1;3;3; ;3; ; ; ; ; ;1;05;692,766716838564
396227;1;2;05;80;1;4;2; ;2; ; ; ; ; ;1;05;692,766716838564
396237;1;3;05;80;2; ; ; ; ; ; ; ; ; ;1;05;684,967194093025
396237;1;4;05;80;2; ; ; ; ; ; ; ; ; ;1;05;684,967194093025
396240;1;2;05;80;2; ; ; ; ; ; ; ; ; ;1;05;731,82242310808
396242;1;1;05;80;1;4;4; ;3; ; ; ; ; ;1;05;579,022234865393
396242;1;3;05;80;1;2;7; ;2; ; ; ; ; ;1;05;579,022234865393
396242;1;4;05;80;2; ; ; ; ; ; ; ; ; ;1;05;579,022234865393
396242;1;5;05;80;2; ; ; ; ; ; ; ; ; ;1;05;579,022234865393
396242;1;6;05;80;2; ; ; ; ; ; ; ; ; ;1;05;579,022234865393
396245;1;3;05;80;2; ; ; ; ; ; ; ; ; ;1;05;813,961866376795
396248;1;2;05;80;2; ; ; ; ; ; ; ; ; ;1;05;607,965188674521
396248;1;3;05;80;2; ; ; ; ; ; ; ; ; ;1;05;607,965188674521
396252;1;4;05;80;2; ; ; ; ; ; ; ; ; ;1;05;423,757254056355
396255;1;1;05;80;1;4;5; ;2; ; ; ; ; ;1;05;693,846902289696
396256;1;1;05;80;1;4;3; ;3; ; ; ; ; ;1;05;767,654435477899
396260;1;3;05;80;2; ; ; ; ; ; ; ; ; ;1;05;603,512272956771
396262;1;1;05;80;2; ; ; ; ; ; ; ; ; ;1;05;693,846902289696
396264;1;2;05;80;2; ; ; ; ; ; ; ; ; ;1;05;745,771711934188
396264;1;3;05;80;2; ; ; ; ; ; ; ; ; ;1;05;745,771711934188
396267;1;4;05;80;2; ; ; ; ; ; ; ; ; ;1;05;754,467012098486
396273;1;1;05;80;1;3;2; ;2; ; ; ; ; ;1;05;731,234693479461
396273;1;3;05;80;2; ; ; ; ; ; ; ; ; ;1;05;731,234693479461
396276;1;3;05;80;2; ; ; ; ; ; ; ; ; ;1;05;644,65304433606
396276;1;5;05;80;2; ; ; ; ; ; ; ; ; ;1;05;644,65304433606
396280;1;1;05;80;1;1;6; ;2; ; ; ; ; ;1;05;767,654435477899
396280;1;2;05;80;1;1;2; ;1;1;2; ;1;1100000;1;05;767,654435477899
396280;1;3;05;80;2; ; ; ; ; ; ; ; ; ;1;05;767,654435477899
396282;1;1;05;80;2; ; ; ; ; ; ; ; ; ;1;05;778,100632337581
