DIRECTORIO;AREA;SECUENCIA_P;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5210S1;P5210S2;P5210S3;P5210S4;P5210S5;P5210S6;P5210S7;P5210S8;P5210S9;P5210S10;P5210S11;P5210S14;P5210S15;P5210S16;P5210S17;P5210S18;P5210S19;P5210S20;P5210S21;P5210S22;P5210S24;HOGAR;P4000;P4010;P4020;P4030S1;P4030S2;P4030S3;P4030S4;P4030S5;P4030S1A1;P4030S4A1;P4040;REGIS;DPTO;ORDEN;fex_c_2011
502707;05;1;4;3;1;1;1;1;1;4;3; ; ; ; ;230000;1;1;1;1;1;1;2;2;2;2;1;2;1;1;2;2;2;2;1;2;2;1;2;1;4;1;1;1;1;1;3;2;1;01;05;1;353,051561951406
502708;05;1;5;3;1;1;1;1;1;4;3; ; ; ; ;160000;1;2;2;2;1;1;2;2;2;2;1;1;1;2;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;2;2;1;01;05;1;539,282775549442
502709;05;1;1;1;1;1;1;1;1;4;3; ; ; ; ;150000;1;2;2;2;1;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;1;2;1;2;1;1;1;2;2;1;01;05;1;1075,7273619166
502710;05;1;2;1;1;1;1;1;3;4;3; ; ; ; ;120000;1;2;2;1;1;1;2;2;2;2;1;2;1;2;2;2;2;2;2;2;2;1;2;1;2;1;2;1;1;1;2;2;1;01;05;1;875,200724314679
502711;05;1;5;2;1;1;1;1;1;3;1; ; ;25000000;180000; ;1;1;2;1;1;1;1;2;1;2;1;1;1;2;2;2;2;1;2;2;2;1;2;1;4;1;1;1;1;1;2;2;1;01;05;1;739,499986628866
502712;05;1;6;5;1;1;1;1;1;4;3; ; ; ; ;200000;1;1;2;1;1;1;2;2;1;2;1;1;1;2;2;2;2;2;2;2;2;1;2;1;4;1;1;1;1;1;3;2;1;01;05;1;963,202169569759
502713;05;1;4;3;1;1;1;1;1;3;3; ; ; ; ;200000;1;2;2;2;1;1;1;2;2;1;1;2;2;2;2;2;2;1;2;2;2;1;2;1;4;1;1;1;1;1;3;2;1;01;05;1;549,556231364612
502714;05;1;4;3;1;1;1;1;1;3;1; ; ;80000000;250000; ;1;1;2;1;1;1;1;2;1;1;1;2;2;2;2;2;2;2;2;2;2;1;2;1;4;1;1;1;1;1;3;2;1;01;05;1;497,644264842287
502715;05;1;5;4;1;1;1;1;1;4;3; ; ; ; ;260000;1;2;2;2;1;1;2;2;2;2;1;1;2;2;2;2;2;1;2;2;2;1;2;1;4;1;2;1;1;1;3;2;1;01;05;1;742,912230759247
502716;05;1;4;3;1;1;1;1;1;4;3; ; ; ; ;280000;1;1;2;1;1;1;2;2;1;1;1;1;1;1;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;3;2;1;01;05;1;665,647922856776
502717;05;1;4;2;1;1;1;1;1;4;3; ; ; ; ;280000;1;1;2;2;1;1;2;2;2;1;1;2;1;2;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;3;2;1;01;05;1;734,021133064249
502719;05;1;4;3;1;1;1;1;1;3;3; ; ; ; ;260000;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;4;1;1;1;1;1;2;2;1;01;05;1;640,61551113361
502720;05;1;4;1;1;1;1;1;1;3;1; ; ;52000000;250000; ;1;1;2;1;1;1;1;2;2;1;1;2;1;2;2;1;2;2;2;2;2;1;2;1;4;1;1;1;1;1;2;2;1;01;05;1;885,663591774118
502721;05;1;4;2;1;1;1;1;1;1;1; ; ;65000000;400000; ;1;1;1;1;1;1;1;2;2;1;1;1;1;1;2;2;1;1;2;1;2;1;2;1;4;1;2;1;1;1;2;2;1;01;05;1;640,61551113361
502723;05;1;4;3;1;1;1;1;1;1;3; ; ; ; ;150000;1;1;2;2;1;1;1;1;2;2;1;2;1;2;2;2;2;2;2;2;2;1;2;1;2;1;2;1;1;1;2;2;1;01;05;1;927,475747409832
502724;05;1;3;1;1;1;1;1;1;1;3; ; ; ; ;180000;1;1;2;1;1;1;2;2;1;2;1;2;1;2;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;3;2;1;01;05;1;766,687017596852
502725;05;1;4;2;1;1;1;1;1;1;3; ; ; ; ;160000;1;1;2;2;1;1;2;2;1;2;1;1;1;2;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;3;2;1;01;05;1;497,476935308854
502726;05;1;4;3;1;1;1;1;3;4;3; ; ; ; ;150000;1;1;2;1;1;1;1;1;1;2;1;1;1;2;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;2;2;1;01;05;1;408,22697070529
502727;05;1;2;2;1;1;1;1;1;1;3; ; ; ; ;100000;1;2;2;1;1;1;2;2;1;2;1;1;2;2;2;2;2;2;2;2;2;1;2;1;2;1;2;1;1;1;1;2;1;01;05;1;1484,67566632333
502728;05;1;1;1;3;1;1;1;1;1;3; ; ; ; ;60000;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;1;2;1;2;2;1;1;1;2;1;01;05;1;1548,38621297063
502729;05;1;3;2;1;1;1;1;1;1;1; ; ;15000000;100000; ;1;1;2;2;1;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;1;2;1;2;1;1;1;1;2;1;01;05;1;1556,29667796057
502730;05;1;2;2;3;1;1;1;1;4;3; ; ; ; ;100000;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;1;2;1;2;2;1;1;1;2;1;01;05;1;1702,29296248492
502731;05;1;6;4;1;1;1;1;1;4;1; ; ;33000000;200000; ;1;1;2;1;1;1;2;2;2;2;1;1;1;2;2;2;2;1;2;2;2;1;1;1;2;1;2;1;1;1;2;2;1;01;05;1;641,058680286573
502732;05;1;4;3;1;1;1;1;1;4;3; ; ; ; ;250000;1;1;2;2;1;2;1;2;2;2;1;1;2;1;2;2;2;2;2;2;2;1;2;1;2;1;2;1;1;1;2;2;1;01;05;1;470,791069049591
502733;05;1;4;3;1;1;1;1;1;3;3; ; ; ; ;150000;1;1;2;2;1;1;2;2;2;2;1;2;1;2;2;2;2;2;2;2;2;1;2;1;4;1;1;1;1;1;2;2;1;01;05;1;473,33925454032
502734;05;1;3;2;1;1;1;1;1;4;3; ; ; ; ;200000;1;1;2;1;1;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;3;2;1;01;05;1;950,498514165731
502735;05;1;4;3;1;1;1;1;1;3;1; ; ;70000000;350000; ;1;1;2;1;1;1;1;2;2;2;1;2;1;2;2;2;2;2;2;2;2;1;2;1;4;1;1;1;1;1;3;2;1;01;05;1;837,269558752867
502736;05;1;4;1;1;1;1;1;1;3;1; ; ;70000000;400000; ;1;1;2;1;1;1;1;1;1;1;1;2;1;2;2;2;2;2;2;1;2;1;2;1;4;1;1;1;1;1;3;2;1;01;05;1;945,84675493188
502737;05;1;1;1;1;1;1;1;1;1;1; ; ;1500000;150000; ;2;2;2;2;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;4;2;1;01;05;1;897,452721910629
502739;05;1;4;1;1;1;1;1;1;1;1; ; ;80000000;700000; ;1;1;2;1;1;1;1;2;1;1;1;1;2;2;2;2;2;1;2;1;2;1;2;1;4;1;2;1;1;1;4;2;1;01;05;1;645,91996074505
502740;05;1;5;3;1;1;1;1;1;1;2; ;306000;30000000;400000; ;2;2;2;2;1;1;1;1;1;2;1;1;1;2;2;2;1;2;1;2;2;1;1;1;4;1;2;1;1;1;3;2;1;01;05;1;827,270911290891
502741;05;1;3;2;1;1;1;1;1;1;1; ; ;15000000;150000; ;1;2;2;2;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;1;4;1;2;1;1;1;2;2;1;01;05;1;527,386555720746
502742;05;1;4;2;1;1;1;1;1;4;3; ; ; ; ;120000;1;2;2;1;1;2;1;2;2;2;1;2;1;2;2;2;2;1;2;2;2;1;2;1;2;1;2;1;1;1;1;2;1;01;05;1;1052,1137026211
502744;05;1;4;2;1;1;1;1;1;4;1; ; ;15000000;120000; ;1;1;2;1;1;1;1;2;2;1;1;1;1;2;2;2;2;1;1;2;2;1;2;1;2;1;2;1;1;1;1;2;1;01;05;1;1604,76815325851
502745;05;1;3;1;1;1;1;1;1;4;1; ; ;15000000;120000; ;1;2;2;2;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;1;2;1;01;05;1;1775,2140429701
502747;05;1;2;1;1;1;1;1;1;1;1; ; ;10000000;90000; ;2;2;2;2;1;2;1;2;2;2;1;2;2;2;2;2;2;1;2;2;2;1;2;1;4;1;2;1;1;1;1;2;1;01;05;1;1807,14637807075
502748;05;1;4;3;1;1;1;1;1;1;3; ; ; ; ;150000;1;1;2;2;1;1;1;2;2;2;1;1;1;2;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;2;2;1;01;05;1;737,282059436691
502749;05;1;4;3;1;1;1;1;1;1;3; ; ; ; ;150000;1;1;2;1;1;1;1;1;1;2;1;1;1;2;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;2;2;1;01;05;1;514,987173823331
502750;05;1;3;2;1;1;1;1;1;4;1; ; ;3000000;190000; ;1;1;1;2;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;2;2;1;01;05;1;553,409069769043
502751;05;1;4;3;1;1;1;1;1;1;3; ; ; ; ;160000;1;1;2;1;1;1;1;1;2;2;1;1;1;2;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;2;2;1;01;05;1;601,681585050873
502752;05;1;4;2;1;1;1;1;1;4;3; ; ; ; ;320000;1;1;1;1;1;2;1;2;2;2;1;1;2;1;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;3;2;1;01;05;1;932,56103472854
502753;05;1;4;3;1;1;1;1;1;4;1; ; ;70000000;350000; ;1;1;2;1;1;1;1;1;1;1;1;2;1;1;2;2;2;1;2;2;2;1;2;1;4;1;2;1;1;1;3;2;1;01;05;1;620,792177651385
502754;05;1;4;2;1;1;1;1;1;4;3; ; ; ; ;240000;1;1;1;1;1;1;1;1;2;1;1;1;1;1;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;3;2;1;01;05;1;666,638025181907
502755;05;1;5;3;1;1;1;1;1;4;1; ; ;60000000;300000; ;1;1;2;2;1;1;1;2;2;2;1;2;1;2;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;3;2;1;01;05;1;744,75866777686
502756;05;1;5;3;1;1;1;1;1;3;1; ; ;35000000;200000; ;1;1;2;2;1;1;1;2;2;1;1;2;2;2;2;2;2;2;2;2;2;1;1;1;4;1;1;1;1;1;2;2;1;01;05;1;586,536157171421
502758;05;1;4;2;1;1;1;1;1;3;1; ; ;25000000;200000; ;1;1;2;2;1;1;1;2;2;2;1;2;2;1;2;2;2;1;2;2;2;1;2;1;2;1;1;1;1;1;2;2;1;01;05;1;667,08119433487
502759;05;1;3;2;1;1;1;1;1;3;4; ; ; ;120000; ;1;1;2;2;1;2;1;2;2;2;1;2;2;2;2;2;2;1;2;2;2;1;1;1;2;1;1;1;1;1;2;2;1;01;05;1;597,525927723798
502760;05;1;4;2;1;1;1;1;1;3;1; ; ;50000000;200000; ;1;2;2;2;1;1;1;1;2;2;1;2;1;2;2;2;2;2;2;2;2;1;2;1;2;1;1;1;1;1;2;2;1;01;05;1;946,247485468157
502761;05;1;4;2;1;1;1;1;1;3;1; ; ;25000000;150000; ;1;2;2;2;1;1;1;2;2;2;1;2;1;2;2;2;2;1;2;2;2;1;2;1;4;1;1;1;1;1;2;2;1;01;05;1;718,2929845756
502762;05;1;3;3;1;1;1;1;1;1;1; ; ;15000000;80000; ;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;1;2;1;1;1;1;2;1;01;05;1;1477,61034758922
502763;05;1;4;2;1;1;1;1;1;1;1; ; ;15000000;100000; ;1;2;2;1;1;1;1;2;2;2;1;1;1;2;2;2;2;2;2;2;2;1;2;1;2;1;2;1;1;1;1;2;1;01;05;1;1935,264380617
502765;05;1;4;3;1;1;1;1;1;4;3; ; ; ; ;350000;1;1;1;1;1;1;1;1;2;2;1;2;1;1;2;2;2;2;2;1;2;1;2;1;4;1;2;1;1;1;3;2;1;01;05;1;621,504918533098
502766;05;1;3;2;1;1;1;1;1;4;1; ; ;40000000;350000; ;1;1;2;1;1;1;1;1;2;1;1;1;1;2;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;3;2;1;01;05;1;645,91996074505
502767;05;1;4;3;1;1;1;1;1;3;1; ; ;35000000;200000; ;1;1;1;1;1;1;1;1;1;2;1;1;1;1;2;2;2;2;2;2;2;1;2;1;4;1;1;1;1;1;3;2;1;01;05;1;686,680520956864
502768;05;1;3;3;1;1;1;1;1;1;3; ; ; ; ;130000;1;2;2;2;2;1;1;2;2;2;1;1;2;2;2;2;2;2;2;2;2;1;2;1;2;1;2;1;1;1;1;2;1;01;05;1;876,57858335838
502769;05;1;3;3;1;1;1;1;1;1;3; ; ; ; ;85000;2;2;2;2;1;1;1;2;2;2;1;1;2;2;2;2;2;1;2;2;2;1;2;1;2;1;2;1;1;1;1;2;1;01;05;1;1339,52452805481
502771;05;1;4;2;1;1;1;1;1;1;3; ; ; ; ;170000;1;1;2;2;1;1;2;2;2;2;1;2;1;2;2;2;2;2;2;2;2;1;2;1;2;1;2;1;1;1;2;2;1;01;05;1;718,2929845756
502772;05;1;4;3;1;1;1;1;1;3;1; ; ;40000000;170000; ;1;1;2;1;1;1;1;1;2;2;1;2;1;2;2;2;2;2;2;2;2;1;2;1;4;1;1;1;1;1;2;2;1;01;05;1;451,979906326067
502773;05;1;4;3;1;1;1;1;1;3;2; ;150000;28000000;150000; ;1;1;2;1;1;1;1;1;2;2;1;2;1;2;2;2;2;2;2;2;2;1;2;1;2;1;1;1;1;1;2;2;1;01;05;1;545,775596959606
502774;05;1;4;3;1;1;1;1;1;1;4; ; ; ;60000; ;1;1;2;2;1;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;1;2;1;2;1;1;1;2;2;1;01;05;1;645,91996074505
502775;05;1;6;5;1;1;1;1;1;3;1; ; ;40000000;250000; ;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;1;1;1;4;1;1;1;1;1;2;2;1;01;05;1;857,987623189724
502776;05;1;3;2;1;1;1;1;1;4;3; ; ; ; ;300000;1;1;2;1;1;1;1;2;1;2;1;1;1;2;2;2;2;1;1;2;2;1;2;1;4;1;2;1;1;1;3;2;1;01;05;1;605,064029162737
502777;05;1;4;3;1;1;1;1;1;1;1; ; ;150000000;350000; ;1;2;2;2;1;1;1;2;2;2;1;2;1;2;2;2;2;2;2;2;2;1;1;1;4;1;2;1;1;1;3;2;1;01;05;1;938,709384029219
