DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P7495;P7500;P7500S1;P7500S2;P7500S3A1;P7500S2A1;P7500S1A1;P7500S3;P7505;P7510S3;P7510S6;P7510S2A1;P7510S6A1;P7510S5A1;P7510S3A1;P7510S1A1;P7510S5;P7510S1;P7510S2;P7510S7A1;P7510S7;AREA;DPTO;fex_c_2011
1097547;1;3;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;05;917,679081986029
1097548;1;1;1;95;2; ; ; ; ; ; ; ;1;2;1; ;70000; ; ; ;2;2;2; ;2;05;05;1253,9141957399
1097548;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;05;1253,9141957399
1097548;1;5;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;05;1253,9141957399
1097548;1;6;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;05;1253,9141957399
1097549;1;1;1;95;2; ; ; ; ; ; ; ;1;2;2; ; ; ; ;180000;2;1;2; ;2;05;05;918,872089170962
1097549;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;05;918,872089170962
1097549;1;3;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;05;918,872089170962
1097552;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;05;1025,47172775035
1097552;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;05;1025,47172775035
1097552;1;3;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;05;1025,47172775035
1097553;1;1;1;95;1; ;1;2; ; ;370000;2;1;2;1; ;150000; ; ; ;2;2;2; ;2;05;05;1150,39491209898
1097553;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;05;1150,39491209898
1097554;1;1;1;95;1; ;2;1; ;496900; ;2;2; ; ; ; ; ; ; ; ; ; ; ; ;05;05;1241,47419120898
1097554;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;05;1241,47419120898
1097554;1;3;1;95;2; ; ; ; ; ; ; ;1;2;2; ; ; ; ; ;2;2;2;400000;1;05;05;1241,47419120898
1097554;1;4;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;05;1241,47419120898
1097554;1;6;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;05;1241,47419120898
1097555;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;05;1143,89660804321
1097555;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;05;1143,89660804321
1097555;1;3;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;05;1143,89660804321
1097556;1;1;1;95;1; ;1;2; ; ;150000;2;2; ; ; ; ; ; ; ; ; ; ; ; ;05;05;843,691345475262
1097558;1;1;1;95;2; ; ; ; ; ; ; ;1;2;1; ;1200000; ; ; ;2;2;2; ;2;05;05;944,995209983078
1097558;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;05;944,995209983078
1097558;1;3;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;05;944,995209983078
1097558;1;4;1;95;2; ; ; ; ; ; ; ;1;2;1; ;74000; ; ; ;2;2;2; ;2;05;05;944,995209983078
1097559;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;05;582,668629359009
1097559;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;05;582,668629359009
1097559;1;3;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;05;582,668629359009
1097559;1;4;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;05;582,668629359009
1097559;1;5;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;05;582,668629359009
1097560;1;1;1;95;2; ; ; ; ; ; ; ;1;2;2; ; ; ; ;3000000;2;1;2; ;2;05;05;826,157684813834
1097560;1;2;1;95;2; ; ; ; ; ; ; ;1;2;2; ; ; ; ;100000;2;1;2; ;2;05;05;826,157684813834
1097560;1;3;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;05;826,157684813834
1097560;1;4;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;05;826,157684813834
1097560;1;5;1;95;2; ; ; ; ; ; ; ;1;2;2; ; ; ; ;800000;2;1;2; ;2;05;05;826,157684813834
1097561;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;05;1191,28880351768
1097562;1;1;1;95;2; ; ; ; ; ; ; ;1;2;1; ;58000; ; ; ;2;2;2; ;2;05;05;1096,37755015994
1097562;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;05;1096,37755015994
1097562;1;3;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;05;1096,37755015994
1097563;1;1;1;95;2; ; ; ; ; ; ; ;1;2;1; ;130000; ; ; ;2;2;2; ;2;05;05;1219,86564920988
1097563;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;05;1219,86564920988
1097563;1;3;1;95;2; ; ; ; ; ; ; ;1;2;1; ;50000; ; ; ;2;2;2; ;2;05;05;1219,86564920988
1097563;1;4;1;95;2; ; ; ; ; ; ; ;1;2;1; ;55000; ; ; ;2;2;2; ;2;05;05;1219,86564920988
1097564;1;1;1;95;2; ; ; ; ; ; ; ;1;1;2; ; ; ;340000; ;2;2;2; ;2;05;05;1026,90681304904
1097565;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;05;1150,39491209898
1097565;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;05;1150,39491209898
1097566;1;1;1;95;2; ; ; ; ; ; ; ;1;2;1; ;85000; ; ; ;2;2;2; ;2;05;05;1150,39491209898
1097566;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;05;1150,39491209898
1097567;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;05;1047,69506104103
1097567;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;05;1047,69506104103
1097567;1;3;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;05;1047,69506104103
1097568;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;05;935,385415876843
1097568;1;2;1;95;1; ;1;1; ;430000;100000;2;2; ; ; ; ; ; ; ; ; ; ; ; ;05;05;935,385415876843
1097568;1;3;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;05;935,385415876843
1097569;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;05;1140,99772292069
1097569;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;05;1140,99772292069
1097569;1;3;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;05;1140,99772292069
1097570;1;1;1;95;2; ; ; ; ; ; ; ;1;2;1; ;50000; ; ; ;2;2;2;200000;1;05;05;1113,43951680988
1097570;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;05;1113,43951680988
1097570;1;3;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;05;1113,43951680988
1097570;1;4;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;05;1113,43951680988
1097572;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;05;1096,37755015994
1097572;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;05;1096,37755015994
1097572;1;3;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;05;1096,37755015994
1097573;1;1;1;95;2; ; ; ; ; ; ; ;1;2;1; ;60000; ; ; ;2;2;2;1000000;1;05;05;857,951713462195
1097573;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;05;857,951713462195
1097573;1;3;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;05;857,951713462195
1097573;1;5;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;05;857,951713462195
1097574;1;1;1;95;2; ; ; ; ; ; ; ;1;2;1; ;120000; ; ; ;2;2;2; ;2;05;05;993,677699101991
1097574;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;05;993,677699101991
1097574;1;3;1;95;2; ; ; ; ; ; ; ;1;2;1; ;40000; ; ; ;2;2;2; ;2;05;05;993,677699101991
1097574;1;4;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;05;993,677699101991
1097575;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;05;876,717480057108
1097575;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;05;876,717480057108
1097577;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;05;1010,73966575193
1097577;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;05;1010,73966575193
1097577;1;3;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;05;1010,73966575193
1097577;1;4;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;05;1010,73966575193
1097577;1;5;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;05;1010,73966575193
1097578;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;05;1156,92279210404
1097580;1;1;1;95;1; ;2;1; ;98; ;2;2; ; ; ; ; ; ; ; ; ; ; ; ;05;05;1202,18889126836
1097580;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;05;1202,18889126836
1097580;1;3;1;95;2; ; ; ; ; ; ; ;1;2;1; ;75000; ; ; ;2;2;2; ;2;05;05;1202,18889126836
1097580;1;4;1;95;2; ; ; ; ; ; ; ;1;2;1; ;114000; ; ; ;2;2;2; ;2;05;05;1202,18889126836
1097581;1;1;1;95;1; ;2;1; ;1150000; ;2;2; ; ; ; ; ; ; ; ; ; ; ; ;05;05;1267,38470709315
1097581;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;05;1267,38470709315
1097581;1;3;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;05;1267,38470709315
1097581;1;4;1;95;2; ; ; ; ; ; ; ;1;2;1; ;115000; ; ; ;2;2;2; ;2;05;05;1267,38470709315
1097582;1;1;1;95;2; ; ; ; ; ; ; ;1;2;2; ; ; ; ;240000;2;1;2; ;2;05;05;991,657295697536
1097582;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;05;991,657295697536
1097582;1;3;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;05;991,657295697536
1097583;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;05;1237,16969397358
1097583;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;05;1237,16969397358
1097583;1;3;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;05;1237,16969397358
1097584;1;1;1;95;2; ; ; ; ; ; ; ;1;2;1; ;270000; ; ; ;2;2;2; ;2;05;05;1013,60897492517
1097584;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;05;1013,60897492517
1097584;1;3;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;05;1013,60897492517
1097584;1;5;1;95;2; ; ; ; ; ; ; ;1;2;2; ; ; ; ;450000;2;1;2; ;2;05;05;1013,60897492517
1097584;1;6;1;95;2; ; ; ; ; ; ; ;1;1;2; ; ; ;540000; ;2;2;2; ;2;05;05;1013,60897492517
1097586;1;1;1;95;2; ; ; ; ; ; ; ;1;2;1; ;120000;6000000; ; ;1;2;2; ;2;05;05;1243,69757397864
1097586;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;05;1243,69757397864
1097587;1;1;1;95;2; ; ; ; ; ; ; ;1;2;2; ; ; ; ;6000000;2;1;2; ;2;05;05;1043,96877969898
1097587;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;05;1043,96877969898
1097588;1;1;1;95;1; ;1;1; ;380000;210000;2;2; ; ; ; ; ; ; ; ; ; ; ; ;05;05;1214,97593663219
1097588;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;05;1214,97593663219
1097588;1;3;1;95;2; ; ; ; ; ; ; ;1;2;1; ;98; ; ; ;2;2;2; ;2;05;05;1214,97593663219
1097589;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;05;1295,49155314802
1097589;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;05;1295,49155314802
1097589;1;3;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;05;1295,49155314802
1097589;1;5;1;95;2; ; ; ; ; ; ; ;1;1;2; ; ; ;600000; ;2;2;2; ;2;05;05;1295,49155314802
1097590;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;05;811,897316826902
1097590;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;05;811,897316826902
1097591;1;1;1;95;1; ;2;1; ;580000; ;2;2; ; ; ; ; ; ; ; ; ; ; ; ;05;05;989,402777815881
1097591;1;2;1;95;2; ; ; ; ; ; ; ;1;2;1; ;360000; ; ; ;2;2;2; ;2;05;05;989,402777815881
1097592;1;1;1;95;2; ; ; ; ; ; ; ;1;2;1; ;99; ; ; ;2;2;2;700000;1;05;05;1120,2094749287
1097593;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;05;1128,1715788083
1097593;1;2;1;95;2; ; ; ; ; ; ; ;1;2;1; ;96000; ; ; ;2;2;2;1000000;1;05;05;1128,1715788083
1097594;1;1;1;95;2; ; ; ; ; ; ; ;1;2;2; ; ; ; ;9600000;2;1;2; ;2;05;05;863,661720046991
1097594;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;05;863,661720046991
1097594;1;3;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;05;863,661720046991
1097594;1;4;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;05;863,661720046991
1097595;1;1;1;95;2; ; ; ; ; ; ; ;1;2;1; ;252000; ; ; ;2;2;2; ;2;05;05;1156,92279210404
1097596;1;1;1;95;2; ; ; ; ; ; ; ;1;2;2; ; ; ; ;9850000;2;1;2; ;2;05;05;828,034990938196
1097596;1;2;1;95;2; ; ; ; ; ; ; ;1;2;2; ; ; ; ;20600000;2;1;2; ;2;05;05;828,034990938196
1097597;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;05;1150,39491209898
1097597;1;2;1;95;2; ; ; ; ; ; ; ;1;2;1; ;84000; ; ; ;2;2;2; ;2;05;05;1150,39491209898
1097599;1;1;1;95;2; ; ; ; ; ; ; ;1;2;1; ;2120000; ; ; ;2;2;2; ;2;05;05;1025,47172775035
1097599;1;2;1;95;2; ; ; ; ; ; ; ;1;2;1; ;20000; ; ; ;2;2;2; ;2;05;05;1025,47172775035
1097599;1;3;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;05;1025,47172775035
1097600;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;05;993,677699101991
1097600;1;2;1;95;2; ; ; ; ; ; ; ;1;2;1; ;370000; ; ; ;2;2;2; ;2;05;05;993,677699101991
1097600;1;3;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;05;993,677699101991
1097600;1;4;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;05;993,677699101991
1097601;1;1;1;95;2; ; ; ; ; ; ; ;1;2;1; ;3800000; ; ; ;2;2;2; ;2;05;05;1074,15421686926
1097601;1;2;1;95;2; ; ; ; ; ; ; ;1;2;1; ;360000; ; ; ;2;2;2; ;2;05;05;1074,15421686926
1097601;1;3;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;05;1074,15421686926
1097602;1;1;1;95;2; ; ; ; ; ; ; ;1;2;1; ;50000; ; ; ;2;2;2; ;2;05;05;1150,39491209898
1097602;1;2;1;95;2; ; ; ; ; ; ; ;1;2;1; ;600000; ; ; ;2;2;2; ;2;05;05;1150,39491209898
1097603;1;1;1;95;2; ; ; ; ; ; ; ;1;2;1; ;120000; ; ; ;2;2;2; ;2;05;05;1128,1715788083
1097603;1;2;1;95;2; ; ; ; ; ; ; ;1;2;1; ;65000; ; ; ;2;2;2; ;2;05;05;1128,1715788083
1097604;1;1;1;95;1; ;2;1; ;433000; ;2;2; ; ; ; ; ; ; ; ; ; ; ; ;05;05;976,376593755057
1097604;1;2;1;95;2; ; ; ; ; ; ; ;1;2;2;1000000; ; ; ; ;2;2;1; ;2;05;05;976,376593755057
1097604;1;3;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;05;976,376593755057
1097604;1;4;1;95;1; ;1;1; ;433000;200000;2;2; ; ; ; ; ; ; ; ; ; ; ; ;05;05;976,376593755057
1097605;1;1;1;95;2; ; ; ; ; ; ; ;1;2;1; ;954000; ; ; ;2;2;2; ;2;05;05;1128,1715788083
1097605;1;2;1;95;2; ; ; ; ; ; ; ;1;2;2; ; ; ; ; ;2;2;2;900000;1;05;05;1128,1715788083
1097606;1;1;1;95;1; ;2;1; ;100000; ;2;2; ; ; ; ; ; ; ; ; ; ; ; ;05;05;1143,89660804321
1097606;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;05;1143,89660804321
1097606;1;3;1;95;2; ; ; ; ; ; ; ;1;2;1; ;57000; ; ; ;2;2;2;350000;1;05;05;1143,89660804321
1097608;1;1;1;95;1; ;2;1; ;1573000; ;2;2; ; ; ; ; ; ; ; ; ; ; ; ;05;05;952,689460640541
1097608;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;05;952,689460640541
1097609;1;1;1;95;1; ;2;1; ;800000; ;2;2; ; ; ; ; ; ; ; ; ; ; ; ;05;05;865,91467876594
1097610;1;1;1;95;2; ; ; ; ; ; ; ;1;2;1; ;230000; ; ; ;2;2;2; ;2;05;05;1150,39491209898
1097610;1;2;1;95;2; ; ; ; ; ; ; ;1;2;1; ;1300000; ; ; ;2;2;2; ;2;05;05;1150,39491209898
1097611;1;1;1;95;2; ; ; ; ; ; ; ;1;2;2; ; ; ; ;72000000;2;1;2; ;2;05;05;857,133840041933
1097611;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;05;857,133840041933
1097611;1;3;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;05;857,133840041933
1097611;1;4;1;95;2; ; ; ; ; ; ; ;1;2;1; ;76800; ; ; ;2;2;2; ;2;05;05;857,133840041933
1097611;1;5;1;95;2; ; ; ; ; ; ; ;1;2;1; ;400000; ; ; ;2;2;2;890000;1;05;05;857,133840041933
1097612;1;1;1;95;2; ; ; ; ; ; ; ;1;2;1; ;680000; ; ; ;2;2;2;1400000;1;05;05;1025,47172775035
1097612;1;2;1;95;2; ; ; ; ; ; ; ;1;2;1; ;500000; ; ; ;2;2;2;1400000;1;05;05;1025,47172775035
1097612;1;3;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;05;1025,47172775035
1097613;1;1;1;95;1; ;1;2; ; ;220000;2;1;2;1; ;105000; ; ; ;2;2;2; ;2;05;05;1128,1715788083
1097613;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;05;1128,1715788083
1097614;1;1;1;95;1; ;1;1; ;496900;300000;2;2; ; ; ; ; ; ; ; ; ; ; ; ;05;05;1084,13966357009
1097614;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;05;1084,13966357009
1097614;1;3;1;95;2; ; ; ; ; ; ; ;1;2;1; ;320000; ; ; ;2;2;2; ;2;05;05;1084,13966357009
1097614;1;4;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;05;1084,13966357009
1097615;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;05;1096,37755015994
