directorio;secuencia_p;orden;p6020;p6040;mes;area;fex_c_2011
30688;1;4;1;6;04;23;71,0214923391986
30688;1;5;2;4;04;23;71,0214923391986
30689;1;1;2;43;04;08;802,6023625581
30689;1;2;1;67;04;08;802,6023625581
30689;1;3;1;23;04;08;802,6023625581
30689;1;4;2;16;04;08;802,6023625581
30689;1;5;2;8;04;08;802,6023625581
30689;1;6;2;50;04;08;802,6023625581
30692;1;1;2;44;04;52;181,880888870542
30692;1;2;1;28;04;52;181,880888870542
30692;1;3;2;35;04;52;181,880888870542
30696;1;1;2;42;04;08;203,091771817726
30696;1;2;1;16;04;08;203,091771817726
30696;1;3;2;14;04;08;203,091771817726
30696;1;4;1;12;04;08;203,091771817726
30696;1;5;2;65;04;08;203,091771817726
30696;1;6;1;27;04;08;203,091771817726
30697;1;1;2;22;04;76;448,553859858561
30697;1;2;2;19;04;76;448,553859858561
30698;1;1;1;77;04;13;226,904638046363
30698;1;2;2;57;04;13;226,904638046363
30698;1;3;2;80;04;13;226,904638046363
30699;1;1;2;33;04;52;402,080089445631
30699;1;2;2;11;04;52;402,080089445631
30699;1;3;1;4;04;52;402,080089445631
30705;1;1;2;46;04;17;182,914350876234
30705;1;2;1;17;04;17;182,914350876234
30705;1;3;1;14;04;17;182,914350876234
30706;1;1;2;48;04;08;1227,30029221873
30706;1;2;2;24;04;08;1227,30029221873
30706;1;3;1;12;04;08;1227,30029221873
30706;1;4;1;11;04;08;1227,30029221873
30707;1;1;2;59;04;73;377,808847770086
30707;1;2;2;22;04;73;377,808847770086
30707;1;3;2;19;04;73;377,808847770086
30710;1;1;1;42;04;08;817,764173493154
30710;1;2;2;40;04;08;817,764173493154
30710;1;3;2;12;04;08;817,764173493154
30710;1;4;1;4;04;08;817,764173493154
30712;1;1;1;70;04;05;1239,46416169567
30712;1;2;1;66;04;05;1239,46416169567
30712;1;3;1;33;04;05;1239,46416169567
30712;1;4;2;36;04;05;1239,46416169567
30713;1;1;1;78;04;23;92,3964851813912
30713;1;2;2;69;04;23;92,3964851813912
30715;1;1;1;33;04;52;257,592544345165
30715;1;2;2;34;04;52;257,592544345165
30715;1;3;1;20;04;52;257,592544345165
30715;1;4;2;12;04;52;257,592544345165
30718;1;1;2;47;04;08;665,850400427693
30718;1;2;1;24;04;08;665,850400427693
30719;1;1;2;43;04;05;1132,02879236353
30719;1;2;1;23;04;05;1132,02879236353
30719;1;3;2;29;04;05;1132,02879236353
30721;1;1;1;58;04;11;1810,30445913557
30721;1;2;1;22;04;11;1810,30445913557
30721;1;3;1;40;04;11;1810,30445913557
30721;1;4;2;15;04;11;1810,30445913557
30721;1;5;2;13;04;11;1810,30445913557
30721;1;6;2;29;04;11;1810,30445913557
30721;1;7;1;5;04;11;1810,30445913557
30721;1;8;2;82;04;11;1810,30445913557
30722;1;1;1;66;04;73;132,779881489518
30722;1;2;2;51;04;73;132,779881489518
30724;1;1;1;58;04;50;150,237091688357
30725;1;1;1;66;04;11;2290,38305412059
30725;1;2;2;63;04;11;2290,38305412059
30725;1;3;2;33;04;11;2290,38305412059
30725;1;4;1;30;04;11;2290,38305412059
30728;1;1;2;57;04;23;128,155191439998
30728;1;2;1;24;04;23;128,155191439998
30728;1;3;2;34;04;23;128,155191439998
30728;1;4;1;48;04;23;128,155191439998
30728;1;5;2;14;04;23;128,155191439998
30728;1;6;2;8;04;23;128,155191439998
30728;1;7;1;8;04;23;128,155191439998
30731;1;1;2;44;04;05;641,659333212708
30731;1;2;1;26;04;05;641,659333212708
30731;1;3;1;19;04;05;641,659333212708
30731;1;4;1;13;04;05;641,659333212708
30731;1;5;2;84;04;05;641,659333212708
30731;1;6;1;77;04;05;641,659333212708
30733;1;1;1;80;04;11;2347,50088081614
30733;1;2;2;84;04;11;2347,50088081614
30733;1;3;2;52;04;11;2347,50088081614
30733;1;4;2;28;04;11;2347,50088081614
30733;1;5;1;47;04;11;2347,50088081614
30733;1;6;2;40;04;11;2347,50088081614
30737;1;1;2;64;04;05;1241,94701688487
30737;1;2;2;46;04;05;1241,94701688487
30737;1;3;2;36;04;05;1241,94701688487
30738;1;1;2;79;04;52;209,454503125399
30738;1;2;1;55;04;52;209,454503125399
30738;1;3;1;53;04;52;209,454503125399
30738;1;4;1;51;04;52;209,454503125399
30740;1;1;1;58;04;23;82,0374533857341
30740;1;2;2;23;04;23;82,0374533857341
30740;1;3;2;25;04;23;82,0374533857341
30740;1;4;1;28;04;23;82,0374533857341
30740;1;5;1;6;04;23;82,0374533857341
30740;1;6;2;1;04;23;82,0374533857341
30742;1;1;2;59;04;05;722,109639940665
30742;1;2;1;56;04;05;722,109639940665
30743;1;1;1;27;04;66;577,527588067163
30743;1;2;2;22;04;66;577,527588067163
30743;1;3;2;0;04;66;577,527588067163
30743;1;4;2;66;04;66;577,527588067163
30744;1;1;1;64;04;23;98,4566655489986
30744;1;2;2;55;04;23;98,4566655489986
30744;1;3;2;24;04;23;98,4566655489986
30746;1;1;2;53;04;52;80,2306555762995
30746;1;2;1;66;04;52;80,2306555762995
30747;1;1;2;69;04;11;1995,33178612999
30747;1;2;2;26;04;11;1995,33178612999
30748;1;1;1;79;04;17;126,005406985717
30748;1;2;2;63;04;17;126,005406985717
30752;1;1;1;56;04;52;68,3849371006493
30752;1;2;2;56;04;52;68,3849371006493
30752;1;3;1;31;04;52;68,3849371006493
30756;1;1;1;42;04;08;1702,77989699422
30756;1;2;2;34;04;08;1702,77989699422
30756;1;3;2;13;04;08;1702,77989699422
30756;1;4;2;11;04;08;1702,77989699422
30757;1;1;1;48;04;52;112,244034240738
30757;1;2;2;44;04;52;112,244034240738
30757;1;3;2;27;04;52;112,244034240738
30757;1;4;1;6;04;52;112,244034240738
30758;1;1;1;52;04;08;790,106426558469
30758;1;2;2;42;04;08;790,106426558469
30758;1;3;2;19;04;08;790,106426558469
30758;1;4;1;17;04;08;790,106426558469
30759;1;1;2;39;04;66;569,283309567984
30759;1;2;2;36;04;66;569,283309567984
30759;2;1;1;24;04;66;569,283309567984
30759;2;2;1;35;04;66;569,283309567984
30759;2;3;1;15;04;66;569,283309567984
30759;2;4;1;10;04;66;569,283309567984
30759;2;5;2;4;04;66;569,283309567984
30760;1;1;2;33;04;05;1608,81319652403
30760;1;2;1;34;04;05;1608,81319652403
30760;1;3;1;8;04;05;1608,81319652403
30762;1;1;1;60;04;50;194,727027510762
30762;1;2;2;55;04;50;194,727027510762
30762;1;3;1;32;04;50;194,727027510762
30762;1;4;2;30;04;50;194,727027510762
30762;1;5;2;5;04;50;194,727027510762
30763;1;1;2;36;04;11;3558,59143146095
30763;1;2;2;15;04;11;3558,59143146095
30763;1;3;2;8;04;11;3558,59143146095
30766;1;1;2;65;04;08;1367,24398875778
30766;1;2;2;39;04;08;1367,24398875778
30766;1;3;2;31;04;08;1367,24398875778
30767;1;1;1;52;04;50;238,804552055852
30767;1;2;2;47;04;50;238,804552055852
30767;1;3;2;27;04;50;238,804552055852
30767;1;4;2;21;04;50;238,804552055852
30767;1;5;2;3;04;50;238,804552055852
30770;1;1;1;30;04;13;364,57150917584
30770;1;2;1;22;04;13;364,57150917584
30772;1;1;2;30;04;66;207,073891210736
30772;1;2;2;66;04;66;207,073891210736
30772;1;3;1;76;04;66;207,073891210736
30772;1;4;1;36;04;66;207,073891210736
30774;1;1;1;30;04;05;1094,23781524079
30774;1;2;2;31;04;05;1094,23781524079
30774;1;3;2;14;04;05;1094,23781524079
30774;1;4;1;1;04;05;1094,23781524079
30778;1;1;2;69;04;17;210,43540424471
30778;1;2;1;36;04;17;210,43540424471
30778;1;3;1;38;04;17;210,43540424471
30779;1;1;2;68;04;52;142,121237952102
30779;1;2;1;69;04;52;142,121237952102
30779;1;3;1;44;04;52;142,121237952102
30779;1;4;2;41;04;52;142,121237952102
30779;1;5;2;22;04;52;142,121237952102
30779;1;6;1;13;04;52;142,121237952102
30780;1;1;2;72;04;05;1041,82844973782
30780;1;2;1;76;04;05;1041,82844973782
30780;1;3;2;41;04;05;1041,82844973782
30780;1;4;1;39;04;05;1041,82844973782
30780;1;5;2;37;04;05;1041,82844973782
30780;1;6;1;17;04;05;1041,82844973782
30780;1;7;2;4;04;05;1041,82844973782
30783;1;1;2;71;04;76;554,922360356563
30783;1;2;2;94;04;76;554,922360356563
30787;1;1;1;58;04;54;123,523854244983
30787;1;2;2;50;04;54;123,523854244983
30789;1;1;2;27;04;23;100,109126174738
30789;1;2;2;3;04;23;100,109126174738
30790;1;1;2;34;04;23;155,026057475174
30790;1;2;1;41;04;23;155,026057475174
30790;1;3;2;14;04;23;155,026057475174
30790;1;4;2;12;04;23;155,026057475174
30790;1;5;2;10;04;23;155,026057475174
30790;1;6;1;7;04;23;155,026057475174
30791;1;1;1;58;04;52;157,199263401908
30791;1;2;2;59;04;52;157,199263401908
30791;1;3;1;15;04;52;157,199263401908
30792;1;1;1;45;04;23;301,337833814696
30792;1;2;2;34;04;23;301,337833814696
30792;1;3;1;12;04;23;301,337833814696
30792;1;4;1;8;04;23;301,337833814696
30792;1;5;2;54;04;23;301,337833814696
30793;1;1;1;53;04;17;314,85817725773
30793;1;2;2;53;04;17;314,85817725773
30793;1;3;1;17;04;17;314,85817725773
30794;1;1;2;34;04;50;209,870650081262
30794;1;2;1;50;04;50;209,870650081262
30794;1;3;1;1;04;50;209,870650081262
30794;1;4;2;85;04;50;209,870650081262
30798;1;1;2;54;04;54;216,030268226818
30798;1;2;1;56;04;54;216,030268226818
30798;1;3;1;23;04;54;216,030268226818
30798;1;4;1;15;04;54;216,030268226818
30798;1;5;2;77;04;54;216,030268226818
30798;1;6;1;56;04;54;216,030268226818
30798;1;7;1;15;04;54;216,030268226818
30799;1;1;1;51;04;13;374,669037573176
30799;1;2;2;52;04;13;374,669037573176
30799;1;3;2;11;04;13;374,669037573176
30800;1;1;1;41;04;05;1753,19386800696
30800;1;2;2;34;04;05;1753,19386800696
30800;1;3;1;3;04;05;1753,19386800696
30801;1;1;2;24;04;23;89,8963413335111
30801;1;2;1;31;04;23;89,8963413335111
30801;1;3;2;2;04;23;89,8963413335111
30803;1;1;1;66;04;08;1028,37448820496
30803;1;2;2;60;04;08;1028,37448820496
30803;1;3;2;25;04;08;1028,37448820496
30803;1;4;2;17;04;08;1028,37448820496
30804;1;1;1;39;04;76;926,48291313419
30804;1;2;2;37;04;76;926,48291313419
30804;1;3;1;12;04;76;926,48291313419
30804;1;4;1;6;04;76;926,48291313419
30805;1;1;2;70;04;13;269,307282161808
30805;1;2;2;25;04;13;269,307282161808
30806;1;1;1;39;04;08;500,521051253382
30806;1;2;2;28;04;08;500,521051253382
30806;1;3;1;16;04;08;500,521051253382
30806;1;4;2;10;04;08;500,521051253382
30806;1;5;2;9;04;08;500,521051253382
30807;1;1;1;79;04;52;59,4246205004934
30807;1;2;2;57;04;52;59,4246205004934
30811;1;1;1;52;04;76;656,288437442776
30811;1;2;2;49;04;76;656,288437442776
30815;1;1;2;52;04;23;85,3112571256921
30815;1;2;1;24;04;23;85,3112571256921
30815;1;3;2;24;04;23;85,3112571256921
30815;1;4;1;6;04;23;85,3112571256921
30815;1;5;2;4;04;23;85,3112571256921
30815;1;6;1;1;04;23;85,3112571256921
30816;1;1;1;51;04;66;323,505344066803
30816;1;2;2;49;04;66;323,505344066803
30816;1;3;1;26;04;66;323,505344066803
30816;1;4;2;20;04;66;323,505344066803
30817;1;1;1;37;04;08;797,947021527586
30817;1;2;2;32;04;08;797,947021527586
30817;1;3;2;15;04;08;797,947021527586
30817;1;4;1;11;04;08;797,947021527586
30817;1;5;1;3;04;08;797,947021527586
30822;1;1;2;55;04;17;184,824809382108
30822;1;2;1;24;04;17;184,824809382108
30823;1;1;1;45;04;68;496,148289500066
30823;1;2;2;54;04;68;496,148289500066
30823;1;3;2;24;04;68;496,148289500066
30823;1;4;1;15;04;68;496,148289500066
30823;1;5;1;19;04;68;496,148289500066
30824;1;1;1;46;04;05;775,144515144946
30824;1;2;2;53;04;05;775,144515144946
30824;1;3;2;18;04;05;775,144515144946
30826;1;1;2;58;04;50;163,04089206005
30828;1;1;1;44;04;52;278,094133240416
30828;1;2;2;43;04;52;278,094133240416
30828;1;3;1;23;04;52;278,094133240416
30828;1;4;2;23;04;52;278,094133240416
30829;1;1;2;55;04;13;410,843516690289
30829;1;2;1;65;04;13;410,843516690289
30829;1;3;2;36;04;13;410,843516690289
30829;1;4;1;8;04;13;410,843516690289
30831;1;1;1;61;04;66;229,737866316209
30831;1;2;2;62;04;66;229,737866316209
30831;1;3;1;31;04;66;229,737866316209
30831;1;4;1;37;04;66;229,737866316209
30831;1;5;2;40;04;66;229,737866316209
30831;1;6;2;16;04;66;229,737866316209
30832;1;1;1;56;04;68;202,233407369841
30832;1;2;2;42;04;68;202,233407369841
30832;1;3;1;14;04;68;202,233407369841
30832;1;4;1;10;04;68;202,233407369841
30834;1;1;1;73;04;68;237,367526392263
30834;1;2;2;71;04;68;237,367526392263
30835;1;1;1;55;04;54;464,039554816452
30835;1;2;2;49;04;54;464,039554816452
30835;1;3;1;12;04;54;464,039554816452
30835;1;4;1;7;04;54;464,039554816452
30835;1;5;2;45;04;54;464,039554816452
30835;1;6;2;22;04;54;464,039554816452
30836;1;1;2;29;04;50;173,8343406202
30836;1;2;1;30;04;50;173,8343406202
30836;1;3;2;9;04;50;173,8343406202
30836;1;4;1;0;04;50;173,8343406202
30836;1;5;2;54;04;50;173,8343406202
30836;1;6;1;57;04;50;173,8343406202
30837;1;1;2;50;04;05;1536,90296388569
30837;1;2;1;62;04;05;1536,90296388569
30837;1;3;2;30;04;05;1536,90296388569
30837;1;4;2;8;04;05;1536,90296388569
30837;1;5;1;1;04;05;1536,90296388569
30837;1;6;1;28;04;05;1536,90296388569
30837;1;7;1;23;04;05;1536,90296388569
