DIRECTORIO,SECUENCIA_P,ORDEN,REGIS,P7250,P7260,P7280,P7280S1,P7310,P7320,P7350,P7350S1,P7360,P7390,P7390S1,P7420,P7420S1,P7420S2,P7420S3,P7420S4,P7420S5,P7420S6,P7420S7,P7420S8,P7420S7A1,P7422,P7422S1,P9460,CLASE,DSI,OFICIO1,OFICIO2,RAMA4D_D,RAMA2D_D,DPTO,fex_c_2011
584820,1,4,70,8,30,1,,2,8,1,,4,1,,,,,,,,,,1,,2,,2,2,1,53,53,5521,55,17,848.068.610.426.716
584898,1,3,70,48,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,2,1,3,,,,17,697.023.382.519.208
584984,1,2,70,8,48,1,,2,48,1,,2,1,,,,,,,,,,1,,2,,2,2,1,58,58,5020,50,19,302.874.915.590.064
584988,1,2,70,48,40,3,,1,,,.,,,.,.,,,,,,,,,.,,,,2,1,54,,,,19,4.011.680.582.354
584998,1,3,70,4,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,2,1,45,,,,19,218.961.123.964.173
585037,1,3,70,8,48,1,,2,12,1,,3,7,,,,,,,,,,1,,2,,2,2,1,12,12,7411,74,19,322.977.705.999.524
585037,1,8,70,3,48,1,,2,5,1,,8,3,,,,,,,,,,1,,2,,2,2,1,62,62,140,1,19,322.977.705.999.524
585037,1,9,70,8,48,1,,2,12,1,,7,1,,,,,,,,,,1,,2,,2,2,1,53,38,5237,52,19,322.977.705.999.524
585038,1,1,70,12,48,1,,2,12,1,,6,5,,,,,,,,,,1,,2,,2,2,1,62,62,114,1,19,384.321.567.996.048
585038,1,2,70,12,48,1,,2,12,1,,6,8,,,,,,,,,,1,,2,,2,2,1,62,62,114,1,19,384.321.567.996.048
585039,1,2,70,12,48,1,,2,12,1,,5,5,,,,,,,,,,1,,2,,2,2,1,62,62,114,1,19,749.339.291.019.416
585040,1,1,70,12,48,1,,2,12,1,,5,8,,,,,,,,,,1,,1,50000,2,2,1,62,62,114,1,19,288.673.482.608.641
585040,1,5,70,12,48,1,,2,24,3,,1,1,,,,,,,,,,1,,2,,2,2,1,54,54,9500,95,19,288.673.482.608.641
585041,1,2,70,72,48,1,,2,120,1,,5,1,,,,,,,,,,1,,2,,2,2,1,62,62,114,1,19,315.165.253.084.237
585043,1,2,70,16,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,2,1,97,,,,19,218.961.123.964.173
585072,1,3,70,2,48,1,,2,4,1,,2,4,,,,,1,,,,,,,1,300000,2,2,1,45,45,5241,52,19,218.961.123.964.173
585476,1,3,70,10,48,2,,1,,,.,,,.,.,,,,,,,,,.,,,,2,1,13,,,,41,699.153.039.924.959
585483,1,5,70,40,40,1,,2,48,1,,3,1,,,,,,,,,,1,,2,,2,2,1,45,53,1551,15,41,116.279.534.208.811
585499,1,3,70,4,45,1,,2,8,2,,2,4,,,,,,,,,,1,,2,,2,2,1,45,45,5224,52,41,708.215.896.950.833
585512,1,3,70,5,48,2,,1,,,.,,,.,.,,,,,,,,,.,,,,2,1,2,,,,41,706.344.925.505.255
585529,1,5,70,24,45,8,,1,,,.,,,.,.,,,,,,,,,.,,,,2,1,62,,,,41,722.143.185.315.683
585536,1,2,70,16,40,1,,1,,,.,,,.,.,,,,,,,,,.,,,,2,1,53,,,,41,646.692.451.158.142
585551,1,2,70,1,40,3,,1,,,.,,,.,.,,,,,,,,,.,,,,2,1,54,,,,41,669.668.004.646.054
585552,1,1,70,4,50,8,,2,4,8,,3,1,,,,,1,,,,,,,2,,2,2,1,62,62,118,1,41,696.083.827.867.773
