DIRECTORIO,SECUENCIA_P,ORDEN,AREA,REGIS,P7480,P7480S1,P7480S2,P7480S3,P7480S4,P7480S5,P7480S6,P7480S7,P7480S8,P7480S9,P7480S10,P7480S11,P7480S1A1,P7480S2A1,P7480S3A1,P7480S4A1,P7480S5A1,P7480S6A1,P7480S7A1,P7480S8A1,P7480S9A1,P7480S10A1,P7480S11A1,DPTO,fex_c_2011
570789,1,1,5,90,,2,,1,2,2,2,2,2,2,2,2,,,14,,,,,,,,,5,130.740.612.165.715
570789,1,2,5,90,,2,,1,2,1,2,2,2,2,2,2,,,14,,3,,,,,,,5,130.740.612.165.715
570790,1,1,5,90,,2,,1,2,1,2,2,2,2,2,2,,,14,,14,,,,,,,5,103.973.666.065.808
570790,1,2,5,90,,2,,1,2,1,2,2,2,2,2,2,,,24,,50,,,,,,,5,103.973.666.065.808
570792,1,1,5,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,5,953.370.062.948.508
570792,1,2,5,90,,2,,2,2,1,2,2,2,2,2,2,,,,,28,,,,,,,5,953.370.062.948.508
570794,1,1,5,90,,2,,1,2,2,2,2,2,2,2,2,,,14,,,,,,,,,5,101.107.332.768.053
570794,1,2,5,90,,2,,1,2,2,2,2,2,2,2,2,,,24,,,,,,,,,5,101.107.332.768.053
570794,1,3,5,90,,2,,1,2,2,2,2,2,2,2,2,,,7,,,,,,,,,5,101.107.332.768.053
570795,1,1,5,90,,2,,1,2,2,2,2,2,2,2,2,,,14,,,,,,,,,5,113.358.022.549.146
570797,1,1,5,90,,2,,1,2,2,2,2,2,2,2,2,,,42,,,,,,,,,5,899.724.226.492.148
570797,1,2,5,90,,2,,1,2,2,2,2,2,2,2,2,,,21,,,,,,,,,5,899.724.226.492.148
570798,1,1,5,90,,2,,1,2,2,2,2,2,2,2,2,,,8,,,,,,,,,5,177.421.552.748.905
570798,1,2,5,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,5,177.421.552.748.905
570798,1,3,5,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,5,177.421.552.748.905
570799,1,1,5,90,,2,,1,2,2,2,2,1,2,2,2,,,21,,,,,10,,,,5,113.942.407.609.087
570800,1,1,5,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,5,131.439.532.598.469
570800,1,2,5,90,,2,,1,2,2,2,2,2,2,2,2,,,42,,,,,,,,,5,131.439.532.598.469
570800,1,3,5,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,5,131.439.532.598.469
570801,1,1,5,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,5,121.362.404.309.535
570801,1,2,5,90,,2,,1,2,2,2,2,2,2,2,2,,,28,,,,,,,,,5,121.362.404.309.535
570801,1,3,5,90,,2,,1,2,2,2,2,2,2,2,2,,,7,,,,,,,,,5,121.362.404.309.535
570801,1,5,5,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,5,121.362.404.309.535
570802,1,1,5,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,5,200.015.522.826.892
570802,1,2,5,90,,2,,1,2,2,2,2,2,2,2,2,,,42,,,,,,,,,5,200.015.522.826.892
570802,1,3,5,90,,2,,1,2,2,2,2,2,2,2,2,,,14,,,,,,,,,5,200.015.522.826.892
570802,1,4,5,90,,2,,1,2,2,2,2,2,2,2,2,,,7,,,,,,,,,5,200.015.522.826.892
570802,1,5,5,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,5,200.015.522.826.892
570803,1,1,5,90,,2,,1,2,2,2,2,2,2,2,2,,,14,,,,,,,,,5,150.402.953.682.367
570803,1,2,5,90,,2,,1,2,2,2,2,2,2,2,2,,,21,,,,,,,,,5,150.402.953.682.367
570803,1,3,5,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,5,150.402.953.682.367
570803,1,5,5,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,5,150.402.953.682.367
570803,1,6,5,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,5,150.402.953.682.367
570803,1,7,5,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,5,150.402.953.682.367
570804,1,1,5,90,,2,,1,2,2,2,2,2,2,2,2,,,28,,,,,,,,,5,106.829.928.052.001
570804,1,2,5,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,5,106.829.928.052.001
570804,1,3,5,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,5,106.829.928.052.001
570806,1,1,5,90,,2,,1,2,2,2,2,2,2,2,2,,,14,,,,,,,,,5,139.865.480.412.483
570806,1,2,5,90,,2,,1,2,2,2,2,2,2,2,2,,,14,,,,,,,,,5,139.865.480.412.483
570806,1,3,5,90,,2,,1,2,2,2,2,2,2,2,2,,,14,,,,,,,,,5,139.865.480.412.483
570807,1,1,5,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,5,293.050.112.662.097
570807,1,2,5,90,,2,,1,2,2,2,2,2,2,2,2,,,28,,,,,,,,,5,293.050.112.662.097
570807,1,3,5,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,5,293.050.112.662.097
570808,1,1,5,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,5,122.575.742.363.353
570808,1,2,5,90,,2,,1,2,2,2,2,2,2,2,2,,,42,,,,,,,,,5,122.575.742.363.353
570809,1,1,5,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,5,122.575.742.363.353
570809,1,2,5,90,,2,,1,2,2,2,2,2,2,2,2,,,42,,,,,,,,,5,122.575.742.363.353
570810,1,1,5,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,5,1.062.882.093.034
570810,1,2,5,90,,2,,1,2,2,2,2,2,2,2,2,,,21,,,,,,,,,5,1.062.882.093.034
570810,1,3,5,90,,2,,1,2,2,2,2,2,2,2,2,,,30,,,,,,,,,5,1.062.882.093.034
570810,1,4,5,90,,2,,1,2,2,2,2,2,2,2,2,,,25,,,,,,,,,5,1.062.882.093.034
570811,1,1,5,90,,2,,1,2,2,2,2,2,2,2,2,,,14,,,,,,,,,5,156.870.510.922.674
570811,1,2,5,90,,2,,1,2,2,2,2,2,2,2,2,,,14,,,,,,,,,5,156.870.510.922.674
570812,1,1,5,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,5,137.795.997.671.682
570812,1,2,5,90,,2,,1,2,2,2,2,2,2,2,2,,,42,,,,,,,,,5,137.795.997.671.682
570812,1,3,5,90,,2,,1,2,2,2,2,2,2,2,2,,,7,,,,,,,,,5,137.795.997.671.682
570813,1,1,5,90,,2,,1,2,2,2,2,2,2,2,2,,,17,,,,,,,,,5,168.094.592.514.226
570813,1,2,5,90,,2,,1,2,2,2,2,2,2,2,2,,,14,,,,,,,,,5,168.094.592.514.226
570815,1,1,5,90,,2,,1,2,1,2,2,2,2,2,2,,,14,,28,,,,,,,5,115.473.945.759.221
570815,1,2,5,90,,2,,1,2,2,2,2,2,2,2,2,,,7,,,,,,,,,5,115.473.945.759.221
570816,1,1,5,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,5,145.681.980.178.996
570816,1,2,5,90,,2,,1,2,2,2,2,2,2,2,2,,,28,,,,,,,,,5,145.681.980.178.996
570817,1,1,5,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,5,179.826.532.454.528
570817,1,2,5,90,,2,,1,2,1,2,2,2,2,2,2,,,30,,8,,,,,,,5,179.826.532.454.528
570817,1,3,5,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,5,179.826.532.454.528
570818,1,1,5,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,5,148.936.657.587.851
570818,1,2,5,90,,2,,1,2,2,2,2,2,2,2,2,,,35,,,,,,,,,5,148.936.657.587.851
570818,1,3,5,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,5,148.936.657.587.851
570818,1,4,5,90,,2,,1,2,2,2,2,2,2,2,2,,,10,,,,,,,,,5,148.936.657.587.851
570818,1,5,5,90,,2,,1,2,2,2,2,2,2,2,2,,,8,,,,,,,,,5,148.936.657.587.851
570820,1,1,5,90,,2,,1,2,2,2,2,2,2,2,2,,,25,,,,,,,,,5,11.979.755.729.311
570820,1,2,5,90,,2,,1,2,1,2,2,2,2,2,2,,,15,,10,,,,,,,5,11.979.755.729.311
570820,1,3,5,90,,2,,2,2,1,1,2,2,2,2,2,,,,,8,40,,,,,,5,11.979.755.729.311
570820,1,6,5,90,,2,,1,2,1,2,2,2,2,2,2,,,10,,10,,,,,,,5,11.979.755.729.311
570820,1,7,5,90,,2,,2,2,1,2,2,2,2,2,2,,,,,5,,,,,,,5,11.979.755.729.311
570821,1,1,5,90,,2,,1,2,2,2,2,2,2,2,2,,,20,,,,,,,,,5,145.681.980.178.996
570821,1,2,5,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,5,145.681.980.178.996
570822,1,1,5,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,5,131.879.676.500.719
570822,1,2,5,90,,2,,1,2,2,2,2,2,2,2,2,,,28,,,,,,,,,5,131.879.676.500.719
570822,1,3,5,90,,2,,1,2,2,2,2,2,2,2,2,,,10,,,,,,,,,5,131.879.676.500.719
570822,1,4,5,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,5,131.879.676.500.719
570825,1,1,5,90,,2,,2,2,2,2,2,2,2,2,1,,,,,,,,,,,36,5,102.371.839.038.668
570825,1,2,5,90,,2,,2,1,2,2,2,2,2,2,2,,,,20,,,,,,,,5,102.371.839.038.668
570826,1,1,5,90,,2,,1,2,2,2,2,2,2,2,2,,,4,,,,,,,,,5,100.561.128.152.975
570826,1,2,5,90,,2,,2,1,2,2,2,2,2,2,2,,,,14,,,,,,,,5,100.561.128.152.975
570826,1,3,5,90,,2,,1,2,2,2,2,2,2,2,2,,,21,,,,,,,,,5,100.561.128.152.975
570827,1,1,5,90,,2,,1,2,2,2,2,2,2,2,2,,,36,,,,,,,,,5,153.103.075.583.732
570827,1,2,5,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,5,153.103.075.583.732
570827,1,3,5,90,,2,,1,2,2,2,2,2,2,2,2,,,14,,,,,,,,,5,153.103.075.583.732
570828,1,1,5,90,,2,,1,1,2,2,2,2,2,2,2,,,49,30,,,,,,,,5,887.319.625.624.053
570828,1,2,5,90,,2,,1,2,2,2,2,2,2,2,2,,,14,,,,,,,,,5,887.319.625.624.053
570829,1,1,5,90,,2,,1,2,2,2,2,2,2,2,2,,,50,,,,,,,,,5,140.353.260.975.468
570829,1,2,5,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,5,140.353.260.975.468
570829,1,3,5,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,5,140.353.260.975.468
570830,1,1,5,90,,2,,1,2,2,1,2,2,2,2,2,,,63,,,36,,,,,,5,16.634.418.973.904
570830,1,2,5,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,5,16.634.418.973.904
570830,1,3,5,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,5,16.634.418.973.904
570831,1,1,5,90,,2,,1,2,2,2,2,2,2,2,2,,,7,,,,,,,,,5,124.768.212.126.183
570831,1,2,5,90,,2,,1,2,2,2,2,2,2,2,2,,,21,,,,,,,,,5,124.768.212.126.183
570832,1,1,5,90,,2,,1,2,2,2,2,2,2,2,2,,,7,,,,,,,,,5,13.379.086.335.855
570832,1,2,5,90,,2,,1,2,2,2,2,2,2,2,2,,,50,,,,,,,,,5,13.379.086.335.855
570833,1,1,5,90,,2,,1,2,2,2,2,2,2,2,2,,,21,,,,,,,,,5,107.877.423.025.355
570833,1,2,5,90,,2,,1,1,2,2,2,2,2,2,2,,,28,6,,,,,,,,5,107.877.423.025.355
570833,1,3,5,90,,2,,1,2,2,2,2,2,2,2,2,,,2,,,,,,,,,5,107.877.423.025.355
570833,1,4,5,90,,2,,1,2,2,2,2,2,2,2,2,,,14,,,,,,,,,5,107.877.423.025.355
570834,1,1,5,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,5,945.659.901.053.987
570834,1,2,5,90,,2,,2,1,2,2,2,2,2,2,2,,,,8,,,,,,,,5,945.659.901.053.987
570835,1,1,5,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,5,127.581.634.354.129
570835,1,2,5,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,5,127.581.634.354.129
570835,1,3,5,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,5,127.581.634.354.129
570835,1,4,5,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,5,127.581.634.354.129
570836,1,1,5,90,,2,,1,2,2,2,2,2,2,2,2,,,7,,,,,,,,,5,104.218.655.371.727
570837,1,1,5,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,5,915.682.481.352.921
570837,1,2,5,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,5,915.682.481.352.921
570837,1,3,5,90,,2,,2,1,2,2,2,2,2,2,2,,,,10,,,,,,,,5,915.682.481.352.921
570838,1,1,5,90,,2,,2,1,2,2,2,2,2,2,2,,,,14,,,,,,,,5,100.343.398.377.409
570838,1,2,5,90,,2,,1,2,2,2,2,2,2,2,2,,,14,,,,,,,,,5,100.343.398.377.409
570839,1,1,5,90,,2,,1,2,2,2,2,2,2,2,2,,,49,,,,,,,,,5,947.442.321.561.154
570840,1,1,5,90,,2,,1,2,2,2,2,2,2,2,2,,,14,,,,,,,,,5,970.976.195.540.816
570840,1,2,5,90,,2,,2,2,1,2,2,2,2,2,2,,,,,50,,,,,,,5,970.976.195.540.816
570841,1,1,5,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,5,217.774.155.310.655
570841,1,2,5,90,,2,,1,2,2,2,2,2,2,2,2,,,40,,,,,,,,,5,217.774.155.310.655
570841,1,3,5,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,5,217.774.155.310.655
570841,1,4,5,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,5,217.774.155.310.655
570842,1,1,5,90,,2,,1,2,2,2,2,2,2,2,2,,,54,,,,,,,,,5,171.938.163.827.998
570842,1,2,5,90,,2,,1,2,2,2,2,2,2,2,2,,,6,,,,,,,,,5,171.938.163.827.998
570845,1,1,5,90,,2,,1,2,2,2,2,2,2,2,2,,,14,,,,,,,,,5,226.710.981.714.465
570846,1,1,5,90,,2,,1,2,2,2,2,2,2,2,1,,,4,,,,,,,,5,5,171.938.163.827.998
570846,1,2,5,90,,2,,2,1,2,2,2,2,2,2,2,,,,4,,,,,,,,5,171.938.163.827.998
570847,1,1,5,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,5,224.126.123.352.301
570847,1,2,5,90,,2,,1,2,2,2,2,2,2,2,2,,,3,,,,,,,,,5,224.126.123.352.301
570848,1,1,5,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,5,205.639.454.711.771
570848,1,2,5,90,,2,,2,2,1,2,2,2,2,2,2,,,,,60,,,,,,,5,205.639.454.711.771
570849,1,1,5,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,5,205.639.454.711.771
570849,1,2,5,90,,2,,1,2,1,2,2,2,2,2,2,,,21,,35,,,,,,,5,205.639.454.711.771
570850,1,1,5,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,5,915.682.481.352.921
570850,1,2,5,90,,2,,1,2,2,2,2,2,2,2,2,,,35,,,,,,,,,5,915.682.481.352.921
570850,1,3,5,90,,2,,1,2,2,2,2,2,2,2,2,,,2,,,,,,,,,5,915.682.481.352.921
570851,1,1,5,90,,2,,1,2,2,2,2,2,2,2,2,,,21,,,,,,,,,5,979.728.971.534.899
570851,1,2,5,90,,2,,1,2,2,2,2,2,2,2,2,,,50,,,,,,,,,5,979.728.971.534.899
570851,1,3,5,90,,2,,1,2,2,2,2,2,2,2,2,,,3,,,,,,,,,5,979.728.971.534.899
570851,1,4,5,90,,2,,1,2,2,2,2,2,2,2,2,,,14,,,,,,,,,5,979.728.971.534.899
570851,1,5,5,90,,2,,1,2,2,2,2,2,2,2,2,,,14,,,,,,,,,5,979.728.971.534.899
570852,1,1,5,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,5,791.958.749.518.578
570852,1,2,5,90,,2,,1,2,2,2,2,2,2,2,2,,,48,,,,,,,,,5,791.958.749.518.578
570852,1,3,5,90,,2,,1,2,2,2,2,2,2,2,2,,,28,,,,,,,,,5,791.958.749.518.578
570852,1,4,5,90,,2,,1,2,2,2,2,2,2,2,2,,,28,,,,,,,,,5,791.958.749.518.578
570852,1,5,5,90,,2,,1,2,2,2,2,2,2,2,2,,,1,,,,,,,,,5,791.958.749.518.578
570853,1,1,5,90,,2,,1,2,2,2,2,2,2,2,2,,,36,,,,,,,,,5,12.770.564.826.322
570853,1,2,5,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,5,12.770.564.826.322
570853,1,3,5,90,,2,,1,2,2,2,2,2,2,2,2,,,21,,,,,,,,,5,12.770.564.826.322
570853,1,4,5,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,5,12.770.564.826.322
570854,1,1,5,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,5,930.653.082.169.706
570854,1,2,5,90,,2,,1,2,2,2,2,2,2,2,2,,,60,,,,,,,,,5,930.653.082.169.706
570855,1,1,5,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,5,12.770.564.826.322
570855,1,2,5,90,,2,,1,2,2,2,2,2,2,2,2,,,56,,,,,,,,,5,12.770.564.826.322
570855,1,3,5,90,,2,,1,2,2,2,2,2,1,2,2,,,7,,,,,,35,,,5,12.770.564.826.322
570855,1,4,5,90,,2,,1,2,2,2,2,2,2,2,2,,,28,,,,,,,,,5,12.770.564.826.322
570856,1,1,5,90,,2,,1,2,1,2,2,2,2,2,2,,,28,,21,,,,,,,5,116.279.054.270.795
570856,1,2,5,90,,2,,1,2,2,2,2,2,2,2,2,,,6,,,,,,,,,5,116.279.054.270.795
570856,1,3,5,90,,2,,1,2,1,2,2,2,2,2,2,,,70,,60,,,,,,,5,116.279.054.270.795
570856,1,4,5,90,,2,,1,2,2,2,2,2,2,2,2,,,7,,,,,,,,,5,116.279.054.270.795
570857,1,1,5,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,5,115.983.303.958.299
570857,1,2,5,90,,2,,1,2,2,2,2,2,2,2,2,,,49,,,,,,,,,5,115.983.303.958.299
570857,1,3,5,90,,2,,1,2,2,2,2,2,2,2,2,,,28,,,,,,,,,5,115.983.303.958.299
570857,1,4,5,90,,2,,1,2,2,2,2,2,2,2,2,,,28,,,,,,,,,5,115.983.303.958.299
570858,1,1,5,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,5,144.299.410.792.692
570858,1,2,5,90,,2,,1,2,2,2,2,2,2,2,2,,,28,,,,,,,,,5,144.299.410.792.692
570858,1,3,5,90,,2,,1,2,2,2,2,2,2,2,2,,,7,,,,,,,,,5,144.299.410.792.692
570858,1,4,5,90,,2,,1,2,2,2,2,2,2,2,2,,,7,,,,,,,,,5,144.299.410.792.692
