DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;P1806;P1519;P1883;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;MES;RAMA4D_D;DPTO;fex_c_2011
4678798;1;2;1;70;2;16;48;1; ;2;16;1; ;5;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;53;53;55;1;2;07;5521;68;1393,91199332123
4678939;1;3;1;70;2;4;60;1; ;2;5;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;1;300000;400000;2; ;45;45;52;1;1;07;5211;70;1151,87530879869
4678944;1;2;1;70;2;5;40;1; ;2;5;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;600000;2; ;32;32;52;1;1;07;5241;70;1279,45891090046
4678952;1;5;1;70;2;4;40;2; ;2;4;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;150000;400000;2; ;32;38;64;1;1;07;6421;70;618,558581489419
4678978;1;1;1;70;2;2;40;8; ;2;2;8; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;1;350000;400000;2; ;62;62;01;1;1;07;0115;73;759,565200374959
4678979;1;1;1;70;2;2;44;8; ;2;2;8; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;1;130000;800000;2; ;62;62;01;1;1;07;0115;73;635,025489685055
4678979;1;3;1;70;2;1;44;8; ;2;1;8; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;1;120000;800000;2; ;62;62;01;1;1;07;0115;73;635,025489685055
4678980;1;2;1;70;2;54;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;869453; ; ;32; ; ;1;2;07; ;73;878,505654286106
4678980;1;4;1;70;2;8;48;8; ;2;8;8; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;869453;2; ;62;62;01;1;1;07;0117;73;878,505654286106
4678985;1;1;1;70;2;4;48;4; ;2;12;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;600000;2; ;55;55;74;1;1;07;7493;73;682,456066926397
4678986;1;1;1;70;2;2;40;8; ;2;2;8; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;1;100000;1000000;2; ;61;62;01;1;1;07;0114;73;881,256923846467
4678996;1;4;1;70;2;26;25;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;500000; ; ;45; ; ;1;2;07; ;73;840,139050922423
4679012;1;3;1;70;2;4;48;8; ;2;8;8; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;300000;2; ;62;62;01;1;1;07;0121;73;673,392093048738
