directorio;secuencia_p;orden;P6240;P6250;P6260;P6270;P6280;P6290;P6300;P6310;P6320;P6330;P6340;P6350;P6351;Ft;mes;area;dpto;fex_c_2011
129704;1;2;3;2;2;2;2; ;2; ; ; ; ; ; ;1;06;68;68;451,405795154088
129704;1;3;3;2;2;2;2; ;2; ; ; ; ; ; ;1;06;68;68;451,405795154088
129705;1;1;6;2;2;2;2; ;1;13; ; ; ; ; ;1;06;05;05;970,691810131982
129706;1;1;4;2;2;2;1;1; ; ; ; ; ; ;1;1;06;54;54;414,148813489618
129706;1;2;3;2;2;2;2; ;2; ; ; ; ; ; ;1;06;54;54;414,148813489618
129710;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;52;52;382,401736033904
129710;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;52;52;382,401736033904
129710;1;3;3;2;2;2;2; ;2; ; ; ; ; ; ;1;06;52;52;382,401736033904
129710;1;4;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;52;52;382,401736033904
129711;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;08;08;563,285361890872
129711;1;2;4;2;1; ; ; ; ; ; ; ; ; ; ;1;06;08;08;563,285361890872
129711;1;3;3;2;2;2;2; ;2; ; ; ; ; ; ;1;06;08;08;563,285361890872
129711;1;4;3;2;2;2;2; ;2; ; ; ; ; ; ;1;06;08;08;563,285361890872
129713;1;1;4;2;2;2;2; ;1;2;2; ;2; ; ;1;06;54;54;404,358224938077
129714;1;1;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;05;05;930,121384487275
129714;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;05;05;930,121384487275
129714;1;3;3;2;2;2;2; ;2; ; ; ; ; ; ;1;06;05;05;930,121384487275
129714;1;4;3;2;2;2;2; ;2; ; ; ; ; ; ;1;06;05;05;930,121384487275
129716;1;1;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;50;50;256,293698166305
129716;1;2;6;2;2;2;2; ;2; ; ; ; ; ; ;1;06;50;50;256,293698166305
129718;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;73;73;215,360850918352
129718;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;73;73;215,360850918352
129719;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;66;66;711,74810302404
129719;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;66;66;711,74810302404
129719;1;3;3;2;2;2;2; ;2; ; ; ; ; ; ;1;06;66;66;711,74810302404
129720;1;1;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;54;54;532,990871548809
129720;1;2;4;2;1; ; ; ; ; ; ; ; ; ; ;1;06;54;54;532,990871548809
129721;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;52;52;176,205951077886
129721;1;2;6;2;2;2;2; ;1;13; ; ; ; ; ;1;06;52;52;176,205951077886
129721;1;3;6;2;2;2;1;4; ; ; ; ; ; ;1;1;06;52;52;176,205951077886
129723;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;54;54;361,464068596021
129723;1;3;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;54;54;361,464068596021
129723;1;4;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;54;54;361,464068596021
129724;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;66;66;365,851479265424
129724;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;66;66;365,851479265424
129724;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;66;66;365,851479265424
129724;1;4;3;2;2;2;2; ;2; ; ; ; ; ; ;1;06;66;66;365,851479265424
129725;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;11;11;2064,3385760407
129728;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;05;05;660,931358826276
129728;1;2;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;05;05;660,931358826276
129731;1;1;4;2;1; ; ; ; ; ; ; ; ; ; ;1;06;08;08;913,972696566199
129731;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;08;08;913,972696566199
129731;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;08;08;913,972696566199
129731;1;5;4;2;2;2;1;1; ; ; ; ; ; ;1;1;06;08;08;913,972696566199
129732;1;1;6;2;2;2;2; ;1;2;1;2; ; ; ;1;06;23;23;79,0866325746798
129732;1;2;4;2;2;2;2; ;1;9; ; ; ; ; ;1;06;23;23;79,0866325746798
129733;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;76;76;1220,04708305878
129733;1;2;3;2;2;2;2; ;1;12; ; ; ; ; ;1;06;76;76;1220,04708305878
129734;1;1;4;1; ; ; ; ; ; ; ; ; ; ; ;1;06;08;08;1037,15451227539
129734;1;2;6;2;2;2;2; ;2; ; ; ; ; ; ;1;06;08;08;1037,15451227539
129734;1;3;4;2;1; ; ; ; ; ; ; ; ; ; ;1;06;08;08;1037,15451227539
129734;1;5;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;08;08;1037,15451227539
129736;1;1;4;2;2;2;2; ;1;10; ; ; ; ; ;1;06;50;50;308,494049382459
129736;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;50;50;308,494049382459
129739;1;1;2;2;2;2;1;1; ; ; ; ; ; ;1;1;06;50;50;111,086242486954
129739;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;50;50;111,086242486954
129739;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;50;50;111,086242486954
129739;1;4;3;2;2;2;2; ;2; ; ; ; ; ; ;1;06;50;50;111,086242486954
129741;1;1;2;2;2;2;1;1; ; ; ; ; ; ;1;1;06;08;08;335,812525653738
129741;1;2;4;2;2;2;2; ;1;13; ; ; ; ; ;1;06;08;08;335,812525653738
129741;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;08;08;335,812525653738
129744;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;66;66;622,762541960759
129744;1;2;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;66;66;622,762541960759
129745;1;1;6;2;2;2;2; ;2; ; ; ; ; ; ;1;06;76;76;1197,56217543662
129745;1;2;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;76;76;1197,56217543662
129747;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;13;13;331,673912061453
129747;1;2;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;13;13;331,673912061453
129747;1;3;3;2;2;2;2; ;2; ; ; ; ; ; ;1;06;13;13;331,673912061453
129747;1;4;3;2;2;2;2; ;2; ; ; ; ; ; ;1;06;13;13;331,673912061453
129748;1;1;4;2;2;2;2; ;1;7;2; ;2; ; ;1;06;54;54;229,70254852971
129748;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;54;54;229,70254852971
129748;1;3;3;2;2;2;2; ;2; ; ; ; ; ; ;1;06;54;54;229,70254852971
129749;1;1;4;1; ; ; ; ; ; ; ; ; ; ; ;1;06;13;13;538,576532617892
129749;1;2;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;13;13;538,576532617892
129751;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;08;08;671,037917708055
129751;1;2;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;08;08;671,037917708055
129751;1;3;6;2;2;2;2; ;2; ; ; ; ; ; ;1;06;08;08;671,037917708055
129753;1;1;6;2;2;2;2; ;2; ; ; ; ; ; ;1;06;50;50;330,480586027965
129753;1;2;4;1; ; ; ; ; ; ; ; ; ; ; ;1;06;50;50;330,480586027965
129753;1;5;3;2;2;2;2; ;2; ; ; ; ; ; ;1;06;50;50;330,480586027965
129753;1;6;4;1; ; ; ; ; ; ; ; ; ; ; ;1;06;50;50;330,480586027965
129753;1;7;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;50;50;330,480586027965
129754;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;08;08;351,493280198227
129754;1;2;4;2;2;2;2; ;1;10; ; ; ; ; ;1;06;08;08;351,493280198227
129754;1;5;4;2;2;2;2; ;1;10; ; ; ; ; ;1;06;08;08;351,493280198227
129754;1;6;4;1; ; ; ; ; ; ; ; ; ; ; ;1;06;08;08;351,493280198227
129755;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;08;08;482,988945029689
129755;1;2;4;2;2;2;2; ;1;10; ; ; ; ; ;1;06;08;08;482,988945029689
129755;1;3;4;2;2;2;2; ;1;13; ; ; ; ; ;1;06;08;08;482,988945029689
129755;1;4;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;08;08;482,988945029689
129758;1;1;4;1; ; ; ; ; ; ; ; ; ; ; ;1;06;05;05;613,639939057043
129759;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;17;17;136,419270180023
129760;1;1;4;1; ; ; ; ; ; ; ; ; ; ; ;1;06;76;76;726,099394530278
129760;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;76;76;726,099394530278
129760;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;76;76;726,099394530278
129762;1;1;3;1; ; ; ; ; ; ; ; ; ; ; ;1;06;54;54;251,8396009178
129762;1;2;4;1; ; ; ; ; ; ; ; ; ; ; ;1;06;54;54;251,8396009178
129762;2;1;6;2;2;2;1;1; ; ; ; ; ; ;1;1;06;54;54;251,8396009178
129762;2;2;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;54;54;251,8396009178
129762;2;3;3;2;2;2;2; ;2; ; ; ; ; ; ;1;06;54;54;251,8396009178
129763;1;1;4;1; ; ; ; ; ; ; ; ; ; ; ;1;06;50;50;96,5310725427319
129764;1;1;5; ; ; ; ; ; ; ; ; ; ; ; ;1;06;66;66;622,762541960759
129764;1;2;2;2;2;2;1;1; ; ; ; ; ; ;1;1;06;66;66;622,762541960759
129768;1;1;2;2;2;2;1;1; ; ; ; ; ; ;1;1;06;05;05;845,918539430899
129768;1;2;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;05;05;845,918539430899
129768;1;3;3;2;2;2;2; ;2; ; ; ; ; ; ;1;06;05;05;845,918539430899
129770;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;08;08;854,476294317629
129770;1;2;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;08;08;854,476294317629
129773;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;17;17;169,467402099507
129773;1;2;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;17;17;169,467402099507
129773;1;3;6;2;2;2;2; ;2; ; ; ; ; ; ;1;06;17;17;169,467402099507
129773;1;4;3;2;2;2;2; ;2; ; ; ; ; ; ;1;06;17;17;169,467402099507
129774;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;73;73;127,966722856085
129774;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;73;73;127,966722856085
129775;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;05;05;600,846689842069
129775;1;2;4;2;2;2;2; ;1;3;2; ;1;6;1;1;06;05;05;600,846689842069
129780;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;66;66;188,402984289377
129780;1;2;5; ; ; ; ; ; ; ; ; ; ; ; ;1;06;66;66;188,402984289377
129780;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;66;66;188,402984289377
129782;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;66;66;750,334386187958
129782;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;66;66;750,334386187958
129782;1;4;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;66;66;750,334386187958
129783;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;13;13;366,246667120299
129783;1;2;3;2;2;2;2; ;2; ; ; ; ; ; ;1;06;13;13;366,246667120299
129783;1;3;5; ; ; ; ; ; ; ; ; ; ; ; ;1;06;13;13;366,246667120299
129785;1;1;4;1; ; ; ; ; ; ; ; ; ; ; ;1;06;54;54;318,932101418677
129785;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;54;54;318,932101418677
129789;1;1;4;2;1; ; ; ; ; ; ; ; ; ; ;1;06;68;68;299,542683033732
129789;1;2;4;2;1; ; ; ; ; ; ; ; ; ; ;1;06;68;68;299,542683033732
129789;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;68;68;299,542683033732
129789;1;4;3;2;2;2;2; ;1;12; ; ; ; ; ;1;06;68;68;299,542683033732
129789;1;5;5; ; ; ; ; ; ; ; ; ; ; ; ;1;06;68;68;299,542683033732
129791;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;11;11;2037,94561046871
129791;1;3;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;11;11;2037,94561046871
129791;1;4;4;2;2;2;2; ;1;2;2; ;2; ; ;1;06;11;11;2037,94561046871
129792;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;08;08;463,436671913522
129792;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;08;08;463,436671913522
129792;1;3;5; ; ; ; ; ; ; ; ; ; ; ; ;1;06;08;08;463,436671913522
129797;1;1;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;05;05;1132,86783680825
129797;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;05;05;1132,86783680825
129797;1;4;6;2;2;2;2; ;2; ; ; ; ; ; ;1;06;05;05;1132,86783680825
129797;1;5;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;05;05;1132,86783680825
129797;1;6;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;05;05;1132,86783680825
129797;1;7;6;1; ; ; ; ; ; ; ; ; ; ; ;1;06;05;05;1132,86783680825
129797;1;8;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;05;05;1132,86783680825
129798;1;1;4;2;2;2;2; ;1;10; ; ; ; ; ;1;06;54;54;185,004581382757
129798;1;2;4;2;2;2;2; ;1;13; ; ; ; ; ;1;06;54;54;185,004581382757
129798;1;3;3;2;2;2;2; ;2; ; ; ; ; ; ;1;06;54;54;185,004581382757
129802;1;1;6;2;2;2;2; ;2; ; ; ; ; ; ;1;06;11;11;1794,18181912397
129802;1;2;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;11;11;1794,18181912397
129804;1;1;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;50;50;96,5310725427319
129806;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;73;73;200,11520907303
129806;1;2;2;2;2;2;1;1; ; ; ; ; ; ;1;1;06;73;73;200,11520907303
129806;1;3;3;2;2;2;2; ;2; ; ; ; ; ; ;1;06;73;73;200,11520907303
129806;1;4;3;2;2;2;2; ;2; ; ; ; ; ; ;1;06;73;73;200,11520907303
129807;1;1;6;2;1; ; ; ; ; ; ; ; ; ; ;1;06;11;11;3058,93610408601
129809;1;1;6;2;1; ; ; ; ; ; ; ; ; ; ;1;06;11;11;1794,18181912397
129809;1;2;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;11;11;1794,18181912397
129813;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;76;76;863,069393726708
129814;1;1;4;2;2;2;1;4; ; ; ; ; ; ;1;1;06;66;66;454,363127087586
129814;1;2;2;2;2;2;1;4; ; ; ; ; ; ;1;1;06;66;66;454,363127087586
129814;1;3;2;2;2;2;1;4; ; ; ; ; ; ;1;1;06;66;66;454,363127087586
129816;1;1;4;2;2;2;2; ;1;13; ; ; ; ; ;1;06;54;54;379,941948475807
129816;1;2;6;1; ; ; ; ; ; ; ; ; ; ; ;1;06;54;54;379,941948475807
129816;1;3;3;2;2;2;2; ;2; ; ; ; ; ; ;1;06;54;54;379,941948475807
129817;1;1;6;1; ; ; ; ; ; ; ; ; ; ; ;1;06;17;17;95,4726354443878
129817;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;17;17;95,4726354443878
129818;1;1;4;2;1; ; ; ; ; ; ; ; ; ; ;1;06;50;50;264,851988676335
129818;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;50;50;264,851988676335
129818;2;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;50;50;264,851988676335
129822;1;1;4;2;2;2;1;1; ; ; ; ; ; ;1;1;06;05;05;583,518559276156
129822;1;2;6;2;2;2;2; ;1;13; ; ; ; ; ;1;06;05;05;583,518559276156
129822;1;3;3;2;2;2;2; ;2; ; ; ; ; ; ;1;06;05;05;583,518559276156
129822;1;4;5; ; ; ; ; ; ; ; ; ; ; ; ;1;06;05;05;583,518559276156
129823;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;66;66;454,363127087586
129823;1;2;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;66;66;454,363127087586
129823;1;3;6;2;2;2;1;1; ; ; ; ; ; ;1;1;06;66;66;454,363127087586
129826;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;11;11;2025,43680491075
129826;1;2;4;2;1; ; ; ; ; ; ; ; ; ; ;1;06;11;11;2025,43680491075
129826;1;6;4;1; ; ; ; ; ; ; ; ; ; ; ;1;06;11;11;2025,43680491075
129827;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;66;66;382,193459573443
129827;1;2;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;66;66;382,193459573443
129827;1;4;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;66;66;382,193459573443
129828;1;1;4;2;1; ; ; ; ; ; ; ; ; ; ;1;06;08;08;828,169459861749
129828;1;2;3;2;2;2;2; ;2; ; ; ; ; ; ;1;06;08;08;828,169459861749
129828;1;3;3;2;2;2;2; ;2; ; ; ; ; ; ;1;06;08;08;828,169459861749
129829;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;11;11;2824,98440745914
129829;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;11;11;2824,98440745914
129829;1;4;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;11;11;2824,98440745914
129834;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;11;11;1791,3459341413
129834;1;2;3;2;2;2;2; ;2; ; ; ; ; ; ;1;06;11;11;1791,3459341413
129834;1;3;6;2;2;2;2; ;2; ; ; ; ; ; ;1;06;11;11;1791,3459341413
129835;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;05;05;703,800369338752
129835;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;05;05;703,800369338752
129839;1;1;6;2;2;2;2; ;2; ; ; ; ; ; ;1;06;17;17;67,9395491892712
129839;1;2;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;17;17;67,9395491892712
129839;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;17;17;67,9395491892712
129839;1;4;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;17;17;67,9395491892712
129839;1;5;2;2;2;2;1;2; ; ; ; ; ; ;1;1;06;17;17;67,9395491892712
129839;1;6;3;2;2;2;2; ;2; ; ; ; ; ; ;1;06;17;17;67,9395491892712
129840;1;1;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;66;66;722,850429457522
129840;1;2;2;2;2;2;1;4; ; ; ; ; ; ;1;1;06;66;66;722,850429457522
129840;1;3;3;2;2;2;2; ;2; ; ; ; ; ; ;1;06;66;66;722,850429457522
129843;1;1;6;2;1; ; ; ; ; ; ; ; ; ; ;1;06;54;54;83,8125035747718
129846;1;1;6;2;2;2;2; ;2; ; ; ; ; ; ;1;06;66;66;305,131955993066
129847;1;1;6;2;2;2;2; ;2; ; ; ; ; ; ;1;06;05;05;788,991430837761
129847;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;05;05;788,991430837761
129847;1;3;2;2;2;2;1;1; ; ; ; ; ; ;1;1;06;05;05;788,991430837761
129847;1;4;3;2;2;2;2; ;2; ; ; ; ; ; ;1;06;05;05;788,991430837761
129850;1;1;6;1; ; ; ; ; ; ; ; ; ; ; ;1;06;76;76;1347,04665781302
129851;1;1;6;2;2;2;2; ;2; ; ; ; ; ; ;1;06;66;66;376,977791687444
129851;1;2;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;66;66;376,977791687444
129856;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;54;54;86,0214200783581
129856;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;54;54;86,0214200783581
129857;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;50;50;123,8495393725
129857;1;2;2;2;2;2;1;1; ; ; ; ; ; ;1;1;06;50;50;123,8495393725
129857;1;3;3;2;2;2;2; ;2; ; ; ; ; ; ;1;06;50;50;123,8495393725
129858;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;66;66;243,38992860496
129858;1;2;6;2;2;2;1;4; ; ; ; ; ; ;1;1;06;66;66;243,38992860496
129861;1;1;6;2;1; ; ; ; ; ; ; ; ; ; ;1;06;76;76;892,374974912879
129861;1;2;6;2;2;2;2; ;2; ; ; ; ; ; ;1;06;76;76;892,374974912879
129861;1;3;6;2;2;1; ; ; ; ; ; ; ; ; ;1;06;76;76;892,374974912879
129862;1;1;6;2;2;2;1;1; ; ; ; ; ; ;1;1;06;54;54;188,778178372345
129862;1;2;4;2;2;2;2; ;1;9; ; ; ; ; ;1;06;54;54;188,778178372345
129867;1;1;4;1; ; ; ; ; ; ; ; ; ; ; ;1;06;54;54;78,2583677762286
129867;1;2;3;2;2;2;2; ;2; ; ; ; ; ; ;1;06;54;54;78,2583677762286
129867;1;3;3;2;2;2;2; ;2; ; ; ; ; ; ;1;06;54;54;78,2583677762286
129868;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;66;66;322,131526128378
129870;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;66;66;218,092028766413
129870;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;66;66;218,092028766413
129870;1;3;3;2;2;2;2; ;2; ; ; ; ; ; ;1;06;66;66;218,092028766413
129871;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;66;66;710,795813545715
129874;1;1;6;2;2;2;2; ;2; ; ; ; ; ; ;1;06;05;05;769,557471095624
129875;1;1;6;2;1; ; ; ; ; ; ; ; ; ; ;1;06;08;08;655,581075933726
129875;1;2;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;08;08;655,581075933726
129877;1;1;6;2;2;2;2; ;2; ; ; ; ; ; ;1;06;17;17;100,890822512183
129877;1;2;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;17;17;100,890822512183
129877;1;3;6;2;2;2;2; ;1;11; ; ; ; ; ;1;06;17;17;100,890822512183
129877;1;4;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;17;17;100,890822512183
129877;1;5;3;2;2;2;1;1; ; ; ; ; ; ;1;1;06;17;17;100,890822512183
129877;1;6;2;2;2;2;1;1; ; ; ; ; ; ;1;1;06;17;17;100,890822512183
129879;1;1;2;2;2;2;1;1; ; ; ; ; ; ;1;1;06;66;66;790,905230101109
129880;1;1;4;2;2;2;1;2; ; ; ; ; ; ;1;1;06;17;17;97,9112762638782
129880;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;17;17;97,9112762638782
129880;1;3;4;2;2;2;1;2; ; ; ; ; ; ;1;1;06;17;17;97,9112762638782
129880;1;4;5; ; ; ; ; ; ; ; ; ; ; ; ;1;06;17;17;97,9112762638782
129881;1;1;6;2;2;2;2; ;2; ; ; ; ; ; ;1;06;05;05;571,856369239963
129881;1;2;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;05;05;571,856369239963
129881;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;05;05;571,856369239963
129881;1;4;3;2;2;2;1;2; ; ; ; ; ; ;1;1;06;05;05;571,856369239963
129884;1;1;6;2;1; ; ; ; ; ; ; ; ; ; ;1;06;66;66;545,659384994119
129884;1;2;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;66;66;545,659384994119
129884;1;3;6;2;2;2;2; ;2; ; ; ; ; ; ;1;06;66;66;545,659384994119
129884;1;4;2;2;2;2;1;1; ; ; ; ; ; ;1;1;06;66;66;545,659384994119
129885;1;1;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;11;11;3237,16658388286
129886;1;1;6;2;2;2;1;2; ; ; ; ; ; ;1;1;06;17;17;139,586053216103
129886;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;17;17;139,586053216103
129886;1;3;3;2;2;2;2; ;2; ; ; ; ; ; ;1;06;17;17;139,586053216103
129889;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;13;13;356,656269691702
129890;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;23;23;136,589055842247
129890;1;2;3;2;2;2;2; ;1;12; ; ; ; ; ;1;06;23;23;136,589055842247
129890;1;5;3;2;2;2;2; ;1;12; ; ; ; ; ;1;06;23;23;136,589055842247
129891;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;50;50;194,06717240521
129891;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;50;50;194,06717240521
129891;1;4;4;2;2;2;2; ;1;11; ; ; ; ; ;1;06;50;50;194,06717240521
129891;1;5;6;2;2;2;2; ;2; ; ; ; ; ; ;1;06;50;50;194,06717240521
129896;1;1;6;2;2;2;2; ;2; ; ; ; ; ; ;1;06;54;54;60,2821073794042
129896;1;2;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;54;54;60,2821073794042
129901;1;1;6;2;2;2;2; ;2; ; ; ; ; ; ;1;06;73;73;189,747651369338
129901;1;2;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;73;73;189,747651369338
129901;1;3;3;2;2;2;2; ;2; ; ; ; ; ; ;1;06;73;73;189,747651369338
129902;1;1;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;66;66;262,595031243132
129902;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;66;66;262,595031243132
129902;1;3;3;2;2;2;2; ;2; ; ; ; ; ; ;1;06;66;66;262,595031243132
129902;1;5;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;66;66;262,595031243132
129905;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;66;66;114,455805188086
129905;1;2;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;66;66;114,455805188086
129905;1;3;6;2;2;2;2; ;2; ; ; ; ; ; ;1;06;66;66;114,455805188086
129905;1;4;3;2;2;2;2; ;2; ; ; ; ; ; ;1;06;66;66;114,455805188086
129906;1;1;6;2;2;2;2; ;2; ; ; ; ; ; ;1;06;08;08;336,084586107932
129906;1;2;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;08;08;336,084586107932
129906;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;08;08;336,084586107932
129911;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;76;76;1306,00207311449
129911;1;2;4;2;2;2;1;1; ; ; ; ; ; ;1;1;06;76;76;1306,00207311449
129911;1;3;2;2;2;2;1;1; ; ; ; ; ; ;1;1;06;76;76;1306,00207311449
129912;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;54;54;308,518796640151
129912;1;2;4;1; ; ; ; ; ; ; ; ; ; ; ;1;06;54;54;308,518796640151
129915;1;1;2;2;2;2;1;1; ; ; ; ; ; ;1;1;06;54;54;91,4891186760781
