directorio;secuencia_p;orden;P6240;P6250;P6260;P6270;P6280;P6290;P6300;P6310;P6320;P6330;P6340;P6350;P6351;Ft;mes;area;dpto;fex_c_2011
120673;1;3;2;2;2;2;1;1; ; ; ; ; ; ;1;1;06;50;50;189,693093065425
120675;1;1;4;2;2;2;1;3; ; ; ; ; ; ;1;1;06;13;13;500,833638929758
120675;1;2;4;1; ; ; ; ; ; ; ; ; ; ; ;1;06;13;13;500,833638929758
120676;1;1;6;2;2;2;2; ;2; ; ; ; ; ; ;1;06;23;23;97,1480421423117
120676;1;2;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;23;23;97,1480421423117
120676;1;4;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;23;23;97,1480421423117
120677;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;06;68;68;202,952186617801
120677;1;2;4;2;2;2;2; ;1;2;1;2; ; ; ;1;06;68;68;202,952186617801
120677;1;3;3;2;2;2;1;3; ; ; ; ; ; ;1;1;06;68;68;202,952186617801
120677;1;4;6;2;2;2;1;3; ; ; ; ; ; ;1;1;06;68;68;202,952186617801
120679;1;1;4;2;1; ; ; ; ; ; ; ; ; ; ;1;06;23;23;128,981819086074
120680;1;1;2;2;2;2;1;3; ; ; ; ; ; ;1;1;06;13;13;185,995711695347
120680;1;2;6;2;2;2;2; ;2; ; ; ; ; ; ;1;06;13;13;185,995711695347
120680;1;3;5; ; ; ; ; ; ; ; ; ; ; ; ;1;06;13;13;185,995711695347
120680;1;4;3;2;2;2;2; ;2; ; ; ; ; ; ;1;06;13;13;185,995711695347
120688;1;1;4;2;2;2;2; ;2; ; ; ; ; ; ;1;06;23;23;112,469940340013
120688;1;2;4;2;1; ; ; ; ; ; ; ; ; ; ;1;06;23;23;112,469940340013
120688;1;3;6;2;1; ; ; ; ; ; ; ; ; ; ;1;06;23;23;112,469940340013
120688;1;4;6;2;1; ; ; ; ; ; ; ; ; ; ;1;06;23;23;112,469940340013
120688;1;5;4;2;1; ; ; ; ; ; ; ; ; ; ;1;06;23;23;112,469940340013
120689;1;1;6;2;2;2;2; ;2; ; ; ; ; ; ;1;06;11;11;1211,22306321705
120689;1;2;6;2;2;2;2; ;2; ; ; ; ; ; ;1;06;11;11;1211,22306321705
120689;1;3;5; ; ; ; ; ; ; ; ; ; ; ; ;1;06;11;11;1211,22306321705
