directorio;secuencia_p;orden;P7430;P7440;P7450;ini;mes;area;dpto;fex_c_2011
120784;1;1;1;1,3;9;1;06;13;13;512,891760120706
120784;1;2;1;1,3;9;1;06;13;13;512,891760120706
120784;1;3;2; ; ;1;06;13;13;512,891760120706
120787;1;3;2; ; ;1;06;11;11;3522,937887978
120788;1;1;2; ; ;1;06;13;13;192,676375291155
120790;1;5;2; ; ;1;06;11;11;638,492935068472
120795;1;1;1;4;3;1;06;05;05;1805,7381850593
120799;1;3;2; ; ;1;06;13;13;239,05111386251
120803;1;1;1;4;3;1;06;13;13;473,435479922716
120803;1;2;1;1,3;9;1;06;13;13;473,435479922716
120807;1;2;1;4;5;1;06;13;13;270,558224205899
120807;1;3;2; ; ;1;06;13;13;270,558224205899
120812;1;1;1;1,3;1;1;06;13;13;283,490460854313
120819;1;1;1;4;5;1;06;11;11;1168,80981882767
120819;1;2;1;4;3;1;06;11;11;1168,80981882767
120819;1;3;1;4;2;1;06;11;11;1168,80981882767
120819;1;4;2; ; ;1;06;11;11;1168,80981882767
120823;1;4;2; ; ;1;06;13;13;274,48777490386
120824;1;3;1;1,4;7;1;06;50;50;194,795003028491
120826;1;4;1;1,2;9;1;06;23;23;73,2310920804609
120826;2;2;1;3;3;1;06;23;23;73,2310920804609
120833;1;2;1;2;5;1;06;11;11;1343,79474136424
120833;1;3;1;1,2;1;1;06;11;11;1343,79474136424
120833;1;4;2; ; ;1;06;11;11;1343,79474136424
120837;1;1;1;4;5;1;06;17;17;261,96582712802
120837;1;2;2; ; ;1;06;17;17;261,96582712802
120839;1;1;1;3;5;1;06;66;66;443,828299626277
120841;1;1;1;3;1;1;06;05;05;906,926318035024
120841;1;3;1;3;4;1;06;05;05;906,926318035024
120842;1;1;1;4;5;1;06;13;13;266,07508285773
120842;1;2;1;4;3;1;06;13;13;266,07508285773
120843;1;3;2; ; ;1;06;13;13;322,16578549602
120844;1;1;1;3;3;1;06;66;66;532,478819532352
120846;1;1;1;4;5;1;06;68;68;606,234008604109
120846;1;2;1;4;5;1;06;68;68;606,234008604109
