DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P7430;P7440;P7450;P7450S1;P7452;P7454;P7456;P7458;P7458S1;P7460;P7470;P7472;P7472S1;INI;MES;DPTO;fex_c_2011
4229050;1;2;1;80;05;1;4;7; ;2; ; ;10; ;3; ;2; ;1;01;05;1306,28538141512
4229052;1;1;1;80;05;1;3;7; ;2; ; ;10; ;3; ;2; ;1;01;05;1003,48340235433
4229053;1;1;1;80;05;1;4;9;POR LA EDAD;2; ; ;8; ;2; ;2; ;1;01;05;954,811860423909
4229055;1;1;1;80;05;1;4;4; ;2; ; ;4; ;2; ;2; ;1;01;05;1308,6877930154
4229058;1;3;1;80;05;2; ; ; ; ;2; ; ;.; ; ;2; ;1;01;05;1079,44271401664
4229059;1;1;1;80;05;1;4;4; ;2; ; ;4; ;2; ;2; ;1;01;05;1235,46411472864
4229060;1;1;1;80;05;1;1;8; ;2; ; ;4; ;2; ;2; ;1;01;05;1159,82708569454
4229060;1;2;1;80;05;1;4;3; ;2; ; ;4; ;2; ;2; ;1;01;05;1159,82708569454
4229061;1;1;1;80;05;1;4;3; ;2; ; ;2; ;2; ;2; ;1;01;05;945,142792463269
4229061;1;3;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ;1;01;05;945,142792463269
4229062;1;4;1;80;05;1;2;7; ;2; ; ;8; ;2; ;2; ;1;01;05;1353,41025010568
4229062;1;5;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ;1;01;05;1353,41025010568
4229063;1;2;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ;1;01;05;966,970234591125
4229065;1;1;1;80;05;1;4;3; ;2; ; ;9; ;2; ;2; ;1;01;05;1110,92015574221
4229065;1;3;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ;1;01;05;1110,92015574221
4229066;1;2;1;80;05;1;1;2; ;2; ; ;12;PORQUE ESTA PLANEANDO INICIAR UN POSGRADO;2; ;1;200000;1;01;05;1101,27015614449
4229071;1;4;1;80;05;1;1;8; ;2; ; ;1; ;2; ;2; ;1;01;05;1077,04030241637
4229076;1;3;1;80;05;2; ; ; ; ;2; ; ;.; ; ;2; ;1;01;05;1250,47476829016
4229077;1;2;1;80;08;1;4;7; ;2; ; ;8; ;2; ;2; ;1;01;08;481,661269104179
4229078;1;1;1;80;08;2; ; ; ; ;2; ; ;.;2; ;2; ;1;01;08;490,886494815975
4229079;1;2;1;80;08;1;4;3; ;2; ; ;9; ;2; ;2; ;1;01;08;545,694449850302
4229079;1;3;1;80;08;2; ; ; ; ;2; ; ;.;2; ;2; ;1;01;08;545,694449850302
4229083;1;1;1;80;08;1;4;5; ;2; ; ;10; ;3; ;2; ;1;01;08;619,208603232498
4229083;1;2;1;80;08;1;3;5; ;2; ; ;10; ;3; ;2; ;1;01;08;619,208603232498
4229083;1;3;1;80;08;2; ; ; ; ;2; ; ;.;2; ;2; ;1;01;08;619,208603232498
4229083;1;4;1;80;08;2; ; ; ; ;2; ; ;.;2; ;2; ;1;01;08;619,208603232498
4229084;1;2;1;80;08;2; ; ; ; ;2; ; ;.;2; ;2; ;1;01;08;374,262116748798
4229084;1;3;1;80;08;2; ; ; ; ;2; ; ;.; ; ;2; ;1;01;08;374,262116748798
4229086;1;3;1;80;08;1;2;8; ;1; ;2;9; ;2; ;2; ;1;01;08;656,455320293312
4229087;1;2;1;80;08;2; ; ; ; ;2; ; ;.;2; ;2; ;1;01;08;604,286474052201
4229088;1;2;1;80;08;1;1;6; ;2; ; ;9; ;2; ;2; ;1;01;08;509,320939058583
4229090;1;1;1;80;08;1;4;5; ;2; ; ;10; ;3; ;2; ;1;01;08;567,294133577098
4229090;1;2;1;80;08;1;2;2; ;1; ;1;2; ;2; ;2; ;1;01;08;567,294133577098
4229090;1;3;1;80;08;1;4;3; ;2; ; ;9; ;2; ;2; ;1;01;08;567,294133577098
4229091;1;1;1;80;08;1;4;3; ;2; ; ;9; ;2; ;2; ;1;01;08;601,686918166388
4229091;1;2;1;80;08;2; ; ; ; ;2; ; ;.; ; ;2; ;1;01;08;601,686918166388
4229091;1;3;1;80;08;2; ; ; ; ;2; ; ;.; ; ;2; ;1;01;08;601,686918166388
4229092;1;1;1;80;08;1;4;7; ;2; ; ;4; ;2; ;2; ;1;01;08;509,320939058583
4229092;1;2;1;80;08;1;4;3; ;2; ; ;9; ;2; ;2; ;1;01;08;509,320939058583
4229095;1;1;1;80;08;1;4;4; ;2; ; ;4; ;2; ;2; ;1;01;08;577,145008152694
4229099;1;1;1;80;13;1;4;5; ;2; ; ;10; ;3; ;2; ;1;01;13;431,673341372939
4229100;1;2;1;80;13;1;3;3; ;2; ; ;9; ;2; ;2; ;1;01;13;315,545147566703
4229101;1;2;1;80;13;1;3;8; ;1; ;2;7; ;2; ;2; ;1;01;13;362,555335735469
4229102;1;2;1;80;13;1;4;3; ;2; ; ;8; ;2; ;2; ;1;01;13;430,098459272591
4229103;1;1;1;80;13;1;4;5; ;2; ; ;9; ;2; ;2; ;1;01;13;433,466436345739
4229103;1;2;1;80;13;1;1;4; ;2; ; ;4; ;2; ;2; ;1;01;13;433,466436345739
4229103;1;3;1;80;13;1;4;4; ;2; ; ;4; ;2; ;2; ;1;01;13;433,466436345739
4229104;1;2;1;80;13;1;4;3; ;2; ; ;11; ;2; ;2; ;1;01;13;430,098459272591
4229105;1;1;1;80;13;1;4;3; ;2; ; ;9; ;2; ;2; ;1;01;13;342,743957621861
4229105;1;3;1;80;13;2; ; ; ; ;2; ; ;.;2; ;2; ;1;01;13;342,743957621861
4229108;1;4;1;80;13;2; ; ; ; ;2; ; ;.;2; ;2; ;1;01;13;411,144908867181
4229109;1;2;1;80;13;1;2;2; ;2; ; ;2; ;2; ;2; ;1;01;13;369,938564964498
4229109;1;3;1;80;13;2; ; ; ; ;2; ; ;.;2; ;2; ;1;01;13;369,938564964498
4229110;1;1;1;80;13;2; ; ; ; ;2; ; ;.;2; ;2; ;1;01;13;315,545147566703
4229111;1;1;1;80;13;2; ; ; ; ;2; ; ;.;2; ;2; ;1;01;13;363,593082503598
4229111;1;3;1;80;13;2; ; ; ; ;2; ; ;.;2; ;2; ;1;01;13;363,593082503598
4229112;1;3;1;80;13;2; ; ; ; ;2; ; ;.;2; ;2; ;1;01;13;317,44072204303
4229113;1;3;1;80;13;2; ; ; ; ;2; ; ;.;2; ;2; ;1;01;13;329,695640230249
4229113;1;4;1;80;13;2; ; ; ; ;2; ; ;.;2; ;2; ;1;01;13;329,695640230249
4229113;1;5;1;80;13;2; ; ; ; ;2; ; ;.;2; ;2; ;1;01;13;329,695640230249
4229115;1;2;1;80;13;1;4;3; ;2; ; ;9; ;2; ;2; ;1;01;13;334,60677109405
4229116;1;1;1;80;13;1;3;7; ;2; ; ;8; ;2; ;2; ;1;01;13;411,144908867181
4229116;1;3;1;80;13;1;2;6; ;2; ; ;9; ;2; ;2; ;1;01;13;411,144908867181
4229117;1;2;1;80;13;1;1;3; ;2; ; ;9; ;2; ;2; ;1;01;13;402,68143634498
4229117;1;3;1;80;13;2; ; ; ; ;2; ; ;.;2; ;2; ;1;01;13;402,68143634498
4229118;1;5;1;80;13;1;4;6; ;2; ; ;4; ;2; ;2; ;1;01;13;332,81367612125
4229227;1;2;1;80;17;1;2;3; ;2; ; ;9; ;2; ;2; ;1;01;17;310,352043280357
4229228;1;1;1;80;17;1;4;5; ;2; ; ;10; ;3; ;2; ;1;01;17;174,785576636204
4229229;1;1;1;80;17;1;1;8; ;2; ; ;12;ESTA ESPERANDO QUE LA LLAMEN DE SU ULTIMO TRABAJO;1;2;2; ;1;01;17;208,262639928339
4229229;1;3;1;80;17;1;1;8; ;1; ;1;12;TRABAJO TEMPORAL TERMINADO;2; ;1;380000;1;01;17;208,262639928339
4229230;1;2;1;80;17;1;4;5; ;2; ; ;10; ;3; ;2; ;1;01;17;159,439834524082
4229231;1;2;1;80;17;2; ; ; ; ;2; ; ;.;2; ;2; ;1;01;17;182,278888338489
4229231;1;3;1;80;17;2; ; ; ; ;2; ; ;.;2; ;2; ;1;01;17;182,278888338489
4229232;1;2;1;80;17;2; ; ; ; ;2; ; ;.;2; ;2; ;1;01;17;189,325002135417
4229233;1;2;1;80;17;1;4;4; ;2; ; ;4; ;2; ;2; ;1;01;17;159,439834524082
4229234;1;1;1;80;17;1;2;8; ;2; ; ;1; ;1;2;2; ;1;01;17;170,194730502714
4229235;1;3;1;80;17;2; ; ; ; ;2; ; ;.; ; ;2; ;1;01;17;222,802065427552
4229235;1;4;1;80;17;2; ; ; ; ;2; ; ;.;2; ;2; ;1;01;17;222,802065427552
4229236;1;1;1;80;17;1;4;4; ;2; ; ;4; ;2; ;2; ;1;01;17;159,439834524082
4229236;1;2;1;80;17;2; ; ; ; ;2; ; ;.;2; ;2; ;1;01;17;159,439834524082
4229237;1;1;1;80;17;1;3;4; ;2; ; ;4; ;2; ;2; ;1;01;17;185,426493824886
4229238;1;2;1;80;17;1;1;3; ;2; ; ;9; ;1;1;1;344000;1;01;17;176,17671194494
4229238;1;3;1;80;17;2; ; ; ; ;2; ; ;.;2; ;2; ;1;01;17;176,17671194494
4229238;1;4;1;80;17;1;4;3; ;2; ; ;9; ;2; ;2; ;1;01;17;176,17671194494
4229239;1;2;1;80;17;1;4;3; ;2; ; ;9; ;2; ;2; ;1;01;17;172,27820363441
4229240;1;1;1;80;17;1;4;7; ;2; ; ;9; ;2; ;2; ;1;01;17;149,438749080539
4229240;1;2;1;80;17;1;1;8; ;2; ; ;2; ;2; ;1;1200000;1;01;17;149,438749080539
4229241;1;4;1;80;17;1;4;5; ;2; ; ;10; ;3; ;2; ;1;01;17;211,504270089565
4229242;1;1;1;80;17;1;4;5; ;2; ; ;10; ;3; ;2; ;1;01;17;172,27820363441
4229242;1;2;1;80;17;2; ; ; ; ;2; ; ;.;2; ;2; ;1;01;17;172,27820363441
4229245;1;2;1;80;17;2; ; ; ; ;2; ; ;.;2; ;2; ;1;01;17;112,008164428563
4229245;1;3;1;80;17;1;2;4; ;2; ; ;4; ;2; ;2; ;1;01;17;112,008164428563
4229247;1;1;1;80;17;1;1;8; ;2; ; ;9; ;2; ;2; ;1;01;17;187,623945746531
4229248;1;2;1;80;17;1;3;8; ;2; ; ;8; ;2; ;2; ;1;01;17;211,504270089565
4229249;1;3;1;80;17;2; ; ; ; ;2; ; ;.;2; ;2; ;1;01;17;204,28584251692
4229249;1;5;1;80;17;2; ; ; ; ;2; ; ;.;2; ;2; ;1;01;17;204,28584251692
4229250;1;1;1;80;17;1;2;5; ;2; ; ;10; ;3; ;2; ;1;01;17;148,798917335399
4229250;1;2;1;80;17;1;4;3; ;2; ; ;4; ;2; ;2; ;1;01;17;148,798917335399
4229251;1;2;1;80;17;2; ; ; ; ;2; ; ;.;2; ;2; ;1;01;17;187,623945746531
4229253;1;1;1;80;17;1;3;4; ;2; ; ;4; ;3; ;2; ;1;01;17;182,278888338489
4229253;1;3;1;80;17;1;1;6; ;2; ; ;2; ;2; ;2; ;1;01;17;182,278888338489
4229257;1;1;1;80;17;1;4;4; ;2; ; ;8; ;2; ;2; ;1;01;17;198,264862935214
4229260;1;2;1;80;17;1;4;4; ;2; ; ;4; ;2; ;2; ;1;01;17;159,439834524082
4229264;1;1;1;80;17;1;2;5; ;2; ; ;10; ;3; ;2; ;1;01;17;174,785576636204
4229266;1;2;1;80;17;1;3;8; ;2; ; ;9; ;2; ;2; ;1;01;17;333,478156348839
4229270;1;1;1;80;17;1;1;8; ;2; ; ;8; ;1;1;1;2000000;1;01;17;177,220890184522
4229270;1;2;1;80;17;1;4;3; ;2; ; ;4; ;2; ;2; ;1;01;17;177,220890184522
4229270;1;3;1;80;17;1;1;8; ;2; ; ;9; ;2; ;2; ;1;01;17;177,220890184522
4229273;1;4;1;80;17;2; ; ; ; ;2; ; ;.;2; ;2; ;1;01;17;194,617954205103
4229274;1;1;1;80;17;1;1;9;POR ENFERMEDAD DE LA MAMA;2; ; ;12;POR ENFERMEDAD DE LA MAMA;1;1;2; ;1;01;17;211,504270089565
4229274;1;4;1;80;17;1;4;3; ;2; ; ;9; ;2; ;2; ;1;01;17;211,504270089565
4229275;1;3;1;80;17;2; ; ; ; ;2; ; ;.;2; ;2; ;1;01;17;183,033099613042
4229275;1;4;1;80;17;2; ; ; ; ;2; ; ;.;2; ;2; ;1;01;17;183,033099613042
4229276;1;1;1;80;17;1;4;8; ;2; ; ;9; ;2; ;2; ;1;01;17;127,353906540684
