DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;P7250;P7280;P744;P3074;P7260;P1806;P7430;P7440S1;P7440S2;P7450;P7330;P7350;P7360;P9460;P1519;P1883;P7422;P7422S1;P7440;CLASE;DSI;FFT;AREA;RAMA4D_D_R4;RAMA2D_D_R4;OFICIO1_C8;OFICIO2_C8;MES;PERIODO;DPTO;DSCY;FEX_C18;PER;REGIS
7000075;1;4;1;;;;;;;2;;;;.;;;;2;;2;;;2;;1;;.;;.;.;03;20220313;54;;418.8335866;2022;70
7000079;1;2;1;;;;;;;2;;;;.;;;;2;;2;;;2;;1;;.;;.;.;03;20220313;54;;283.18137481;2022;70
7000079;1;3;1;;;;;;;2;;;;.;;;;2;;2;;;2;;1;;.;;.;.;03;20220313;54;;283.18137481;2022;70
7000080;1;1;1;;;;;;;2;;;;.;;;;2;;2;;;2;;1;;.;;.;.;03;20220313;54;;324.2209504;2022;70
7000081;1;3;1;;;;;;;2;;;;.;;;;2;;2;;;2;;1;;.;;.;.;03;20220313;54;;283.18137481;2022;70
7000083;1;1;1;;;;;;;1;36;0;4;CULTIVAR Y SEMBRAR ARROZ EN DIFERENTES FINCAS AGRICOLAS PARTICULARES;4;1;2;2;;2;;;2;;1;;0161;01;.;9211;03;20220313;54;;106.767576;2022;70
7000083;1;3;1;;;;;;;2;;;;.;;;;2;;2;;;2;;1;;.;;.;.;03;20220313;54;;106.767576;2022;70
7000083;1;4;1;;;;;;;2;;;;.;;;;2;;2;;;2;;1;;.;;.;.;03;20220313;54;;106.767576;2022;70
7000084;1;2;1;;;;;;;2;;;;.;;;;2;;2;;;2;;1;;.;;.;.;03;20220313;54;;228.77977419;2022;70
7000085;1;2;1;;;;;;;2;;;;.;;;;2;;2;;;2;;1;;.;;.;.;03;20220313;54;;326.62519069;2022;70
7000086;1;2;1;;;;;;;2;;;;.;;;;2;;2;;;2;;1;;.;;.;.;03;20220313;54;;152.57369553;2022;70
7000087;1;1;1;;;;;;;1;72;0;4;SACRIFICAR RESES EN DIFERENTES FINCAS (MATARIFE);4;1;2;2;;2;;;2;;1;;1011;10;.;7511;03;20220313;54;;106.767576;2022;70
7000087;1;2;1;;;;;;;1;24;0;3;EMPLEADA DOMESTICA;3;2;2;2;;2;;;2;;1;;9700;97;.;9111;03;20220313;54;;106.767576;2022;70
7000087;1;5;1;;;;;;;2;;;;.;;;;2;;2;;;2;;1;;.;;.;.;03;20220313;54;;106.767576;2022;70
7000089;1;1;1;;;;;;;2;;;;.;;;;2;;2;;;2;;1;;.;;.;.;03;20220313;54;;185.1958385;2022;70
7000093;1;2;1;;;;;;;2;;;;.;;;;2;;2;;;2;;1;;.;;.;.;03;20220313;54;;209.75064881;2022;70
7000094;1;1;1;;;1;;40;600000;1;3;1;3;AUXILIAR DE COCINA EN RESTAURANTE;4;2;2;2;;2;;;2;;1;;5611;56;.;9412;03;20220313;54;;404.67968313;2022;70
7000094;1;2;1;3;1;;;40;1000000;1;0;3;9;SOLDADO;2;10;2;2;;2;;;2;1;;;8422;84;5414;0310;03;20220313;54;1;404.67968313;2022;70
7000094;1;3;1;;;;;;;2;;;;.;;;;2;;2;;;2;;1;;.;;.;.;03;20220313;54;;404.67968313;2022;70
7000094;1;4;1;;;;;;;2;;;;.;;;;2;;2;;;2;;1;;.;;.;.;03;20220313;54;;404.67968313;2022;70
7000095;1;2;1;;;;;;;2;;;;.;;;;2;;2;;;2;;1;;.;;.;.;03;20220313;54;;225.39088722;2022;70
7000096;1;3;1;;;;;;;2;;;;.;;;;2;;2;;;2;;1;;.;;.;.;03;20220313;54;;249.51762429;2022;70
7000097;1;2;1;;;;;;;2;;;;.;;;;2;;2;;;2;;1;;.;;.;.;03;20220313;54;;168.16785738;2022;70
7000098;1;2;1;;;;;;;2;;;;.;;;;2;;2;;;2;;1;;.;;.;.;03;20220313;54;;149.04574462;2022;70
7000099;1;2;1;;;;;;;2;;;;.;;;;2;;2;;;2;;1;;.;;.;.;03;20220313;54;;312.34545518;2022;70
7000100;1;2;1;;;;;;;2;;;;.;;;;2;;2;;;2;;1;;.;;.;.;03;20220313;54;;149.04574462;2022;70
7000101;1;2;1;;;1;;30;500000;1;60;0;9;EMPLEADA DOMESTICA EN HOGAR PARTICULAR;4;1;2;2;;2;;;2;;1;;9700;97;.;9111;03;20220313;54;;146.92281792;2022;70
7000103;1;2;1;52;1;;;55;1000000;1;12;0;6;SECRETARIO AUXILIAR EN BOLSA DE EMPLEO;1;10;2;2;;2;;;1;1;;;7810;78;4224;4120;03;20220313;54;2;1303.3903012;2022;70
7000105;1;1;1;;;;;;;2;;;;.;;;;2;;2;;;1;;1;;.;;.;.;03;20220313;54;;994.20921815;2022;70
7000107;1;1;1;;;;;;;1;360;0;5;TOMAR LECTURA DE CONTADORES EN EMPRESAS DE ACUEDUCTO;2;10;2;3;;2;;;1;;1;;3600;36;.;9626;03;20220313;54;;1549.4481657;2022;70
7000107;1;2;1;;;;;;;2;;;;.;;;;2;;2;;;1;;1;;.;;.;.;03;20220313;54;;1549.4481657;2022;70
7000108;1;1;1;6;1;;;55;1000000;1;2;0;3;ADMINISTRADORA DE TIENDA;4;1;2;2;;2;;;1;1;;;4711;47;5223;1420;03;20220313;54;1;935.16335037;2022;70
7000109;1;1;1;;;;;;;2;;;;.;;;;2;;2;;;1;;1;;.;;.;.;03;20220313;54;;2422.5837137;2022;70
7000109;1;3;1;;;;;;;2;;;;.;;;;2;;2;;;1;;1;;.;;.;.;03;20220313;54;;2422.5837137;2022;70
7000110;1;1;1;;;;;;;2;;;;.;;;;2;;2;;;1;;1;;.;;.;.;03;20220313;54;;1291.2068047;2022;70
7000111;1;1;1;;;;;;;1;280;0;5;DOCENTE DE ESPAÑOL EN COLEGIO;2;10;2;3;;2;;;1;;1;;8530;85;.;2341;03;20220313;54;;1635.8514254;2022;70
7000111;1;2;1;;;;;;;1;240;0;5;DOCENTE DE ESPAÑOL EN COLEGIO;2;10;2;3;;2;;;1;;1;;8530;85;.;2330;03;20220313;54;;1635.8514254;2022;70
7000111;1;3;1;;;;;;;1;48;0;3;PROPIETARIO ADMINISTRADOR DE CAFE INTERNET;4;1;2;2;;2;;;1;;1;;6190;61;.;1330;03;20220313;54;;1635.8514254;2022;70
7000112;1;2;1;;;;;;;1;8;0;1;EMPLEADA DOMESTICA;3;1;2;2;;2;;;2;;1;;9700;97;.;9111;03;20220313;23;;1249.1847827;2022;70
7000113;1;2;1;;;2;5;;500000;1;60;1;7;MODISTA;4;1;2;2;;2;;;2;;1;;1410;14;.;7531;03;20220313;23;;1946.9366085;2022;70
7000113;1;4;1;8;1;;;44;1000000;2;;;;.;;;;2;;2;;;2;1;;;;;2166;;03;20220313;23;1;1946.9366085;2022;70
7000113;1;5;1;;;;;;;2;;;;.;;;;2;;2;;;2;;1;;.;;.;.;03;20220313;23;;1946.9366085;2022;70
7000115;1;1;1;;;;;;;1;36;3;7;ELABORA Y VENTE FRITOS EN PUESTO MOVIL;4;1;2;2;;2;;;2;;1;;5619;56;.;9411;03;20220313;23;;1507.6879097;2022;70
7000115;1;2;1;;;;;;;2;;;;.;;;;2;;2;;;2;;1;;.;;.;.;03;20220313;23;;1507.6879097;2022;70
7000119;1;5;1;;;;;;;1;60;0;3;ASEADORA;1;10;2;2;;2;;;2;;1;;6412;64;.;9112;03;20220313;23;;1077.0405139;2022;70
7000119;1;6;1;;;;;;;1;240;0;4;ASEADORA;2;10;2;2;;2;;;2;;1;;8610;86;.;9112;03;20220313;23;;1077.0405139;2022;70
7000119;1;7;1;;;;;;;1;4;0;1;EMPLEADA DOMESTICA;3;1;2;2;;2;;;2;;1;;9700;97;.;9111;03;20220313;23;;1077.0405139;2022;70
7000120;1;1;1;;;;;;;1;96;0;4;BARRE Y RECOGE BASURA EN LAS CALLES;1;10;2;2;;2;;;2;;1;;3811;38;.;9613;03;20220313;23;;1097.8386192;2022;70
7000120;1;2;1;;;;;;;1;240;0;3;EMPLEADA DOMESTICA;3;1;2;2;;2;;;2;;1;;9700;97;.;9111;03;20220313;23;;1097.8386192;2022;70
7000124;1;1;1;;;2;5;;1000000;1;48;2;7;MENSAJERA;1;6;2;2;;2;;;2;;1;;4711;47;.;9621;03;20220313;23;;3124.3275589;2022;70
7000124;1;2;1;;;2;4;;1000000;1;28;1;8;GUIA TURISTA EN AEROPUERTO;1;10;2;2;;2;;;2;;1;;5112;51;.;5113;03;20220313;23;;3124.3275589;2022;70
7000125;1;2;1;;;;;;;1;120;0;1;SECRETARIA GENERAL;1;10;2;2;;2;;;2;;1;;7020;70;.;4120;03;20220313;23;;2946.563199;2022;70
7000125;1;3;1;;;;;;;2;;;;.;;;;2;;2;;;2;;1;;.;;.;.;03;20220313;23;;2946.563199;2022;70
7000125;1;4;1;;;;;;;1;300;0;3;SECRETARIA GENERAL;1;10;2;2;;2;;;2;;1;;4923;49;.;4120;03;20220313;23;;2946.563199;2022;70
7000126;1;3;1;;;;;;;2;;;;.;;;;2;;2;;;2;;1;;.;;.;.;03;20220313;23;;3429.5508169;2022;70
7000127;1;2;1;1;1;;;48;1200000;1;20;2;6;AUXILIAR DE ENFERMERIA;1;10;2;2;;2;;;2;1;;;8610;86;5321;5321;03;20220313;23;1;2727.8275186;2022;70
7000132;1;3;1;;;;;;;2;;;;.;;;;2;;2;;;2;;1;;.;;.;.;03;20220313;23;;3443.6445847;2022;70
7000133;1;1;1;;;2;5;;1000000;1;24;5;3;GERENTE;4;1;2;2;;2;;;1;;1;;4729;47;.;1420;03;20220309;05;;270.40609389;2022;70
7000133;1;2;1;;;;;;;2;;;;.;;;;2;;2;;;1;;1;;.;;.;.;03;20220309;05;;270.40609389;2022;70
7000136;1;1;1;;;;;;;2;;;;.;;;;3;;2;;;1;;1;;.;;.;.;03;20220309;05;;223.11340235;2022;70
7000141;1;1;1;;;;;;;1;480;4;3;INDEPEDIENTE ROSA;4;1;2;2;;2;;;1;;1;;1081;10;.;7512;03;20220309;05;;223.11340235;2022;70
7000142;1;2;1;144;1;;;48;1000000;2;;;;.;;;;2;;2;;;1;1;;05;;;5221;;03;20220309;05;2;700.44351317;2022;70
7000142;1;4;1;;;1;;48;1000000;1;3;0;9;NIÑERA;3;1;2;2;;2;;;1;;1;05;9700;97;.;5311;03;20220309;05;;700.44351317;2022;70
7000142;1;7;1;;;;;;;2;;;;.;;;;2;;2;;;1;;1;05;.;;.;.;03;20220309;05;;700.44351317;2022;70
7000145;1;1;1;;;;;;;1;60;0;3;Pintora de muebles;1;7;2;2;;2;;;1;;1;05;4754;47;.;7132;03;20220309;05;;834.54102858;2022;70
7000145;1;4;1;;;;;;;1;500;0;3;Costura;1;2;2;2;;2;;;1;;1;05;4771;47;.;7531;03;20220309;05;;834.54102858;2022;70
7000145;1;5;1;;;;;;;1;240;0;6;Cortar madera;1;3;2;2;;2;;;1;;1;05;4752;47;.;7115;03;20220309;05;;834.54102858;2022;70
7000146;1;2;1;;;;;;;1;156;0;3;REPARTIDORA DE ALIMENTOS;1;3;2;2;;2;;;1;;1;05;8513;85;.;9621;03;20220309;05;;832.87522281;2022;70
7000146;1;3;1;;;;;;;1;36;0;4;GUIA EDUCATIVA METRO;2;10;2;2;;2;;;1;;1;05;4921;49;.;5113;03;20220309;05;;832.87522281;2022;70
7000147;1;1;1;;;;;;;1;120;0;8;DIGITADORA;1;7;2;2;;2;;;1;;1;05;9200;92;.;4132;03;20220309;05;;1029.689256;2022;70
7000150;1;1;1;;;;;;;1;36;4;3;AUXILIAR DE TRANSPORTE ESCOLAR;4;1;2;3;;2;;;1;;1;05;4921;49;.;4323;03;20220309;05;;1465.3156714;2022;70
7000151;1;1;1;;;;;;;1;240;0;5;PREPARAR JUGOS INDUSTRIALIZADOS;1;10;2;3;;2;;;1;;1;05;5619;56;.;9411;03;20220309;05;;1337.374829;2022;70
7000151;1;2;1;;;;;;;1;60;0;5;MERCADERISTA SURTIR MERCANCIA EN ESTANTERIAS;1;7;2;3;;2;;;1;;1;05;4711;47;.;9334;03;20220309;05;;1337.374829;2022;70
7000151;1;3;1;;;;;;;1;272;0;4;CARGUE Y DESCARGUE DE MERCANCIA;2;10;2;3;;2;;;1;;1;05;3511;35;.;9333;03;20220309;05;;1337.374829;2022;70
7000152;1;1;1;156;3;;;48;1000000;1;36;4;7;ASEO Y LIMPIEZA EN CASAS DE FAMILIA;4;1;2;2;;2;;;1;1;;05;8121;81;9111;9111;03;20220309;05;2;768.13444336;2022;70
7000152;1;2;1;200;1;;;48;1000000;1;36;4;8;ADMINISTRADORA Y VENDEDORA;1;2;2;2;;2;;;1;1;;05;4759;47;5329;1420;03;20220309;05;2;768.13444336;2022;70
7000152;1;5;1;;;;;;;1;36;5;7;VENDEDOR DE FRUTAS Y VERDURAS;4;1;2;2;;2;;;1;;1;05;4721;47;.;5221;03;20220309;05;;768.13444336;2022;70
7000154;1;1;1;;;;;;;1;200;2;5;PONER APLIQUES A PRENDAS DE VESTIR;1;6;2;3;;2;;;1;;1;05;1410;14;.;7531;03;20220309;05;;1423.4057524;2022;70
7000159;1;2;1;;;;;;;1;60;0;3;ASEO Y LIMPIEZA EN OFICINAS;2;10;2;2;;2;;;1;;1;05;8511;85;.;9112;03;20220309;05;;897.00460577;2022;70
7000161;1;2;1;6;1;;;36;300000;1;2;0;1;RECREACIONISTA;1;10;2;2;;2;;;1;1;;05;9008;90;5223;2656;03;20220309;05;1;685.56603196;2022;70
7000161;1;4;1;;;;;;;1;480;0;3;ASEO Y LIMPIEZA DE VARIOS HOGARES;4;1;2;2;;2;;;1;;1;05;8121;81;.;9111;03;20220309;05;;685.56603196;2022;70
7000162;1;1;1;;;;;;;1;348;0;5;ASISTENTE DE GERENCIA;1;10;2;3;;2;;;1;;1;05;2392;23;.;4419;03;20220309;05;;1125.9867562;2022;70
7000165;1;2;1;32;1;;;48;1000000;1;8;0;1;OPERARIO DE PRODUCCION;1;10;2;2;;2;;;1;1;;05;1089;10;8160;8160;03;20220309;05;2;894.24149527;2022;70
7000167;1;2;1;;;;;;;1;84;0;3;OPERARIA DE MAQUINA PLANA;4;2;2;2;;2;;;1;;1;05;1410;14;.;8153;03;20220309;05;;7768.5358321;2022;70
7000167;1;3;1;;;;;;;2;;;;.;;;;2;;2;;;1;;1;05;.;;.;.;03;20220309;05;;7768.5358321;2022;70
7000168;1;1;1;4;1;;;48;1000000;1;48;5;8;Inspectora de revision;1;8;2;2;;2;;;1;1;;05;2431;24;7112;7211;03;20220309;05;1;6803.9881347;2022;70
7000171;1;1;1;;;;;;;2;;;;.;;;;2;;2;;;1;;1;;.;;.;.;03;20220309;05;;121.05186072;2022;70
7000171;1;5;1;48;1;;;48;1000000;2;;;;.;;;;2;;2;;;1;1;;;;;5223;;03;20220309;05;2;121.05186072;2022;70
7000172;1;1;1;22;4;;;48;1000000;1;3;5;7;AUXILIAR DE PLANCHA;4;3;2;2;;2;;;1;1;;;5619;56;9313;9411;03;20220309;05;2;237.06457899;2022;70
7000172;1;2;1;;;1;;48;1000000;1;3;5;1;CAJERA Y MESERA;1;3;2;2;;2;;;1;;1;;5611;56;.;5230;03;20220309;05;;237.06457899;2022;70
7000173;1;4;1;;;;;;;2;;;;.;;;;2;;2;;;1;;1;05;.;;.;.;03;20220309;05;;7780.6352844;2022;70
7000175;1;1;1;;;;;;;1;24;5;5;SECRETARIA ADMINISTRATIVA(ATENDER REQUERIMIENTOS);2;10;2;3;;2;;;1;;1;05;3600;36;.;4120;03;20220309;05;;1884.0319882;2022;70
7000176;1;1;1;3;1;;;40;1000000;2;;;;.;;;;2;;2;;;1;1;;05;;;9112;;03;20220309;05;1;847.5687319;2022;70
7000177;1;4;1;;;;;;;1;4;5;9;REPOSTERA  PARA LAS FIESTAS;4;2;2;2;;2;;;1;;1;;1081;10;.;7512;03;20220309;05;;160.35237608;2022;70
7000178;1;1;1;;;;;;;2;;;;.;;;;2;;2;;;1;;1;05;.;;.;.;03;20220309;05;;4991.5562815;2022;70
7000182;1;4;1;;;;;;;2;;;;.;;;;2;;2;;;1;;1;05;.;;.;.;03;20220309;05;;1203.6496726;2022;70
7000182;1;5;1;;;;;;;1;24;0;7;ERA MECANICO;4;1;2;2;;2;;;1;;1;05;4520;45;.;7231;03;20220309;05;;1203.6496726;2022;70
7000185;1;1;1;;;1;;48;300000;2;;;;.;;;;2;;2;;;1;;1;05;.;;.;.;03;20220309;05;;1141.2475295;2022;70
7000185;1;4;1;;;1;;48;500000;1;3;0;8;ECHANDO PLANCHAS EN CONATRUCCION;4;1;2;2;;2;;;1;;1;05;4111;41;.;7111;03;20220309;05;;1141.2475295;2022;70
7000186;1;1;1;;;;;;;1;144;0;7;ASEO Y LIMPIEZA DE UN HOGAR;3;1;2;3;;2;;;1;;1;05;9700;97;.;9111;03;20220309;05;;1290.2424862;2022;70
7000186;1;2;1;;;;;;;2;;;;.;;;;2;;2;;;1;;1;05;.;;.;.;03;20220309;05;;1290.2424862;2022;70
7000188;1;4;1;;;;;;;1;240;0;4;ASEO Y LIMPIEZA DE UN HOGAR;3;1;2;2;;2;;;1;;1;05;9700;97;.;9111;03;20220309;05;;1141.2475295;2022;70
7000194;1;1;1;;;;;;;1;120;0;4;SOLDADO PROFESIONAL;2;10;2;3;;2;;;1;;1;05;8422;84;.;0310;03;20220309;05;;970.57129436;2022;70
7000194;1;2;1;;;;;;;1;24;0;1;AUXILIAR DE COCINA;1;7;2;2;;2;;;1;;1;05;5611;56;.;9412;03;20220309;05;;970.57129436;2022;70
7000195;1;1;1;;;;;;;1;96;3;3;CONDUCTOR DE TAXI;1;10;2;2;;2;;;1;;1;05;4921;49;.;8324;03;20220309;05;;1564.9590966;2022;70
7000196;1;3;1;;;;;;;2;;;;.;;;;2;;2;;;1;;1;05;.;;.;.;03;20220309;05;;1198.2361659;2022;70
7000197;1;2;1;4;1;;;48;1000000;2;;;;.;;;;2;;2;;;1;1;;05;;;5223;;03;20220309;05;1;1066.1449147;2022;70
7000198;1;2;1;;;;;;;2;;;;.;;;;2;;2;;;1;;1;05;.;;.;.;03;20220309;05;;901.35693837;2022;70
7000199;1;2;1;;;;;;;1;72;0;3;PREPARAR ALIMENTOS;1;10;2;1;4;2;;;1;;1;05;8530;85;.;5120;03;20220309;05;;1157.5873039;2022;70
7000200;1;1;1;12;1;;;48;1000000;1;3;0;1;CAMARERA;1;5;2;2;;2;;;1;1;;05;5611;56;7531;9112;03;20220309;05;1;1135.5183634;2022;70
7000202;1;2;1;;;;;;;2;;;;.;;;;2;;2;;;1;;1;05;.;;.;.;03;20220309;05;;1301.0655511;2022;70
7000202;1;3;1;;;;;;;2;;;;.;;;;2;;2;;;1;;1;05;.;;.;.;03;20220309;05;;1301.0655511;2022;70
7000203;1;2;1;;;;;;;2;;;;.;;;;2;;2;;;1;;1;05;.;;.;.;03;20220309;05;;1520.8364884;2022;70
7000205;1;1;1;;;;;;;2;;;;.;;;;2;;2;;;1;;1;05;.;;.;.;03;20220309;05;;1289.9856017;2022;70
7000206;1;1;1;;;;;;;1;130;4;5;CONDUCTOR DE TRANSPORTE DE SERVICIOS ESPECIALES;1;6;2;3;;2;;;1;;1;05;4921;49;.;8323;03;20220309;05;;908.59115216;2022;70
7000206;1;2;1;;;;;;;1;158;4;3;HACER PANES Y OPERAR MAQUINA PANIFICADORA;1;6;2;2;;2;;;1;;1;05;1081;10;.;7512;03;20220309;05;;908.59115216;2022;70
7000208;1;1;1;;;;;;;1;240;0;8;ASEAR APARTAMENTOS NUEVOS;1;6;2;2;;2;;;1;;1;05;8121;81;.;9111;03;20220309;05;;1164.6047065;2022;70
7000210;1;1;1;;;;;;;1;24;4;9;AFILANDO HERRAMIENTAS;4;1;2;2;;2;;;1;;1;05;3311;33;.;7211;03;20220309;05;;1123.2973701;2022;70
7000210;1;2;1;;;;;;;2;;;;.;;;;2;;2;;;1;;1;05;.;;.;.;03;20220309;05;;1123.2973701;2022;70
7000211;1;2;1;;;1;;48;1000000;1;24;0;9;VENDEDORA DE ROPA EN GENERAL;4;1;2;2;;2;;;1;;1;05;4771;47;.;5223;03;20220309;05;;937.67275313;2022;70
7000215;1;1;1;;;;;;;1;360;5;5;DOCENTE DE PRIMARIA;2;10;2;3;;2;;;1;;1;05;8530;85;.;2342;03;20220309;05;;750.29524169;2022;70
7000215;1;3;1;;;;;;;1;240;5;1;EMPLEADA DOMESTICA;3;1;2;2;;2;;;1;;1;05;9700;97;.;9111;03;20220309;05;;750.29524169;2022;70
7000216;1;2;1;;;;;;;1;3;0;7;CONFECCIONA ROPA QUIRURGICA;4;1;2;2;;2;;;1;;1;05;1410;14;.;8153;03;20220309;05;;615.26897573;2022;70
7000216;1;5;1;;;;;;;2;;;;.;;;;2;;2;;;1;;1;05;.;;.;.;03;20220309;05;;615.26897573;2022;70
7000219;1;1;1;;;;;;;1;96;4;4;VENDEDOR DE PRODUCTOS POSTOBON;1;10;2;3;;2;;;1;;1;;4724;47;.;5221;03;20220309;05;;215.51325362;2022;70
7000221;1;1;1;;;;;;;2;;;;.;;;;2;;2;;;1;;1;;.;;.;.;03;20220309;05;;223.11340235;2022;70
7000222;2;1;2;;;;;;;2;;;;.;;;;2;;2;;;1;;1;;.;;.;.;03;20220309;05;;244.11071069;2022;70
7000223;1;2;1;;;;;;;2;;;;.;;;;2;;2;;;1;;1;;.;;.;.;03;20220309;05;;203.6347234;2022;70
7000224;1;4;1;;;;;;;2;;;;.;;;;2;;2;;;1;;1;;.;;.;.;03;20220309;05;;140.79336852;2022;70
7000226;1;1;1;;;;;;;1;12;5;8;VENDEDORA DE CATALOGO;4;10;2;2;;2;;;1;;1;;4792;47;.;3322;03;20220309;05;;251.00257765;2022;70
7000228;1;1;1;;;1;;48;1000000;1;24;0;4;ASEO EN VIVIENDAS;4;1;2;2;;2;;;1;;1;05;8121;81;.;9111;03;20220309;05;;896.59160631;2022;70
7000228;1;2;1;;;1;;48;1000000;1;1;0;3;MESERA;1;3;2;2;;2;;;1;;1;05;5630;56;.;5131;03;20220309;05;;896.59160631;2022;70
7000228;1;5;1;;;;;;;1;72;0;5;COMERCIANTE DE JOYAS;4;1;2;2;;2;;;1;;1;05;4774;47;.;5223;03;20220309;05;;896.59160631;2022;70
7000229;1;1;1;32;1;;;48;1000000;1;12;0;6;COMERCIANTE DE TENIS;4;1;2;2;;2;;;1;1;;05;4772;47;4120;5223;03;20220309;05;2;1173.2372906;2022;70
7000230;1;2;1;;;;;;;2;;;;.;;;;2;;2;;;1;;1;05;.;;.;.;03;20220309;05;;668.41596551;2022;70
7000233;1;1;1;;;;;;;1;228;0;5;OFICIAL DE CONSTRUCCION DE PRIMERA LEVANTANDO FACHADAS PLANOS Y ESPECIFICACIONES TECNICAS;1;10;2;3;;2;;;1;;1;05;8412;84;.;7112;03;20220309;05;;1235.6271072;2022;70
7000233;1;2;1;;;;;;;1;324;0;7;COMERCIANTE DE MERCANCIA DE ROPA PARA DAMA Y CABALLERO;4;1;2;2;;2;;;1;;1;05;4771;47;.;5223;03;20220309;05;;1235.6271072;2022;70
7000235;1;2;1;;;;;;;1;240;0;3;EMPLEADA DOMESTICA;3;1;2;2;;2;;;1;;1;05;8121;81;.;9111;03;20220309;05;;481.01454403;2022;70
7000235;1;4;1;4;1;;;48;1000000;1;1;0;8;ASESOR TELEFONICO;1;10;2;2;;2;;;1;1;;05;8220;82;5223;4222;03;20220309;05;1;481.01454403;2022;70
7000235;1;7;1;12;1;;;48;1000000;1;3;0;3;VENDEDOR DE BICICLETAS;1;6;2;2;;2;;;1;1;;05;4762;47;5223;5223;03;20220309;05;1;481.01454403;2022;70
7000235;1;8;1;;;;;;;2;;;;.;;;;2;;2;;;1;;1;05;.;;.;.;03;20220309;05;;481.01454403;2022;70
7000235;1;10;1;;;;;;;2;;;;.;;;;2;;2;;;1;;1;05;.;;.;.;03;20220309;05;;481.01454403;2022;70
7000236;1;2;1;24;1;;;48;2000000;1;6;5;6;Auxiliar de CEDI;1;10;2;2;;2;;;1;1;;05;4711;47;2642;5221;03;20220309;05;2;928.7896332;2022;70
7000240;1;2;1;;;;;;;2;;;;.;;;;2;;2;;;1;;1;05;.;;.;.;03;20220309;05;;1086.0554075;2022;70
7000241;1;1;1;;;;;;;2;;;;.;;;;2;;2;;;1;;1;05;.;;.;.;03;20220309;05;;726.57834606;2022;70
7000241;1;3;1;8;1;;;25;900000;1;3;0;8;VENDEDOR DE MOSTRADOR;1;10;2;2;;2;;;1;1;;05;4719;47;5223;5223;03;20220309;05;1;726.57834606;2022;70
7000241;1;4;1;;;;;;;1;320;0;3;VENDEDOR DE MOSTRADOR;1;6;2;2;;2;;;1;;1;05;5619;56;.;5246;03;20220309;05;;726.57834606;2022;70
7000241;1;5;1;;;;;;;2;;;;.;;;;2;;2;;;1;;1;05;.;;.;.;03;20220309;05;;726.57834606;2022;70
