DIRECTORIO;SECUENCIA_P;ORDEN;CLASE;AREA;MES;PERIODO;DPTO;HOGAR;P3038;P3039;FEX_C18;PER;REGIS
7000091;1;1;2;;03;20220313;54;1;2;1;277.6226908;2022;18
7000091;1;2;2;;03;20220313;54;1;1;2;277.6226908;2022;18
7000092;1;1;2;;03;20220313;54;1;1;2;262.93272371;2022;18
7000092;1;2;2;;03;20220313;54;1;2;1;262.93272371;2022;18
7000093;1;1;2;;03;20220313;54;1;2;1;209.75064881;2022;18
7000093;1;2;2;;03;20220313;54;1;1;2;209.75064881;2022;18
7000094;1;1;2;;03;20220313;54;1;1;2;404.67968313;2022;18
7000094;1;2;2;;03;20220313;54;1;2;1;404.67968313;2022;18
7000095;1;1;2;;03;20220313;54;1;2;1;225.39088722;2022;18
7000095;1;2;2;;03;20220313;54;1;1;2;225.39088722;2022;18
7000096;1;1;2;;03;20220313;54;1;2;1;249.51762429;2022;18
7000096;1;2;2;;03;20220313;54;1;1;2;249.51762429;2022;18
7000097;1;1;2;;03;20220313;54;1;2;1;168.16785738;2022;18
7000097;1;2;2;;03;20220313;54;1;1;2;168.16785738;2022;18
7000097;1;3;2;;03;20220313;54;1;1;2;168.16785738;2022;18
7000097;1;4;2;;03;20220313;54;1;1;2;168.16785738;2022;18
7000098;1;1;2;;03;20220313;54;1;2;1;149.04574462;2022;18
7000098;1;2;2;;03;20220313;54;1;1;2;149.04574462;2022;18
7000099;1;1;2;;03;20220313;54;1;2;1;312.34545518;2022;18
7000099;1;2;2;;03;20220313;54;1;1;2;312.34545518;2022;18
7000099;1;3;2;;03;20220313;54;1;2;1;312.34545518;2022;18
7000100;1;1;2;;03;20220313;54;1;2;1;149.04574462;2022;18
7000100;1;2;2;;03;20220313;54;1;1;2;149.04574462;2022;18
7000101;1;1;2;;03;20220313;54;1;2;1;146.92281792;2022;18
7000101;1;2;2;;03;20220313;54;1;1;2;146.92281792;2022;18
7000102;1;1;1;;03;20220313;54;1;1;2;1621.5257922;2022;18
7000102;1;2;1;;03;20220313;54;1;2;1;1621.5257922;2022;18
7000103;1;1;1;;03;20220313;54;1;2;1;1303.3903012;2022;18
7000103;1;2;1;;03;20220313;54;1;1;1;1303.3903012;2022;18
7000104;1;1;1;;03;20220313;54;1;2;1;1195.1846702;2022;18
7000104;1;2;1;;03;20220313;54;1;1;2;1195.1846702;2022;18
7000105;1;1;1;;03;20220313;54;1;1;2;994.20921815;2022;18
7000105;1;2;1;;03;20220313;54;1;2;1;994.20921815;2022;18
7000107;1;1;1;;03;20220313;54;1;2;1;1549.4481657;2022;18
7000107;1;2;1;;03;20220313;54;1;1;2;1549.4481657;2022;18
7000108;1;1;1;;03;20220313;54;1;1;2;935.16335037;2022;18
7000109;1;1;1;;03;20220313;54;1;1;2;2422.5837137;2022;18
7000109;1;2;1;;03;20220313;54;1;2;1;2422.5837137;2022;18
7000109;1;3;1;;03;20220313;54;1;2;1;2422.5837137;2022;18
7000110;1;1;1;;03;20220313;54;1;2;1;1291.2068047;2022;18
7000110;1;2;1;;03;20220313;54;1;1;2;1291.2068047;2022;18
7000111;1;1;1;;03;20220313;54;1;2;1;1635.8514254;2022;18
7000111;1;2;1;;03;20220313;54;1;1;2;1635.8514254;2022;18
7000111;1;3;1;;03;20220313;54;1;2;1;1635.8514254;2022;18
7000112;1;1;2;;03;20220313;23;1;2;1;1249.1847827;2022;18
7000112;1;2;2;;03;20220313;23;1;1;2;1249.1847827;2022;18
7000113;1;1;2;;03;20220313;23;1;2;1;1946.9366085;2022;18
7000113;1;2;2;;03;20220313;23;1;1;2;1946.9366085;2022;18
7000113;1;3;2;;03;20220313;23;1;2;1;1946.9366085;2022;18
7000113;1;4;2;;03;20220313;23;1;1;1;1946.9366085;2022;18
7000115;1;1;2;;03;20220313;23;1;1;2;1507.6879097;2022;18
7000115;1;2;2;;03;20220313;23;1;2;1;1507.6879097;2022;18
7000116;1;1;2;;03;20220313;23;1;2;1;1186.8373974;2022;18
7000116;1;2;2;;03;20220313;23;1;1;2;1186.8373974;2022;18
7000117;1;1;2;;03;20220313;23;1;2;1;1145.6875578;2022;18
7000117;1;2;2;;03;20220313;23;1;1;2;1145.6875578;2022;18
7000119;1;1;2;;03;20220313;23;1;2;1;1077.0405139;2022;18
7000119;1;2;2;;03;20220313;23;1;1;2;1077.0405139;2022;18
7000119;1;5;2;;03;20220313;23;1;1;2;1077.0405139;2022;18
7000119;1;6;2;;03;20220313;23;1;1;2;1077.0405139;2022;18
7000119;1;7;2;;03;20220313;23;1;1;2;1077.0405139;2022;18
7000120;1;1;2;;03;20220313;23;1;2;1;1097.8386192;2022;18
7000120;1;2;2;;03;20220313;23;1;1;2;1097.8386192;2022;18
7000120;1;3;2;;03;20220313;23;1;2;1;1097.8386192;2022;18
7000120;1;4;2;;03;20220313;23;1;2;1;1097.8386192;2022;18
7000120;2;1;2;;03;20220313;23;2;1;2;1097.8386192;2022;18
7000121;1;1;2;;03;20220313;23;1;2;1;1136.8785373;2022;18
7000121;1;2;2;;03;20220313;23;1;1;2;1136.8785373;2022;18
7000121;1;3;2;;03;20220313;23;1;2;1;1136.8785373;2022;18
7000123;1;1;2;;03;20220313;23;1;2;1;1241.5143107;2022;18
7000124;1;1;2;;03;20220313;23;1;1;2;3124.3275589;2022;18
7000124;1;2;2;;03;20220313;23;1;1;2;3124.3275589;2022;18
7000124;1;3;2;;03;20220313;23;1;1;2;3124.3275589;2022;18
7000124;1;5;2;;03;20220313;23;1;2;1;3124.3275589;2022;18
7000125;1;1;2;;03;20220313;23;1;2;1;2946.563199;2022;18
7000125;1;2;2;;03;20220313;23;1;1;2;2946.563199;2022;18
7000125;1;3;2;;03;20220313;23;1;1;2;2946.563199;2022;18
7000125;1;4;2;;03;20220313;23;1;1;2;2946.563199;2022;18
7000126;1;1;2;;03;20220313;23;1;2;1;3429.5508169;2022;18
7000126;1;2;2;;03;20220313;23;1;1;2;3429.5508169;2022;18
7000126;1;3;2;;03;20220313;23;1;2;1;3429.5508169;2022;18
7000127;1;1;2;;03;20220313;23;1;2;1;2727.8275186;2022;18
7000127;1;2;2;;03;20220313;23;1;1;2;2727.8275186;2022;18
7000129;1;1;2;;03;20220313;23;1;1;2;2936.9977243;2022;18
7000130;1;1;2;;03;20220313;23;1;2;1;2385.9047136;2022;18
7000130;1;2;2;;03;20220313;23;1;1;2;2385.9047136;2022;18
7000132;1;1;2;;03;20220313;23;1;1;2;3443.6445847;2022;18
7000132;1;2;2;;03;20220313;23;1;2;1;3443.6445847;2022;18
7000132;1;3;2;;03;20220313;23;1;2;1;3443.6445847;2022;18
7000133;1;1;1;;03;20220309;05;1;3;2;270.40609389;2022;18
7000134;1;1;1;;03;20220309;05;1;1;2;228.5509437;2022;18
7000135;1;1;1;05;03;20220309;05;1;1;2;825.62742636;2022;18
7000135;1;2;1;05;03;20220309;05;1;2;1;825.62742636;2022;18
7000136;1;1;1;;03;20220309;05;1;1;2;223.11340235;2022;18
7000138;1;1;1;;03;20220309;05;1;2;1;277.43590511;2022;18
7000139;1;1;1;;03;20220309;05;1;2;1;244.49633342;2022;18
7000140;1;1;1;;03;20220309;05;1;2;1;303.1768507;2022;18
7000140;1;2;1;;03;20220309;05;1;1;2;303.1768507;2022;18
7000141;1;1;1;;03;20220309;05;1;1;2;223.11340235;2022;18
7000142;1;1;1;05;03;20220309;05;1;2;1;700.44351317;2022;18
7000142;1;2;1;05;03;20220309;05;1;1;2;700.44351317;2022;18
7000142;1;4;1;05;03;20220309;05;1;1;2;700.44351317;2022;18
7000142;1;5;1;05;03;20220309;05;1;2;1;700.44351317;2022;18
7000142;1;6;1;05;03;20220309;05;1;2;1;700.44351317;2022;18
7000145;1;1;1;05;03;20220309;05;1;1;2;834.54102858;2022;18
7000145;1;2;1;05;03;20220309;05;1;1;2;834.54102858;2022;18
7000145;1;4;1;05;03;20220309;05;1;1;2;834.54102858;2022;18
7000145;1;5;1;05;03;20220309;05;1;2;1;834.54102858;2022;18
7000146;1;1;1;05;03;20220309;05;1;2;1;832.87522281;2022;18
7000146;1;2;1;05;03;20220309;05;1;1;2;832.87522281;2022;18
7000146;1;3;1;05;03;20220309;05;1;1;2;832.87522281;2022;18
7000147;1;1;1;05;03;20220309;05;1;1;2;1029.689256;2022;18
7000147;1;2;1;05;03;20220309;05;1;2;1;1029.689256;2022;18
7000150;1;1;1;05;03;20220309;05;1;1;2;1465.3156714;2022;18
7000150;1;2;1;05;03;20220309;05;1;2;1;1465.3156714;2022;18
7000151;1;1;1;05;03;20220309;05;1;1;2;1337.374829;2022;18
7000151;1;2;1;05;03;20220309;05;1;1;2;1337.374829;2022;18
7000151;1;3;1;05;03;20220309;05;1;2;1;1337.374829;2022;18
7000152;1;1;1;05;03;20220309;05;1;1;2;768.13444336;2022;18
7000152;1;2;1;05;03;20220309;05;1;1;2;768.13444336;2022;18
7000152;1;5;1;05;03;20220309;05;1;2;1;768.13444336;2022;18
7000154;1;1;1;05;03;20220309;05;1;1;2;1423.4057524;2022;18
7000155;1;1;1;;03;20220309;05;1;1;2;274.77733395;2022;18
7000156;1;1;1;05;03;20220309;05;1;2;1;1280.3510586;2022;18
7000156;1;2;1;05;03;20220309;05;1;1;2;1280.3510586;2022;18
7000156;1;3;1;05;03;20220309;05;1;2;1;1280.3510586;2022;18
7000157;1;1;1;05;03;20220309;05;1;2;1;1876.074813;2022;18
7000158;1;1;1;05;03;20220309;05;1;2;1;1500.8598504;2022;18
7000159;1;1;1;05;03;20220309;05;1;2;1;897.00460577;2022;18
7000159;1;2;1;05;03;20220309;05;1;1;2;897.00460577;2022;18
7000159;1;4;1;05;03;20220309;05;1;2;1;897.00460577;2022;18
7000160;1;1;1;05;03;20220309;05;1;2;1;893.88750677;2022;18
7000160;1;2;1;05;03;20220309;05;1;1;2;893.88750677;2022;18
7000161;1;1;1;05;03;20220309;05;1;1;2;685.56603196;2022;18
7000161;1;4;1;05;03;20220309;05;1;1;2;685.56603196;2022;18
7000162;1;1;1;05;03;20220309;05;1;1;2;1125.9867562;2022;18
7000162;1;2;1;05;03;20220309;05;1;1;2;1125.9867562;2022;18
7000162;1;3;1;05;03;20220309;05;1;1;2;1125.9867562;2022;18
7000162;1;4;1;05;03;20220309;05;1;1;2;1125.9867562;2022;18
7000163;1;1;1;05;03;20220309;05;1;1;2;884.56194702;2022;18
7000164;1;1;1;05;03;20220309;05;1;1;2;1261.1560877;2022;18
7000165;1;1;1;05;03;20220309;05;1;1;2;894.24149527;2022;18
7000165;1;2;1;05;03;20220309;05;1;2;1;894.24149527;2022;18
7000166;1;1;1;05;03;20220309;05;1;2;1;1000.5732336;2022;18
7000167;1;1;1;05;03;20220309;05;1;2;1;7768.5358321;2022;18
7000167;1;2;1;05;03;20220309;05;1;1;2;7768.5358321;2022;18
7000167;1;3;1;05;03;20220309;05;1;2;1;7768.5358321;2022;18
7000168;1;1;1;05;03;20220309;05;1;1;2;6803.9881347;2022;18
7000168;1;2;1;05;03;20220309;05;1;2;1;6803.9881347;2022;18
7000169;1;1;1;05;03;20220309;05;1;2;1;4151.0580573;2022;18
7000170;1;1;1;05;03;20220309;05;1;1;2;4278.1236972;2022;18
7000171;1;1;1;;03;20220309;05;1;1;2;121.05186072;2022;18
7000171;1;2;1;;03;20220309;05;1;1;2;121.05186072;2022;18
7000171;1;3;1;;03;20220309;05;1;1;2;121.05186072;2022;18
7000171;1;4;1;;03;20220309;05;1;1;2;121.05186072;2022;18
7000171;1;5;1;;03;20220309;05;1;2;1;121.05186072;2022;18
7000172;1;1;1;;03;20220309;05;1;2;1;237.06457899;2022;18
7000172;1;2;1;;03;20220309;05;1;1;2;237.06457899;2022;18
7000173;1;1;1;05;03;20220309;05;1;2;1;7780.6352844;2022;18
7000173;1;2;1;05;03;20220309;05;1;1;2;7780.6352844;2022;18
7000173;1;4;1;05;03;20220309;05;1;1;2;7780.6352844;2022;18
7000174;1;1;1;05;03;20220309;05;1;2;1;1121.2005887;2022;18
7000174;1;2;1;05;03;20220309;05;1;1;2;1121.2005887;2022;18
7000174;1;3;1;05;03;20220309;05;1;2;1;1121.2005887;2022;18
7000175;1;1;1;05;03;20220309;05;1;1;2;1884.0319882;2022;18
7000175;1;2;1;05;03;20220309;05;1;2;1;1884.0319882;2022;18
7000175;1;3;1;05;03;20220309;05;1;2;1;1884.0319882;2022;18
7000176;1;1;1;05;03;20220309;05;1;1;2;847.5687319;2022;18
7000176;1;2;1;05;03;20220309;05;1;2;1;847.5687319;2022;18
7000177;1;1;1;;03;20220309;05;1;1;2;160.35237608;2022;18
7000177;1;2;1;;03;20220309;05;1;1;2;160.35237608;2022;18
7000177;1;3;1;;03;20220309;05;1;2;1;160.35237608;2022;18
7000177;1;4;1;;03;20220309;05;1;1;2;160.35237608;2022;18
7000178;1;1;1;05;03;20220309;05;1;1;2;4991.5562815;2022;18
7000179;1;1;1;05;03;20220309;05;1;1;2;797.68748031;2022;18
7000182;1;1;1;05;03;20220309;05;1;1;2;1203.6496726;2022;18
7000182;1;2;1;05;03;20220309;05;1;2;1;1203.6496726;2022;18
7000182;1;4;1;05;03;20220309;05;1;1;2;1203.6496726;2022;18
7000182;1;5;1;05;03;20220309;05;1;2;1;1203.6496726;2022;18
7000183;1;1;1;;03;20220309;05;1;2;1;279.1442792;2022;18
7000185;1;1;1;05;03;20220309;05;1;1;2;1141.2475295;2022;18
7000185;1;2;1;05;03;20220309;05;1;1;2;1141.2475295;2022;18
7000185;1;4;1;05;03;20220309;05;1;2;1;1141.2475295;2022;18
7000186;1;1;1;05;03;20220309;05;1;1;2;1290.2424862;2022;18
7000187;1;1;1;05;03;20220309;05;1;2;1;1057.6126479;2022;18
7000187;1;2;1;05;03;20220309;05;1;1;2;1057.6126479;2022;18
7000187;1;3;1;05;03;20220309;05;1;1;2;1057.6126479;2022;18
7000188;1;1;1;05;03;20220309;05;1;2;1;1141.2475295;2022;18
7000188;1;2;1;05;03;20220309;05;1;1;2;1141.2475295;2022;18
7000188;1;4;1;05;03;20220309;05;1;1;2;1141.2475295;2022;18
7000189;1;1;1;;03;20220309;05;1;2;1;299.97802023;2022;18
7000189;1;2;1;;03;20220309;05;1;1;2;299.97802023;2022;18
7000189;1;5;1;;03;20220309;05;1;1;2;299.97802023;2022;18
7000190;1;1;1;05;03;20220309;05;1;1;2;1548.0514244;2022;18
7000190;1;2;1;05;03;20220309;05;1;2;1;1548.0514244;2022;18
7000191;1;1;1;05;03;20220309;05;1;2;1;1667.622056;2022;18
7000192;1;1;1;05;03;20220309;05;1;1;2;1148.5857536;2022;18
7000192;1;2;1;05;03;20220309;05;1;2;1;1148.5857536;2022;18
7000194;1;1;1;05;03;20220309;05;1;2;1;970.57129436;2022;18
7000194;1;2;1;05;03;20220309;05;1;1;2;970.57129436;2022;18
7000194;1;3;1;05;03;20220309;05;1;1;2;970.57129436;2022;18
7000195;1;1;1;05;03;20220309;05;1;2;1;1564.9590966;2022;18
7000196;1;1;1;05;03;20220309;05;1;2;1;1198.2361659;2022;18
7000196;1;2;1;05;03;20220309;05;1;1;2;1198.2361659;2022;18
7000197;1;1;1;05;03;20220309;05;1;2;1;1066.1449147;2022;18
7000197;1;2;1;05;03;20220309;05;1;1;2;1066.1449147;2022;18
7000198;1;1;1;05;03;20220309;05;1;1;2;901.35693837;2022;18
7000199;1;1;1;05;03;20220309;05;1;2;1;1157.5873039;2022;18
7000199;1;2;1;05;03;20220309;05;1;1;2;1157.5873039;2022;18
7000199;1;3;1;05;03;20220309;05;1;2;1;1157.5873039;2022;18
7000200;1;1;1;05;03;20220309;05;1;1;2;1135.5183634;2022;18
7000201;1;1;1;05;03;20220309;05;1;2;1;1031.4400284;2022;18
7000201;1;2;1;05;03;20220309;05;1;1;2;1031.4400284;2022;18
7000202;1;1;1;05;03;20220309;05;1;2;1;1301.0655511;2022;18
7000202;1;2;1;05;03;20220309;05;1;1;2;1301.0655511;2022;18
7000202;1;3;1;05;03;20220309;05;1;1;2;1301.0655511;2022;18
7000203;1;1;1;05;03;20220309;05;1;2;1;1520.8364884;2022;18
7000203;1;2;1;05;03;20220309;05;1;1;2;1520.8364884;2022;18
7000204;1;1;1;05;03;20220309;05;1;2;1;1501.9298884;2022;18
7000204;1;2;1;05;03;20220309;05;1;1;2;1501.9298884;2022;18
7000205;1;1;1;05;03;20220309;05;1;1;2;1289.9856017;2022;18
7000205;1;2;1;05;03;20220309;05;1;1;2;1289.9856017;2022;18
7000206;1;1;1;05;03;20220309;05;1;2;1;908.59115216;2022;18
7000206;1;2;1;05;03;20220309;05;1;1;2;908.59115216;2022;18
7000206;1;3;1;05;03;20220309;05;1;1;2;908.59115216;2022;18
7000208;1;1;1;05;03;20220309;05;1;1;2;1164.6047065;2022;18
7000209;1;1;1;05;03;20220309;05;1;1;2;1548.0514244;2022;18
7000209;1;2;1;05;03;20220309;05;1;2;1;1548.0514244;2022;18
7000210;1;1;1;05;03;20220309;05;1;2;1;1123.2973701;2022;18
7000210;1;2;1;05;03;20220309;05;1;1;2;1123.2973701;2022;18
7000211;1;1;1;05;03;20220309;05;1;2;1;937.67275313;2022;18
7000211;1;2;1;05;03;20220309;05;1;1;2;937.67275313;2022;18
7000212;1;1;1;05;03;20220309;05;1;1;2;801.93130705;2022;18
7000212;1;2;1;05;03;20220309;05;1;2;1;801.93130705;2022;18
7000212;1;3;1;05;03;20220309;05;1;1;2;801.93130705;2022;18
7000213;1;1;1;05;03;20220309;05;1;2;1;764.0296507;2022;18
7000213;1;2;1;05;03;20220309;05;1;1;2;764.0296507;2022;18
7000215;1;1;1;05;03;20220309;05;1;1;2;750.29524169;2022;18
7000215;1;2;1;05;03;20220309;05;1;1;2;750.29524169;2022;18
7000215;1;3;1;05;03;20220309;05;1;4;2;750.29524169;2022;18
7000216;1;1;1;05;03;20220309;05;1;2;1;615.26897573;2022;18
7000216;1;2;1;05;03;20220309;05;1;1;2;615.26897573;2022;18
7000216;1;3;1;05;03;20220309;05;1;1;2;615.26897573;2022;18
7000216;1;4;1;05;03;20220309;05;1;1;2;615.26897573;2022;18
7000217;1;1;1;05;03;20220309;05;1;1;2;869.06465972;2022;18
7000217;1;2;1;05;03;20220309;05;1;2;1;869.06465972;2022;18
7000218;1;1;1;;03;20220309;05;1;2;1;215.51325362;2022;18
7000218;1;2;1;;03;20220309;05;1;1;2;215.51325362;2022;18
7000219;1;1;1;;03;20220309;05;1;2;1;215.51325362;2022;18
7000219;1;2;1;;03;20220309;05;1;1;2;215.51325362;2022;18
7000220;1;1;1;;03;20220309;05;1;2;1;179.04919421;2022;18
7000220;1;2;1;;03;20220309;05;1;1;2;179.04919421;2022;18
7000220;1;3;1;;03;20220309;05;1;2;1;179.04919421;2022;18
7000220;1;4;1;;03;20220309;05;1;2;1;179.04919421;2022;18
7000221;1;1;1;;03;20220309;05;1;1;2;223.11340235;2022;18
7000222;1;1;1;;03;20220309;05;1;1;2;244.11071069;2022;18
7000222;1;2;1;;03;20220309;05;1;2;1;244.11071069;2022;18
7000222;2;1;1;;03;20220309;05;2;1;2;244.11071069;2022;18
7000222;2;2;1;;03;20220309;05;2;2;1;244.11071069;2022;18
7000223;1;1;1;;03;20220309;05;1;2;1;203.6347234;2022;18
7000223;1;2;1;;03;20220309;05;1;1;2;203.6347234;2022;18
7000223;1;3;1;;03;20220309;05;1;2;1;203.6347234;2022;18
7000224;1;1;1;;03;20220309;05;1;1;2;140.79336852;2022;18
7000224;1;2;1;;03;20220309;05;1;2;1;140.79336852;2022;18
7000224;1;3;1;;03;20220309;05;1;1;2;140.79336852;2022;18
7000225;1;1;1;;03;20220309;05;1;2;2;233.74528333;2022;18
7000226;1;1;1;;03;20220309;05;1;1;2;251.00257765;2022;18
7000227;1;1;1;05;03;20220309;05;1;1;2;990.75291164;2022;18
7000227;1;2;1;05;03;20220309;05;1;2;1;990.75291164;2022;18
7000228;1;1;1;05;03;20220309;05;1;1;2;896.59160631;2022;18
7000228;1;2;1;05;03;20220309;05;1;1;2;896.59160631;2022;18
7000228;1;4;1;05;03;20220309;05;1;2;1;896.59160631;2022;18
7000228;1;5;1;05;03;20220309;05;1;2;1;896.59160631;2022;18
7000229;1;1;1;05;03;20220309;05;1;1;2;1173.2372906;2022;18
7000229;1;2;1;05;03;20220309;05;1;2;1;1173.2372906;2022;18
7000230;1;1;1;05;03;20220309;05;1;1;2;668.41596551;2022;18
7000230;1;2;1;05;03;20220309;05;1;1;2;668.41596551;2022;18
7000230;1;3;1;05;03;20220309;05;1;2;1;668.41596551;2022;18
7000230;1;4;1;05;03;20220309;05;1;1;2;668.41596551;2022;18
7000230;1;5;1;05;03;20220309;05;1;1;2;668.41596551;2022;18
7000231;1;1;1;05;03;20220309;05;1;1;2;1044.8883374;2022;18
7000231;1;2;1;05;03;20220309;05;1;1;2;1044.8883374;2022;18
7000232;1;1;1;05;03;20220309;05;1;1;2;1193.680744;2022;18
7000233;1;1;1;05;03;20220309;05;1;2;1;1235.6271072;2022;18
7000233;1;2;1;05;03;20220309;05;1;1;2;1235.6271072;2022;18
7000234;1;1;1;05;03;20220309;05;1;2;1;1350.7738654;2022;18
7000235;1;1;1;05;03;20220309;05;1;2;1;481.01454403;2022;18
7000235;1;2;1;05;03;20220309;05;1;1;2;481.01454403;2022;18
7000235;1;3;1;05;03;20220309;05;1;1;2;481.01454403;2022;18
7000235;1;4;1;05;03;20220309;05;1;1;2;481.01454403;2022;18
7000235;1;7;1;05;03;20220309;05;1;2;1;481.01454403;2022;18
7000235;1;8;1;05;03;20220309;05;1;1;2;481.01454403;2022;18
7000235;1;10;1;05;03;20220309;05;1;1;2;481.01454403;2022;18
7000236;1;1;1;05;03;20220309;05;1;1;2;928.7896332;2022;18
7000236;1;2;1;05;03;20220309;05;1;1;2;928.7896332;2022;18
7000238;1;1;1;05;03;20220309;05;1;2;1;1500.8598504;2022;18
7000239;1;1;1;;03;20220309;05;1;2;1;289.06926801;2022;18
7000239;1;2;1;;03;20220309;05;1;1;2;289.06926801;2022;18
7000240;1;1;1;05;03;20220309;05;1;1;2;1086.0554075;2022;18
7000241;1;1;1;05;03;20220309;05;1;4;2;726.57834606;2022;18
7000241;1;2;1;05;03;20220309;05;1;2;1;726.57834606;2022;18
7000241;1;3;1;05;03;20220309;05;1;1;2;726.57834606;2022;18
7000241;1;4;1;05;03;20220309;05;1;1;2;726.57834606;2022;18
7000241;1;5;1;05;03;20220309;05;1;1;2;726.57834606;2022;18
7000242;1;1;1;;03;20220309;05;1;1;2;251.00257765;2022;18
7000243;1;1;1;;03;20220309;05;1;2;1;244.05342841;2022;18
7000243;1;2;1;;03;20220309;05;1;1;2;244.05342841;2022;18
7000244;1;1;1;;03;20220309;05;1;1;2;257.11981166;2022;18
7000246;1;1;1;;03;20220309;05;1;1;2;237.06457899;2022;18
7000246;1;2;1;;03;20220309;05;1;2;1;237.06457899;2022;18
7000247;1;1;1;05;03;20220309;05;1;1;2;1017.0824783;2022;18
7000247;1;2;1;05;03;20220309;05;1;2;1;1017.0824783;2022;18
7000248;1;1;1;05;03;20220309;05;1;2;1;990.75291164;2022;18
7000248;1;2;1;05;03;20220309;05;1;1;2;990.75291164;2022;18
7000249;1;1;1;;03;20220309;05;1;1;2;197.03945295;2022;18
7000249;1;2;1;;03;20220309;05;1;2;1;197.03945295;2022;18
7000249;1;3;1;;03;20220309;05;1;1;2;197.03945295;2022;18
