DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P7430;P7440;P7450;P7450S1;P7452;P7454;P7456;P7458;P7458S1;P7460;P7470;P7472;P7472S1;P744;P1884;P1807;P6921;clase;MES;INI;DPTO;fex_c_2011
5173894;1;1;1;80;1;4;4; ;2; ; ;8; ;2; ;2; ; ; ; ;2;2;06;1;52;3296,27673034676
5173895;1;2;1;80;1;4;3; ;2; ; ;1; ;2; ;2; ; ; ; ;2;2;06;1;52;3765,72645659498
5173895;1;3;1;80;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;2;06;1;52;3765,72645659498
5173899;1;2;1;80;1;4;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;2;06;1;52;1810,62738583433
5173900;1;1;1;80;1;4;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;2;06;1;52;1810,62738583433
5173900;1;2;1;80;1;1;9;CUARENTENA;2; ; ;12;CUARENTENA;2; ;2; ;1;50;600000;2;2;06;1;52;1810,62738583433
5173901;1;2;1;80;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;2;06;1;52;5235,78364592681
5173901;1;4;1;80;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;2;06;1;52;5235,78364592681
5173903;1;1;1;80;1;1;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;2;06;1;52;2605,76675855149
5173904;1;1;1;80;1;1;9;LA DESPIDIERON POR CUARENTENA;2; ; ;12;CUARENTENA;2; ;2; ;1;48;1000000;2;2;06;1;52;2164,46142261999
5173904;1;2;1;80;1;2;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;2;06;1;52;2164,46142261999
5173906;1;3;1;80;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;2;06;1;52;2846,73424638753
5173907;1;1;1;80;1;4;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;2;06;1;52;2605,76675855149
5173908;1;3;1;80;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;2;06;1;52;3536,97342120064
5173909;1;2;1;80;1;2;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;2;06;1;52;1810,62738583433
5173910;1;1;1;80;1;4;3; ;2; ; ;4; ;2; ;2; ; ; ; ;2;2;06;1;52;3236,64463575495
5173910;1;2;1;80;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;2;06;1;52;3236,64463575495
5173912;1;1;1;80;1;4;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;2;06;1;52;3296,27673034676
5173913;1;2;1;80;1;1;8; ;2; ; ;8; ;2; ;2; ;1;40;200000;2;2;06;1;52;1810,62738583433
5173914;1;2;1;80;1;3;3; ;2; ; ;9; ;2; ;2; ;2; ;300000;2;2;06;1;52;4561,01676559975
5173915;1;2;1;80;1;3;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;2;06;1;52;4507,63137495433
5173915;1;3;1;80;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;2;06;1;52;4507,63137495433
5173917;1;3;1;80;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;2;06;1;52;4507,63137495433
5173918;1;1;1;80;1;2;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;2;06;1;52;3649,99090643787
5173920;1;3;1;80;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;2;06;1;52;3440,74841527309
5173922;1;4;1;80;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;2;06;1;52;5366,99149056997
5173923;1;1;1;80;1;3;3; ;2; ; ;9; ;2; ;2; ;2; ;800000;2;2;06;1;52;2280,7887172296
5173923;1;2;1;80;1;4;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;2;06;1;52;2280,7887172296
5173924;1;2;1;80;1;3;3; ;2; ; ;1; ;2; ;2; ; ; ; ;2;2;06;1;52;5385,39404249977
5173925;1;2;1;80;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;2;06;1;23;1559,76557427055
5173926;1;2;1;80;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;2;06;1;23;769,617182790613
5173926;1;3;1;80;1;4;3; ;2; ; ;9; ;2; ;2; ;2; ;600000;2;2;06;1;23;769,617182790613
5173927;1;2;1;80;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;2;06;1;23;1339,41969454676
5173927;1;3;1;80;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;2;06;1;23;1339,41969454676
5173927;1;4;1;80;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;2;06;1;23;1339,41969454676
5173928;1;2;1;80;1;1;3; ;2; ; ;9; ;2; ;2; ;2; ;600000;2;2;06;1;23;1720,03564905333
5173928;1;4;1;80;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;2;06;1;23;1720,03564905333
5173929;1;1;1;80;1;2;5; ;2; ; ;10; ;3; ;2; ;2; ;500000;3;2;06;1;23;1600,32817561123
5173929;1;2;1;80;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;2;06;1;23;1600,32817561123
5173929;1;3;1;80;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;2;06;1;23;1600,32817561123
5173930;1;2;1;80;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;2;06;1;23;1022,495131876
5173931;1;3;1;80;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;2;06;1;23;1282,64431929834
5173933;1;2;1;80;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;2;06;1;23;6860,60719430709
5173933;1;3;1;80;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;2;06;1;23;6860,60719430709
5173933;1;4;1;80;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;2;06;1;23;6860,60719430709
5173935;1;1;1;80;1;4;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;2;06;1;23;3559,72815193212
5173935;1;2;1;80;1;4;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;2;06;1;23;3559,72815193212
5173935;1;5;1;80;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;2;06;1;23;3559,72815193212
5173936;1;2;1;80;1;1;7; ;2; ; ;9; ;2; ;2; ; ; ; ;2;2;06;1;23;9177,82026338936
5173936;1;3;1;80;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;2;06;1;23;9177,82026338936
5173937;1;2;1;80;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;2;06;1;23;4955,60979884437
5173937;1;3;1;80;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;2;06;1;23;4955,60979884437
5173938;1;2;1;80;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;2;06;1;23;5972,83130756933
5173938;1;3;1;80;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;2;06;1;23;5972,83130756933
5173938;1;4;1;80;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;2;06;1;23;5972,83130756933
5173939;1;2;1;80;2; ; ; ; ;2; ; ;.;2; ;2; ;2; ;800000;2;2;06;1;23;6728,38535976123
5173940;1;3;1;80;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;2;06;1;23;8192,99555647386
5173941;1;2;1;80;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;2;06;1;23;4987,95362412481
5173947;1;1;1;80;1;4;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;2;06;1;23;5245,34629844365
5173948;1;2;1;80;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;2;06;1;23;5471,98796654961
5173948;1;3;1;80;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;2;06;1;23;5471,98796654961
5173949;1;2;1;80;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;2;06;1;23;5231,57856370917
5173949;1;3;1;80;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;2;06;1;23;5231,57856370917
5173950;1;2;1;80;1;3;3; ;2; ; ;9; ;2; ;2; ;1;42;600000;2;2;06;1;23;4489,79224625175
5173951;2;1;2;80;1;2;7; ;2; ; ;1; ;2; ;2; ;1;49;600000;2;2;06;1;23;4371,88382563354
5173951;2;2;2;80;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;2;06;1;23;4371,88382563354
5173987;1;3;1;80;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;2;06;1;44;505,722439257428
5173993;1;1;1;80;1;4;4; ;2; ; ;8; ;2; ;2; ; ; ; ;2;2;06;1;44;478,638857260521
5173994;1;2;1;80;1;4;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;2;06;1;44;398,554148821569
5174001;1;1;1;80;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;2;06;1;44;692,991929286941
5174004;1;1;1;80;1;4;8; ;2; ; ;1; ;2; ;2; ; ; ; ;2;2;06;1;44;750,143833668293
5174004;1;3;1;80;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;2;06;1;44;750,143833668293
5174008;1;2;1;80;1;1;9;POR EL AISLAMIENTO NACIONAL;2; ; ;12;POR EL AISLAMIENTO NACIONAL;2; ;2; ; ; ;400000;2;2;06;1;44;449,282678425213
5174010;1;3;1;80;2; ; ; ; ;2; ; ;.;2; ;2; ;2; ;600000;2;2;06;1;44;588,150688953603
5174010;1;4;1;80;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;2;06;1;44;588,150688953603
5174010;1;6;1;80;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;2;06;1;44;588,150688953603
5174010;1;8;1;80;1;2;9;CAMBIO DE RESIDENCIA;2; ; ;1; ;2; ;2; ;2; ;300000;2;2;06;1;44;588,150688953603
5174012;1;2;1;80;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;2;06;1;44;470,915662474083
5174013;1;1;1;80;1;4;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;2;06;1;44;478,638857260521
5174014;1;1;1;80;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;2;06;1;44;478,638857260521
5174015;1;1;1;80;1;4;4; ;2; ; ;8; ;2; ;2; ; ; ; ;2;2;06;1;44;354,576037174692
5174016;1;2;1;80;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;2;06;1;44;531,369370786392
5174017;1;1;1;80;1;4;4; ;2; ; ;8; ;2; ;2; ; ; ; ;2;2;06;1;44;449,697714812369
5174028;1;3;1;80;2; ; ; ; ;2; ; ;.;2; ;2; ;1;40;890000;2;2;06;1;44;433,060287492454
5174028;1;4;1;80;1;1;8; ;1; ;1;1; ;2; ;2; ; ; ;1500000;2;2;06;1;44;433,060287492454
5174033;1;2;1;80;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;2;06;1;44;603,730884438906
