DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P388;P6440;P6450;P6460;P6460S1;P6400;P6410;P6410S1;P6422;P6424S1;P6424S2;P6424S3;P6426;P6430;P6430S1;P6480;P6480S1;P9440;P6500;P6510;P6510S1;P6510S2;P6590;P6590S1;P6600;P6600S1;P6610;P6610S1;P6620;P6620S1;P6585S1;P6585S1A1;P6585S1A2;P6585S2;P6585S2A1;P6585S2A2;P6585S3;P6585S3A1;P6585S3A2;P6585S4;P6585S4A1;P6585S4A2;P6545;P6545S1;P6545S2;P6580;P6580S1;P6580S2;P6630S1;P6630S1A1;P6630S2;P6630S2A1;P6630S3;P6630S3A1;P6630S4;P6630S4A1;P6630S6;P6630S6A1;P6640;P6640S1;P6765;P6765S1;P6772;P6772S1;P6773S1;P6775;P6750;P6760;P550;P6780;P6780S1;P6790;P1800;P1800S1;P1801S1;P1801S2;P1801S3;P1802;P1879;P1805;P6800;P6810;P6810S1;P6850;P6830;P6830S1;P6870;P6880;P6880S1;P6915;P6915S1;P6920;P6930;P6940;P6960;P6980;P6980S1;P6980S2;P6980S3;P6980S4;P6980S5;P6980S6;P6980S7;P6980S7A1;P6980S8;P6990;P9450;P7020;P760;P7026;P7028;P7028S1;P7040;P390;P7045;P7050;P7050S1;P7070;P7075;P7077;P1880;P1881;P1882;P3148;P7090;P7100;P7110;P7120;P7130;P7140;P7140S1;P7140S2;P7140S3;P7140S4;P7140S5;P7140S6;P7140S7;P7140S8;P7140S9;P7140S9A1;P7150;P7160;P7170S1;P7170S5;P7170S6;P7180;P514;P515;P7240;P7240S1;clase;MES;OCI;RAMA4D_R4;OFICIO;RAMA2D_R4;INGLABO;DPTO;fex_c_2011;RAMA4DP8_R4
5173544;1;1;1;60;76;2; ; ; ; ; ; ; ; ; ; ;120;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ; ; ;3;0;1;5000000;3; ;12;2; ; ; ; ;3;11;2;40; ;.;0;7;POR PANDEMIA ESTABA RESTRINGIDO EL SERVICIO DE MOTO TAXI;1;4; ;1; ;1;1;2;15;1;1; ; ; ; ; ; ; ; ;2;2;1;36;120;1; ;2; ; ; ; ; ; ; ;5;14; ; ;2; ; ; ;1;1;1;1;2;2;2;2;1;2;2; ;2;2;1;2;2;2;2;2;10;AYUDA DE LOS VECINOS;2;06;1;4921;98;49;0;76;2728,84438376979; 
5173546;1;1;1;60;76;1;2;1; ;1; ; ;2;2;2;2;4;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;3; ;1;98;3; ;12;2; ; ; ; ;1;4;1;45; ;.;45; ; ;9;5; ;2; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;0;2;1; ;2; ; ; ; ; ; ; ;1;1;30; ;2; ; ; ;1; ;2;2;2;2;2;2;2;2;1;POR TENER PRESTACIONES SOCIALES;2;1;1;2;1;2;2;1;5; ;2;06;1;2100;41;21; ;76;8079,32013966537; 
5173546;1;3;1;60;76;2; ; ; ; ; ; ; ; ; ; ;60;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ; ; ;3;0;1;25000;3; ;12;2; ; ; ; ;3;1;2;1;1; ;0;6; ;1;1; ;2; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;2; ; ; ; ;2; ; ; ; ; ; ; ; ;14; ;1;1;48;1;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;2;1;3; ;2;06;1;9609;59;96;0;76;8079,32013966537; 
5173547;1;1;1;60;76;1;2;1; ;1; ; ;1;1;2;1;33;1; ;7;LE OFRECIERON EL TRABAJO;2;877803;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;102854;2;1;71000;2;2; ; ;2; ; ;2; ; ;1;828116;2; ;2; ;2; ;2; ;2; ; ;.; ; ; ; ; ; ; ; ;.;12; ; ; ; ; ; ; ; ;48; ;.;42;6; ;9;7; ;1; ;1;1;1;2;1;1; ; ; ; ; ; ; ; ;1;1;1;0;48;4; ;2; ; ; ; ; ; ; ;13;11;10;1;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;1;1;1;1; ;2;06;1;9200;45;92;877803;76;6619,14226492127; 
5173548;1;1;1;60;76;2; ; ; ; ; ; ; ; ; ; ;0;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ; ; ;3;0;1;0;3; ;9;2; ; ; ; ;3;1;1;22;1; ;22; ; ;1;1; ;2; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;3;9;4; ;2; ; ; ; ; ; ; ;2;14; ; ;1;26;2;1;1;1;1;1;2;1;2;2;2;2;2; ;2;1;1;1;1;2;2;1;9; ;2;06;1;5611;53;56;0;76;2868,2014234155; 
5173548;2;1;2;60;76;1;1; ; ;1; ; ;1;2;2;2;1;8; ;1; ;2;877803;2; ; ;2; ;2; ;2; ;2; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ;.; ; ; ; ; ; ; ; ;.;12; ; ; ; ; ; ; ; ;40; ;.;40; ; ;3;8; ;2; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;0;8;8; ;2; ; ; ; ; ; ; ;1;13;20; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;2;1;5; ;2;06;1;0141;62;01;877803;76;2868,2014234155; 
5173548;2;2;2;60;76;2; ; ; ; ; ; ; ; ; ; ;324;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ; ; ;3;200000;1;98;3; ;12;2; ; ; ; ;2;10;1;20;1; ;20; ; ;1;2; ;2; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;2; ; ; ; ;2; ; ; ; ; ; ; ; ;3;30; ;1;30;1;1;1;1;1;1;2;2;2;2;1;2;2; ;1;1;2;2;2;2;2;2;8; ;2;06;1;8121;55;81;200000;76;2868,2014234155; 
5173550;1;2;1;60;76;1;2;2;12;1; ; ;1;1;2;1;8;1; ;7;LE OFRECIERON EL TRABAJO;2;877803;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;102854;2;2; ; ;2; ; ;2; ; ;2; ; ;1;800000;2; ;2; ;2; ;2; ;2; ; ;.; ; ; ; ; ; ; ; ;.;12; ; ; ; ; ; ; ; ;40; ;.;40; ; ;9;7; ;1; ;1;1;1;5;1;1; ; ; ; ; ; ; ; ;1;1;1;0;12;1; ;2; ; ; ; ; ; ; ;1;11;25; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1;8; ;2;06;1;3811;39;38;877803;76;5210,37798893324; 
5173550;1;4;1;60;76;1;1; ; ;1; ; ;1;2;2;2;24;8; ;2; ;2;800000;2; ; ;2; ;2; ;2; ;2; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ;2; ;2; ;1;200000;2; ;2; ; ;.; ; ; ; ; ; ; ; ;.;12; ; ; ; ; ; ; ; ;46; ;.;46; ; ;5;8; ;2; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;1;12;8; ;2; ; ; ; ; ; ; ;3;11;5; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1;3; ;2;06;1;0113;62;01;800000;76;5210,37798893324; 
5173625;1;1;1;60;76;1;1; ; ;1; ; ;2;2;2;2;3;3; ;1; ;2;280000;2; ; ;2; ;2; ;2; ;2; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ;.; ; ; ; ; ; ; ; ;.;12; ; ; ; ; ; ; ; ;40; ;.;40; ; ;1;2; ;1; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;0;4;5; ;2; ; ; ; ; ; ; ;2;3;2; ;2; ; ; ;1;1;2;1;2;2;2;2;1;2;2; ;2;2;2;2;2;2;1;1;3; ;2;06;1;9700;54;97;280000;76;4555,58146080552; 
5173625;1;2;1;60;76;1;1; ; ;1; ; ;2;2;2;1;3;8; ;1; ;2;877803;2; ; ;2; ;1;200000;2; ;2; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;1;828116;2; ;2; ;2; ;2; ;2; ; ;.; ; ; ; ; ; ; ; ;.;12; ; ; ; ; ; ; ; ;65; ;.;65; ; ;2;8; ;1; ;1;2;3;16;1;1; ; ; ; ; ; ; ; ;1;2;1;0;36;8; ;2; ; ; ; ; ; ; ;1;3;45; ;2; ; ; ;1;1;2;1;2;2;2;2;1;2;2; ;1;1;2;2;2;2;1;1;8; ;2;06;1;0124;62;01;1077803;76;4555,58146080552; 
5173626;1;1;1;60;76;2; ; ; ; ; ; ; ; ; ; ;24;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7; ;2; ; ;1; ;1;99;3; ;12;1;2;2;0;0;3;3;2;56; ;.;56; ; ;3;8; ;3; ;2; ; ; ;1; ; ; ;1; ; ; ; ; ;2;2;1;6;36;2; ;2; ; ; ; ; ; ; ;13;14; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;2;2;1;2;6; ;2;06;1;0150;61;01; ;76;3437,43695156227; 
5173631;1;1;1;60;76;1;1; ; ;1; ; ;1;2;2;2;72;8; ;1; ;2;1200000;2; ; ;2; ;1;150000;2; ;2; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ;.; ; ; ; ; ; ; ; ;.;12; ; ; ; ; ; ; ; ;66; ;.;66; ; ;4;8; ;2; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;0;24;8; ;2; ; ; ; ; ; ; ;3;11;5; ;2; ; ; ;1;1;1;1;1;2;2;1;1;2;1;PRESTACIONES SOCIALES;2;1;1;2;2;2;1;2;8; ;2;06;1;0311;62;03;1350000;76;4380,26152084543; 
5173631;1;2;1;60;76;2; ; ; ; ; ; ; ; ; ; ;24;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ; ; ;2;0;1;1000000;1; ;12;2; ; ; ; ;3;4;2;20;2; ;20; ; ;1;1; ;2; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;2; ; ; ; ;2; ; ; ; ; ; ; ; ;14; ; ;1;15;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1;3; ;2;06;1;1410;79;14;0;76;4380,26152084543; 
5173633;1;1;1;60;76;1;1; ; ;1; ; ;2;2;2;2;120;8; ;1; ;2;800000;2; ; ;2; ;1;400000;2; ;2; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ;.; ; ; ; ; ; ; ; ;.;12; ; ; ; ; ; ; ; ;84; ;.;84; ; ;5;8; ;2; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;0;7;1; ;2; ; ; ; ; ; ; ;1;3;20; ;2; ; ; ;1;1;1;1;2;2;2;1;2;2;2; ;2;1;2;2;2;2;2;1;8; ;2;06;1;0141;58;01;1200000;76;6213,50614572284; 
5173633;1;3;1;60;76;1;1; ; ;1; ; ;1;2;2;2;5;8; ;1; ;2;875000;2; ; ;2; ;2; ;2; ;2; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ;.; ; ; ; ; ; ; ; ;.;7; ; ; ; ; ; ; ; ;48; ;.;48; ; ;5;7; ;2; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;5;4;1; ;2; ; ; ; ; ; ; ;1;3;10; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;2;1;3; ;2;06;1;0124;62;01;875000;76;6213,50614572284; 
5173634;1;1;1;60;76;1;2;2;3;1; ; ;2;2;2;1;12;8; ;1; ;2;877803;2; ; ;2; ;1;300000;2; ;2; ;2; ; ;1;40000;2;1;70000;2;2; ; ;2; ; ;2; ; ;1;828116;2; ;2; ;2; ;2; ;2; ; ;.; ; ; ; ; ; ; ; ;.;12; ; ; ; ; ; ; ; ;60; ;.;60; ; ;4;8; ;1; ;1;2;1;8;1; ; ; ; ; ; ; ; ;1;1;1;1;12;40;8; ;2; ; ; ; ; ; ; ;1;11;10; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;2;8; ;2;06;1;0124;62;01;1177803;76;5315,93343915989; 
5173634;1;3;1;60;76;1;2;1; ;1; ; ;1;1;2;1;11;1; ;1; ;2;877803;2; ; ;2; ;2; ;2; ;2; ;1;45000;2;1;102854;2;2; ; ;2; ; ;2; ; ;2; ; ;1;468000;2; ;2; ;2; ;2; ;2; ; ;.; ; ; ; ; ; ; ; ;.;12; ; ; ; ; ; ; ; ;48; ;.;48; ; ;9;7; ;1; ;1;2;1;3;1; ; ; ; ; ; ; ; ;1;1;1;1;0;21;8; ;2; ; ; ; ; ; ; ;3;2;30; ;2; ; ; ;1;1;1;1;2;2;2;2;2;2;2; ;2;2;1;1;1;2;1;1;3; ;2;06;1;1410;45;14;877803;76;5315,93343915989; 
5173635;1;1;1;60;76;1;1; ; ;1; ; ;1;2;2;2;168;8; ;1; ;2;880000;2; ; ;2; ;1;300000;2; ;2; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ;.; ; ; ; ; ; ; ; ;.;12; ; ; ; ; ; ; ; ;2;3;POR INCAPACIDAD FISICA  Y RECOMENDACION MEDICA NO PUEDE TRABAJ;2; ; ;5;8; ;2; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;0;132;1; ;2; ; ; ; ; ; ; ;1;14; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1;8; ;2;06;1;0141;62;01;1180000;76;3437,43695156227; 
5173636;1;1;1;60;76;1;1; ; ;1; ; ;2;2;2;2;30;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7; ;2; ; ;2;700000;1;8400000;3; ;12;2; ; ; ; ;3;1;2;60; ;.;60; ; ;1;8; ;2; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;0;132;8; ;2; ; ; ; ; ; ; ;3;3;10; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1;8; ;2;06;1;0122;61;01;700000;76;3437,43695156227; 
5173636;1;2;1;60;76;2; ; ; ; ; ; ; ; ; ; ;180;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7; ;2; ; ;2;0;1;98;3; ;12;2; ; ; ; ;3;4;2;14;2; ;14; ; ;1;8; ;2; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;2; ; ; ; ;2; ; ; ; ; ; ; ; ;14; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;1;2;1;1;3; ;2;06;1;0145;61;01;0;76;3437,43695156227; 
5173637;1;1;1;60;76;1;1; ; ;1; ; ;1;2;2;2;300;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;2;2000000;1;24000000;3; ;12;2; ; ; ; ;1;3;1;60; ;.;60; ; ;5;8; ;1; ;1;2;2;22;1;1; ; ; ; ; ; ; ; ;1;2;1;0;15;8; ;2; ; ; ; ; ; ; ;1;11;2; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1;2; ;2;06;1;0141;61;01;2000000;76;5712,57540688763; 
5173666;1;1;1;60;41;2; ; ; ; ; ; ; ; ; ; ;480;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7; ;2; ; ;2;5000000;1;11000000;2; ;12;1;1;0;1;0;2;3;2;16;2; ;16; ; ;2;8; ;2; ;2; ; ; ;1; ; ; ; ; ;1; ; ; ;2;2;2; ; ; ; ;2; ; ; ; ; ; ; ; ;3;1; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1;3; ;2;06;1;0123;61;01;5000000;41;701,818947716183; 
5173666;1;3;1;60;41;2; ; ; ; ; ; ; ; ; ; ;276;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7; ;2; ; ;2;5000000;1;11000000;2; ;12;1;1;0;1;0;2;3;2;40; ;.;40; ; ;2;8; ;2; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;2; ; ; ; ;2; ; ; ; ; ; ; ; ;3;1; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1;10;BUSCAR OTRO TRABAJO;2;06;1;0123;61;01;5000000;41;701,818947716183; 
5173667;1;1;1;60;41;2; ; ; ; ; ; ; ; ; ; ;480;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7; ;2; ; ;2;100000;1;1000000;3; ;12;1;1;0;0;1;2;3;2;48; ;.;48; ; ;2;8; ;2; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;2; ; ; ; ;2; ; ; ; ; ; ; ; ;3;30; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;1;2;1;1;8; ;2;06;1;0123;61;01;100000;41;701,818947716183; 
