DIRECTORIO;SECUENCIA_P;ORDEN;REGIS;P7250;P7260;P7280;P7280S1;P7290;P7300;P7310;P7320;P7350;P7350S1;P7360;P7370;P7380;P7380S1;P7390;P7390S1;P7400;P7410;P7410S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S8;P7420S7A1;P7422;P7422S1;P7424;P7424S1;CLASE;OFICIO1;OFICIO2;RAMA4D_D;RAMA2D_D;DSI;DPTO;fex_c_2011
475744;1;6;70;12;48;3; ;1;1;2;60;3; ;1;2;7; ;4; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;54;54;9500;95;1;23;1347,7690266705
475747;1;1;70;8;48;8; ;1;1;2;8;8; ;4;2;7; ;4; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;840000;2;62;62;0121;01;1;23;803,669661132162
481114;1;1;70;3;48;1; ;1;1;2;10;1; ;8;1; ;.;8; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;1;2568000;2;97;97;5111;51;1;05;3993,85431229736
481122;1;3;70;8;48;1; ;1;1;2;1;3; ;1;2;8; ;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;45;54;9500;95;1;05;3457,61529448149
481489;1;2;70;2;50;1; ;1;1;2;2;6; ;2;2;2; ;1; ;2;9; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;53;99;0121;01;1;17;937,659175533267
481500;1;3;70;12;60;1; ;2;2;2;12;1; ;3;2;2; ;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;1000000;2;98;98;6032;60;1;17;1115,81420093167
481516;1;1;70;52;30;3; ;1;1;2;36;3; ;1;2;4; ;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;450000;2;54;54;9500;95;1;17;1069,52379335542
481517;1;1;70;3;48;1; ;1;1;2;3;1; ;2;2;2; ;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;1;150000;1;800000;2;95;95;4521;45;1;17;992,30382551836
483565;1;2;70;20;30;1; ;1;1;2;8;1; ;3;2;2; ;2; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;1;600000;2;53;53;5521;55;1;73;1090,28809700216
483565;1;3;70;8;48;8; ;1;1;2;8;8; ;4;2;8; ;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;300000;2;62;62;0111;01;1;73;1090,28809700216
483709;1;2;70;48;48;4; ;1;1;2;52;4; ;1;2;2; ;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;53;53;5529;55;1;25;2373,83755116452
483709;1;3;70;40;60;1; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;45; ; ; ;1;25;2373,83755116452
483803;1;3;70;8;48;8; ;1;1;2;8;8; ;3;2;7; ;4; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;1000000;2;62;62;0111;01;1;73;847,861531460951
483820;1;2;70;8;56;4; ;1;1;2;24;1; ;6;2;7; ;4; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;53;62;0111;01;1;73;779,479855562879
483856;1;5;70;48;50;3; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;54; ; ; ;1;73;516,103617588756
483868;1;1;70;2;50;8; ;1;1;2;2;8; ;3;2;2; ;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;1;100000;1;1200000;2;62;62;0121;01;1;73;800,632022130397
483900;1;5;70;2;12;1; ;1;1;2;8;1; ;3;2;2; ;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;45;45;5219;52;1;73;741,46269167606
483907;1;3;70;20;40;2; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;13; ; ; ;1;73;925,684635675484
483911;1;3;70;4;8;2; ;1;1;2;4;8; ;9;2;2; ;1; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;1;150000;2;95;62;0118;01;1;73;1245,24708282919
483967;1;2;70;24;48;3; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;54; ; ; ;1;17;1180,5941554483
483970;1;1;70;3;48;8; ;1;1;2;3;8; ;2;2;2; ;1; ;2;9; ; ; ; ; ; ; ; ; ;1; ;1;10000;1;1600000;2;62;62;0111;01;1;17;906,293783182195
483970;1;4;70;8;60;8; ;1;1;2;8;8; ;4;2;2; ;7; ;2;5; ; ; ; ; ; ; ; ; ;1; ;2; ;1;400000;2;62;62;0111;01;1;17;906,293783182195
484115;1;3;70;8;48;8; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;62; ; ; ;1;17;1053,45859685542
484156;1;5;70;4;40;3; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;54; ; ; ;1;17;708,625557466432
485246;1;5;70;24;48;1; ;1;1;2;28;4; ;1;2;2; ;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;300000;2;00;45;5155;51;1;15;6400,19769056957
485276;1;1;70;3;50;8; ;1;1;2;3;8; ;2;2;2; ;3; ;2;2; ; ; ; ; ; ; ;1; ; ; ;1;45000;1;500000;2;62;62;0115;01;1;15;6144,77561228583
485287;1;3;70;2;48;1; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;62; ; ; ;1;15;8743,46134862692
485333;1;2;70;4;40;1; ;1;1;2;40;1; ;2;2;2; ;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;400000;2;53;53;5521;55;1;25;2283,531720014
485339;1;3;70;3;50;1; ;2;1;2;8;1; ;6;1; ;.;1; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;1;7456000;2;71;71;1010;10;1;25;2613,86177527855
485344;1;2;70;2;40;4; ;1;1;2;60;1; ;1;2;2; ;2; ;2;3; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;53;54;7493;74;1;25;2885,93150542773
485355;1;3;70;1;48;1; ;1;1;2;20;1; ;2;2;4; ;1; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;1;1000000;2;45;38;6421;64;1;25;1817,77389491415
485372;1;2;70;6;40;3; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;54; ; ; ;1;25;2468,49255967688
485382;1;2;70;52;24;3; ;1;1;2;520;3; ;1;2;4; ;2; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;54;54;9500;95;1;25;2613,86177527855
485398;1;2;70;12;40;8; ;1;1;2;60;4; ;1;2;2; ;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;216000;2;62;54;7493;74;1;25;1913,20770508011
486262;1;2;70;10;48;1; ;2;2;2;300;4; ;1;1; ;.;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;54;54;8532;85;1;66;537,554556443862
486318;1;3;70;50;50;1; ;1;1;2;48;1; ;6;1; ;.;4; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;98;97;6042;60;1;66;706,35437743296
486358;1;2;70;1;40;3; ;1;1;2;80;3; ;1;2;2; ;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;54;54;9500;95;1;66;669,598936328604
486358;1;3;70;3;48;1; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;55; ; ; ;1;66;669,598936328604
486359;1;2;70;24;48;1; ;1;1;2;25;1; ;5;2;2; ;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;2300000;2;45;55;8050;80;1;66;1023,52822951159
486360;1;2;70;8;60;1; ;1;1;2;9;1; ;9;2;2; ;1; ;2;11;TRABAJO TEMPORAL; ; ; ; ; ; ; ; ;1; ;2; ;1;1520000;2;39;45;1810;18;1;66;781,622479260737
486363;1;1;70;4;50;4; ;1;1;2;4;1; ;3;2;7; ;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;1;400000;1;5000000;2;62;62;0116;01;1;66;937,659175533267
486363;1;3;70;10;50;1; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;58; ; ; ;1;66;937,659175533267
486363;1;4;70;48;48;1; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;45; ; ; ;1;66;937,659175533267
486367;1;2;70;2;40;3; ;2;2;2;2;3; ;2;2;5; ;4; ;2;4; ; ; ; ; ; ; ; ; ;1; ;1;300000;1;3600000;2;54;54;9500;95;1;66;836,610251652864
486529;1;3;70;12;40;1; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;59; ; ; ;1;13;1912,71751623112
486533;1;3;70;8;56;8; ;1;1;2;8;6; ;1;2;7; ;8; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;300000;2;62;45;5529;55;1;13;962,131049985121
486581;1;1;70;18;30;4; ;1;1;2;18;1; ;2;2;2; ;5; ;2;2; ; ; ; ; ;1; ; ; ; ; ;2; ;1;3600000;2;62;62;0115;01;1;13;2058,46557984162
486586;1;3;70;104;48;1; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;03; ; ; ;1;13;2271,59056349535
486588;1;2;70;16;48;8; ;1;1;2;4;8; ;1;2;7; ;8; ;2;2; ; ; ; ; ; ; ; ; ;1; ;1;98;1;98;2;62;64;0501;05;1;13;1272,53096553417
486589;1;2;70;24;20;4; ;1;1;2;350;4; ;1;2;2; ;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;53;45;5529;55;1;13;962,131049985121
486589;1;3;70;60;48;8; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;85; ; ; ;1;13;962,131049985121
486589;1;5;70;20;60;2; ;1;1;2;36;3; ;1;2;4; ;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;1050000;2;45;54;9500;95;1;13;962,131049985121
486589;1;6;70;2;60;1; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;77; ; ; ;1;13;962,131049985121
486591;1;7;70;4;5;4; ;2;1;2;5;4; ;3;2;7; ;4; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;300000;2;97;97;0501;05;1;13;2162,49011028311
486593;1;2;70;200;30;3; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;54; ; ; ;1;13;2081,21999337772
486597;1;2;70;24;30;1; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;45; ; ; ;1;13;962,131049985121
486598;1;3;70;1;60;2; ;1;1;2;2;2; ;9;1; ;.;5; ;1; ;.; ;1; ; ; ; ; ; ; ; ;1;200000;1;600000;2;59;59;8512;85;1;13;962,131049985121
486598;1;4;70;32;48;3; ;1;1;2;68;3; ;1;2;2; ;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;54;54;9500;95;1;13;962,131049985121
486598;1;7;70;210;30;1; ;1;1;2;350;4; ;2;2;8; ;1; ;2;3; ; ; ; ; ; ; ;1; ; ; ;2; ;2; ;2;79;79;1810;18;1;13;962,131049985121
486600;1;3;70;4;30;1; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;45; ; ; ;1;13;1306,98345067344
486611;1;2;70;24;48;3; ;1;1;2;84;3; ;1;2;5; ;4; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;54;54;9500;95;1;13;1156,09690624335
486612;1;4;70;32;48;1; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;33; ; ; ;1;13;2401,78595676159
486620;1;3;70;6;48;1; ;1;1;2;6;1; ;6;2;2; ;1; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;98;98;6032;60;1;13;1422,2745133294
486650;1;2;70;8;48;1; ;1;1;2;52;1; ;2;2;2; ;1; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;45;45;5239;52;1;13;1062,44923040821
486680;1;3;70;5;48;1; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;62; ; ; ;1;70;820,838656748028
486748;1;2;70;3;6;3; ;2;2;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;54; ; ; ;1;70;1343,5187536778
486843;1;4;70;6;8;1; ;2;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;45; ; ; ;1;70;825,629601026247
486843;1;5;70;4;8;4; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;00; ; ; ;1;70;825,629601026247
486853;1;2;70;8;4;2; ;2;1;2;240;2; ;5;1; ;.;1; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;32;32;7512;75;1;70;576,426499770837
486861;1;3;70;45;40;1; ;2;2;2;52;3; ;1;1; ;.;8; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;45;54;9500;95;1;70;793,678429409506
486887;1;2;70;96;48;2; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;13; ; ; ;1;70;1185,30321853198
486928;1;3;70;1;56;1; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;00; ; ; ;1;70;1829,98389578271
486989;1;1;70;4;48;3; ;1;1;2;4;3; ;1;2;2; ;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;500000;2;54;54;9500;95;1;05;3063,3082367908
486997;1;1;70;8;50;4; ;2;2;2;8;4; ;6;2;7; ;7; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;8500000;2;20;79;1810;18;1;05;1928,5942488397
487008;1;1;70;52;48;1; ;2;2;2;84;1; ;9;2;2; ;1; ;2;6; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;97;97;2694;26;1;05;2647,71891671573
487016;1;1;70;2;48;1; ;2;2;2;10;1; ;5;1; ;.;9;IRIA CON LA FICHA A SISBEN;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;1;4000000;2;39;21;5141;51;1;05;2290,32766853296
487048;1;2;70;12;48;1; ;2;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;45; ; ; ;1;66;343,218797984432
487062;1;2;70;5;40;8; ;1;1;2;180;1; ;2;2;5; ;2; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;62;62;0111;01;1;66;311,120600195634
487074;1;2;70;1;40;4; ;1;1;2;6;1; ;2;2;2; ;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;1;45000;1;200000;2;95;95;4521;45;1;66;411,841082355385
487078;1;4;70;4;40;1; ;2;2;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;98; ; ; ;1;66;359,527586952514
487091;1;3;70;8;48;8; ;1;1;2;12;8; ;3;2;2; ;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;2880000;2;62;62;0116;01;1;66;353,648960441071
487099;1;3;70;6;50;8; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;62; ; ; ;1;66;456,074989866747
487162;1;1;70;2;40;4; ;1;1;2;2;4; ;1;2;2; ;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;1;50000;1;400000;2;53;41;5211;52;1;19;1014,03168670025
487174;1;3;70;6;48;8; ;1;1;2;4;1; ;1;2;2; ;1; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;1;600000;2;62;62;0121;01;1;19;847,356636971668
487180;1;3;70;20;48;1; ;1;1;2;10;8; ;1;2;2; ;1; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;1;100000;2;63;73;0201;02;1;19;1483,89603618183
487189;1;3;70;96;48;1; ;2;2;2;97;1; ;7;2;4; ;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;45;45;7530;75;1;19;611,699719559527
487189;1;4;70;8;40;1; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;57; ; ; ;1;19;611,699719559527
487208;1;1;70;6;48;1; ;1;1;2;6;1; ;9;1; ;.;1; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;1;3150000;2;62;62;2102;21;1;19;611,699719559527
487215;1;8;70;4;50;1; ;1;1;2;4;1; ;7;1; ;.;1; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;1;5100000;2;95;95;4521;45;1;19;1444,58699372067
487239;1;3;70;12;48;1; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;13; ; ; ;1;19;1015,8620253464
487269;2;1;70;2;40;8; ;1;1;2;2;8; ;2;2;2; ;1; ;2;4; ; ; ; ; ; ; ;1; ; ; ;1;120000;1;960000;2;62;62;0111;01;1;19;1125,77497415755
487269;2;3;70;2;40;8; ;1;1;2;2;8; ;3;2;2; ;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;1;120000;1;1200000;2;62;62;0111;01;1;19;1125,77497415755
487272;1;1;70;4;40;3; ;1;1;2;4;3; ;1;2;2; ;1; ;2;4; ; ; ; ; ; ; ; ; ;1; ;1;150000;1;1500000;2;54;54;9500;95;1;19;974,722644239082
487305;1;2;70;52;40;1; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;39; ; ; ;1;19;1055,17106780757
487311;1;4;70;52;40;8; ;1;1;2;156;1; ;9;1; ;.;1; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;62;62;2102;21;1;19;1003,97886950201
487320;1;1;70;4;48;4; ;1;1;2;24;3; ;1;2;5; ;1; ;2;4; ; ; ; ; ; ; ; ; ;1; ;1;40000;1;750000;2;54;54;9500;95;1;19;971,259329160751
487340;1;5;70;24;40;1; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;18; ; ; ;1;19;1246,61708010327
487341;1;6;70;28;40;3; ;1;1;2;110;1; ;7;1; ;.;7; ;1; ;.; ; ;1; ; ; ; ; ; ; ;2; ;2; ;2;54;55;8046;80;1;19;761,811921892679
487362;1;2;70;6;48;3; ;1;1;2;104;2; ;9;2;2; ;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;54;54;8532;85;1;19;636,694273413549
487362;1;3;70;8;40;2; ;2;2;2;52;1; ;5;2;5; ;1; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;59;34;9242;92;1;19;636,694273413549
487370;2;2;70;12;40;3; ;2;2;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;54; ; ; ;1;19;485,734079342873
487374;1;4;70;20;40;1; ;1;1;2;56;1; ;2;2;5; ;4; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;45;45;5219;52;1;23;605,082496680673
487377;1;4;70;26;40;1; ;1;1;2;36;1; ;9;2;5; ;4; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;1;2000000;2;33;33;5223;52;1;23;732,819536692895
487389;1;4;70;2;40;1; ;2;2;2;2;4; ;1;2;2; ;1; ;2;5; ; ; ; ; ; ; ; ; ;1; ;1;192000;1;864000;2;58;61;0115;01;1;23;1761,54890610268
487392;2;2;70;1;40;3; ;1;1;2;2;4; ;1;2;2; ;1; ;2;2; ; ; ; ; ; ; ;1; ; ; ;1;80000;1;250000;2;54;61;0115;01;1;23;2307,66899617806
487406;1;2;70;21;36;3; ;1;1;2;520;1; ;7;1; ;.;1; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;54;54;5511;55;1;23;981,3688713938
487423;1;2;70;5;48;8; ;1;1;2;6;4; ;1;2;7; ;4; ;2;2; ; ; ; ; ; ; ; ; ;1; ;1;80000;1;400000;2;62;61;0115;01;1;23;1861,51940446157
487429;1;3;70;3;40;1; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;45; ; ; ;1;23;1283,32095616158
487434;1;2;70;2;40;3; ;2;1;2;8;3; ;2;2;7; ;4; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;1000000;2;54;54;9500;95;1;23;832,610854963713
487451;1;3;70;36;48;1; ;1;1;2;24;1; ;6;2;2; ;1; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;1;350000;2;45;45;5233;52;1;50;1029,441141155
487451;1;4;70;16;48;1; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;39; ; ; ;1;50;1029,441141155
487454;1;9;70;3;48;1; ;2;2;2;2;1; ;2;2;8; ;8; ;2;4; ; ; ; ; ; ; ; ; ;1; ;1;500000;1;3000000;2;45;40;5239;52;1;50;1713,56291806676
487536;1;3;70;2;48;1; ;2;2;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;58; ; ; ;1;68;926,420060781823
487551;1;2;70;8;18;4; ;1;1;2;4;4; ;1;2;2; ;1; ;2;2; ; ; ; ; ; ; ;1; ; ; ;1;30000;1;200000;2;79;79;5271;52;1;68;908,946521179354
487763;2;2;70;22;42;4; ;1;1;2;336;3; ;1;2;3; ;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;54;54;9500;95;1;68;864,765199279542
487763;3;2;70;30;42;1; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;45; ; ; ;1;68;864,765199279542
487763;4;2;70;24;48;1; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;45; ; ; ;1;68;864,765199279542
487783;1;3;70;24;42;2; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;13; ; ; ;1;68;1136,13958763603
487827;1;3;70;4;48;8; ;1;1;2;5;8; ;3;2;2; ;1; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;1;600000;2;62;62;0121;01;1;68;1146,26481470223
487846;1;3;70;10;42;1; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;13; ; ; ;1;68;936,701205729104
487846;1;6;70;36;42;1; ;1;1;2;44;2; ;4;2;3; ;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;800000;2;32;32;8045;80;1;68;936,701205729104
487882;1;3;70;6;48;8; ;1;1;2;7;8; ;3;2;2; ;1; ;2;3; ; ; ; ; ; ; ; ; ;1; ;2; ;1;200000;2;62;62;0121;01;1;68;761,128394087895
488002;1;1;70;16;48;1; ;2;1;2;16;8; ;2;2;2; ;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;900000;2;97;62;0117;01;1;68;1071,98170560855
