DIRECTORIO;AREA;SECUENCIA_P;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5210S1;P5210S2;P5210S3;P5210S4;P5210S5;P5210S6;P5210S7;P5210S8;P5210S9;P5210S10;P5210S11;P5210S14;P5210S15;P5210S16;P5210S17;P5210S18;P5210S19;P5210S20;P5210S21;P5210S22;P5210S24;HOGAR;P4000;P4010;P4020;P4030S1;P4030S2;P4030S3;P4030S4;P4030S5;P4030S1A1;P4030S4A1;P4040;REGIS;DPTO;ORDEN;fex_c_2011
448103;05;1;4;2;1;1;1;1;1;1;3; ; ; ; ;220000;1;1;1;2;1;1;1;1;2;2;1;1;2;1;2;2;2;1;2;2;2;1;2;1;4;1;2;1;1;1;2;2;1;01;05;1;744,040042581961
448104;05;1;4;3;1;1;1;1;1;4;3; ; ; ; ;170000;1;1;2;2;1;1;1;1;2;1;1;2;2;2;2;2;2;2;1;2;2;1;2;1;4;1;2;1;1;1;2;2;1;01;05;1;919,716459243216
448105;05;1;3;2;1;1;1;1;1;1;3; ; ; ; ;200000;1;1;2;1;1;1;1;2;2;2;1;2;1;2;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;2;2;1;01;05;1;1091,77323588863
448106;05;1;3;2;1;1;1;1;1;1;3; ; ; ; ;180000;1;2;2;2;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;1;2;1;2;1;1;1;2;2;1;01;05;1;919,716459243216
448107;05;1;3;2;1;1;1;1;1;1;3; ; ; ; ;175000;1;2;2;1;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;1;4;1;2;1;1;1;2;2;1;01;05;1;865,710535714718
448108;05;1;3;2;1;1;1;1;1;4;1; ; ;8000000;200000; ;1;2;2;2;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;1;2;1;1;1;2;2;1;01;05;1;933,816594409514
448109;05;1;3;2;1;1;1;1;1;4;4; ; ; ;250000; ;1;1;2;2;1;1;1;2;2;2;1;1;2;2;2;2;2;2;2;2;2;1;1;1;4;1;2;1;1;1;3;2;1;01;05;1;653,247638744421
448110;05;1;2;2;3;1;1;1;1;4;3; ; ; ; ;110000;1;1;2;2;1;1;1;1;2;2;1;1;2;2;2;2;2;2;2;2;2;1;2;1;2;1;2;2;1;1;1;2;1;01;05;1;821,005084372656
448111;05;1;3;2;3;1;1;1;1;1;1; ; ;25000000;180000; ;1;2;2;2;1;1;1;2;2;2;1;1;1;1;2;2;2;1;2;2;2;1;2;1;2;1;2;2;1;1;1;2;1;01;05;1;720,219203530118
448112;05;1;4;3;1;1;1;1;1;4;1; ; ;120000000;450000; ;1;1;2;2;1;1;1;2;2;2;1;1;2;2;2;2;2;1;2;1;2;1;2;1;4;1;2;1;1;1;2;2;1;01;05;1;974,10874976823
448113;05;1;2;1;1;1;1;1;1;4;4; ; ; ;200000; ;1;2;2;1;1;1;1;1;2;2;1;1;2;2;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;2;2;1;01;05;1;862,637053707853
