DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P6440;P6450;P6460;P6460S1;P6400;P6422;P6424;P6424S2;P6424S3;P6424S1;P6426;P6430S1;P6480;P6480S1;P6500;P6510;P6510S1;P6510S2;P6590;P6590S1;P6600;P6600S1;P6610;P6610S1;P6620;P6620S1;P6585;P6585S2A1;P6585S3A1;P6585S4A1;P6585S3A2;P6585S2A2;P6585S1A2;P6585S2;P6585S3;P6585S1A1;P6585S4;P6585S1;P6580;P6580S1;P6580S2;P6630;P6630S3;P6630S4A1;P6630S3A1;P6630S2A1;P6630S1A1;P6630S4;P6630S2;P6630S1;P6640;P6642;P6642S2;P6642S1;P6765;P6765S1;P6772;P6750;P6760;P550;P6780;P6780S1;P6790;P6410;P6640S1;P6642S5;P6642S4;P6642S3;P6642S6;P9440;P6630S6;P6630S6A1;P6410S1;P6545S1;P6545;P6545S2;P6585S4A2;P6773S1;P6775;P6772S1;P388;P6800;P6810;P6810S1;P6850;P6830;P6830S1;P6835;P6835S1;P6835S2;P6836;P6836S1;P6836S2;P6837;P6837S1;P6837S2;P6870;P6880;P6880S1;P6920;P6930;P6940;P6960;P6980;P6980S1;P6980S2;P6980S3;P6980S4;P6980S5;P6980S6;P6980S7;P6980S8;P6980S7A1;P6990;P7020;P7026;P7028;P7028S1;P7040;P7045;P7050;P7050S1;P7070;P760;P9450;P6915S1;P6915;P6773;P7075;P7077;P390;P7090;P7100;P7110;P7120;P7130;P7140;P7140S1;P7140S2;P7140S3;P7140S4;P7140S5;P7140S6;P7140S7;P7140S8;P7140S9;P7140S9A1;P7150;P7160;P7170;P7170S1;P7170S2;P7170S3;P7170S4;P7170S5;P7170S6;P7180;P7190;P7200;P7240;P7240S1;OFICIO;RAMA2D;OCI;P6430;P6420S1;RAMA4D;RAMA4DP8;RAMA2DP8;INGLABO;MES;DPTO;fex_c_2011
3103898;1;4;1;60;2;1;2;2;3;1;2; ;2;1;1;4; ;1; ;800000;2; ; ;2; ;2; ;2; ;2; ; ;66700; ; ; ;1; ;1;2; ;2;2;2; ; ; ;2; ; ; ; ;2;2;2;2; ; ; ; ;.; ; ; ; ; ;.;12; ; ; ; ; ; ;2;2; ; ; ;2; ; ; ; ; ;5;48; ;.;48; ; ;1;7;18;2; ; ; ; ; ;8;7; ;1;1;1;3;1;1; ; ; ; ; ; ; ; ;1;1;20;1; ;2; ; ; ; ;0;1; ;1; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;2;3;3;1; ;39;51;1;1; ;5163; ; ;800000;12;05;1335,99055507539
3103899;1;2;1;60;2;1;1; ; ;1;1; ;2;1;1;6; ;2; ;800000;1;234000;1;2; ;2; ;2; ;2; ; ;66700; ; ; ;1; ;1;2; ;2;2;2; ; ; ;2; ; ; ; ;2;2;2;2; ; ; ; ;.; ; ; ; ; ;.;12; ; ; ; ; ; ;2;2; ; ; ;2; ; ; ; ; ;5;84; ;.;84; ; ;1;7;18;2; ; ; ; ; ;9;4; ;1;1;1;12;1;1; ; ; ; ; ; ; ; ;1;1;12;8; ;2; ; ; ; ;0;1; ;1; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;2;2;3;5; ;98;51;1;1; ;5159; ; ;800000;12;05;975,75298084596
3103907;1;1;1;60;2;2; ; ; ; ; ; ; ; ; ;48; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7; ;2; ;1;98;3; ;12; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;5;72; ;.;72; ; ;1;6;18;2; ; ; ; ; ;2;8; ;2; ; ; ;1; ; ; ; ; ; ; ;1; ;2;1;1;1; ;2; ; ; ; ;0;2; ;2; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;2;3;3;5; ;61;01;1;5; ;0116; ; ; ;12;05;2578,9198382774
3103907;1;2;1;60;2;2; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7; ;2;30000;1;50000;1; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;5;70; ;.;70; ; ;1;8;18;2; ; ; ; ; ;2;1; ;2; ; ; ;1; ; ; ; ; ; ; ;1; ;2;1;60;1; ;2; ; ; ; ;60;2; ;2; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;3;2;2;2;2;3;3; ;41;52;1;4; ;5229; ; ;30000;12;05;2578,9198382774
3103907;1;3;1;60;2;1;2;3; ;1;1; ;2;2;2;2; ;1; ;360000;2; ; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ;2;2; ;2;2;2; ; ; ;2; ; ; ; ;2;2;2;2; ; ; ; ;.; ; ; ; ; ;.;6; ; ; ; ; ; ;2;2; ; ; ;2; ; ; ; ; ;5;36;1; ;36; ; ;1;7;19;2; ; ; ; ; ;9;7; ;2; ; ; ;1; ; ; ; ; ; ; ;1; ;2;1;60;1; ;2; ; ; ; ;6;2; ;2; ; ; ; ;1;12;2;1;1;1;1;1;2;2;2;2;2;2;2; ;2;1; ;2;2;2;3;3;2;2;2;3;3; ;59;85;1;1; ;8511; ; ;360000;12;05;2578,9198382774
3103907;1;4;1;60;2;1;2;3; ;1;1; ;2;1;1;22; ;1; ;566700;2; ; ;2; ;2; ;2; ;2; ; ;66700; ; ; ;2; ;1;2; ;2;2;2; ; ; ;2; ; ; ;566700;2;2;1;2; ; ; ; ;.; ; ; ; ; ;.;12; ; ; ; ; ; ;2;2; ; ; ;2; ; ; ; ; ;5;60; ;.;60; ; ;1;19;7;2; ; ; ; ; ;9;7; ;1;1;1;2;1;1; ; ; ; ; ; ; ; ;1;2; ; ; ;2; ; ; ; ; ;1; ;1; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;2;3;3;1; ;54;85;1;2; ;8511; ; ;566700;12;05;2578,9198382774
3103907;1;5;1;60;2;2; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;.; ; ; ; ; ;.;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5;7;2; ;7; ; ;2; ; ; ; ; ; ; ; ;2;1; ;2; ; ; ;1; ; ;1; ; ; ; ; ; ;2;2; ; ; ;2; ; ; ; ; ;2; ;2; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;2;3;3;3; ;45;52;1;6; ;5229; ; ; ;12;05;2578,9198382774
3103908;1;1;1;60;2;1;2;1; ;1;1; ;2;1;1;48; ;1; ;880000;2; ; ;2; ;2; ;2; ;2; ; ; ;21000; ;2; ; ;2;1; ;2;2;2; ; ; ;2; ; ; ;880000;2;2;1;2; ; ; ; ;.; ; ; ; ; ;.;12; ; ; ; ; ; ;2;2; ; ; ;2; ; ; ; ; ;5;84; ;.;84; ; ;1;7;19;2; ; ; ; ; ;7;4; ;1;1;1;6;1;1; ; ; ; ; ; ; ; ;1;1;96;1; ;2; ; ; ; ;0;1; ;1; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2;3;2;3;2;5; ;98;52;1;1; ;5241; ; ;880000;12;05;2818,68301603461
3103909;1;1;1;60;2;1;2;1; ;1;1; ;2;1;1;24; ;1; ;566700;2; ; ;2; ;1;200000;2; ;2; ; ; ;63000; ;2; ; ;2;1; ;2;2;2; ; ; ;2; ; ; ;566700;2;2;1;2; ; ; ; ;.; ; ; ; ; ;.;12; ; ; ; ; ; ;2;2; ; ; ;2; ; ; ; ; ;5;48; ;.;48; ; ;1;6;16;2; ; ; ; ; ;2;8; ;1;1;1;6;1;1; ; ; ; ; ; ; ; ;1;1;1;8; ;2; ; ; ; ;0;1; ;1; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;2;3;3;5; ;62;01;1;8; ;0140; ; ;766700;12;05;4082,79514314249
3103910;1;1;1;60;2;2; ; ; ; ; ; ; ; ; ;96; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7; ;2;70000;1;800000;3; ;12; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;5;7;2; ;7; ; ;2; ; ; ; ; ; ; ; ;1;8; ;2; ; ; ;1; ; ; ;1; ; ; ; ; ;2;1;60;1; ;2; ; ; ; ;0;2; ;3; ; ; ; ;1;41;1;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;3;2;3;2;2;2;3;3;5; ;61;01;1;4; ;0116; ; ;70000;12;05;3100,15459265661
3103910;1;3;1;60;2;1;1; ; ;1;1; ;2;2;2;12; ;1; ;200000;2; ; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ;2;2; ;2;2;2; ; ; ;2; ; ; ; ;2;2;2;2; ; ; ; ;.; ; ; ; ; ;.;12; ; ; ; ; ; ;2;2; ; ; ;2; ; ; ; ; ;5;12;2; ;12; ; ;1;9;21;2; ; ; ; ; ;2;7; ;2; ; ; ;1; ; ; ; ; ; ; ;1; ;2;1;36;1; ;2; ; ; ; ;0;2; ;5; ; ; ; ;1;12;2;2;1;1;1;1;2;2;2;2;2;2;2; ;1;1; ;3;3;3;4;3;2;2;3;2;3; ;77;15;1;1; ;1589; ; ;200000;12;05;3100,15459265661
3103911;1;1;1;60;2;1;2;1; ;1;1; ;2;1;1;1; ;1; ;566700;2; ; ;2; ;2; ;2; ;2; ; ; ;21000; ;2; ; ;9;1; ;2;2;2; ; ; ;2; ; ; ;566700;2;2;1;2; ; ; ; ;.; ; ; ; ; ;.;12; ; ; ; ; ; ;2;2; ; ; ;2; ; ; ; ; ;5;48; ;.;48; ; ;1;7;16;2; ; ; ; ; ;9;8; ;1;1;1;3;1;1; ; ; ; ; ; ; ; ;1;1;36;1; ;1;6;4; ;48000;0;1; ;1; ;2;8;5;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;2;3;3;5; ;62;92;1;1; ;9249; ; ;614700;12;05;2332,11392299755
3103911;1;2;1;60;2;2; ; ; ; ; ; ; ; ; ;60; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;.; ; ; ; ; ;.;12; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5;18;1; ;18; ; ;1;15;17;2; ; ; ; ; ;2;8; ;2; ; ; ;1; ; ; ; ; ; ; ;1; ;2;1;24;1; ;2; ; ; ; ;12;2; ;3; ; ; ; ;1;30;1;1;1;1;2;1;2;2;2;2;2;2;2; ;1;1; ;2;2;2;2;2;2;2;2;3;3; ;62;01;1;6; ;0117; ; ; ;12;05;2332,11392299755
3103912;1;1;1;60;2;2; ; ; ; ; ; ; ; ; ;96; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7; ;2;86000;1;172000;3; ;12; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;5;24;1; ;24; ; ;1;8;16;2; ; ; ; ; ;1;8; ;2; ; ; ;1; ; ; ; ; ; ; ;1; ;2;1;48;1; ;1;20;8; ;20000;24;2; ;5; ;2;8;5;2; ; ; ;1;1;2;1;2;2;2;2;2;2;2; ;2;2; ;2;2;2;3;3;2;2;2;3;3; ;61;01;1;4; ;0118; ; ;106000;12;05;2783,4434576735
3103912;1;3;1;60;2;1;2;2;12;1;1; ;2;1;1;108; ;1; ;566700;2; ; ;2; ;2; ;1;96000;2; ; ; ; ; ; ; ; ;2;2; ;2;2;2; ; ; ;2; ; ; ;566700;2;2;1;2; ; ; ; ;.; ; ; ; ; ;.;12; ; ; ; ; ; ;2;2; ; ; ;2; ; ; ; ; ;5;48; ;.;48; ; ;1;6;15;2; ; ; ; ; ;9;7; ;1;1;1;9;1;1; ; ; ; ; ; ; ; ;1;1;36;6; ;2; ; ; ; ;0;1; ;1; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;2;3;3;8; ;62;01;1;1; ;0112; ; ;566700;12;05;2783,4434576735
3103913;1;1;1;60;2;1;2;2;12;1;1; ;2;2;2;12; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;566700;12;6800000;3; ;12; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;5;35;2; ;35; ; ;1;7;16;2; ; ; ; ; ;9;1; ;2; ; ; ;1; ; ; ; ; ; ; ;1; ;2;1;144;4; ;2; ; ; ; ;0;2; ;1; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;3;2;2;2;2;3;3; ;54;85;1;4; ;8532; ; ;566700;12;05;3646,82825065982
3103913;1;2;1;60;2;2; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7; ;2;200000;1;400000;1; ;12; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;5;25;1; ;25; ; ;2; ; ; ; ; ; ; ; ;1;5; ;2; ; ; ;1; ; ; ; ; ; ; ;1; ;2;1;2;1; ;2; ; ; ; ;0;2; ;2; ; ; ; ;1;23;2;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;3;2;3;3;2;2;2;3;5; ;41;51;1;4; ;5161; ; ;200000;12;05;3646,82825065982
3103913;1;3;1;60;2;2; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ; ;1;98;1; ;12; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;5;20;1; ;20; ; ;1;6;17;2; ; ; ; ; ;1;4; ;2; ; ; ;1; ; ; ; ; ; ; ;1; ;2;1;1;1; ;2; ; ; ; ;0;2; ;2; ; ; ; ;1;28;1;1;1;1;1;1;2;2;2;1;2;2;2; ;1;1; ;3;3;2;3;3;2;2;1;3;5; ;98;60;1;4; ;6041; ; ; ;12;05;3646,82825065982
3103914;1;1;1;60;2;2; ; ; ; ; ; ; ; ; ;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7; ;2;400000;1;600000;1; ;12; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;5;28;2; ;28; ; ;2; ; ; ; ; ; ; ; ;1;8; ;2; ; ; ;1; ; ; ; ; ; ; ;1; ;2;1;8;1; ;2; ; ; ; ;0;2; ;2; ; ; ; ;1;20;1;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;3;2;2;2;2;3;3; ;61;01;1;4; ;0123; ; ;400000;12;05;3095,19779458848
3103916;1;1;1;60;2;1;1; ; ;1;2; ;2;2;2;24; ;1; ;1200000;2; ; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ;2;2; ;2;2;2; ; ; ;2; ; ; ; ;2;2;2;2; ; ; ; ;.; ; ; ; ; ;.;12; ; ; ; ; ; ;2;2; ; ; ;2; ; ; ; ; ;5;22;2; ;22; ; ;1;6;18;2; ; ; ; ; ;2;8; ;2; ; ; ;1; ; ; ; ; ; ; ;1; ;2;1;60;8; ;2; ; ; ; ;0;2; ;2; ; ; ; ;2; ; ; ;1;1;2;1;2;2;2;2;1;2;2; ;2;1; ;2;2;2;2;3;2;2;1;2;9; ;73;02;1;1; ;0201; ; ;1200000;12;05;4554,90507369964
3103919;1;1;1;60;2;1;1; ; ;1;1; ;2;2;2;2; ;1; ;75000;2; ; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ;2;2; ;2;2;2; ; ; ;2; ; ; ; ;2;2;2;2; ; ; ; ;.; ; ; ; ; ;.;12; ; ; ; ; ; ;2;2; ; ; ;2; ; ; ; ; ;5;24;1; ;24; ; ;1;6;16;2; ; ; ; ; ;2;8; ;2; ; ; ;1; ; ; ; ; ; ; ;1; ;2;1;1;1; ;2; ; ; ; ;0;2; ;2; ; ; ; ;1;24;1;1;1;1;1;1;2;1;2;2;1;1;2; ;1;1; ;2;2;2;3;3;2;2;1;3;3; ;62;01;1;8; ;0112; ; ;75000;12;05;2770,65338376851
3103920;1;1;1;60;2;1;1; ; ;1;1; ;2;1;1;11; ;1; ;566700;2; ; ;2; ;1;150000;2; ;2; ; ; ;63000; ;2; ; ;2;1; ;2;2;2; ; ; ;2; ; ; ;566700;2;2;1;2; ; ; ; ;.; ; ; ; ; ;.;12; ; ; ; ; ; ;2;2; ; ; ;2; ; ; ; ; ;5;48; ;.;48; ; ;1;6;16;2; ; ; ; ; ;2;8; ;1;1;3;4;1;1; ; ; ; ; ; ; ; ;1;1;8;8; ;2; ; ; ; ;0;1; ;1; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;2;2;2;2;2;3;3;9; ;62;01;1;8; ;0112; ; ;716700;12;05;4318,34941664984
